Orthogroup	Osmia_lignaria	Nomia_melanderi
OG0000000	XP_034194192.1	XP_031847717.1
OG0000000	XP_034195039.1	XP_031839043.1
OG0000000	XP_034194536.1	XP_031842135.1
OG0000000	XP_034194634.1	XP_031848866.1, XP_031829449.1
OG0000000	XP_034192189.1, XP_034179509.1	XP_031848507.1
OG0000000	XP_034174770.1	XP_031836774.1
OG0000001	XP_034194619.1, XP_034194603.1, XP_034194594.1	XP_031826091.1, XP_031826099.1, XP_031826098.1, XP_031826097.1, XP_031826095.1, XP_031826093.1, XP_031826092.1, XP_031826094.1
OG0000006	XP_034191426.1, XP_034191425.1	XP_031829654.1
OG0000006	XP_034195020.1, XP_034171306.1, XP_034174016.1, XP_034173944.1	XP_031839362.1
OG0000007	XP_034196577.1, XP_034179608.1, XP_034196053.1, XP_034179620.1, XP_034191910.1, XP_034196442.1	XP_031838462.1, XP_031838489.1, XP_031838503.1, XP_031838476.1
OG0000008	XP_034174481.1, XP_034174489.1	XP_031836960.1, XP_031836959.1
OG0000008	XP_034183066.1	XP_031828119.1, XP_031828107.1
OG0000010	XP_034179226.1, XP_034179208.1, XP_034179214.1, XP_034179212.1, XP_034179508.1, XP_034179507.1, XP_034179211.1	XP_031847521.1, XP_031847522.1, XP_031847371.1, XP_031847370.1
OG0000011	XP_034186670.1, XP_034186666.1, XP_034186667.1, XP_034186658.1, XP_034186654.1, XP_034186665.1, XP_034186664.1, XP_034186663.1, XP_034186662.1, XP_034186661.1, XP_034186660.1, XP_034186659.1, XP_034186656.1, XP_034186655.1, XP_034186669.1	XP_031841395.1, XP_031841408.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841403.1, XP_031841402.1, XP_031841400.1, XP_031841399.1, XP_031841409.1, XP_031841396.1, XP_031841397.1, XP_031841398.1
OG0000012	XP_034186457.1, XP_034186455.1, XP_034186454.1, XP_034186459.1, XP_034186458.1, XP_034186462.1, XP_034186460.1, XP_034186461.1, XP_034186464.1, XP_034186463.1	XP_031826024.1, XP_031826006.1, XP_031825979.1, XP_031825989.1, XP_031825998.1, XP_031826014.1
OG0000014	XP_034172089.1, XP_034195019.1, XP_034171801.1, XP_034174017.1, XP_034173430.1	XP_031839376.1
OG0000014	XP_034172344.1, XP_034172482.1, XP_034173947.1, XP_034173516.1, XP_034173945.1	XP_031839490.1
OG0000015	XP_034178504.1, XP_034178505.1, XP_034178500.1, XP_034178499.1, XP_034178576.1, XP_034178578.1, XP_034178513.1, XP_034178575.1	XP_031827716.1
OG0000015	XP_034178503.1	XP_031827714.1, XP_031827713.1
OG0000016	XP_034190100.1	XP_031843734.1
OG0000018	XP_034187723.1, XP_034187722.1, XP_034187720.1, XP_034187719.1, XP_034187724.1	XP_031828712.1, XP_031828710.1, XP_031828711.1, XP_031828716.1, XP_031828715.1, XP_031828714.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828719.1, XP_031828720.1, XP_031828721.1, XP_031828713.1
OG0000019	XP_034195722.1, XP_034195724.1, XP_034195725.1, XP_034195721.1, XP_034195720.1, XP_034195717.1, XP_034195716.1, XP_034195719.1, XP_034195718.1, XP_034195715.1, XP_034195714.1	XP_031838643.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838635.1, XP_031838641.1, XP_031838642.1
OG0000020	XP_034179515.1, XP_034179497.1, XP_034179001.1, XP_034179112.1, XP_034179105.1, XP_034192240.1, XP_034179568.1, XP_034179326.1, XP_034179496.1, XP_034179104.1, XP_034179567.1, XP_034179107.1, XP_034179109.1, XP_034178945.1, XP_034179106.1, XP_034179327.1, XP_034178946.1	XP_031849056.1
OG0000022	XP_034190542.1, XP_034190549.1, XP_034190548.1, XP_034190550.1, XP_034190544.1, XP_034190547.1, XP_034190545.1, XP_034190543.1	XP_031830368.1
OG0000023	XP_034194812.1	XP_031836773.1, XP_031850304.1, XP_031848018.1, XP_031848014.1, XP_031848017.1
OG0000024	XP_034194909.1, XP_034187270.1, XP_034187269.1, XP_034187268.1, XP_034187271.1	XP_031829397.1, XP_031829398.1, XP_031829399.1
OG0000025	XP_034182854.1, XP_034182857.1, XP_034182852.1, XP_034182855.1, XP_034182851.1, XP_034182850.1, XP_034182856.1	XP_031846352.1
OG0000026	XP_034189435.1, XP_034189434.1, XP_034189436.1, XP_034189437.1, XP_034189438.1	XP_031830538.1, XP_031830540.1, XP_031830536.1, XP_031830537.1
OG0000027	XP_034176177.1, XP_034176176.1, XP_034176171.1, XP_034176175.1, XP_034176174.1, XP_034176173.1, XP_034176178.1, XP_034176172.1	XP_031848648.1, XP_031848647.1
OG0000028	XP_034171188.1, XP_034171191.1, XP_034171190.1, XP_034171189.1	XP_031850487.1, XP_031850488.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1
OG0000029	XP_034189051.1, XP_034189052.1	XP_031829219.1
OG0000030	XP_034174216.1, XP_034173942.1	XP_031834455.1
OG0000031	XP_034187152.1, XP_034187153.1, XP_034187150.1, XP_034187149.1, XP_034187151.1, XP_034187148.1	XP_031827527.1
OG0000032	XP_034188074.1, XP_034188075.1, XP_034188076.1	XP_031841904.1, XP_031841905.1, XP_031841906.1
OG0000033	XP_034180404.1, XP_034180403.1, XP_034180406.1, XP_034180402.1	XP_031837391.1, XP_031837392.1, XP_031837389.1, XP_031837388.1, XP_031837387.1, XP_031837386.1
OG0000034	XP_034176957.1, XP_034176958.1, XP_034176959.1, XP_034176953.1, XP_034176954.1, XP_034176955.1, XP_034176956.1	XP_031846647.1
OG0000035	XP_034193470.1, XP_034193472.1, XP_034193474.1, XP_034193475.1, XP_034193473.1, XP_034193476.1	XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1, XP_031842566.1, XP_031842564.1, XP_031842565.1, XP_031842567.1, XP_031842563.1, XP_031842562.1
OG0000036	XP_034186581.1, XP_034186577.1, XP_034186579.1, XP_034186578.1, XP_034186576.1, XP_034186580.1	XP_031841466.1, XP_031841465.1, XP_031841460.1, XP_031841461.1, XP_031841462.1, XP_031841463.1
OG0000037	XP_034172064.1	XP_031828389.1, XP_031828386.1, XP_031828385.1, XP_031828380.1, XP_031828378.1, XP_031828387.1, XP_031828388.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828379.1, XP_031828382.1, XP_031828383.1, XP_031828384.1, XP_031828373.1
OG0000038	XP_034190835.1, XP_034190836.1	XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827452.1, XP_031827413.1
OG0000038	XP_034176738.1, XP_034176739.1	XP_031831172.1, XP_031831171.1, XP_031831170.1
OG0000039	XP_034181405.1, XP_034181399.1, XP_034181401.1, XP_034181402.1, XP_034181400.1, XP_034181403.1	XP_031829822.1, XP_031829824.1, XP_031829823.1
OG0000040	XP_034184421.1	XP_031835069.1, XP_031835073.1, XP_031835072.1, XP_031835071.1, XP_031835076.1, XP_031835075.1, XP_031835074.1
OG0000041	XP_034194031.1	XP_031831007.1
OG0000041	XP_034195325.1	XP_031848981.1, XP_031848932.1
