Orthogroup	Osmia_bicornis	Eufriesea_mexicana
OG0000000	XP_029053837.1	XP_017765285.1
OG0000000	XP_029054992.1	XP_017763967.1
OG0000001	XP_029053628.1, XP_029053627.1, XP_029053850.1, XP_029054175.1	XP_017757759.1, XP_017757755.1, XP_017757765.1, XP_017757760.1
OG0000001	XP_029053698.1, XP_029053701.1, XP_029053700.1, XP_029053699.1, XP_029053704.1	XP_017757738.1, XP_017757780.1
OG0000001	XP_029053433.1, XP_029054094.1, XP_029053440.1, XP_029053439.1, XP_029048984.1, XP_029048981.1, XP_029048982.1, XP_029048983.1, XP_029053437.1, XP_029053438.1	XP_017757781.1
OG0000001	XP_029054161.1, XP_029052980.1, XP_029052981.1, XP_029052978.1, XP_029052979.1	XP_017757758.1, XP_017757757.1
OG0000001	XP_029053697.1	XP_017757799.1, XP_017757796.1, XP_017757795.1, XP_017757798.1, XP_017757797.1
OG0000001	XP_029053979.1, XP_029053981.1, XP_029053980.1, XP_029053978.1	XP_017757764.1
OG0000002	XP_029055229.1, XP_029054922.1, XP_029036971.1, XP_029055156.1, XP_029053759.1, XP_029054660.1, XP_029054427.1, XP_029054036.1, XP_029055048.1, XP_029054618.1, XP_029054741.1, XP_029052591.1, XP_029053451.1, XP_029054697.1, XP_029053867.1, XP_029054831.1, XP_029055253.1, XP_029055265.1, XP_029054700.1, XP_029052800.1, XP_029040939.1, XP_029054775.1, XP_029053461.1, XP_029054264.1	XP_017757739.1
OG0000002	XP_029038971.1	XP_017759155.1
OG0000003	XP_029053578.1	XP_017765118.1
OG0000003	XP_029055259.1	XP_017767748.1, XP_017755835.1, XP_017765323.1
OG0000003	XP_029054180.1	XP_017765117.1
OG0000004	XP_029049978.1	XP_017753407.1
OG0000004	XP_029049217.1, XP_029049232.1, XP_029049008.1	XP_017753408.1, XP_017753432.1, XP_017753409.1, XP_017753433.1, XP_017753435.1
OG0000005	XP_029052877.1, XP_029052851.1, XP_029052867.1, XP_029052866.1	XP_017754795.1, XP_017754776.1, XP_017754775.1, XP_017754778.1, XP_017754793.1, XP_017754773.1
OG0000006	XP_029037649.1, XP_029037650.1	XP_017760616.1
OG0000006	XP_029053957.1, XP_029053453.1, XP_029053452.1	XP_017754146.1
OG0000006	XP_029053372.1	XP_017760618.1
OG0000007	XP_029038274.1	XP_017758952.1, XP_017765356.1, XP_017765413.1, XP_017759157.1, XP_017760963.1, XP_017760962.1, XP_017760967.1, XP_017760966.1
OG0000008	XP_029032653.1, XP_029032654.1	XP_017765153.1, XP_017765151.1
OG0000008	XP_029053007.1	XP_017754630.1
OG0000008	XP_029038899.1	XP_017759619.1, XP_017759620.1
OG0000008	XP_029038902.1	XP_017759621.1
