Orthogroup	Drosophila_melanogaster	Habropoda_laboriosa
OG0000001	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1	XP_017793598.1, XP_017796836.1, XP_017796838.1, XP_017795399.1, XP_017796200.1, XP_017791301.1, XP_017795398.1, XP_017791778.1, XP_017791425.1
OG0000006	NP_523647.2, NP_523721.1	XP_017789424.1
OG0000008	NP_572981.1	XP_017797987.1
OG0000008	NP_651466.1	XP_017793615.1
OG0000008	NP_572978.1, NP_572977.1	XP_017797940.1
OG0000008	NP_001285251.1	XP_017797975.1
OG0000008	NP_001285249.1	XP_017797962.1
OG0000008	NP_572987.1	XP_017798022.1
OG0000009	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1	XP_017789192.1, XP_017794730.1, XP_017794617.1, XP_017794731.1, XP_017794737.1
OG0000011	NP_523520.2	XP_017795356.1, XP_017796295.1, XP_017796297.1, XP_017795355.1, XP_017795360.1, XP_017795358.1, XP_017795359.1, XP_017795357.1, XP_017796296.1, XP_017796294.1, XP_017796293.1
OG0000012	NP_611479.2, NP_001027441.1, NP_001097340.1	XP_017797597.1
OG0000012	NP_722915.1, NP_001285772.1	XP_017797590.1
OG0000012	NP_001036717.1	XP_017796583.1, XP_017796672.1
OG0000013	NP_001027298.1, NP_001027294.1, NP_001027338.1	XP_017799299.1
OG0000013	NP_001027358.1, NP_001027348.1, NP_001027343.1, NP_001027289.1, NP_001027285.1	XP_017795688.1
OG0000013	NP_001259374.1	XP_017797795.1, XP_017797793.1
OG0000017	NP_611325.2, NP_611326.1, NP_611327.1, NP_611328.1, NP_001286571.1, NP_611329.1, NP_725784.1, NP_001286570.1, NP_611323.1, NP_611324.1, NP_001246500.1, NP_001286575.1, NP_001188889.1	XP_017788278.1
OG0000017	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1	XP_017795363.1, XP_017795361.1
OG0000018	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1	XP_017793008.1
OG0000018	NP_001247286.1	XP_017793336.1, XP_017796703.1
OG0000019	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1	XP_017788514.1
OG0000020	NP_723103.1	XP_017791573.1
OG0000020	NP_001097100.1, NP_001188701.2	XP_017790081.1, XP_017792589.1
OG0000020	NP_723828.1	XP_017791574.1
OG0000020	NP_001137799.1, NP_723441.2	XP_017794423.1
OG0000020	NP_001097508.2	XP_017798982.1
OG0000020	NP_651649.1	XP_017793275.1
OG0000020	NP_001138225.1	XP_017795013.1
OG0000020	NP_001259218.1	XP_017794610.1
OG0000021	NP_648539.1	XP_017798657.1
OG0000021	NP_001263113.1, NP_651812.1, NP_001189282.1	XP_017790276.1
OG0000021	NP_611262.1, NP_651761.2	XP_017787416.1, XP_017790325.1
OG0000022	NP_001027366.1, NP_001027371.1, NP_001027376.1	XP_017798138.1
OG0000026	NP_729591.1, NP_001287018.1	XP_017799538.1
OG0000026	NP_001014616.2	XP_017790381.1
OG0000026	NP_001287332.1	XP_017797652.1
OG0000026	NP_001163838.2	XP_017792231.1
OG0000026	NP_001285239.1	XP_017795812.1, XP_017789050.1
OG0000027	NP_001027322.1, NP_724344.1, NP_001027312.1, NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1, NP_001027317.1, NP_001027337.1	XP_017799307.1
OG0000029	NP_647872.1, NP_650813.2	XP_017792656.1, XP_017792675.1
OG0000029	NP_647875.1, NP_647873.2	XP_017792700.1
OG0000032	NP_609175.2	XP_017791965.1
OG0000032	NP_001285067.1	XP_017797625.1
OG0000032	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1	XP_017793574.1, XP_017790226.1
OG0000035	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2	XP_017797282.1
OG0000035	NP_001261394.1, NP_001287111.1, NP_001246079.1, NP_001036565.1, NP_001286734.1, NP_611563.1, NP_001097859.4, NP_651153.1, NP_651152.1, NP_651154.1, NP_001262470.1, NP_652619.1, NP_524313.2, NP_652623.2, NP_652622.3, NP_651866.1, NP_524314.2, NP_001097744.1, NP_652625.2, NP_652626.1, NP_001287281.1	XP_017793793.1, XP_017793792.1
OG0000037	NP_001137869.1, NP_648209.1, NP_001262052.1, NP_001261293.1, NP_001097547.1, NP_649120.1, NP_649121.1	XP_017798855.1
OG0000038	NP_476772.1, NP_524264.1	XP_017789191.1, XP_017795058.1
OG0000038	NP_650674.1	XP_017791877.1
OG0000040	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1	XP_017797294.1, XP_017797297.1, XP_017797034.1, XP_017789776.1
OG0000041	NP_001014725.1	XP_017795667.1, XP_017795668.1
OG0000041	NP_001262200.1	XP_017796749.1
OG0000041	NP_477037.2	XP_017798373.1
OG0000042	NP_731781.1	XP_017797246.1
OG0000042	NP_651966.2, NP_650201.1, NP_652731.1	XP_017797230.1
OG0000043	NP_001286870.1	XP_017797621.1
OG0000043	NP_524121.2	XP_017793789.1
OG0000044	NP_732652.1, NP_001303538.1, NP_650979.1	XP_017792515.1, XP_017792514.1
OG0000044	NP_651674.3	XP_017792527.1, XP_017792526.1
OG0000045	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2	XP_017797443.1, XP_017797444.1
OG0000046	NP_001285139.1	XP_017789468.1
OG0000046	NP_001262586.1	XP_017790988.1, XP_017792943.1
OG0000046	NP_524063.1	XP_017788243.1
OG0000050	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1	XP_017787690.1
OG0000052	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2	XP_017790871.1, XP_017790994.1
OG0000052	NP_652665.3, NP_609664.1, NP_620115.2	XP_017798778.1
OG0000052	NP_725600.1	XP_017793145.1
OG0000054	NP_477282.2, NP_729146.1, NP_729147.1	XP_017797389.1, XP_017797390.1
OG0000055	NP_001284925.1	XP_017799533.1
OG0000055	NP_650904.3	XP_017789854.1
OG0000055	NP_609815.1	XP_017787951.1, XP_017787952.1
OG0000055	NP_001246914.1	XP_017791354.1
OG0000056	NP_001369131.1	XP_017795795.1, XP_017792816.1
OG0000056	NP_647937.2	XP_017792926.1
OG0000056	NP_995958.2	XP_017792979.1
OG0000057	NP_524290.2	XP_017798766.1, XP_017798094.1
OG0000057	NP_523842.2	XP_017798097.1
OG0000057	NP_729172.1	XP_017798098.1
OG0000060	NP_650848.1	XP_017787543.1
OG0000060	NP_001163168.1	XP_017792478.1
