Orthogroup	Nomia_melanderi	Solenopsis_invicta
OG0000000	XP_031836982.1, XP_031836767.1	XP_011171895.1, XP_025997771.2, XP_039314220.1, XP_039312430.1, XP_011170871.3, XP_039310450.1, XP_011175024.3
OG0000000	XP_031848769.1	XP_011165769.1
OG0000001	XP_031834821.1	XP_039312729.1, XP_011170312.2, XP_039312609.1, XP_039312344.1, XP_039312343.1, XP_039312342.1, XP_039312341.1, XP_039312340.1, XP_039312352.1, XP_039312733.1, XP_039312720.1, XP_039312719.1, XP_039312723.1, XP_039312861.1, XP_039312722.1, XP_011165642.3, XP_039306285.1, XP_039312730.1, XP_039312734.1, XP_039301776.1, XP_025997129.2, XP_039306128.1, XP_011164151.3, XP_039312726.1, XP_039312725.1, XP_039312353.1
OG0000001	XP_031826095.1, XP_031826094.1, XP_031826097.1, XP_031826099.1, XP_031826098.1, XP_031826091.1, XP_031826092.1, XP_031826093.1, XP_031842466.1, XP_031836145.1, XP_031836144.1	XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2
OG0000001	XP_031828824.1	XP_011164185.1
OG0000001	XP_031840935.1	XP_011164532.2, XP_011164534.2
OG0000001	XP_031848708.1, XP_031848953.1, XP_031848952.1	XP_011162032.2, XP_039315612.1
OG0000002	XP_031834615.1, XP_031834770.1	XP_011175322.2, XP_011158991.3
OG0000002	XP_031834897.1, XP_031834893.1, XP_031834896.1, XP_031834895.1, XP_031834894.1	XP_039304861.1, XP_025986698.2, XP_025986687.1, XP_025986681.1
OG0000002	XP_031834534.1, XP_031834533.1, XP_031834884.1, XP_031834882.1, XP_031834883.1, XP_031834885.1, XP_031834538.1, XP_031834879.1, XP_031834881.1, XP_031834536.1, XP_031834824.1, XP_031834886.1	XP_011159024.2
OG0000002	XP_031834878.1	XP_011159023.1, XP_039305194.1
OG0000002	XP_031834537.1, XP_031834872.1, XP_031834871.1, XP_031834873.1	XP_039304870.1, XP_011159010.2, XP_011158761.2, XP_039304864.1
OG0000002	XP_031834876.1, XP_031834875.1, XP_031834877.1	XP_025986690.1, XP_011159014.1, XP_011159015.1, XP_011159011.2, XP_025986684.1
OG0000002	XP_031834874.1	XP_025986692.1, XP_025986695.2, XP_025986775.1, XP_039304878.1
OG0000003	XP_031844104.1	XP_011163878.2, XP_011162376.2, XP_011171732.2
OG0000005	XP_031836533.1, XP_031848459.1	XP_025990901.2
OG0000006	XP_031827661.1	XP_025989821.2
OG0000006	XP_031827716.1	XP_039307826.1, XP_025989709.2, XP_039302413.1, XP_039302410.1, XP_025989687.2, XP_011164849.2, XP_011164848.3, XP_025994613.2, XP_039309023.1, XP_039308762.1, XP_025994617.2, XP_039309001.1, XP_011163479.2, XP_039309032.1, XP_039308749.1, XP_039309026.1, XP_039309013.1, XP_039309018.1, XP_039309027.1, XP_039309014.1, XP_039309007.1, XP_039309030.1, XP_039309029.1, XP_025994615.2, XP_039308995.1
OG0000006	XP_031827664.1	XP_039309031.1, XP_039309020.1, XP_039308763.1
OG0000006	XP_031847963.1, XP_031847958.1, XP_031847960.1	XP_011171479.2, XP_039306260.1
OG0000008	XP_031838197.1	XP_011158384.1, XP_039305295.1, XP_039307163.1
OG0000008	XP_031845812.1	XP_039314393.1, XP_039314392.1, XP_025990966.2
OG0000008	XP_031838187.1	XP_039314890.1, XP_025990736.1, XP_039314253.1, XP_039314743.1, XP_025990780.1, XP_011174114.2, XP_011157509.1, XP_011161144.1, XP_011158387.1
OG0000008	XP_031838213.1	XP_039305326.1, XP_039305325.1, XP_039305297.1
OG0000008	XP_031838205.1	XP_011158386.1, XP_039305296.1
OG0000008	XP_031838211.1	XP_039305528.1
OG0000009	XP_031837183.1	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1
OG0000009	XP_031839007.1	XP_011175447.1, XP_039310444.1, XP_039310445.1, XP_039313457.1, XP_039315616.1, XP_039301753.1, XP_011175446.1, XP_011175444.1, XP_011168514.1, XP_011175440.1, XP_011175442.1, XP_011175441.1, XP_039310443.1
OG0000009	XP_031848283.1, XP_031848703.1, XP_031848282.1, XP_031847205.1, XP_031848281.1, XP_031848280.1, XP_031837098.1, XP_031848136.1, XP_031842170.1	XP_011172780.1, XP_011160035.1
OG0000010	XP_031836981.1	XP_039313808.1, XP_039309913.1, XP_039312408.1
OG0000010	XP_031831047.1, XP_031848973.1, XP_031848770.1, XP_031848469.1, XP_031848731.1	XP_039302116.1
OG0000010	XP_031847715.1	XP_011170473.1, XP_011166544.1
OG0000010	XP_031848783.1	XP_039312409.1, XP_011163118.1
OG0000011	XP_031838228.1	XP_011169700.2
OG0000012	XP_031845723.1	XP_011157834.1
OG0000012	XP_031836558.1	XP_011167036.2
OG0000012	XP_031836638.1	XP_011166798.2, XP_039314082.1
OG0000012	XP_031842731.1	XP_025991007.1
OG0000013	XP_031839304.1	XP_011165753.2
OG0000013	XP_031829654.1	XP_011158467.1, XP_011158466.1, XP_039315701.1, XP_011158471.1, XP_011158469.1
OG0000014	XP_031839329.1	XP_011156264.2
OG0000014	XP_031848785.1, XP_031848784.1, XP_031839374.1, XP_031839487.1	XP_011163196.1
OG0000018	XP_031838689.1, XP_031838690.1, XP_031838691.1, XP_031838692.1	XP_011164408.2, XP_039302267.1, XP_025988897.1, XP_025988898.1, XP_011164281.1, XP_025988901.1
OG0000018	XP_031835584.1	XP_011168181.2, XP_011168177.2
OG0000018	XP_031835583.1	XP_039312480.1, XP_039312479.1
OG0000019	XP_031838473.1, XP_031838474.1, XP_031838475.1	XP_025990211.2
OG0000019	XP_031830114.1	XP_025995191.1, XP_039305114.1, XP_039305111.1, XP_039305113.1, XP_039305526.1, XP_025995621.1, XP_011155911.3, XP_039305205.1, XP_039305125.1, XP_011176163.1
OG0000019	XP_031838060.1	XP_011155421.1, XP_025990075.1, XP_039308626.1
OG0000020	XP_031839751.1	XP_025986429.1
OG0000020	XP_031845392.1	XP_011159576.2
OG0000020	XP_031845236.1	XP_025986409.1
OG0000020	XP_031828635.1	XP_025987337.1
OG0000020	XP_031837242.1, XP_031837243.1	XP_011157847.1
OG0000021	XP_031837236.1	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1
OG0000021	XP_031838575.1	XP_011159438.1
OG0000022	XP_031833191.1	XP_011163652.1
OG0000022	XP_031839488.1, XP_031838234.1, XP_031839319.1	XP_011166335.1
OG0000024	XP_031849116.1, XP_031849133.1, XP_031849117.1	XP_025992331.1
OG0000024	XP_031825693.1, XP_031825694.1	XP_025991932.1
OG0000024	XP_031825741.1	XP_025991934.1
OG0000025	XP_031834418.1	XP_039305170.1
OG0000026	XP_031843508.1	XP_039304799.1
OG0000026	XP_031834026.1	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1
OG0000028	XP_031836770.1	XP_011171790.2, XP_011166516.2, XP_025992254.2, XP_025990428.2
OG0000029	XP_031829744.1, XP_031829801.1	XP_011175277.3
