Orthogroup	Megachile_rotundata	Apis_mellifera
OG0000001	XP_012153916.1, XP_012153915.1	XP_624795.3, XP_026302253.1, XP_016772837.1
OG0000001	XP_003704416.1, XP_012143065.1, XP_012143066.1, XP_003704415.1, XP_003704279.1, XP_012143067.1	NP_001352128.1
OG0000001	XP_003704414.1	XP_006565062.2, XP_397347.4
OG0000001	XP_012143073.1	XP_016771320.1
OG0000001	XP_003704278.1, XP_012143061.1, XP_003704412.1	XP_026300535.1, XP_395671.3
OG0000001	XP_003703200.1	XP_026296210.1
OG0000001	XP_003699913.1	XP_006564499.3
OG0000001	XP_003701310.1, XP_003701343.1, XP_012136078.1, XP_012136077.1, XP_003701345.1, XP_012136079.1	NP_001191991.1, XP_016770827.2
OG0000002	XP_003700910.2	NP_001229891.1, NP_001229890.1, NP_001229892.1, NP_001229889.1, XP_006565945.1, XP_016773520.1, XP_016773523.1, NP_001229894.1, XP_026302135.1, NP_001229893.1, XP_026302134.1, NP_001229888.1, XP_006565941.2, XP_006565943.1, NP_001229887.1, XP_003250767.2, XP_026294956.1
OG0000002	XP_003700909.2	XP_003250769.3, XP_026294905.1, XP_026294912.1
OG0000002	XP_003700936.1, XP_003700935.1	XP_006565883.2, NP_001229910.1, XP_026294765.1, NP_001229909.1, XP_006572517.1, NP_001229911.1, XP_016773537.1, XP_016773528.1, XP_016773529.1, XP_006565970.2
OG0000002	XP_003700845.1, XP_003700846.1, XP_003700844.1	NP_001229907.1, NP_001229906.1
OG0000002	XP_003700934.1	NP_001229905.1, XP_026302143.1
OG0000002	XP_003700932.1, XP_003700933.2	NP_001229900.1
OG0000002	XP_003700913.1, XP_003700912.1, XP_012135096.1, XP_003700836.1, XP_003700837.1	XP_016773538.1, XP_003250765.1
OG0000002	XP_003700911.2	XP_006565947.2
OG0000002	XP_003700914.1, XP_012135238.1, XP_012135239.1, XP_012135236.1, XP_003700918.2	NP_001229896.1, XP_016773454.2, XP_006565887.1, NP_001229899.1
OG0000002	XP_003700843.1, XP_003700842.2	XP_026294907.1, XP_026294903.1, XP_016773531.1, XP_016773532.1, XP_001121864.2, NP_001229904.1, XP_026302131.1, XP_006565964.1, XP_026294957.1, XP_016773539.1, NP_001229902.1, XP_003250750.1, XP_003250751.1, XP_006565958.1, XP_016773535.1, XP_006565962.1, XP_026294766.1, XP_003250754.2, XP_016773534.1, XP_006565886.1, NP_001229901.1, XP_006565953.2
OG0000002	XP_012135240.1	NP_001229897.1
OG0000005	XP_012141791.1	XP_006558866.1, XP_016768598.1
OG0000005	XP_012141417.1, XP_012142409.1, XP_012140925.1, XP_012154410.1, XP_012154409.1, XP_012139976.1, XP_012134537.1, XP_012146667.1, XP_012147629.1, XP_012136356.1, XP_012148507.1, XP_012144558.1, XP_012151876.1, XP_012148419.1, XP_012134947.1, XP_012139414.1, XP_012143327.1, XP_012139081.1, XP_012146357.1, XP_012151027.1, XP_012150520.1, XP_012152029.1, XP_012150440.1, XP_012146064.1, XP_012150438.1, XP_012150439.1, XP_012150437.1, XP_012145934.1, XP_012139970.1, XP_012150985.1, XP_012152158.1, XP_012142570.1, XP_012148727.1, XP_012151833.1, XP_012151897.1, XP_012151889.1, XP_012152114.1, XP_012147245.1	XP_016771095.2
OG0000006	XP_012143123.1	XP_016771362.2
OG0000006	XP_012143129.1	XP_016771361.2
OG0000006	XP_012142988.1	XP_026300644.1, XP_026300643.1
OG0000006	XP_003707057.2, XP_012149242.1	XP_003250826.2
OG0000008	XP_003705710.1	XP_006565046.2
OG0000008	XP_003705708.1	XP_026301320.1
OG0000008	XP_012141335.1	XP_396549.3
OG0000008	XP_003705713.2	XP_394219.3
OG0000008	XP_003705712.1	XP_003250567.1
OG0000008	XP_003705707.1	XP_016769477.1
OG0000009	XP_012145771.1, XP_012145774.1	XP_006562365.2
OG0000011	XP_003704160.1, XP_003704145.1	XP_026300224.1, XP_026300227.1
OG0000011	XP_003704159.1	XP_026300228.1
OG0000011	XP_012152696.1, XP_012152697.1	XP_001120948.1, XP_003249278.2
OG0000011	XP_012142616.1, XP_012142615.1, XP_012142614.1	XP_016771075.1, XP_003249229.1
OG0000011	XP_003704157.1, XP_003704158.1	XP_006558389.2, XP_003249267.2, XP_003249268.2, XP_026300226.1, XP_026300229.1, XP_026300225.1
OG0000012	XP_012141586.1	XP_026298215.1
