Orthogroup	Vespa_mandarinia	Drosophila_melanogaster
OG0000001	XP_035732647.1, XP_035732646.1, XP_035732645.1, XP_035732533.1, XP_035732420.1, XP_035726105.1, XP_035737410.1, XP_035737418.1, XP_035737424.1, XP_035734021.1, XP_035734020.1, XP_035734019.1, XP_035738421.1, XP_035741324.1	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1
OG0000006	XP_035732062.1	NP_995793.1, NP_524078.2, NP_524455.1, NP_524456.1
OG0000006	XP_035740898.1	NP_523647.2, NP_523721.1
OG0000008	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1	NP_572981.1
OG0000008	XP_035736007.1	NP_001285251.1
OG0000008	XP_035736200.1, XP_035736201.1, XP_035736202.1	NP_001285249.1
OG0000008	XP_035739950.1, XP_035739951.1, XP_035739948.1	NP_572987.1
OG0000009	XP_035722243.1, XP_035733996.1, XP_035722232.1, XP_035722233.1, XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1
OG0000011	XP_035728386.1, XP_035728332.1, XP_035728388.1, XP_035728331.1, XP_035728389.1	NP_523520.2
OG0000012	XP_035733658.1	NP_729270.1, NP_729271.1, NP_648134.1
OG0000012	XP_035729179.1	NP_611479.2, NP_001027441.1, NP_001097340.1
OG0000012	XP_035731128.1, XP_035731058.1, XP_035731059.1	NP_001036717.1
OG0000013	XP_035732971.1	NP_001027338.1
OG0000013	XP_035725915.1	NP_001027353.1, NP_001027358.1, NP_001027348.1, NP_001027343.1, NP_001027289.1, NP_001027285.1, NP_001027333.1
OG0000013	XP_035732326.1, XP_035732327.1, XP_035732323.1, XP_035732322.1, XP_035732328.1	NP_001259374.1
OG0000017	XP_035722701.1	NP_611325.2, NP_611326.1, NP_611327.1, NP_611328.1, NP_001286571.1, NP_611329.1, NP_725784.1, NP_001286570.1, NP_611323.1, NP_611324.1, NP_001246500.1, NP_001286575.1, NP_001188889.1
OG0000017	XP_035728385.1	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1
OG0000018	XP_035730877.1	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1
OG0000018	XP_035718148.1, XP_035735080.1	NP_001247286.1
OG0000019	XP_035726985.1	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1
OG0000020	XP_035723591.1	NP_723103.1
OG0000020	XP_035725275.1	NP_001097100.1, NP_001188701.2
OG0000020	XP_035728836.1	NP_001137799.1, NP_723441.2
OG0000020	XP_035730287.1, XP_035730285.1, XP_035730286.1, XP_035730288.1, XP_035730289.1	NP_651649.1
OG0000021	XP_035729141.1	NP_648539.1
OG0000021	XP_035723530.1	NP_001263113.1, NP_651812.1, NP_001189282.1
OG0000021	XP_035723165.1, XP_035723164.1	NP_611262.1, NP_651761.2
OG0000021	XP_035743843.1, XP_035743842.1	NP_650482.1, NP_732032.1
OG0000022	XP_035721830.1	NP_001027366.1, NP_001027371.1, NP_001027376.1
OG0000022	XP_035735255.1	NP_001027336.1, NP_001027346.1, NP_001027356.1, NP_001027361.1, NP_001027331.1, NP_001027351.1, NP_001027292.1, NP_001027326.1, NP_001027381.1, NP_001027321.1, NP_001027316.1, NP_001027386.1, NP_724343.1, NP_001027306.1, NP_001027311.1, NP_001027301.1, NP_001027341.1
OG0000024	XP_035720575.1, XP_035720354.1, XP_035720356.1, XP_035720355.1, XP_035720353.1	NP_001287440.1, NP_572746.1, NP_788887.1, NP_001036311.2, NP_001036313.1, NP_572695.2, NP_648664.2, NP_608991.2, NP_001262831.1
OG0000026	XP_035728457.1	NP_729591.1, NP_001287018.1
OG0000026	XP_035718093.1, XP_035718094.1	NP_001014616.2
OG0000027	XP_035725930.1	NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1
