ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114880101"	NA	chrOU015519.1	-	8161944	8162274	8162162	8162274	8161702	8161819	0	3,5,6,3	0,0,2,2	2,11,6,9	0,0,0,0	317	99	0.177236652391	1.0	1.0,1.0,0.484,0.319	1.0,1.0,1.0,1.0	-0.299
2	"LOC114872160"	NA	chrOU015519.1	-	7968196	7968639	7968469	7968639	7967782	7968031	2	4,1,4,14	0,1,0,0	0,5,6,10	0,0,0,0	372	99	1	1.0	1.0,0.21,1.0,1.0	NA,1.0,1.0,1.0	-0.198
4	"LOC114872190"	NA	chrOU015519.1	-	7781846	7782062	7781960	7782062	7781572	7781767	4	52,22,18,29	35,11,16,25	17,14,23,20	13,19,16,25	213	99	0.200754971217	1.0	0.408,0.482,0.343,0.35	0.378,0.255,0.401,0.271	0.069
5	"LOC114872233"	NA	chrOU015519.1	+	7676847	7678029	7676847	7677573	7678109	7679021	5	14,11,8,8	0,1,0,0	10,10,18,14	1,0,0,2	555	99	1	1.0	1.0,0.662,1.0,1.0	0.641,1.0,1.0,0.555	0.116
6	"LOC114879960"	NA	chrOU015519.1	-	6701510	6701919	6701545	6701919	6701139	6701271	6	3,4,1,6	0,0,0,0	3,1,0,2	1,3,0,0	134	99	1	1.0	1.0,1.0,1.0,1.0	0.689,0.198,NA,1.0	0.371
7	"LOC114880459"	NA	chrOU015519.1	-	6286214	6286473	6286307	6286473	6285912	6286068	7	57,28,28,51	3,3,3,4	33,49,54,49	6,7,2,5	192	99	0.377948022572	1.0	0.907,0.828,0.828,0.868	0.739,0.783,0.933,0.835	0.035
8	"LOC114880458"	NA	chrOU015519.1	-	6269529	6269691	6269547	6269691	6268739	6269458	8	119,60,69,75	82,47,36,45	50,58,63,61	35,31,44,45	117	99	0.857054569385	1.0	0.551,0.519,0.619,0.585	0.547,0.613,0.548,0.534	0.008
9	"LOC114876703"	NA	chrOU015519.1	-	6022709	6022855	6022727	6022855	6021613	6021747	9	2,5,3,4	1,4,5,1	1,5,4,2	1,1,7,4	117	99	0.580083104479	1.0	0.629,0.514,0.337,0.772	0.458,0.809,0.326,0.297	0.09
10	"LOC114876703"	NA	chrOU015519.1	-	6022709	6022855	6022727	6022855	6022042	6022090	10	2,6,3,4	13,11,12,15	1,5,4,4	6,7,7,19	117	99	0.698080089539	1.0	0.115,0.316,0.175,0.184	0.124,0.377,0.326,0.151	-0.047
11	"LOC114876663"	NA	chrOU015519.1	-	5900124	5900443	5900193	5900443	5899825	5900008	11	1,3,1,0	2,0,0,4	1,1,2,5	1,0,0,2	168	99	0.0252220907891	0.467537914522159	0.228,1.0,1.0,0.0	0.371,1.0,1.0,0.596	-0.185
12	"LOC114876663"	NA	chrOU015519.1	-	5900707	5901632	5900833	5901632	5899825	5900008	12	32,9,18,24	10,11,1,6	15,23,15,42	7,3,3,12	225	99	0.666787550261	1.0	0.585,0.265,0.888,0.638	0.485,0.771,0.688,0.606	-0.043
13	"LOC114871527"	NA	chrOU015519.1	-	5477917	5478443	5478022	5478443	5477139	5477802	13	73,35,38,51	0,1,1,1	43,27,30,71	0,0,0,2	204	99	1	1.0	1.0,0.944,0.949,0.961	1.0,1.0,1.0,0.945	-0.023
14	"LOC114871529"	NA	chrOU015519.1	+	5447418	5447680	5447418	5447533	5448185	5449081	14	3,0,0,3	6,8,3,4	8,0,3,4	3,7,2,5	246	99	0.0217744128711	0.43566847686465504	0.168,0.0,0.0,0.232	0.518,0.0,0.376,0.244	-0.184
15	"LOC114871522"	NA	chrOU015519.1	+	4784506	4785814	4784506	4785775	4824129	4824318	15	5,6,4,1	1,2,0,0	2,2,1,2	1,0,0,0	138	99	1	1.0	0.782,0.683,1.0,1.0	0.589,1.0,1.0,1.0	-0.031
16	"LOC114871549"	NA	chrOU015519.1	-	4633324	4633639	4633402	4633639	4632966	4633049	16	40,19,19,33	1,0,0,0	25,17,29,18	0,0,0,0	177	99	1	1.0	0.957,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.011
17	"LOC114871526"	NA	chrOU015519.1	-	4594291	4594444	4594298	4594444	4593369	4594203	17	2,0,0,0	2,2,3,1	0,0,0,0	0,1,1,0	106	99	1	1.0	0.483,0.0,0.0,0.0	NA,0.0,0.0,NA	0.121
18	"LOC114871490"	NA	chrOU015519.1	-	4403214	4403393	4403239	4403393	4402800	4403147	18	25,18,24,14	1,1,3,0	14,11,12,19	3,1,2,0	124	99	0.510231464906	1.0	0.952,0.935,0.865,1.0	0.788,0.898,0.827,1.0	0.06
19	"LOC114879061"	NA	chrOU015519.1	+	4146157	4146365	4146157	4146344	4147004	4147205	19	2,2,2,2	10,4,7,8	0,0,0,2	0,3,5,4	120	99	1	1.0	0.142,0.292,0.191,0.171	NA,0.0,0.0,0.292	0.102
20	"LOC114879042"	NA	chrOU015519.1	-	3951361	3951496	3951368	3951496	3948738	3948858	20	1,0,1,0	28,8,18,7	0,0,1,1	1,7,13,8	106	99	1	1.0	0.032,0.0,0.049,0.0	0.0,0.0,0.067,0.105	-0.023
21	"LOC114879042"	NA	chrOU015519.1	-	3951767	3952323	3951877	3952323	3951368	3951496	21	12,2,3,7	19,10,10,7	0,1,9,5	1,1,12,1	209	99	0.577717354653	1.0	0.23,0.087,0.124,0.321	0.0,0.321,0.262,0.703	-0.131
22	"LOC114880250"	NA	chrOU015519.1	+	3811186	3811416	3811186	3811405	3818516	3818982	22	0,1,2,3	4,0,1,1	1,1,0,0	1,0,0,1	110	99	1	1.0	0.0,1.0,0.643,0.73	0.474,1.0,NA,0.0	0.102
23	"LOC114880249"	NA	chrOU015519.1	-	3748935	3749280	3749004	3749280	3748377	3748564	23	11,6,1,7	3,2,0,1	5,4,6,2	6,2,4,4	168	99	0.0050364259208	0.21773677369848513	0.684,0.639,1.0,0.805	0.329,0.541,0.469,0.228	0.39
24	"LOC114877992"	NA	chrOU015519.1	-	3691555	3692381	3691781	3692381	3690482	3691463	24	48,27,23,25	1,1,0,0	39,29,22,27	0,0,1,0	325	99	1	1.0	0.936,0.892,1.0,1.0	1.0,1.0,0.87,1.0	-0.01
25	"LOC114877993"	NA	chrOU015519.1	+	3672161	3672640	3672161	3672630	3672707	3673702	25	16,13,7,12	2,2,2,4	11,6,4,12	4,3,2,6	109	99	0.0656898268121	0.735387823961564	0.879,0.855,0.761,0.732	0.714,0.645,0.645,0.645	0.145
26	"LOC114880466"	NA	chrOU015519.1	+	6215038	6215245	6215038	6215239	6215417	6215823	26	17,21,8,10	4,4,0,2	11,4,6,12	3,4,3,0	105	99	0.365109989941	1.0	0.8,0.832,1.0,0.825	0.776,0.485,0.653,1.0	0.136
27	"LOC114880466"	NA	chrOU015519.1	+	6215038	6215245	6215038	6215239	6215420	6215823	27	11,9,8,9	3,2,1,1	0,2,3,5	1,1,1,0	105	99	0.088071101731	0.789001595232865	0.776,0.809,0.883,0.895	0.0,0.653,0.739,1.0	0.243
28	"LOC114878004"	NA	chrOU015519.1	+	3439060	3439314	3439060	3439217	3439517	3439603	28	6,4,5,3	0,2,0,0	1,3,1,0	0,1,1,3	196	99	0.000219604930545	0.022748487217043825	1.0,0.503,1.0,1.0	1.0,0.602,0.336,0.0	0.391
29	"LOC114878004"	NA	chrOU015519.1	+	3439060	3439314	3439060	3439217	3439874	3440449	29	7,5,6,3	1,0,3,1	2,3,1,2	0,0,1,0	196	99	0.0516442359031	0.6542841685277633	0.78,1.0,0.503,0.602	1.0,1.0,0.336,1.0	-0.113
30	"LOC114879766"	NA	chrOU015519.1	-	3177471	3177709	3177477	3177709	3177082	3177235	30	2,1,3,1	22,22,12,7	1,0,0,1	5,11,9,11	105	99	0.0356085805932	0.5503948798908548	0.079,0.041,0.191,0.119	0.159,0.0,0.0,0.079	0.048
32	"LOC114879763"	NA	chrOU015519.1	-	3154596	3154747	3154600	3154747	3153042	3154033	32	1,1,2,1	138,74,79,117	1,2,1,3	79,91,88,108	103	99	0.649757924342	1.0	0.007,0.013,0.024,0.008	0.012,0.021,0.011,0.026	-0.004
33	"LOC114879755"	NA	chrOU015519.1	-	3149317	3149493	3149325	3149493	3149123	3149231	33	0,1,0,1	1,1,3,2	0,0,1,0	0,2,1,1	107	99	1	1.0	0.0,0.481,0.0,0.316	NA,0.0,0.481,0.0	0.039
34	"LOC114877868"	NA	chrOU015519.1	-	3022225	3022995	3022234	3022995	3021911	3022146	34	6,3,1,2	75,31,31,40	3,2,2,4	35,47,23,45	108	99	0.940495726482	1.0	0.068,0.081,0.029,0.044	0.073,0.038,0.074,0.075	-0.009
35	"LOC114877844"	NA	chrOU015519.1	+	2977588	2977927	2977588	2977775	2978013	2978400	35	42,19,21,36	2,0,1,0	26,27,13,39	1,0,0,0	251	99	1	1.0	0.892,1.0,0.892,1.0	0.911,1.0,1.0,1.0	-0.032
37	"LOC114877854"	NA	chrOU015519.1	+	2922810	2923007	2922810	2922875	2923416	2923539	37	25,8,7,19	2,0,1,0	11,8,9,21	1,0,0,1	231	99	1	1.0	0.843,1.0,0.75,1.0	0.825,1.0,1.0,0.9	-0.033
38	"LOC114877851"	NA	chrOU015519.1	-	2906519	2906694	2906528	2906694	2905434	2905670	38	48,28,32,30	22,13,12,13	28,21,25,39	14,15,8,15	108	99	0.848765487252	1.0	0.667,0.664,0.71,0.679	0.647,0.562,0.741,0.704	0.016
39	"LOC114879732"	NA	chrOU015519.1	-	2540579	2540837	2540615	2540837	2540077	2540399	39	5,0,2,3	0,0,0,1	4,0,0,8	2,1,0,0	135	99	1	1.0	1.0,NA,1.0,0.688	0.595,0.0,NA,1.0	0.364
40	"LOC114879509"	NA	chrOU015519.1	-	2153044	2153210	2153066	2153210	2151844	2151919	40	1,0,1,3	1,1,1,2	0,0,1,0	1,0,1,2	121	99	1	1.0	0.45,0.0,0.45,0.551	0.0,NA,0.45,0.0	0.213
41	"LOC114879509"	NA	chrOU015519.1	-	2153044	2153210	2153070	2153210	2151844	2151919	41	1,0,1,3	0,1,0,0	0,0,1,0	0,0,1,0	125	99	1	1.0	1.0,0.0,1.0,1.0	NA,NA,0.442,NA	0.308
42	"LOC114879509"	NA	chrOU015519.1	-	2153066	2153210	2153070	2153210	2151844	2151919	42	1,1,1,2	0,1,0,0	1,0,1,2	0,0,1,0	103	99	1	1.0	1.0,0.49,1.0,1.0	1.0,NA,0.49,1.0	0.042
43	"LOC114880226"	NA	chrOU015519.1	-	1926710	1927072	1926925	1927072	1924902	1925046	43	36,24,33,44	0,0,0,2	22,29,25,21	0,0,0,0	314	99	1	1.0	1.0,1.0,1.0,0.874	1.0,1.0,1.0,1.0	-0.031
45	"LOC114880807"	NA	chrOU015518.1	+	8738502	8738990	8738502	8738755	8739229	8739759	45	35,21,20,38	0,0,2,0	21,38,16,28	0,1,0,0	334	99	1	1.0	1.0,1.0,0.748,1.0	1.0,0.918,1.0,1.0	-0.042
46	"LOC114880809"	NA	chrOU015518.1	-	8734438	8734927	8734445	8734927	8734185	8734350	46	6,2,7,8	51,17,25,24	1,3,2,1	25,33,21,39	106	99	0.000820487967255	0.06020330459733563	0.099,0.099,0.207,0.237	0.036,0.078,0.082,0.023	0.106
