GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005515	protein binding	152	34	29.31	0.0061	0.0061	0.0854	0.0854
GO:0098772	molecular function regulator	50	11	9.64	0.3415	0.3415	1	0.8035999999999999
GO:0046872	metal ion binding	52	13	10.03	0.3502	0.3502	1	0.8035999999999999
GO:0005488	binding	192	38	37.02	0.3890	0.2345	1	0.8035999999999999
GO:0003676	nucleic acid binding	50	11	9.64	0.4803	0.4803	1	0.8035999999999999
GO:0043168	anion binding	55	7	10.61	0.4886	0.4886	1	0.8035999999999999
GO:0016787	hydrolase activity	60	10	11.57	0.5740	0.5740	1	0.8035999999999999
GO:0003824	catalytic activity	119	20	22.95	0.8112	0.5705	1	0.8035999999999999
GO:0140096	catalytic activity, acting on a protein	66	10	12.73	0.8386	0.8386	1	1
GO:1901363	heterocyclic compound binding	92	16	17.74	0.9284	0.9449	1	1
GO:0097159	organic cyclic compound binding	94	16	18.13	0.9467	0.9429	1	1
GO:0003674	molecular_function	223	43	43	1.0000	1.0000	1	1
GO:0043167	ion binding	100	19	19.28	1.0000	0.4979	1	0.8035999999999999
GO:0043169	cation binding	52	13	10.03	1.0000	0.3502	1	0.8035999999999999
