Orthogroup	Aedes_aegypti	Bombyx_mori
OG0000000	XP_021704707.1	XP_037873721.1
OG0000001	XP_021704701.1	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1, NP_001296520.1, NP_001266295.1, XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1
OG0000003	XP_021694215.1	XP_037869604.1, XP_037867144.1, XP_037876915.1, XP_037877219.1, XP_037877221.1
OG0000005	XP_021695234.1, XP_021695375.1	XP_004928790.1
OG0000006	XP_021709039.1, XP_021709040.1	NP_001116806.1, NP_001104829.1, NP_001091789.1, NP_001166603.1
OG0000006	XP_001651754.2, XP_001651756.3	XP_012548049.2, NP_001155299.1, XP_037872108.1, NP_001104798.1, XP_037868147.1, XP_037868149.1, XP_012545176.2, NP_001166620.1, NP_001104819.1, XP_037873404.1, NP_001104832.2, NP_001091787.1
OG0000007	XP_021697170.1, XP_021709698.1, XP_021708773.1, XP_021712875.1, XP_021711983.1, XP_021697510.1, XP_021700679.1, XP_021694728.1, XP_021706451.1	XP_012547514.2, XP_037873313.1
OG0000007	XP_021704105.1, XP_021709704.1	XP_037875795.1
OG0000007	XP_021709737.1, XP_021708700.1, XP_021712884.1, XP_021707298.1, XP_021708190.1, XP_021699796.1, XP_021700128.1, XP_021701239.1, XP_021708882.1	XP_021202050.1, XP_012546752.1, XP_037871092.1, XP_021203270.2, XP_037874531.1, XP_021203932.1, XP_037875444.1
OG0000008	XP_001648300.1	XP_012548163.2
OG0000008	XP_001648306.2	XP_004929514.1
OG0000008	XP_001661923.2	XP_012548032.1
OG0000008	XP_021710654.1	XP_037872354.1
OG0000008	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1	XP_012548168.1
OG0000008	XP_001648302.1	XP_021205470.2
OG0000008	XP_021710647.1	XP_037872353.1, XP_012548164.1
OG0000009	XP_021705958.1, XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1, XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1, XP_001657206.1	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1
OG0000012	XP_001655419.1	XP_012543999.1
OG0000012	XP_021709641.1	NP_001037317.1
OG0000012	XP_001658080.2	XP_037870940.1, XP_012547171.2, XP_021203795.1
OG0000012	XP_001663002.1, XP_001652943.1, XP_001663900.2, XP_001658491.2, XP_001663898.2, XP_021707969.1, XP_001663895.2, XP_001660673.2, XP_001660676.2, XP_021703076.1, XP_001657786.1, XP_001650145.1, XP_021712427.1, XP_021707394.1	XP_021204459.2
OG0000013	XP_001657279.1, XP_021705634.1, XP_021711156.1, XP_021711154.1, XP_001656985.1, XP_001656989.1, XP_021711158.1, XP_021711157.1, XP_021711153.1, XP_021701440.1	XP_004933313.1
OG0000013	XP_021707704.1	NP_001040399.1
OG0000013	XP_001657554.1, XP_001655332.2	NP_001091756.1
