GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005525	GTP binding	17	8	4.56	0.0063	0.0063	0.25675000000000003	0.10725
GO:0003924	GTPase activity	15	7	4.02	0.0066	0.0066	0.25675000000000003	0.10725
GO:0016787	hydrolase activity	127	34	34.04	0.0070	0.0243	0.25675000000000003	0.22935714285714287
GO:0004888	transmembrane signaling receptor activity	17	10	4.56	0.0079	0.0079	0.25675000000000003	0.11411111111111112
GO:0008134	transcription factor binding	30	14	8.04	0.0284	0.0295	0.6196666666666667	0.245375
GO:0038023	signaling receptor activity	26	15	6.97	0.0286	0.0014	0.6196666666666667	0.091
GO:0004601	peroxidase activity	14	5	3.75	0.0444	0.0444	0.7458750000000001	0.2883636363636364
GO:0042802	identical protein binding	36	16	9.65	0.0459	0.0330	0.7458750000000001	0.2523529411764706
GO:0019901	protein kinase binding	25	11	6.7	0.0632	0.0632	0.8580000000000001	0.32399999999999995
GO:0046983	protein dimerization activity	42	18	11.26	0.0660	0.0302	0.8580000000000001	0.245375
GO:0005509	calcium ion binding	17	9	4.56	0.0834	0.0834	0.8755882352941178	0.3738620689655172
GO:0016301	kinase activity	41	14	10.99	0.1018	0.1876	0.8755882352941178	0.46015094339622636
GO:0008289	lipid binding	21	7	5.63	0.1040	0.5731	0.8755882352941178	0.760234693877551
GO:0005515	protein binding	292	88	78.27	0.1042	0.0247	0.8755882352941178	0.22935714285714287
GO:0019904	protein domain specific binding	17	8	4.56	0.1067	0.1067	0.8755882352941178	0.40060526315789474
GO:0004842	ubiquitin-protein transferase activity	22	3	5.9	0.1078	0.3543	0.8755882352941178	0.6313783783783784
GO:0140297	DNA-binding transcription factor binding	15	7	4.02	0.1145	0.1145	0.8755882352941178	0.40060526315789474
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	23	10	6.16	0.1452	0.1452	0.932	0.46015094339622636
GO:0016788	hydrolase activity, acting on ester bonds	20	5	5.36	0.1712	0.4246	0.932	0.7021645569620254
GO:0046982	protein heterodimerization activity	15	6	4.02	0.1719	0.1719	0.932	0.46015094339622636
GO:0005102	signaling receptor binding	51	20	13.67	0.1746	0.0600	0.932	0.32399999999999995
GO:0036094	small molecule binding	92	26	24.66	0.1768	0.4744	0.932	0.7139775280898877
GO:0005121	Toll binding	10	5	2.68	0.1802	0.1802	0.932	0.46015094339622636
GO:0020037	heme binding	11	4	2.95	0.1857	0.1857	0.932	0.46015094339622636
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	19	7	5.09	0.1861	0.1861	0.932	0.46015094339622636
GO:0016798	hydrolase activity, acting on glycosyl bonds	14	5	3.75	0.1864	0.1864	0.932	0.46015094339622636
GO:0003712	transcription coregulator activity	14	6	3.75	0.1985	0.1985	0.9391379310344826	0.4778703703703704
GO:0008233	peptidase activity	50	9	13.4	0.2086	0.9462	0.9391379310344826	1
GO:0030246	carbohydrate binding	18	4	4.82	0.2095	0.2095	0.9391379310344826	0.48633928571428575
GO:0003677	DNA binding	68	24	18.23	0.2468	0.1094	1	0.40060526315789474
GO:0008083	growth factor activity	14	6	3.75	0.2532	0.2532	1	0.5396065573770492
GO:0004386	helicase activity	19	3	5.09	0.2606	0.4618	1	0.7139775280898877
GO:0061659	ubiquitin-like protein ligase activity	15	1	4.02	0.2657	0.6845	1	0.8474761904761905
GO:0016462	pyrophosphatase activity	40	12	10.72	0.2749	0.0488	1	0.2883636363636364
