Orthogroup	Vespa_mandarinia	Polistes_dominula
OG0000001	XP_035720574.1	XP_015182412.1, XP_015182413.1, XP_015181295.1
OG0000001	XP_035732647.1, XP_035732646.1, XP_035732645.1, XP_035732533.1	XP_015180415.1, XP_015180416.1
OG0000001	XP_035732420.1	XP_015180260.1
OG0000001	XP_035726105.1	XP_015190970.1
OG0000001	XP_035737410.1, XP_035737418.1, XP_035737424.1	XP_015183493.1
OG0000001	XP_035734021.1, XP_035734020.1, XP_035734019.1	XP_015174482.1
OG0000001	XP_035738421.1	XP_015174918.1
OG0000001	XP_035741324.1	XP_015173619.1
OG0000002	XP_035737286.1, XP_035737171.1, XP_035737322.1	XP_015179319.1
OG0000002	XP_035737321.1	XP_015179317.1
OG0000002	XP_035737299.1, XP_035737317.1, XP_035737318.1	XP_015179443.1
OG0000002	XP_035737326.1	XP_015179442.1
OG0000002	XP_035737177.1	XP_015179331.1
OG0000002	XP_035737160.1	XP_015179329.1
OG0000002	XP_035737224.1	XP_015179330.1, XP_015179496.1
OG0000002	XP_035737208.1	XP_015179323.1
OG0000002	XP_035737170.1	XP_015179394.1
OG0000002	XP_035737172.1, XP_035737325.1	XP_015179320.1
OG0000002	XP_035737203.1	XP_015179321.1
OG0000002	XP_035737175.1	XP_015179325.1
OG0000002	XP_035737209.1	XP_015179324.1
OG0000002	XP_035737176.1	XP_015179392.1
OG0000002	XP_035737173.1	XP_015179322.1
OG0000004	XP_035731243.1, XP_035731251.1	XP_015190455.1
OG0000004	XP_035731242.1	XP_015189742.1, XP_015189577.1
OG0000004	XP_035731236.1, XP_035737767.1, XP_035737738.1, XP_035725544.1	XP_015189652.1
OG0000004	XP_035728425.1	XP_015189546.1
OG0000004	XP_035735035.1, XP_035734136.1	XP_015189178.1
OG0000004	XP_035744268.1	XP_015187797.1
OG0000004	XP_035737762.1	XP_015189732.1
OG0000004	XP_035742402.1	XP_015180194.1
OG0000004	XP_035734902.1	XP_015189689.1
OG0000004	XP_035739245.1	XP_015185818.1
OG0000006	XP_035718467.1	XP_015180561.1
OG0000006	XP_035718471.1	XP_015180690.1
OG0000006	XP_035718468.1	XP_015180565.1
OG0000006	XP_035718469.1, XP_035718470.1	XP_015180566.1, XP_015180564.1
OG0000006	XP_035732062.1	XP_015176242.1
OG0000006	XP_035740898.1	XP_015184251.1
OG0000008	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1	XP_015180320.1
OG0000008	XP_035736007.1	XP_015180327.1, XP_015180328.1
OG0000008	XP_035736200.1, XP_035736201.1, XP_035736202.1	XP_015180322.1, XP_015180321.1, XP_015180323.1
OG0000008	XP_035739950.1, XP_035739951.1, XP_035739948.1	XP_015180324.1, XP_015180325.1
OG0000009	XP_035722243.1	XP_015177367.1
OG0000009	XP_035722232.1, XP_035722233.1	XP_015177307.1
OG0000009	XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1	XP_015177305.1
