target_id	length	eff_length	est_counts	tpm
XM_029176008.1	2568	2348.31	3.06188	0.0938297
XM_029176009.1	4203	3983.31	30.5346	0.551642
XM_029176010.1	1236	1016.31	172.724	12.2302
XM_029176011.1	814	594.776	252.793	30.5858
XM_029176012.1	694	476.105	33.2072	5.01925
XM_029176013.1	693	475.121	4909	743.529
XM_029176014.1	17928	17708.3	1.08173	0.00439593
XM_029176015.1	787	568.029	685	86.7819
XM_029176016.1	521	309.715	501	116.408
XM_029176017.1	1219	999.314	7	0.504086
XM_029176018.1	2573	2353.31	636.431	19.4617
XM_029176019.1	2564	2344.31	69.569	2.13555
XM_029176020.1	2886	2666.31	2464.29	66.5103
XM_029176021.1	5925	5705.31	0	0
XM_029176022.1	17922	17702.3	116.277	0.472684
XM_029176023.1	5843	5623.31	0	0
XM_029176024.1	5922	5702.31	213.114	2.68948
XM_029176025.1	5897	5677.31	555.227	7.03779
XM_029176026.1	5097	4877.31	20.6595	0.304823
XM_029176027.1	5600	5380.31	1643.49	21.9821
XM_029176028.1	3805	3585.31	461.255	9.25811
XM_029176029.1	3791	3571.31	750.477	15.1223
XM_029176030.1	17775	17555.3	36.2858	0.148743
XM_029176031.1	5155	4935.31	157.773	2.30052
XM_029176032.1	2630	2410.31	40	1.19425
XM_029176033.1	2354	2134.31	0	0
XM_029176034.1	3269	3049.31	1109.73	26.1892
XM_029176035.1	3025	2805.31	59.1317	1.51687
XM_029176036.1	1503	1283.31	61.1416	3.42857
XM_029176037.1	8462	8242.31	0	0
XM_029176038.1	8010	7790.31	62.5534	0.577836
XM_029176039.1	8456	8236.31	34.288	0.299584
XM_029176040.1	8447	8227.31	0	0
XM_029176041.1	8441	8221.31	109.515	0.958612
XM_029176042.1	8437	8217.31	202.294	1.77158
XM_029176043.1	8422	8202.31	138.44	1.2146
XM_029176044.1	2288	2068.31	1618.14	56.2999
XM_029176045.1	2346	2126.31	0	0
XM_029176046.1	7605	7385.31	222.543	2.16847
