Orthogroup	Megachile_rotundata	Tribolium_castaneum
OG0000000	XP_012151963.1, XP_012142755.1	XP_015840338.1
OG0000001	XP_012153916.1, XP_012153915.1	NP_001137200.1, XP_008192267.1, NP_001177722.1, XP_975563.1, NP_001280531.1, NP_001164249.1, XP_015834314.1, NP_001280532.1, XP_015834315.1, XP_975569.1, XP_008192269.1, XP_975562.1, XP_008192266.1, XP_015834510.1, XP_015834511.1
OG0000001	XP_003703200.1	XP_969875.1
OG0000001	XP_003699913.1, XP_003701310.1, XP_003701343.1, XP_012136078.1, XP_012136077.1, XP_003701345.1, XP_012136079.1	XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1
OG0000002	XP_003700910.2, XP_003700909.2, XP_003700936.1, XP_003700935.1, XP_003700845.1, XP_003700846.1, XP_003700844.1, XP_003700934.1, XP_003700932.1, XP_003700933.2, XP_003700913.1, XP_003700912.1, XP_012135096.1, XP_003700836.1, XP_003700837.1, XP_003700911.2, XP_003700914.1, XP_012135238.1, XP_012135239.1, XP_012135236.1, XP_003700918.2, XP_012135244.1, XP_012135242.1, XP_012135246.1, XP_003700930.1, XP_003700925.1, XP_003700923.1, XP_003700922.1, XP_012135243.1, XP_012135245.1, XP_003700843.1, XP_003700842.2, XP_012135240.1, XP_012135237.1, XP_012135097.1, XP_012135098.1	XP_015839871.1
OG0000003	XP_012138507.1	XP_001810078.1
OG0000003	XP_012145059.1	XP_015834307.1, XP_015836638.1, XP_015833287.1
OG0000004	XP_012147779.1, XP_012145925.1, XP_003706746.2, XP_003706754.1, XP_012153575.1, XP_012145432.1, XP_012145431.1, XP_012145448.1, XP_012138586.1, XP_003702422.1, XP_003701631.1, XP_012152390.1, XP_012146360.1	XP_015834342.1
OG0000005	XP_012140925.1	XP_008191200.1
OG0000006	XP_012142989.1	XP_015838106.1
OG0000008	XP_003705710.1	XP_972338.1
OG0000008	XP_003705708.1	XP_972175.3
OG0000008	XP_012141335.1	XP_969421.1
OG0000008	XP_003705713.2	XP_008191987.1, XP_972532.1
OG0000008	XP_003705711.1	XP_972430.2
OG0000008	XP_003705712.1	XP_015836551.1, XP_015836552.1
OG0000008	XP_003705707.1	XP_008191970.1
OG0000009	XP_012145773.1, XP_012145771.1, XP_012145774.1, XP_003703411.1, XP_003705489.1, XP_003705491.1	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2
OG0000012	XP_003705999.2, XP_012146828.1, XP_012146827.1	XP_008192552.1
OG0000013	XP_003707914.1	XP_969677.1
OG0000013	XP_003708097.1	XP_008197392.1
OG0000014	XP_003703733.1, XP_012153581.1, XP_012141730.1, XP_003707917.1	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1
OG0000015	XP_012145739.1, XP_012152739.1, XP_012152726.1	XP_015839984.1, XP_015834077.1
OG0000015	XP_012152737.1, XP_012152738.1, XP_012151351.1, XP_012152725.1	XP_008199215.1, XP_015840019.1
OG0000016	XP_012147724.1, XP_012151016.1, XP_012141582.1	XP_015840352.1, XP_015840124.1
