Orthogroup	Polistes_dominula	Habropoda_laboriosa
OG0000000	XP_015189866.1, XP_015189951.1	XP_017797028.1, XP_017788509.1, XP_017797535.1, XP_017796961.1, XP_017794319.1, XP_017796727.1, XP_017797043.1, XP_017794620.1, XP_017797129.1, XP_017797014.1, XP_017796389.1
OG0000000	XP_015189697.1, XP_015189651.1, XP_015189739.1	XP_017791907.1, XP_017791919.1
OG0000000	XP_015189415.1, XP_015189501.1, XP_015189791.1	XP_017797095.1, XP_017795696.1, XP_017797059.1, XP_017792099.1
OG0000000	XP_015180763.1, XP_015189653.1, XP_015189502.1, XP_015187776.1	XP_017797015.1, XP_017796820.1
OG0000000	XP_015189872.1, XP_015189734.1, XP_015190534.1, XP_015189881.1	XP_017796388.1, XP_017796988.1
OG0000001	XP_015182412.1, XP_015182413.1, XP_015181295.1	XP_017795702.1
OG0000001	XP_015190970.1	XP_017793598.1
OG0000001	XP_015183493.1	XP_017796836.1, XP_017796838.1, XP_017795399.1, XP_017796200.1, XP_017791301.1, XP_017795398.1
OG0000001	XP_015174482.1	XP_017791778.1
OG0000002	XP_015179319.1, XP_015179317.1	XP_017795928.1
OG0000002	XP_015179442.1	XP_017795926.1
OG0000002	XP_015179331.1	XP_017795970.1
OG0000002	XP_015179329.1, XP_015179330.1, XP_015179496.1	XP_017795940.1
OG0000002	XP_015179323.1	XP_017795948.1
OG0000002	XP_015179394.1	XP_017795929.1
OG0000002	XP_015179320.1, XP_015179321.1	XP_017795932.1, XP_017795931.1, XP_017795930.1
OG0000003	XP_015187531.1	XP_017795844.1
OG0000004	XP_015189742.1	XP_017795705.1
OG0000004	XP_015189577.1	XP_017792101.1
OG0000004	XP_015187797.1	XP_017796976.1, XP_017796999.1
OG0000004	XP_015177516.1	XP_017796386.1, XP_017792763.1, XP_017794734.1
OG0000004	XP_015189681.1, XP_015175257.1	XP_017795921.1, XP_017795068.1
OG0000004	XP_015171070.1	XP_017795719.1, XP_017796807.1
OG0000004	XP_015189732.1	XP_017795846.1
