Orthogroup	Eufriesea_mexicana	Acyrthosiphon_pisum
OG0000000	XP_017765285.1, XP_017763967.1	XP_008182367.1, XP_008182376.2, XP_008179509.1, XP_029348283.1
OG0000000	XP_017765002.1	XP_029341016.1
OG0000001	XP_017759613.1	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1
OG0000003	XP_017759424.1	XP_008189500.1, XP_029342151.1, XP_008189441.1, XP_008182642.1, XP_016659987.1, XP_008182863.1
OG0000004	XP_017760971.1	XP_029347358.1
OG0000004	XP_017762861.1, XP_017753050.1	XP_008184892.1, XP_008189998.1, XP_016658202.2, XP_029348322.1, XP_029348356.1, XP_008186742.1, XP_008178409.1, XP_008189971.1, XP_029348597.1, XP_016661423.2, XP_008180700.1
OG0000004	XP_017765503.1, XP_017759221.1, XP_017759096.1	XP_008188519.1, XP_008178932.1, XP_008181865.1, XP_008189921.1, XP_029347881.1, XP_008184523.1, XP_016659515.1
OG0000004	XP_017757888.1, XP_017762896.1, XP_017764808.1, XP_017765506.1, XP_017764873.1, XP_017759467.1	XP_008182727.1
OG0000004	XP_017757887.1	XP_029348167.1
OG0000004	XP_017756490.1, XP_017765529.1, XP_017762446.1, XP_017759643.1, XP_017765018.1, XP_017762993.1, XP_017765344.1, XP_017756226.1, XP_017759329.1, XP_017752724.1, XP_017752718.1, XP_017765343.1, XP_017765490.1, XP_017752726.1, XP_017754359.1, XP_017763966.1, XP_017763517.1, XP_017754218.1	XP_008181189.1, XP_008178696.1, XP_008184865.1, XP_029348501.1, XP_008189957.1, XP_008187534.1, XP_029347760.1
OG0000005	XP_017763088.1, XP_017763087.1	XP_016662685.1
OG0000005	XP_017759970.1	XP_029342320.1
OG0000005	XP_017763034.1	XP_008183396.1
OG0000006	XP_017766722.1, XP_017766522.1, XP_017766521.1	XP_016661819.1
OG0000008	XP_017764283.1	XP_016663037.1
OG0000008	XP_017764386.1	XP_029347046.1
OG0000008	XP_017752288.1	XP_001942555.1, XP_008181935.1
OG0000008	XP_017765710.1	XP_001951039.1, XP_016661460.1, XP_008179022.1, XP_001946107.1
OG0000008	XP_017764163.1	XP_001945226.1
OG0000008	XP_017764510.1	XP_001948787.1, XP_008186873.1
OG0000008	XP_017764053.1, XP_017763974.1	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3
OG0000010	XP_017756503.1, XP_017762078.1, XP_017758941.1, XP_017761999.1, XP_017754682.1, XP_017766494.1, XP_017764809.1, XP_017765358.1	XP_016657651.1
OG0000013	XP_017764546.1	XP_001952101.2, XP_008190047.2, XP_008190048.2, XP_003246588.2
OG0000013	XP_017760618.1	XP_008188188.1
OG0000013	XP_017760616.1	XP_008186887.1
OG0000017	XP_017756241.1, XP_017756242.1, XP_017756232.1	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1
OG0000018	XP_017763433.1, XP_017761708.1, XP_017760876.1, XP_017760875.1, XP_017760874.1, XP_017758049.1	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2
OG0000019	XP_017758970.1	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1
OG0000019	XP_017754922.1	XP_001952539.2
OG0000020	XP_017759430.1	XP_003244194.1
OG0000020	XP_017758962.1	XP_029343120.1
OG0000020	XP_017756685.1	XP_029345653.1
OG0000020	XP_017759431.1	XP_008182108.1
OG0000020	XP_017763358.1	XP_029344335.1, XP_016664934.1
OG0000020	XP_017758008.1	NP_001280338.1
OG0000020	XP_017758540.1, XP_017756344.1	XP_029347131.1
OG0000020	XP_017764646.1	XP_001947843.1
OG0000020	XP_017763402.1	XP_029343394.1
OG0000021	XP_017759339.1	XP_001945018.2
OG0000021	XP_017763116.1	XP_001944401.2
OG0000021	XP_017758713.1, XP_017758722.1, XP_017758731.1	XP_016663029.1, XP_003240228.1, XP_029342725.1
OG0000021	XP_017764524.1, XP_017763364.1, XP_017755079.1, XP_017759315.1	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1
OG0000022	XP_017765129.1	XP_003244391.2, XP_029347151.1, XP_029347343.1
OG0000022	XP_017761001.1, XP_017760075.1, XP_017764538.1, XP_017764547.1	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2
OG0000023	XP_017761097.1, XP_017754148.1, XP_017764548.1, XP_017765135.1, XP_017754147.1	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1
OG0000024	XP_017760258.1, XP_017760233.1, XP_017760260.1, XP_017753491.1	XP_001949358.2
OG0000024	XP_017753899.1, XP_017753900.1	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1
OG0000026	XP_017756869.1	XP_029342349.1, XP_029342350.1
OG0000026	XP_017760223.1	XP_029343074.1
OG0000026	XP_017763291.1, XP_017763214.1	XP_029345451.1
OG0000026	XP_017753312.1	XP_029342802.1
OG0000026	XP_017767765.1, XP_017752170.1	XP_029342414.1
OG0000027	XP_017764550.1	NP_001156692.1
OG0000027	XP_017754149.1	XP_008190046.1
OG0000028	XP_017756507.1, XP_017756506.1	XP_008179516.1, XP_008182365.1
OG0000029	XP_017755085.1, XP_017755078.1	XP_016663309.2, XP_001952418.1
OG0000029	XP_017755093.1, XP_017755092.1	NP_001165726.1, XP_001947860.1
OG0000030	XP_017761417.1, XP_017761416.1	XP_029344636.1, XP_016658280.1, XP_003248260.1, XP_001948318.2, XP_016664102.1, XP_003248040.1, XP_001947250.2
OG0000031	XP_017763357.1	XP_008183945.1, XP_008182759.1
OG0000032	XP_017755945.1	XP_003246235.1, XP_001947862.2, XP_001948097.2, XP_003246236.1
OG0000032	XP_017752458.1	XP_029347116.1, XP_001949029.2, XP_016662740.1
OG0000035	XP_017767482.1	XP_001951632.1, XP_016663720.1, XP_029345626.1, XP_003246783.1, XP_003246784.1, XP_001948117.1
OG0000035	XP_017761425.1	XP_001945842.2, XP_029345799.1, XP_029343210.1, XP_008186378.1, XP_029343209.1, XP_001943715.1, XP_001949845.2, XP_001949897.2, XP_029343092.1, XP_001952770.1
OG0000037	XP_017756758.1	XP_008187877.2, NP_001155504.1, XP_003241041.1, XP_003243107.1, NP_001165431.1, NP_001155507.1, XP_029343963.1, XP_003247374.1, XP_008190010.1, NP_001165734.1
OG0000038	XP_017766133.1, XP_017752930.1	XP_001948685.1
OG0000038	XP_017765235.1	XP_003245830.1
OG0000039	XP_017756504.1	XP_016661651.1
OG0000041	XP_017765153.1	XP_008186344.1
OG0000041	XP_017759621.1, XP_017759618.1, XP_017759619.1, XP_017759620.1	NP_001136108.1, XP_001948457.2
OG0000041	XP_017754630.1	XP_001948128.1
OG0000042	XP_017757032.1	XP_016662708.1, XP_008186444.1
OG0000042	XP_017758606.1	NP_001191885.1, XP_008184085.1, NP_001191886.1, XP_001944248.1, NP_001119674.1, XP_008179499.1, XP_001943917.1
OG0000043	XP_017765446.1	NP_001128404.1, XP_029342103.1, NP_001119651.1
OG0000044	XP_017767293.1, XP_017767299.1, XP_017767300.1	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2
OG0000045	XP_017753918.1, XP_017763731.1	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2
OG0000045	XP_017757512.1	XP_029347511.1, XP_003248124.2, XP_016656776.1, XP_008179193.1, XP_029346942.1, XP_003246887.1, XP_029346941.1, XP_016656775.1, XP_016659005.1, XP_001949423.2, XP_001949604.2, XP_008186205.1
OG0000046	XP_017765106.1	XP_008184380.1, NP_001156420.1
OG0000046	XP_017757713.1, XP_017764994.1	XP_001951207.1, XP_003244048.1
OG0000048	XP_017756821.1, XP_017756820.1	XP_003246561.1, XP_029345889.1, XP_016662409.1, XP_029345122.1, XP_029345890.1, XP_029345124.1, XP_008186079.1, XP_029345127.1, XP_029345125.1
OG0000048	XP_017756884.1, XP_017756817.1, XP_017756824.1, XP_017756888.1, XP_017756890.1, XP_017756810.1, XP_017756812.1, XP_017756813.1, XP_017756883.1, XP_017756809.1, XP_017756879.1, XP_017756881.1, XP_017756887.1, XP_017756818.1, XP_017756889.1	XP_016662412.1
OG0000050	XP_017754840.1, XP_017754998.1	XP_008186168.1, XP_029344195.1
OG0000051	XP_017758189.1	XP_008184704.1
OG0000051	XP_017765501.1, XP_017765020.1	XP_008181670.1
