GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005515	protein binding	1587	215	191.28	0.00087	9.9e-05	0.10165	0.009273333333333331
GO:0005244	voltage-gated ion channel activity	21	6	2.53	0.00095	0.00095	0.10165	0.016941666666666664
GO:0005509	calcium ion binding	145	30	17.48	0.00171	0.00171	0.12197999999999999	0.026138571428571428
GO:0022857	transmembrane transporter activity	365	60	43.99	0.00313	0.00041	0.15836	0.013757142857142857
GO:0005267	potassium channel activity	23	8	2.77	0.00370	0.00370	0.15836	0.040553
GO:0022836	gated channel activity	64	16	7.71	0.00502	0.00031	0.17904666666666666	0.013267999999999999
GO:0005085	guanyl-nucleotide exchange factor activity	42	10	5.06	0.00877	0.00877	0.2340830769230769	0.08159913043478262
GO:0004888	transmembrane signaling receptor activity	227	29	27.36	0.00963	0.84461	0.2340830769230769	1
GO:0004713	protein tyrosine kinase activity	32	8	3.86	0.01042	0.01042	0.2340830769230769	0.09291166666666667
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	42	5	5.06	0.01288	0.82389	0.2340830769230769	1
GO:0043565	sequence-specific DNA binding	80	12	9.64	0.01328	0.01328	0.2340830769230769	0.10707925925925925
GO:0005261	cation channel activity	62	16	7.47	0.01407	0.00013	0.2340830769230769	0.009273333333333331
GO:0044877	protein-containing complex binding	43	9	5.18	0.01422	0.01422	0.2340830769230769	0.10868142857142858
GO:0004672	protein kinase activity	213	33	25.67	0.01810	0.00379	0.25836933333333334	0.040553
GO:0005524	ATP binding	573	79	69.06	0.01811	0.01811	0.25836933333333334	0.12918466666666667
GO:0003779	actin binding	51	7	6.15	0.02315	0.02315	0.30963125	0.155685
GO:0005506	iron ion binding	54	11	6.51	0.02643	0.02643	0.3327070588235294	0.1663535294117647
GO:0051082	unfolded protein binding	25	6	3.01	0.03049	0.03049	0.3624922222222222	0.1769837837837838
GO:0015079	potassium ion transmembrane transporter activity	28	10	3.37	0.03718	0.00027	0.403069	0.013267999999999999
GO:0046873	metal ion transmembrane transporter activity	70	18	8.44	0.03767	4.6e-05	0.403069	0.009273333333333331
GO:0046872	metal ion binding	608	96	73.28	0.04272	0.00062	0.4353371428571428	0.016264
GO:0004222	metalloendopeptidase activity	39	2	4.7	0.05302	0.05302	0.49281142857142857	0.27673853658536585
GO:0005319	lipid transporter activity	23	7	2.77	0.05464	0.05464	0.49281142857142857	0.27703272727272726
GO:0022824	transmitter-gated ion channel activity	23	6	2.77	0.05696	0.05696	0.49281142857142857	0.27703272727272726
GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors	27	6	3.25	0.06138	0.06138	0.49281142857142857	0.2855504347826087
GO:0015075	ion transmembrane transporter activity	194	31	23.38	0.06328	0.00076	0.49281142857142857	0.016264
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	91	14	10.97	0.06409	0.06409	0.49281142857142857	0.2918140425531915
GO:0008242	omega peptidase activity	39	7	4.7	0.06448	0.36152	0.49281142857142857	0.8072704166666667
GO:0032549	ribonucleoside binding	145	11	17.48	0.07982	0.83497	0.5890165517241379	1
GO:0004386	helicase activity	73	4	8.8	0.08988	0.08988	0.641144	0.35714222222222225
GO:0005102	signaling receptor binding	53	10	6.39	0.10161	0.41043	0.7014367741935484	0.8108244036697249
GO:0016298	lipase activity	34	8	4.1	0.10490	0.34512	0.70151875	0.8072704166666667
GO:0016791	phosphatase activity	94	13	11.33	0.11161	0.38344	0.7237739393939393	0.8108244036697249
GO:0005543	phospholipid binding	41	5	4.94	0.12414	0.67735	0.7611062857142856	0.9536375
GO:0016491	oxidoreductase activity	333	50	40.14	0.12448	0.44922	0.7611062857142856	0.8571157264957265
GO:0008509	anion transmembrane transporter activity	29	7	3.5	0.13027	0.13027	0.7743827777777778	0.422390606060606
GO:0016879	ligase activity, forming carbon-nitrogen bonds	21	4	2.53	0.13644	0.13644	0.7891394594594595	0.4357934328358209
GO:0030554	adenyl nucleotide binding	581	80	70.03	0.14377	0.02328	0.809652105263158	0.155685
GO:0022853	active ion transmembrane transporter activity	34	6	4.1	0.15646	0.15646	0.8249451162790697	0.48525275362318837
GO:0008324	cation transmembrane transporter activity	127	21	15.31	0.15921	0.00693	0.8249451162790697	0.07062
GO:0000287	magnesium ion binding	31	9	3.74	0.16500	0.16500	0.8249451162790697	0.49196222222222225
GO:0015291	secondary active transmembrane transporter activity	32	7	3.86	0.16521	0.16521	0.8249451162790697	0.49196222222222225
GO:0003774	motor activity	44	3	5.3	0.16576	0.24080	0.8249451162790697	0.6740451282051282
GO:0016741	transferase activity, transferring one-carbon groups	93	6	11.21	0.18399	0.94241	0.8808157692307691	1
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	59	11	7.11	0.18893	0.18893	0.8808157692307691	0.5463651351351352
GO:0098772	molecular function regulator	425	66	51.23	0.19412	0.01554	0.8808157692307691	0.11467448275862069
GO:0019001	guanyl nucleotide binding	145	10	17.48	0.20271	0.83497	0.8808157692307691	1
GO:0003700	DNA-binding transcription factor activity	208	32	25.07	0.20320	0.07361	0.8808157692307691	0.30887333333333333
GO:0015399	primary active transmembrane transporter activity	38	8	4.58	0.20662	0.36939	0.8808157692307691	0.8108244036697249
GO:0005198	structural molecule activity	205	9	24.71	0.21106	0.98575	0.8808157692307691	1
GO:0036094	small molecule binding	875	112	105.47	0.21350	0.04558	0.8808157692307691	0.243853
GO:0097159	organic cyclic compound binding	1664	203	200.56	0.21403	0.12068	0.8808157692307691	0.4191766153846153
GO:0016772	transferase activity, transferring phosphorus-containing groups	350	49	42.19	0.22012	0.03060	0.8887864150943398	0.1769837837837838
GO:1901363	heterocyclic compound binding	1662	202	200.32	0.22530	0.12713	0.8928555555555555	0.4191766153846153
GO:0016779	nucleotidyltransferase activity	43	5	5.18	0.24209	0.24209	0.9343775000000001	0.6740451282051282
GO:0005096	GTPase activator activity	28	5	3.37	0.24451	0.24451	0.9343775000000001	0.6740451282051282
GO:0004674	protein serine/threonine kinase activity	67	11	8.08	0.26265	0.26265	0.9860894736842105	0.7114822784810125
GO:0015318	inorganic molecular entity transmembrane transporter activity	180	30	21.7	0.27646	0.00282	1	0.03614222222222223
GO:0004519	endonuclease activity	29	1	3.5	0.29785	0.29785	1	0.784179512195122
GO:0019842	vitamin binding	51	5	6.15	0.30896	0.35522	1	0.8072704166666667
GO:0046983	protein dimerization activity	113	14	13.62	0.31712	0.86352	1	1
GO:0140098	catalytic activity, acting on RNA	125	12	15.07	0.32351	0.36214	1	0.8072704166666667
GO:0008270	zinc ion binding	265	29	31.94	0.32403	0.32403	1	0.8060504545454544
GO:0008234	cysteine-type peptidase activity	22	2	2.65	0.33001	0.33001	1	0.8060504545454544
GO:0004497	monooxygenase activity	23	4	2.77	0.33146	0.33146	1	0.8060504545454544
GO:0016462	pyrophosphatase activity	324	27	39.05	0.33672	0.76490	1	1
GO:0016209	antioxidant activity	21	4	2.53	0.34030	0.34030	1	0.8072704166666667
GO:0030414	peptidase inhibitor activity	24	3	2.89	0.34630	0.34630	1	0.8072704166666667
GO:0016782	transferase activity, transferring sulfur-containing groups	29	3	3.5	0.34878	0.34878	1	0.8072704166666667
GO:0042626	ATPase-coupled transmembrane transporter activity	37	7	4.46	0.36140	0.36140	1	0.8072704166666667
GO:0015077	monovalent inorganic cation transmembrane transporter activity	77	14	9.28	0.36443	0.04269	1	0.2342476923076923
GO:0140096	catalytic activity, acting on a protein	655	82	78.95	0.37542	0.24568	1	0.6740451282051282
GO:0008081	phosphoric diester hydrolase activity	25	5	3.01	0.37949	0.37949	1	0.8108244036697249
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	24	6	2.89	0.38074	0.38074	1	0.8108244036697249
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	45	4	5.42	0.38677	0.38677	1	0.8108244036697249
GO:0042578	phosphoric ester hydrolase activity	121	19	14.58	0.39439	0.40159	1	0.8108244036697249
GO:0045182	translation regulator activity	43	3	5.18	0.40138	0.96311	1	1
GO:0003777	microtubule motor activity	28	1	3.37	0.40240	0.40240	1	0.8108244036697249
GO:0008289	lipid binding	64	8	7.71	0.40276	0.62424	1	0.942482937062937
GO:0003824	catalytic activity	2250	255	271.2	0.41294	0.84938	1	1
GO:0020037	heme binding	59	9	7.11	0.41299	0.41299	1	0.8108244036697249
GO:0016757	transferase activity, transferring glycosyl groups	79	5	9.52	0.41865	0.79866	1	1
GO:0060589	nucleoside-triphosphatase regulator activity	37	8	4.46	0.42099	0.27845	1	0.7448537499999999
GO:0016407	acetyltransferase activity	33	2	3.98	0.42260	0.88162	1	1
GO:0016853	isomerase activity	64	10	7.71	0.42612	0.64854	1	0.9531645033112582
GO:0008092	cytoskeletal protein binding	114	16	13.74	0.42949	0.12732	1	0.4191766153846153
GO:0004930	G protein-coupled receptor activity	91	16	10.97	0.43061	0.43061	1	0.8364122522522522
GO:0101005	ubiquitinyl hydrolase activity	36	4	4.34	0.43782	0.53869	1	0.867466567164179
GO:0032553	ribonucleotide binding	731	89	88.11	0.45398	0.07881	1	0.32433346153846154
GO:0003712	transcription coregulator activity	47	8	5.66	0.45899	0.45899	1	0.8571157264957265
GO:0008235	metalloexopeptidase activity	27	4	3.25	0.45899	0.45899	1	0.8571157264957265
GO:0008017	microtubule binding	45	6	5.42	0.46493	0.46493	1	0.8571157264957265
GO:0038023	signaling receptor activity	234	30	28.2	0.47641	0.85804	1	1
GO:0043169	cation binding	622	98	74.97	0.48038	0.00117	1	0.01926
GO:0050660	flavin adenine dinucleotide binding	39	6	4.7	0.48191	0.48191	1	0.8623219847328244
GO:0097367	carbohydrate derivative binding	787	95	94.86	0.48685	0.06047	1	0.2855504347826087
GO:0030170	pyridoxal phosphate binding	36	3	4.34	0.49411	0.49411	1	0.8623219847328244
GO:0030234	enzyme regulator activity	98	14	11.81	0.49715	0.32101	1	0.8060504545454544
GO:0043168	anion binding	862	105	103.9	0.50746	0.06683	1	0.29795041666666666
GO:0004812	aminoacyl-tRNA ligase activity	38	7	4.58	0.50884	0.50884	1	0.8623219847328244
GO:0016788	hydrolase activity, acting on ester bonds	242	33	29.17	0.51292	0.30048	1	0.784179512195122
GO:0004540	ribonuclease activity	28	1	3.37	0.52317	0.52317	1	0.8623219847328244
GO:0004843	thiol-dependent ubiquitin-specific protease activity	34	4	4.1	0.52382	0.52382	1	0.8623219847328244
GO:0061630	ubiquitin protein ligase activity	25	1	3.01	0.52787	0.52787	1	0.8623219847328244
GO:0016410	N-acyltransferase activity	31	2	3.74	0.53722	0.95256	1	1
GO:0004725	protein tyrosine phosphatase activity	34	2	4.1	0.53929	0.53929	1	0.867466567164179
GO:0016830	carbon-carbon lyase activity	24	3	2.89	0.54318	0.54318	1	0.867466567164179
GO:0030246	carbohydrate binding	30	3	3.62	0.55314	0.55314	1	0.8690118248175183
GO:0016301	kinase activity	288	41	34.71	0.56083	0.02951	1	0.1769837837837838
GO:0046914	transition metal ion binding	344	45	41.46	0.58179	0.18099	1	0.5305734246575343
GO:0000166	nucleotide binding	815	104	98.23	0.58339	0.09728	1	0.36616526315789477
GO:0003677	DNA binding	406	52	48.94	0.60375	0.15460	1	0.48525275362318837
GO:0048018	receptor ligand activity	26	2	3.13	0.60438	0.60438	1	0.9304843165467627
GO:0016740	transferase activity	749	75	90.28	0.61524	0.65867	1	0.9531645033112582
