Orthogroup	Megalopta_genalis	Bombyx_mori
OG0000000	XP_033333383.1	XP_037873721.1
OG0000000	XP_033332143.1	XP_037875266.1
OG0000000	XP_033323553.1	XP_037871995.1, XP_037871457.1, XP_037871459.1, XP_037874347.1, XP_037870555.1, XP_037873352.1, XP_037870375.1, XP_037871456.1, XP_004934341.2, XP_037874877.1, XP_037875254.1, XP_037868977.1, XP_037872500.1, XP_037868916.1, XP_037870348.1, XP_037877612.1, XP_037871971.1, XP_037866794.1, XP_037866960.1, XP_037871648.1, XP_037871120.1, XP_037871023.1, XP_037875881.1, XP_037868519.1, XP_037868121.1, XP_037869233.1, XP_037877020.1, XP_037872459.1, XP_037873687.1
OG0000001	XP_033326761.1, XP_033326760.1, XP_033326759.1, XP_033326758.1, XP_033326756.1, XP_033326755.1, XP_033326754.1, XP_033326753.1, XP_033326752.1, XP_033326751.1, XP_033326750.1, XP_033323542.1, XP_033326762.1, XP_033326763.1, XP_033326774.1, XP_033326767.1, XP_033326559.1, XP_033326766.1, XP_033326768.1, XP_033329022.1, XP_033329019.1, XP_033329018.1, XP_033329017.1, XP_033331299.1, XP_033331298.1	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1
OG0000001	XP_033339718.1	NP_001296520.1, NP_001266295.1
OG0000001	XP_033326710.1, XP_033338373.1, XP_033338371.1, XP_033322509.1	XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1
OG0000004	XP_033334494.1, XP_033335211.1, XP_033339814.1, XP_033335543.1	XP_037866663.1, XP_037874920.1
OG0000004	XP_033342845.1, XP_033331114.1, XP_033323310.1	XP_012549606.2
OG0000004	XP_033329188.1, XP_033335544.1, XP_033324576.1, XP_033330456.1, XP_033335286.1, XP_033331633.1, XP_033331394.1, XP_033332067.1, XP_033339841.1	XP_037872760.1, XP_037868220.1, XP_037874112.1, XP_037871694.1
OG0000005	XP_033333817.1, XP_033333818.1, XP_033333179.1, XP_033333180.1, XP_033333183.1, XP_033333184.1, XP_033333182.1, XP_033333185.1, XP_033333186.1, XP_033333187.1, XP_033333188.1, XP_033333178.1, XP_033333177.1, XP_033333176.1, XP_033333175.1, XP_033331182.1, XP_033331181.1	XP_037870301.1
OG0000006	XP_033325709.1	XP_012548049.2, NP_001155299.1, XP_037872108.1, NP_001104798.1, XP_037868147.1, XP_037868149.1, XP_012545176.2, NP_001166620.1, NP_001104819.1, XP_037873404.1, NP_001104832.2, NP_001091787.1
OG0000008	XP_033329050.1	XP_012548163.2
OG0000008	XP_033329521.1	XP_012548032.1
OG0000008	XP_033329051.1	XP_012548168.1
OG0000008	XP_033329032.1, XP_033329033.1, XP_033329034.1	XP_021205470.2
OG0000008	XP_033321020.1, XP_033321019.1	XP_037872353.1, XP_012548164.1
OG0000009	XP_033323903.1, XP_033323904.1, XP_033323905.1, XP_033321090.1, XP_033323894.1, XP_033323884.1, XP_033323895.1, XP_033323898.1, XP_033323897.1, XP_033323886.1, XP_033323896.1, XP_033323885.1, XP_033323887.1	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1, XP_021202508.2, NP_001108456.1
OG0000010	XP_033342844.1, XP_033332592.1, XP_033332262.1, XP_033329818.1, XP_033328507.1, XP_033337278.1, XP_033333275.1	XP_037877378.1, XP_004925231.2, XP_037871371.1, XP_037869407.1, XP_037873430.1, XP_037874123.1, XP_037877306.1
OG0000010	XP_033337116.1, XP_033332263.1, XP_033339381.1, XP_033337295.1, XP_033333309.1	XP_037872909.1
OG0000012	XP_033333560.1, XP_033333685.1	XP_012543999.1, NP_001037317.1
OG0000013	XP_033328965.1	XP_004933313.1
OG0000013	XP_033328623.1	NP_001040399.1
OG0000013	XP_033330794.1, XP_033330796.1, XP_033330795.1, XP_033330798.1	NP_001091756.1
OG0000016	XP_033327074.1	XP_037875269.1, XP_037869058.1
OG0000016	XP_033337658.1, XP_033324994.1	XP_037871463.1, XP_004927060.2, XP_037874057.1, XP_004923984.2, XP_037872903.1, XP_004927452.2, XP_004934209.2, XP_037876361.1, XP_037877133.1, XP_037869633.1, XP_037873340.1, XP_037867761.1, XP_037871662.1, XP_037871125.1, XP_037868132.1, XP_037872522.1, XP_004921763.2, XP_037872764.1, XP_037868492.1, XP_037874875.1, XP_037868964.1, XP_037877124.1, XP_037867762.1, XP_037871595.1, XP_037870977.1, XP_037871622.1, XP_037867766.1
OG0000017	XP_033323611.1	NP_001108466.1, XP_012546875.1, NP_001037420.1, NP_001037197.1, NP_001108464.1, NP_001108460.1
OG0000017	XP_033341624.1, XP_033341626.1	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1
OG0000018	XP_033334915.1	XP_037871931.1
OG0000018	XP_033342250.1	XP_021205339.2, XP_037871705.1
OG0000018	XP_033327648.1	NP_001243945.1, XP_037871800.1
OG0000019	XP_033335083.1	NP_001268819.1, XP_037869432.1, NP_001040220.1
OG0000019	XP_033337986.1	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2
OG0000019	XP_033321516.1	XP_004927318.1
OG0000020	XP_033333974.1	XP_021206581.1
OG0000020	XP_033341111.1, XP_033336086.1	XP_012545030.1
OG0000020	XP_033329902.1	XP_012552719.1, XP_021202222.1
OG0000020	XP_033340707.1	XP_037874470.1, XP_037874469.1
OG0000020	XP_033341861.1	XP_012548770.1
OG0000020	XP_033323952.1, XP_033323953.1	XP_037867242.1, XP_012549186.1
OG0000021	XP_033334588.1	XP_004926417.1
OG0000021	XP_033336486.1, XP_033336485.1	XP_037872785.1
OG0000022	XP_033337184.1	NP_001153667.1
OG0000025	XP_033335340.1, XP_033334345.1	XP_004929074.1
OG0000025	XP_033340902.1	XP_037869780.1
OG0000026	XP_033339312.1	XP_037867257.1
OG0000026	XP_033332814.1	XP_021205952.1, XP_037874519.1, XP_037874423.1
OG0000026	XP_033330956.1, XP_033330958.1	XP_021204803.2
OG0000026	XP_033321049.1, XP_033333310.1, XP_033333311.1, XP_033333313.1, XP_033333314.1	XP_004929451.1, XP_012548588.1
OG0000027	XP_033328968.1	NP_001153669.1
OG0000028	XP_033332580.1	XP_037871212.1
OG0000028	XP_033320862.1	XP_037876627.1, XP_037868125.1
OG0000028	XP_033320861.1	XP_037876866.1, XP_037874105.1, XP_037872934.1, XP_037868529.1, XP_037867214.1, XP_037877749.1, XP_037875622.1, XP_037873747.1, XP_037877519.1
OG0000028	XP_033331103.1	XP_037876479.1, XP_037870156.1
OG0000029	XP_033327291.1, XP_033327295.1	NP_001036866.1, NP_001166691.1, NP_001166687.1
OG0000029	XP_033338642.1, XP_033327378.1, XP_033327383.1	NP_001093082.1, NP_001166690.1, NP_001166689.1
OG0000030	XP_033328822.1, XP_033328819.1, XP_033328820.1, XP_033328821.1	XP_037875304.1
OG0000030	XP_033335422.1, XP_033335421.1, XP_033331554.1, XP_033335506.1, XP_033335423.1, XP_033335414.1, XP_033335507.1, XP_033339400.1	XP_004926017.1
OG0000032	XP_033338046.1	XP_012545284.2, XP_021208619.1
