Orthogroup	Megachile_rotundata	Solenopsis_invicta
OG0000000	XP_012152959.1	XP_011169834.2, XP_039302930.1
OG0000000	XP_012153201.1, XP_012152388.1	XP_039302811.1, XP_039311985.1, XP_039315440.1, XP_039309134.1, XP_039306383.1, XP_039315356.1, XP_039312423.1, XP_039309935.1, XP_025990812.2, XP_011174764.3
OG0000000	XP_012151877.1	XP_039309112.1
OG0000000	XP_012152724.1	XP_025997408.1, XP_039309650.1, XP_011174413.3
OG0000000	XP_012151339.1	XP_039307919.1, XP_039304380.1
OG0000000	XP_012152412.1	XP_011173050.1, XP_025997552.2
OG0000000	XP_012151963.1, XP_012142755.1	XP_039304363.1, XP_011172230.1, XP_039303473.1, XP_039311979.1, XP_039303513.1, XP_011174810.3, XP_011174921.3, XP_011170487.1, XP_039311325.1, XP_039309665.1, XP_025997133.2, XP_011170486.2, XP_039303514.1
OG0000001	XP_012153916.1, XP_012153915.1	XP_039312729.1, XP_011170312.2, XP_039312609.1, XP_039312344.1, XP_039312343.1, XP_039312342.1, XP_039312341.1, XP_039312340.1, XP_039312352.1, XP_039312733.1, XP_039312720.1, XP_039312719.1, XP_039312723.1, XP_039312861.1, XP_039312722.1, XP_011165642.3, XP_039306285.1, XP_039312730.1, XP_039312734.1, XP_039301776.1, XP_025997129.2, XP_039306128.1, XP_011164151.3, XP_039312726.1, XP_039312725.1, XP_039312353.1
OG0000001	XP_012136792.1, XP_012150537.1, XP_003707539.1, XP_012146067.1	NP_001306576.1, XP_011159731.1
OG0000001	XP_003704416.1, XP_012143065.1, XP_012143066.1, XP_003704415.1, XP_003704279.1, XP_012143067.1, XP_003704414.1, XP_012140371.1, XP_012140372.1, XP_003703231.1, XP_012143070.1, XP_012143071.1, XP_012143072.1, XP_003704281.1, XP_012143073.1, XP_003704278.1, XP_012143061.1, XP_003704412.1	XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2
OG0000001	XP_003703200.1	XP_011164185.1
OG0000001	XP_003699913.1	XP_011164532.2, XP_011164534.2
OG0000001	XP_003701310.1, XP_003701343.1, XP_012136078.1, XP_012136077.1, XP_003701345.1, XP_012136079.1	XP_011162032.2, XP_039315612.1
OG0000002	XP_003700910.2	XP_025986773.2, XP_025986694.2, XP_039304867.1, XP_011159003.3
