Orthogroup	Vespa_mandarinia	Other
OG0000006	XP_035732062.1	XP_318674.1
OG0000029	XP_035732363.1, XP_035732348.1	XP_970955.1
OG0000101	XP_035724161.1	XP_001661225.1, XP_001661226.1
OG0000101	XP_035724161.1	XP_008190343.1
OG0000101	XP_035724161.1	XP_311444.4
OG0000108	XP_035729104.1, XP_035729105.1	XP_004926196.1, XP_037873923.1, XP_021203655.1, XP_021203635.1, XP_037874059.1, XP_037874060.1
OG0000133	XP_035741242.1	XP_037876429.1, XP_037876436.1
OG0000236	XP_035735167.1	NP_524407.1, NP_524398.1
OG0000398	XP_035727861.1, XP_035727863.1, XP_035727862.1	XP_564453.2
OG0000624	XP_035719491.1	XP_001659273.2, XP_001659274.2
OG0000624	XP_035719491.1	XP_001687886.1, XP_308292.3
OG0000624	XP_035719491.1	NP_608663.1, NP_608668.2
OG0000624	XP_035719491.1	NP_001155814.1
OG0000953	XP_035738982.1	XP_017892911.1
OG0000953	XP_035738982.1	XP_017792623.1
OG0001273	XP_035719773.1, XP_035719772.1, XP_035719770.1	XP_029048682.1
OG0001526	XP_035728083.1	XP_020720026.1
OG0001603	XP_035739186.1, XP_035739187.1	XP_026673231.1
OG0001728	XP_035723533.1, XP_035723531.1	XP_317510.4
OG0002264	XP_035730925.1	XP_033336419.1
OG0002437	XP_035740137.1	XP_318531.2
OG0002457	XP_035725483.1	XP_021710260.1
OG0002703	XP_035735753.1	XP_021695201.1
OG0002764	XP_035718242.1	NP_650066.1, NP_001163587.1
OG0003625	XP_035741765.1	XP_021708634.1
OG0004148	XP_035743559.1	XP_020720981.1
OG0004163	XP_035726235.1	NP_608567.2
OG0004227	XP_035730606.1, XP_035730605.1	XP_034182088.1
OG0004859	XP_035728630.1	XP_021694245.1
OG0005060	XP_035737821.1	XP_033330573.1
OG0005089	XP_035720388.1	XP_319461.1
OG0005282	XP_035728321.1	XP_021706418.1
OG0008253	XP_035728375.1	XP_026670750.1
