GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0034703	cation channel complex	12	6	1.32	1e-06	1.0e-06	1.53e-4	5.1e-5
GO:0005887	integral component of plasma membrane	27	7	2.97	0.00021	0.00021	0.01326	0.003213
GO:0098797	plasma membrane protein complex	33	8	3.63	0.00026	0.00026	0.01326	0.003616363636363636
GO:0005886	plasma membrane	84	23	9.25	0.00122	5.4e-06	0.046665	1.6524e-4
GO:0016021	integral component of membrane	550	86	60.58	0.00249	0.00017	0.076194	0.0030600000000000002
GO:0016020	membrane	1080	156	118.96	0.00392	2.2e-05	0.09996	5.61e-4
GO:1902495	transmembrane transporter complex	19	7	2.09	0.00518	6.7e-07	0.11322	5.1e-5
GO:0030054	cell junction	17	5	1.87	0.02848	0.01937	0.5446799999999999	0.22797
GO:0019866	organelle inner membrane	40	2	4.41	0.04919	0.23504	0.8362299999999999	0.7027716393442622
GO:0005635	nuclear envelope	17	3	1.87	0.06988	0.03548	1	0.38774571428571425
GO:0005789	endoplasmic reticulum membrane	35	7	3.86	0.09286	0.09261	1	0.7027716393442622
GO:0016459	myosin complex	16	2	1.76	0.11219	0.11219	1	0.7027716393442622
GO:0000790	nuclear chromatin	23	3	2.53	0.11325	0.19313	1	0.7027716393442622
GO:0045202	synapse	13	3	1.43	0.11747	0.11747	1	0.7027716393442622
GO:0005783	endoplasmic reticulum	31	8	3.41	0.12451	0.12451	1	0.7027716393442622
GO:0005743	mitochondrial inner membrane	38	1	4.19	0.14252	0.43062	1	0.908179054054054
GO:0000151	ubiquitin ligase complex	23	0	2.53	0.14264	0.10480	1	0.7027716393442622
GO:0005730	nucleolus	12	0	1.32	0.15016	0.15016	1	0.7027716393442622
GO:0005643	nuclear pore	13	2	1.43	0.16517	0.16517	1	0.7027716393442622
GO:0031966	mitochondrial membrane	53	2	5.84	0.17428	0.49700	1	0.9875454545454546
GO:0005576	extracellular region	96	6	10.57	0.17672	0.14520	1	0.7027716393442622
GO:0015630	microtubule cytoskeleton	59	6	6.5	0.18131	0.83373	1	1
GO:0030660	Golgi-associated vesicle membrane	13	2	1.43	0.18323	0.18323	1	0.7027716393442622
GO:1902562	H4 histone acetyltransferase complex	10	0	1.1	0.20675	0.20675	1	0.7027716393442622
GO:0005667	transcription regulator complex	45	3	4.96	0.21397	0.35638	1	0.8519709375
GO:0030135	coated vesicle	18	4	1.98	0.21525	0.15087	1	0.7027716393442622
GO:0061695	transferase complex, transferring phosphorus-containing groups	36	2	3.97	0.22238	0.61822	1	1
GO:1990204	oxidoreductase complex	14	1	1.54	0.22338	0.22338	1	0.7027716393442622
GO:0098791	Golgi apparatus subcompartment	10	1	1.1	0.22913	0.22913	1	0.7027716393442622
GO:0008023	transcription elongation factor complex	10	1	1.1	0.23129	0.23129	1	0.7027716393442622
GO:0005681	spliceosomal complex	16	0	1.76	0.23468	0.23468	1	0.7027716393442622
GO:0035097	histone methyltransferase complex	11	1	1.21	0.23551	0.23551	1	0.7027716393442622
GO:0000786	nucleosome	33	2	3.63	0.23635	0.23635	1	0.7027716393442622
GO:0030119	AP-type membrane coat adaptor complex	10	1	1.1	0.24285	0.24285	1	0.7027716393442622
GO:0005741	mitochondrial outer membrane	11	0	1.21	0.25263	0.25263	1	0.7027716393442622
GO:0031461	cullin-RING ubiquitin ligase complex	16	0	1.76	0.25671	0.25671	1	0.7027716393442622
GO:0005615	extracellular space	14	2	1.54	0.25864	0.25864	1	0.7027716393442622
GO:0030133	transport vesicle	12	1	1.32	0.26229	0.26229	1	0.7027716393442622
GO:0030120	vesicle coat	16	3	1.76	0.27366	0.27366	1	0.7027716393442622
GO:0005856	cytoskeleton	114	13	12.56	0.28390	0.56315	1	1
GO:0015629	actin cytoskeleton	36	5	3.97	0.33895	0.07738	1	0.69642
GO:0031981	nuclear lumen	135	13	14.87	0.34712	0.13777	1	0.7027716393442622
GO:1902494	catalytic complex	204	16	22.47	0.35237	0.60154	1	1
GO:0005654	nucleoplasm	98	10	10.79	0.37319	0.26601	1	0.7027716393442622
GO:0034708	methyltransferase complex	15	1	1.65	0.38329	0.18188	1	0.7027716393442622
GO:0005737	cytoplasm	442	40	48.69	0.39542	0.93047	1	1
GO:0000123	histone acetyltransferase complex	25	3	2.75	0.39791	0.17034	1	0.7027716393442622
GO:0032991	protein-containing complex	717	54	78.98	0.40662	0.79332	1	1
GO:0005773	vacuole	11	0	1.21	0.41362	0.41362	1	0.908179054054054
GO:0120025	plasma membrane bounded cell projection	21	2	2.31	0.42532	0.82288	1	1
GO:0044815	DNA packaging complex	36	2	3.97	0.43536	0.20161	1	0.7027716393442622
