Orthogroup	Polistes_dominula	Anopheles_gambiae
OG0000001	XP_015180415.1, XP_015180416.1, XP_015180260.1, XP_015190970.1, XP_015183493.1, XP_015174482.1, XP_015174918.1, XP_015173619.1	XP_563971.3
OG0000002	XP_015179396.1, XP_015179319.1, XP_015179317.1, XP_015179443.1, XP_015179316.1, XP_015179442.1, XP_015179331.1, XP_015179329.1, XP_015179330.1, XP_015179496.1, XP_015179323.1, XP_015179394.1, XP_015179320.1, XP_015179321.1, XP_015179328.1, XP_015179325.1, XP_015179324.1, XP_015179392.1, XP_015179322.1, XP_015179497.1	XP_317343.1
OG0000003	XP_015189778.1	XP_001688581.1
OG0000004	XP_015171020.1, XP_015190455.1	XP_310729.1
OG0000004	XP_015176563.1, XP_015189937.1, XP_015177623.1, XP_015189681.1, XP_015175257.1, XP_015175256.1, XP_015185948.1	XP_320414.1
OG0000005	XP_015187494.1, XP_015186874.1	XP_308124.5
OG0000006	XP_015176242.1	XP_320909.1, XP_320910.3
OG0000006	XP_015184251.1	XP_310173.1, XP_310172.2
OG0000008	XP_015180320.1	XP_310333.7
OG0000008	XP_015182812.1	XP_312388.4, XP_312387.5
OG0000008	XP_015180327.1, XP_015180328.1	XP_310332.7, XP_003436611.1
OG0000008	XP_015180322.1, XP_015180321.1, XP_015180323.1	XP_559558.6, XP_003436610.1
OG0000008	XP_015180324.1, XP_015180325.1	XP_310340.1
OG0000009	XP_015177367.1, XP_015177306.1, XP_015177200.1, XP_015177307.1, XP_015177305.1	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3, XP_001238280.1, XP_316781.2
OG0000012	XP_015181488.1, XP_015181463.1	XP_317829.4
OG0000012	XP_015184231.1, XP_015181630.1, XP_015184244.1	XP_321898.3, XP_001689374.2, XP_308888.1, XP_001689375.2, XP_001689376.2, XP_321901.4, XP_001238557.2
OG0000013	XP_015172623.1	XP_560604.5, XP_305996.3, XP_307081.3, XP_315130.3
OG0000013	XP_015174269.1	XP_307601.3
OG0000013	XP_015172185.1	XP_320335.2, XP_320336.2
OG0000017	XP_015172927.1, XP_015172893.1, XP_015172912.1, XP_015172903.1, XP_015172883.1	XP_319968.3, XP_319970.3, XP_319969.1, XP_319967.1, XP_319966.1, XP_001238234.1, XP_319972.1
OG0000017	XP_015180943.1, XP_015180944.1	XP_562676.3
OG0000017	XP_015183882.1, XP_015180945.1	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1
OG0000018	XP_015184408.1	XP_316463.3, XP_557101.2
OG0000018	XP_015186827.1	XP_558678.4, XP_551022.4, XP_321300.4
OG0000018	XP_015186828.1, XP_015175602.1	XP_312930.5
OG0000019	XP_015184618.1, XP_015184619.1, XP_015189804.1, XP_015189805.1	XP_321444.5
OG0000019	XP_015172147.1, XP_015182221.1, XP_015189673.1	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4
OG0000020	XP_015172633.1	XP_554133.3
OG0000020	XP_015183576.1, XP_015183590.1	XP_314903.3, XP_554132.3
OG0000020	XP_015171445.1	XP_001238085.2, XP_319101.4
OG0000020	XP_015183950.1, XP_015183951.1, XP_015183952.1	XP_312941.4
OG0000020	XP_015184365.1	XP_555858.3
OG0000020	XP_015181633.1	XP_001231126.3
OG0000021	XP_015183660.1, XP_015183652.1, XP_015183642.1, XP_015183675.1, XP_015183668.1	XP_313342.5, XP_003436532.1
OG0000021	XP_015190080.1	XP_320239.4, XP_312638.5
OG0000021	XP_015188837.1, XP_015184407.1	XP_003436878.1, XP_315178.5, XP_315182.5, XP_315184.4
OG0000022	XP_015174052.1	XP_320674.3
OG0000022	XP_015173497.1	XP_318365.3
OG0000022	XP_015177598.1	XP_306256.1, XP_307083.3
OG0000024	XP_015181175.1, XP_015181294.1, XP_015189755.1	XP_319504.3, XP_315663.4, XP_315499.1, XP_001237675.1, XP_001237676.2, XP_556135.3, XP_315496.4, XP_312977.3
OG0000026	XP_015181461.1, XP_015181460.1	XP_558069.3
OG0000026	XP_015187707.1, XP_015187708.1, XP_015187709.1, XP_015187706.1	XP_321915.5
OG0000026	XP_015174903.1	XP_003436038.1, XP_308060.4
OG0000026	XP_015191534.1, XP_015187302.1	XP_322033.4
OG0000027	XP_015172634.1	XP_311439.4, XP_305995.3, XP_318361.3, XP_315129.4
OG0000027	XP_015177662.1	XP_307607.3
OG0000029	XP_015172519.1, XP_015172507.1	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1, XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1
OG0000029	XP_015185507.1	XP_319711.4
OG0000029	XP_015172137.1	XP_001688326.1, XP_003436466.1, XP_560960.4, XP_311664.4
OG0000030	XP_015180792.1, XP_015180789.1, XP_015172637.1	XP_320774.4
OG0000032	XP_015184211.1	XP_001231044.2
OG0000032	XP_015191817.1	XP_309525.4
OG0000032	XP_015190537.1, XP_015182537.1, XP_015182533.1	XP_321319.5, XP_320826.2, XP_320829.4, XP_313740.5, XP_310281.6
OG0000035	XP_015172482.1	XP_317561.4
OG0000036	XP_015175890.1	XP_316611.2, XP_001688834.1, XP_001237786.1, XP_565386.2
OG0000036	XP_015174610.1, XP_015174768.1	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1
