Orthogroup	Anopheles_gambiae	Nasonia_vitripennis
OG0000001	XP_563971.3	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1, XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1, XP_001603508.1, NP_001165940.1, XP_001599460.2, NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1
OG0000002	XP_317343.1	NP_001177430.1, NP_001177429.1, NP_001177432.1, NP_001177433.1, XP_032453629.1, NP_001177435.1, NP_001177467.1, NP_001177434.1, NP_001177431.1
OG0000003	XP_001688581.1	XP_031789191.1, XP_031784109.1, XP_031785823.1, XP_031781096.1, XP_031784226.1, XP_031785932.1, XP_031776870.1, XP_031788863.1, XP_031781091.1, XP_031788338.1, XP_031777339.1, XP_031780280.1
OG0000005	XP_308124.5	XP_001604398.2
OG0000008	XP_310333.7	XP_001602085.1
OG0000008	XP_310338.7, XP_310337.6	XP_008205990.2
OG0000008	XP_312388.4, XP_312387.5	XP_031788628.1
OG0000008	XP_003436608.1, XP_003436609.1, XP_003436607.1	XP_003424681.1, XP_031782089.1, XP_016845733.1, XP_003427944.1, XP_003424536.2, XP_001602364.1, XP_016844951.1, XP_016843209.1
OG0000008	XP_310332.7, XP_003436611.1	XP_001602133.1
OG0000008	XP_559558.6, XP_003436610.1	XP_001600419.1
OG0000008	XP_310340.1	XP_032456689.1, XP_032456688.1, XP_001601943.1
OG0000009	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3, XP_001238280.1, XP_316781.2	XP_032456865.1, NP_001166017.1, XP_031788634.1, XP_031788637.1, NP_001166016.1, XP_031788638.1, NP_001165945.1, NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1
OG0000012	XP_317829.4	XP_032452116.1, XP_032452115.1, XP_016838732.1
OG0000012	XP_321898.3, XP_001689374.2, XP_308888.1, XP_001689375.2, XP_001689376.2, XP_321901.4, XP_001238557.2	NP_001166049.1, XP_032452528.1, XP_008205022.1, XP_008205021.1, XP_031781824.1, NP_001166051.1, XP_031778733.1, NP_001166074.1, XP_016836975.1, NP_001166093.1, XP_008204755.1, XP_016837090.2, NP_001155845.1, XP_001599663.2, XP_003425960.1, XP_001604966.2, NP_001166088.1, XP_001603672.1
OG0000013	XP_307081.3	XP_001599179.2
OG0000013	XP_307601.3	XP_003425535.1, XP_001607330.1, XP_001603659.1, XP_001608284.1, XP_031778023.1, XP_031787549.1, XP_001607608.3, XP_031777922.1, XP_031777921.1, XP_001607935.1, XP_008218130.1, XP_031778024.1, XP_031778025.1
