Orthogroup	Tribolium_castaneum	Dufourea_novaeangliae
OG0000000	XP_015839988.1	XP_015437064.1, XP_015437899.1, XP_015434762.1
OG0000001	NP_001137200.1, XP_008192267.1, NP_001177722.1, XP_975563.1, NP_001280531.1, NP_001164249.1, XP_015834314.1, NP_001280532.1, XP_015834315.1, XP_975569.1, XP_008192269.1, XP_975562.1, XP_008192266.1, XP_015834510.1, XP_015834511.1	XP_015431819.1
OG0000001	XP_969875.1	XP_015437062.1
OG0000001	XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1	XP_015431466.1, XP_015436985.1, XP_015436987.1, XP_015436980.1, XP_015436981.1, XP_015436982.1
OG0000002	XP_015839871.1	XP_015431056.1, XP_015431069.1, XP_015431184.1, XP_015431151.1, XP_015431173.1, XP_015431139.1, XP_015431081.1, XP_015431092.1, XP_015431116.1, XP_015431127.1, XP_015431105.1, XP_015431162.1
OG0000003	XP_015840258.1	XP_015437705.1
OG0000003	XP_008199212.2	XP_015438093.1
OG0000003	XP_015834307.1, XP_015836638.1, XP_015833287.1	XP_015429651.1, XP_015435727.1
OG0000004	XP_015834342.1	XP_015437848.1, XP_015435242.1, XP_015433735.1, XP_015436675.1, XP_015435722.1, XP_015437624.1, XP_015436732.1
OG0000008	XP_972338.1	XP_015431031.1
OG0000008	XP_972175.3	XP_015431231.1, XP_015431027.1, XP_015431244.1, XP_015431029.1, XP_015431028.1
OG0000008	XP_969421.1	XP_015435962.1
OG0000008	XP_008191987.1, XP_972532.1	XP_015431211.1
OG0000008	XP_972430.2	XP_015431032.1
OG0000008	XP_015836551.1, XP_015836552.1	XP_015431033.1
OG0000008	XP_008191970.1	XP_015431233.1
OG0000009	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2	XP_015439019.1, XP_015438919.1, XP_015438920.1, XP_015438921.1, XP_015439018.1, XP_015438918.1
OG0000012	XP_967167.2, XP_967253.1, NP_001164207.1, XP_015839971.1	XP_015431006.1
OG0000012	XP_008192552.1	XP_015432417.1, XP_015432474.1, XP_015432475.1
OG0000013	XP_969677.1	XP_015435345.1
OG0000013	XP_966487.1	XP_015435409.1, XP_015440404.1
OG0000013	XP_008197392.1	XP_015434157.1, XP_015434156.1
OG0000014	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1	XP_015435357.1, XP_015435350.1
OG0000016	XP_015840352.1, XP_015840124.1	XP_015435180.1
OG0000017	XP_967395.1, XP_971136.1, XP_966872.2, XP_008200938.1, XP_966966.2, XP_967147.1, XP_971203.1, XP_966787.1, XP_015838196.1, XP_008201195.2, XP_015838248.1, XP_008190708.1, XP_015838206.1, XP_971509.1, XP_008200937.1	XP_015431748.1, XP_015431740.1, XP_015431771.1, XP_015431763.1, XP_015431754.1
OG0000017	XP_015834775.1, XP_974273.1	XP_015436973.1, XP_015436975.1, XP_015436974.1, XP_015436971.1
OG0000018	XP_008200429.1	XP_015440533.1, XP_015440532.1
OG0000018	XP_008193119.1, XP_968748.1, XP_015835557.1, XP_973693.2, XP_015838295.1, XP_015838053.1, XP_969711.1, XP_008194698.1, XP_973658.2, XP_008193214.1, XP_008193215.1, XP_015835529.1, XP_008193213.1, XP_008193216.1, XP_972534.1	XP_015431114.1
OG0000018	XP_008194092.1, XP_969781.1	XP_015437296.1
OG0000018	XP_969849.1, XP_008194093.1, XP_008193834.1	XP_015433210.1
OG0000019	XP_975378.1	XP_015436531.1
OG0000019	XP_973103.2, XP_973187.1, XP_008192578.1, XP_001813143.1, XP_973063.1	XP_015430887.1
OG0000019	XP_972874.1, XP_015834337.1, XP_008192577.2	XP_015431150.1
OG0000020	XP_008201409.2	XP_015433825.1
OG0000020	XP_969457.2	XP_015440423.1
OG0000021	XP_015838406.1, XP_015838407.1, XP_008197201.1	XP_015436481.1
OG0000021	XP_008197404.1	XP_015436556.1
OG0000021	XP_008197199.1	XP_015430481.1
OG0000021	XP_008196932.1	XP_015428676.1
OG0000021	XP_008197203.1, XP_969207.1	XP_015436479.1
OG0000022	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1	XP_015430686.1
OG0000023	XP_008201479.1, XP_008201473.1, XP_008199957.2	XP_015438105.1
OG0000024	XP_970056.2	XP_015435623.1
OG0000026	XP_015833705.1	XP_015439534.1
OG0000026	XP_008193329.1	XP_015434403.1
OG0000026	XP_969357.3	XP_015436711.1
OG0000026	XP_966472.1	XP_015437222.1
OG0000026	XP_015840897.1	XP_015440357.1, XP_015440372.1
OG0000027	XP_008199050.2	XP_015440405.1
OG0000028	XP_015836641.1	XP_015437070.1, XP_015437828.1
OG0000029	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1, XP_971332.1	XP_015428687.1, XP_015428726.1
OG0000029	XP_015840495.1, XP_008201389.1, XP_008201390.1	XP_015430246.1, XP_015428686.1
OG0000030	XP_966905.1	XP_015435285.1, XP_015435289.1, XP_015435290.1, XP_015435288.1, XP_015435286.1
OG0000030	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2	XP_015434622.1
OG0000031	XP_008192426.1, XP_015840131.1, XP_015837232.1, XP_008192457.2	XP_015428709.1
OG0000032	XP_001807564.1	XP_015431638.1
OG0000032	XP_969958.1, XP_970026.1	XP_015439764.1, XP_015439837.1, XP_015439765.1, XP_015439830.1, XP_015438580.1
OG0000033	XP_015837581.1	XP_015437429.1
OG0000035	XP_008191815.1, XP_008191817.1, XP_971626.2, XP_008191746.2, XP_008191790.1	XP_015436890.1, XP_015436892.1
OG0000035	XP_973091.2, XP_008190471.1, XP_015838951.1, XP_015838653.1, XP_967762.1, XP_967685.3, XP_015838842.1, XP_967924.1, XP_015838843.1, XP_972644.2, XP_015838642.1, XP_015838857.1, XP_972496.1, XP_008197534.1, XP_015838775.1, XP_015838840.1, XP_015838776.1, XP_008197589.1, XP_972090.2, XP_008197588.1, XP_008197586.1, XP_972349.2, XP_008197585.1, XP_008197584.1, XP_972444.1	XP_015436992.1
OG0000036	XP_008190813.1	XP_015434749.1
OG0000036	XP_967476.1, XP_001811753.1	XP_015434703.1
OG0000038	XP_966584.1	XP_015433215.1
OG0000039	XP_008191547.1	XP_015435713.1
OG0000040	NP_001161088.1	XP_015434420.1, XP_015432771.1
OG0000040	NP_001161129.1, XP_008193161.1, NP_001161087.1, XP_970321.1, NP_001161083.1	XP_015428989.1, XP_015429021.1, XP_015439748.1
OG0000041	NP_001165844.1	XP_015433852.1
OG0000041	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1	XP_015434640.1, XP_015438128.1, XP_015434651.1, XP_015434661.1
OG0000042	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1	XP_015431768.1
OG0000042	XP_008198874.1, NP_001182164.1, XP_008199928.1, NP_001180578.1	XP_015431650.1, XP_015431773.1, XP_015431779.1, XP_015431770.1
OG0000043	XP_008193777.1, NP_001039289.1	XP_015429520.1
OG0000043	NP_001039285.1	XP_015440180.1
OG0000043	NP_001039279.1, NP_001039280.1, NP_001039278.1	XP_015438227.1
OG0000044	XP_008200957.1	XP_015435691.1
OG0000045	XP_015834974.1, XP_015834972.1	XP_015432638.1, XP_015429239.1, XP_015432639.1
OG0000046	XP_008200986.2, XP_015838368.1	XP_015433680.1
OG0000046	XP_966611.1	XP_015435615.1, XP_015435626.1
OG0000048	XP_008193917.1	XP_015436085.1, XP_015436086.1
OG0000049	XP_969027.1, XP_015839705.1, XP_015837946.1, XP_015840443.1	XP_015434938.1
OG0000050	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1, XP_015840854.1	XP_015435553.1, XP_015434531.1, XP_015434396.1
OG0000051	XP_015840160.1, XP_015838855.1, XP_015838856.1	XP_015431640.1
OG0000051	XP_008196088.2	XP_015428833.1
OG0000052	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1	XP_015430581.1, XP_015437086.1
OG0000054	XP_970381.1	XP_015438771.1, XP_015438765.1
OG0000055	XP_971821.3	XP_015437264.1
OG0000055	XP_969454.3	XP_015436857.1
OG0000055	XP_008194095.1	XP_015428835.1
OG0000056	XP_015835680.1	XP_015437145.1, XP_015440426.1
OG0000056	XP_008197222.1	XP_015428673.1
OG0000056	XP_015834565.1	XP_015437336.1
OG0000056	XP_015839288.1	XP_015433237.1, XP_015433238.1
OG0000056	XP_970084.2	XP_015437708.1
OG0000057	XP_967267.1	XP_015430802.1
OG0000057	XP_969993.1	XP_015434046.1
OG0000057	XP_967348.1	XP_015430702.1, XP_015430703.1
OG0000057	XP_968314.1	XP_015430706.1, XP_015430705.1
OG0000060	XP_008194927.2	XP_015438716.1
OG0000060	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1	XP_015432264.1, XP_015432266.1, XP_015432267.1
OG0000061	XP_969936.2	XP_015432844.1
OG0000061	XP_008197154.2	XP_015431091.1
OG0000062	XP_968760.1	XP_015432477.1
OG0000062	XP_973442.1, XP_974390.1, XP_966780.1, XP_974367.1, XP_973378.1, XP_973344.1, XP_975377.1	XP_015431874.1, XP_015431820.1, XP_015431815.1, XP_015431817.1, XP_015431876.1
OG0000065	XP_015834020.1	XP_015431269.1
OG0000065	XP_969514.1, XP_008198984.1, XP_008198951.1, XP_966889.1, XP_015837535.1, XP_015834023.1, XP_015834022.1	XP_015431271.1, XP_015431347.1
OG0000066	XP_015840033.1	XP_015434666.1
OG0000067	XP_008200210.1	XP_015429287.1
OG0000067	NP_001164095.1, XP_008200192.1	XP_015435565.1
OG0000067	XP_008198995.1	XP_015439239.1
OG0000069	XP_008191789.1	XP_015435554.1
OG0000072	XP_015840056.1, XP_008198792.1, XP_015839243.1	XP_015437903.1
OG0000074	XP_015837890.1, XP_970945.2	XP_015438453.1
OG0000075	XP_008191221.1, XP_015833570.1, XP_015833569.1, XP_015840430.1	XP_015436017.1
OG0000077	XP_008200285.1	XP_015436389.1
OG0000077	XP_008194480.2, XP_971466.1, XP_015836196.1	XP_015435143.1
OG0000079	XP_015834127.1, XP_015834125.1, XP_015834162.1, XP_015834130.1, XP_015834115.1, XP_015834114.1, XP_015834120.1, XP_015834129.1, XP_015834135.1, XP_015834158.1, XP_015834124.1, XP_015834123.1, XP_015834118.1, XP_015834166.1, XP_015834160.1, XP_015834147.1, XP_015834145.1, XP_015834144.1, XP_015834151.1, XP_015834143.1, XP_015834157.1, XP_015834134.1, XP_015834154.1, XP_015834122.1, XP_015834161.1, XP_015834126.1	XP_015431758.1, XP_015431759.1, XP_015431761.1
OG0000080	XP_971544.1	XP_015432762.1
OG0000080	XP_015839289.1	XP_015430277.1
OG0000080	XP_015838833.1, XP_968784.1, XP_008199652.2	XP_015432781.1
OG0000081	XP_015833047.1	XP_015437926.1, XP_015437927.1
OG0000082	XP_008196787.1, XP_008196786.1	XP_015434043.1, XP_015434042.1, XP_015434075.1, XP_015434041.1
OG0000084	XP_008194205.2	XP_015429440.1, XP_015429441.1, XP_015429460.1
OG0000085	XP_008190480.1, XP_008190479.1, XP_008190478.1	XP_015439820.1
OG0000085	XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1	XP_015433752.1
OG0000086	XP_973839.1, XP_008201361.1, XP_008200636.2, XP_971578.1, XP_008193572.1, XP_008197635.1, XP_008193352.1, XP_015839617.1	XP_015439351.1
OG0000086	XP_008200062.1, XP_015834290.1	XP_015439307.1
OG0000087	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2	XP_015433138.1, XP_015433161.1
OG0000087	XP_969383.1	XP_015433219.1, XP_015433217.1, XP_015433218.1
OG0000087	XP_001808639.1, XP_008200953.1, XP_974493.2	XP_015433159.1
OG0000088	XP_015837887.1	XP_015430594.1
OG0000089	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1	XP_015429642.1, XP_015429641.1, XP_015429643.1, XP_015429644.1
OG0000091	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2	XP_015428722.1, XP_015428720.1, XP_015428718.1
OG0000092	XP_008198926.1	XP_015433035.1
OG0000092	XP_967128.1	XP_015431194.1, XP_015431125.1
OG0000093	XP_008198969.1	XP_015434213.1, XP_015436654.1, XP_015434215.1, XP_015429653.1, XP_015439280.1
OG0000094	XP_008194293.1	XP_015432272.1
OG0000094	XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2	XP_015430372.1
OG0000095	XP_971423.1, NP_001034529.1, NP_001107847.1, NP_001034530.1, NP_001107861.1, NP_001107846.1, XP_015839255.1, NP_001107850.1	XP_015436624.1, XP_015436625.1
OG0000096	XP_970191.2	XP_015438977.1
OG0000096	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1	XP_015439740.1
OG0000097	XP_966355.1, XP_008200463.1	XP_015428851.1, XP_015428850.1, XP_015428848.1
OG0000098	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431416.1, XP_015431417.1
OG0000099	XP_973444.1	XP_015434840.1
OG0000099	XP_967359.1	XP_015437951.1
OG0000099	XP_008198312.1	XP_015439443.1
OG0000100	XP_015833282.1, XP_008190946.1, XP_008190945.1	XP_015432704.1, XP_015432705.1
OG0000101	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1	XP_015429187.1
OG0000101	XP_968658.1, XP_008190341.1, XP_968586.1	XP_015437434.1, XP_015434419.1
OG0000102	XP_015836203.1, XP_972020.3, XP_971968.1	XP_015437466.1, XP_015437463.1
OG0000103	NP_001121967.1	XP_015431403.1
OG0000108	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1	XP_015431062.1
OG0000109	XP_008200716.1	XP_015429717.1
OG0000110	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2	XP_015438727.1, XP_015438930.1
OG0000111	XP_008201050.1, XP_970898.1, XP_970952.1, XP_975906.1, NP_001161227.1, NP_001161310.1, XP_015839309.1, XP_970839.1, XP_008201049.1	XP_015434178.1
OG0000112	XP_008191265.1	XP_015437727.1
OG0000112	XP_008198195.1, XP_015837714.1	XP_015439824.1
OG0000113	XP_967872.2, XP_008198495.1, XP_008198500.1	XP_015431174.1, XP_015436887.1, XP_015436888.1
OG0000114	XP_015836792.1, XP_015836794.1	XP_015439692.1, XP_015439905.1
OG0000114	XP_008195366.2, XP_015837027.1, XP_015837028.1	XP_015439901.1
OG0000115	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1	XP_015431679.1, XP_015431680.1, XP_015439194.1, XP_015431789.1, XP_015431678.1
OG0000116	XP_015837656.1	XP_015436046.1, XP_015436326.1
OG0000117	XP_008198411.1	XP_015435315.1
OG0000117	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1	XP_015436200.1
OG0000119	NP_001157311.1	XP_015436224.1, XP_015436228.1, XP_015436225.1
OG0000120	XP_015838347.1	XP_015437451.1, XP_015437450.1, XP_015437448.1
OG0000122	XP_015834556.1	XP_015433447.1
OG0000122	XP_008192222.1	XP_015431888.1
OG0000122	XP_008190630.1, XP_970917.2, NP_001280526.1	XP_015431901.1, XP_015431893.1
OG0000123	XP_001813105.1	XP_015435654.1, XP_015435655.1
OG0000124	XP_015834874.1	XP_015437181.1
OG0000125	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1	XP_015440379.1, XP_015440359.1, XP_015440376.1, XP_015440360.1
OG0000126	NP_001034505.1	XP_015428496.1
OG0000127	XP_008201644.1	XP_015432901.1, XP_015432902.1, XP_015432903.1
OG0000129	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1	XP_015436027.1
OG0000130	XP_008200084.1, XP_001811552.1	XP_015429425.1, XP_015429434.1
OG0000130	XP_008200083.1	XP_015429842.1
OG0000131	XP_001808435.1	XP_015436559.1
OG0000131	XP_008198189.1, XP_968387.1, XP_008198188.1	XP_015436693.1, XP_015436700.1, XP_015436679.1, XP_015436686.1
OG0000132	XP_008198166.1, XP_015839207.1	XP_015437606.1
OG0000133	XP_975308.3	XP_015434318.1
OG0000133	XP_015840591.1	XP_015429111.1
OG0000135	XP_015833857.1, XP_008194086.1	XP_015439063.1
OG0000135	XP_008190640.1, XP_008190639.1	XP_015435320.1, XP_015435321.1
OG0000135	NP_001153713.1	XP_015431583.1
OG0000136	XP_971514.1, XP_971572.1	XP_015437319.1, XP_015436484.1, XP_015438169.1
OG0000137	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1	XP_015432001.1, XP_015433288.1
OG0000138	XP_015840574.1, XP_967720.2, XP_015840573.1	XP_015429248.1, XP_015429192.1
