GO.ID,Term,Annotated,Significant,Expected,classicFisher,classicFisherPadj
GO:0005615,extracellular space,282,17,2.05,4.6e-12,1.5916e-9
GO:0005576,extracellular region,484,18,3.51,2.8e-9,4.844e-7
GO:0098552,side of membrane,75,7,0.54,9.4e-7,1.0841333333333333e-4
GO:0005829,cytosol,924,20,6.71,2.5e-6,2.1625000000000003e-4
GO:0009898,cytoplasmic side of plasma membrane,50,5,0.36,2.7e-5,0.0018684
GO:0098562,cytoplasmic side of membrane,56,5,0.41,4.7e-5,0.0027103333333333333
GO:0005886,plasma membrane,1130,17,8.2,0.0018,0.08897142857142858
GO:0071944,cell periphery,1224,17,8.88,0.0042,0.18164999999999998
GO:0016327,apicolateral plasma membrane,22,2,0.16,0.0109,0.39790000000000003
GO:0009986,cell surface,65,3,0.47,0.0115,0.39790000000000003
GO:0000791,euchromatin,25,2,0.18,0.0139,0.40078333333333327
GO:1902555,endoribonuclease complex,25,2,0.18,0.0139,0.40078333333333327
GO:1905348,endonuclease complex,27,2,0.2,0.0161,0.4285076923076923
GO:0016324,apical plasma membrane,94,3,0.68,0.0304,0.7513142857142857
GO:0098590,plasma membrane region,298,5,2.16,0.0635,1
GO:0110165,cellular anatomical entity,6537,50,47.44,0.0714,1
GO:0045177,apical part of cell,160,3,1.16,0.1094,1
GO:0005777,peroxisome,80,2,0.58,0.1142,1
GO:0042579,microbody,80,2,0.58,0.1142,1
GO:0036464,cytoplasmic ribonucleoprotein granule,82,2,0.6,0.119,1
GO:0035770,ribonucleoprotein granule,83,2,0.6,0.1214,1
GO:0019898,extrinsic component of membrane,84,2,0.61,0.1238,1
GO:0016328,lateral plasma membrane,23,1,0.17,0.1545,1
GO:0005918,septate junction,30,1,0.22,0.1966,1
GO:0000792,heterochromatin,32,1,0.23,0.2083,1
GO:0043186,P granule,32,1,0.23,0.2083,1
GO:0005737,cytoplasm,3685,30,26.74,0.2168,1
GO:0032154,cleavage furrow,34,1,0.25,0.2198,1
GO:0060293,germ plasm,34,1,0.25,0.2198,1
GO:0071013,catalytic step 2 spliceosome,123,2,0.89,0.2243,1
GO:0030139,endocytic vesicle,35,1,0.25,0.2255,1
GO:0005776,autophagosome,37,1,0.27,0.2368,1
GO:0070160,tight junction,37,1,0.27,0.2368,1
GO:0005887,integral component of plasma membrane,348,4,2.53,0.2447,1
GO:0005703,polytene chromosome puff,41,1,0.3,0.2588,1
GO:0120111,neuron projection cytoplasm,41,1,0.3,0.2588,1
GO:0031226,intrinsic component of plasma membrane,361,4,2.62,0.2656,1
