GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0050793	regulation of developmental process	85	17	15.02	0.011	0.082	0.9513636363636364	0.6665964912280701
GO:0051128	regulation of cellular component organization	58	11	10.25	0.020	0.020	0.9513636363636364	0.6665964912280701
GO:0009605	response to external stimulus	174	33	30.75	0.030	0.615	0.9513636363636364	0.7444736842105263
GO:0006996	organelle organization	80	11	14.14	0.037	0.037	0.9513636363636364	0.6665964912280701
GO:0051173	positive regulation of nitrogen compound metabolic process	68	11	12.02	0.038	0.038	0.9513636363636364	0.6665964912280701
GO:0035556	intracellular signal transduction	58	13	10.25	0.044	0.044	0.9513636363636364	0.6665964912280701
GO:0008283	cell population proliferation	50	12	8.84	0.044	0.044	0.9513636363636364	0.6665964912280701
GO:0051641	cellular localization	53	10	9.37	0.054	0.054	0.9513636363636364	0.6665964912280701
GO:0010647	positive regulation of cell communication	50	12	8.84	0.064	0.064	0.9513636363636364	0.6665964912280701
GO:0023056	positive regulation of signaling	50	12	8.84	0.064	0.064	0.9513636363636364	0.6665964912280701
GO:1901576	organic substance biosynthetic process	79	12	13.96	0.065	0.441	0.9513636363636364	0.6665964912280701
GO:2000026	regulation of multicellular organismal development	60	9	10.6	0.100	0.100	1	0.6665964912280701
GO:0051252	regulation of RNA metabolic process	52	11	9.19	0.108	0.108	1	0.6665964912280701
GO:0016043	cellular component organization	132	24	23.33	0.108	0.268	1	0.6665964912280701
GO:0048519	negative regulation of biological process	107	19	18.91	0.115	0.381	1	0.6665964912280701
GO:0051234	establishment of localization	73	14	12.9	0.121	0.356	1	0.6665964912280701
GO:0033036	macromolecule localization	58	12	10.25	0.123	0.123	1	0.6665964912280701
GO:0031325	positive regulation of cellular metabolic process	78	13	13.78	0.128	0.128	1	0.6665964912280701
GO:0048522	positive regulation of cellular process	127	25	22.44	0.150	0.028	1	0.6665964912280701
GO:0051704	multi-organism process	85	13	15.02	0.154	0.188	1	0.6665964912280701
GO:0051179	localization	113	21	19.97	0.156	0.134	1	0.6665964912280701
GO:0048584	positive regulation of response to stimulus	83	16	14.67	0.160	0.160	1	0.6665964912280701
GO:0051239	regulation of multicellular organismal process	78	15	13.78	0.163	0.035	1	0.6665964912280701
GO:0048477	oogenesis	64	10	11.31	0.173	0.173	1	0.6665964912280701
GO:0040011	locomotion	68	16	12.02	0.174	0.174	1	0.6665964912280701
GO:0065008	regulation of biological quality	77	14	13.61	0.187	0.187	1	0.6665964912280701
GO:0009617	response to bacterium	80	17	14.14	0.190	0.395	1	0.6665964912280701
GO:0002682	regulation of immune system process	92	17	16.26	0.211	0.744	1	0.8290952380952382
GO:0050794	regulation of cellular process	180	34	31.81	0.217	0.265	1	0.6665964912280701
GO:0048869	cellular developmental process	122	22	21.56	0.228	0.541	1	0.7146829268292683
GO:0030182	neuron differentiation	64	12	11.31	0.231	0.340	1	0.6665964912280701
GO:0031326	regulation of cellular biosynthetic process	64	12	11.31	0.231	0.371	1	0.6665964912280701
GO:0009889	regulation of biosynthetic process	65	13	11.49	0.233	0.317	1	0.6665964912280701
GO:0009790	embryo development	54	10	9.54	0.240	0.240	1	0.6665964912280701
GO:0042221	response to chemical	86	19	15.2	0.248	0.248	1	0.6665964912280701
GO:0009966	regulation of signal transduction	87	17	15.38	0.252	0.252	1	0.6665964912280701
GO:0048513	animal organ development	107	19	18.91	0.260	0.230	1	0.6665964912280701
GO:0000902	cell morphogenesis	56	12	9.9	0.271	0.489	1	0.6767457627118644
GO:0006351	transcription, DNA-templated	50	10	8.84	0.276	0.276	1	0.6665964912280701
GO:0022412	cellular process involved in reproduction in multicellular organism	74	11	13.08	0.278	0.202	1	0.6665964912280701
GO:0007444	imaginal disc development	52	11	9.19	0.282	0.282	1	0.6665964912280701
GO:0006928	movement of cell or subcellular component	68	15	12.02	0.286	0.286	1	0.6665964912280701
GO:0120036	plasma membrane bounded cell projection organization	54	12	9.54	0.299	0.299	1	0.6665964912280701
GO:0048569	post-embryonic animal organ development	55	10	9.72	0.304	0.304	1	0.6665964912280701
GO:0010468	regulation of gene expression	71	14	12.55	0.314	0.314	1	0.6665964912280701
GO:0010604	positive regulation of macromolecule metabolic process	66	10	11.66	0.320	0.320	1	0.6665964912280701
GO:0048468	cell development	108	19	19.09	0.329	0.438	1	0.6665964912280701
GO:0048523	negative regulation of cellular process	97	17	17.14	0.333	0.333	1	0.6665964912280701
GO:0048699	generation of neurons	67	13	11.84	0.336	0.278	1	0.6665964912280701
GO:0003006	developmental process involved in reproduction	77	12	13.61	0.340	0.190	1	0.6665964912280701
GO:0045595	regulation of cell differentiation	59	10	10.43	0.351	0.351	1	0.6665964912280701
GO:0044271	cellular nitrogen compound biosynthetic process	70	12	12.37	0.356	0.349	1	0.6665964912280701
GO:0002376	immune system process	168	30	29.69	0.357	0.732	1	0.8241398601398601
GO:0006796	phosphate-containing compound metabolic process	53	13	9.37	0.367	0.367	1	0.6665964912280701
GO:0031323	regulation of cellular metabolic process	112	24	19.79	0.370	0.127	1	0.6665964912280701
GO:0044267	cellular protein metabolic process	95	16	16.79	0.377	0.319	1	0.6665964912280701
GO:0030855	epithelial cell differentiation	52	9	9.19	0.404	0.404	1	0.6665964912280701
GO:0048585	negative regulation of response to stimulus	56	10	9.9	0.411	0.411	1	0.6665964912280701
GO:0007166	cell surface receptor signaling pathway	88	14	15.55	0.431	0.431	1	0.6665964912280701
GO:0006725	cellular aromatic compound metabolic process	92	19	16.26	0.433	0.466	1	0.6665964912280701
GO:0009791	post-embryonic development	68	11	12.02	0.436	0.293	1	0.6665964912280701
GO:0042742	defense response to bacterium	75	15	13.25	0.441	0.441	1	0.6665964912280701
