GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0003735	structural constituent of ribosome	147	101	70.42	1.3e-08	1.3e-08	2.5740000000000003e-6	2.5740000000000003e-6
GO:0004386	helicase activity	95	60	45.51	0.00072	0.00072	0.07128000000000001	0.028512000000000003
GO:0003723	RNA binding	547	308	262.04	0.00146	2.0e-05	0.09636	0.0013200000000000002
GO:0003677	DNA binding	675	351	323.36	0.00321	0.01652	0.12243000000000001	0.24424714285714286
GO:0004518	nuclease activity	103	56	49.34	0.00331	0.10327	0.12243000000000001	0.5903228571428571
GO:0097159	organic cyclic compound binding	2058	1043	985.88	0.00371	0.00192	0.12243000000000001	0.06336
GO:1990837	sequence-specific double-stranded DNA binding	323	161	154.73	0.00536	0.14063	0.15161142857142856	0.66654
GO:1901363	heterocyclic compound binding	2047	1035	980.61	0.00689	0.00249	0.1705275	0.07043142857142858
GO:0008094	DNA-dependent ATPase activity	65	40	31.14	0.00776	0.00776	0.17072	0.17072
GO:0140097	catalytic activity, acting on DNA	111	64	53.17	0.01058	0.01058	0.1998	0.19305
GO:0003713	transcription coactivator activity	62	35	29.7	0.01110	0.01110	0.1998	0.19305
GO:0045182	translation regulator activity	76	42	36.41	0.01835	0.01170	0.30096	0.19305
GO:0016829	lyase activity	106	55	50.78	0.02123	0.02123	0.30096	0.280236
GO:0140098	catalytic activity, acting on RNA	227	112	108.74	0.02153	0.24089	0.30096	0.7866900000000001
GO:0003729	mRNA binding	161	88	77.13	0.02280	0.02280	0.30096	0.28215
GO:0030546	signaling receptor activator activity	58	24	27.78	0.02573	0.81680	0.31840875	1
GO:0008289	lipid binding	147	73	70.42	0.03211	0.22273	0.3739870588235294	0.7736936842105264
GO:0046943	carboxylic acid transmembrane transporter activity	57	34	27.31	0.04017	0.04017	0.42876000000000003	0.42876000000000003
GO:0008092	cytoskeletal protein binding	277	138	132.7	0.04175	0.26223	0.42876000000000003	0.7866900000000001
GO:0001216	DNA-binding transcription activator activity	79	39	37.84	0.04519	0.21280	0.42876000000000003	0.76608
GO:0015078	proton transmembrane transporter activity	58	31	27.78	0.04590	0.04590	0.42876000000000003	0.42876000000000003
GO:0019901	protein kinase binding	84	50	40.24	0.04764	0.04764	0.42876000000000003	0.42876000000000003
GO:0003774	motor activity	62	37	29.7	0.05056	0.05056	0.435255652173913	0.435255652173913
GO:0005515	protein binding	2546	1246	1219.66	0.06247	0.06125	0.5153774999999999	0.4885056
GO:0030674	protein-macromolecule adaptor activity	76	40	36.41	0.06544	0.06544	0.5178066666666666	0.4983507692307692
GO:0030545	receptor regulator activity	62	28	29.7	0.06917	0.57375	0.5178066666666666	1
GO:0042803	protein homodimerization activity	104	57	49.82	0.07061	0.07061	0.5178066666666666	0.5178066666666666
GO:0090079	translation regulator activity, nucleic acid binding	68	36	32.58	0.07373	0.07427	0.5213764285714286	0.525195
GO:0019899	enzyme binding	426	215	204.07	0.08210	0.19978	0.5605448275862069	0.7463479245283019
GO:0008135	translation factor activity, RNA binding	58	31	27.78	0.08642	0.08642	0.570372	0.59004
