Orthogroup	Apis_mellifera	Polistes_dominula
OG0000001	XP_624795.3, XP_026302253.1, XP_016772837.1	XP_015182412.1, XP_015182413.1, XP_015181295.1
OG0000001	XP_623362.3	XP_015190970.1
OG0000001	XP_026300534.1, NP_001352129.1, NP_001352128.1, XP_026300533.1, XP_026300532.1, XP_026300343.1, NP_001035324.1, XP_006565062.2, XP_397347.4, XP_026300531.1, XP_623595.1, NP_001352068.1, XP_006565077.1, XP_026300601.1, XP_006565076.1, NP_001352069.1, XP_026300602.1, XP_026300530.1, XP_016771320.1, XP_026300535.1, XP_395671.3	XP_015183493.1
OG0000001	XP_026296210.1	XP_015174482.1
OG0000001	XP_006564499.3	XP_015174918.1
OG0000002	NP_001229891.1, NP_001229890.1, NP_001229892.1, NP_001229889.1, XP_006565945.1, XP_016773520.1, XP_016773523.1, NP_001229894.1, XP_026302135.1, NP_001229893.1, XP_026302134.1, NP_001229888.1, XP_006565941.2, XP_006565943.1, NP_001229887.1, XP_003250767.2, XP_026294956.1	XP_015179319.1, XP_015179317.1
OG0000002	XP_003250769.3, XP_026294905.1, XP_026294912.1	XP_015179442.1
OG0000002	XP_006565883.2, NP_001229910.1, XP_026294765.1, NP_001229909.1, XP_006572517.1, NP_001229911.1, XP_016773537.1, XP_016773528.1, XP_016773529.1, XP_006565970.2	XP_015179331.1
OG0000002	NP_001229907.1, NP_001229906.1, NP_001229905.1, XP_026302143.1	XP_015179329.1, XP_015179330.1, XP_015179496.1
OG0000002	NP_001229900.1	XP_015179323.1
OG0000002	NP_001229895.1, XP_003250726.1	XP_015179394.1
OG0000002	XP_016773538.1, XP_003250765.1, XP_006565948.1, XP_001121659.1, XP_006565947.2, NP_001229896.1, XP_016773454.2, XP_006565887.1, NP_001229899.1	XP_015179320.1, XP_015179321.1
OG0000004	XP_006572180.1	XP_015180194.1
OG0000005	XP_016771095.2	XP_015187494.1, XP_015186874.1
OG0000006	XP_016771362.2	XP_015180561.1
OG0000006	XP_026300578.1	XP_015180690.1, XP_015180565.1, XP_015180566.1, XP_015180564.1
OG0000006	XP_003250826.2	XP_015184251.1
