ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"LOC114872242"	NA	chrOU015519.1	+	7599524	7599663	7599745	7599883	7599295	7599442	7599952	7600119
1	"LOC114872156"	NA	chrOU015519.1	+	6941263	6941324	6955725	6955792	6935436	6935558	6966619	6966744
2	"LOC114879140"	NA	chrOU015519.1	+	6557527	6562098	6575446	6575494	6555268	6555860	6581212	6581562
3	"LOC114879140"	NA	chrOU015519.1	+	6595095	6595267	6596900	6597046	6593426	6593586	6598590	6598680
4	"LOC114879140"	NA	chrOU015519.1	+	6595095	6595267	6596900	6597046	6593426	6593586	6599860	6600086
5	"LOC114879140"	NA	chrOU015519.1	+	6595095	6595267	6598590	6598680	6593426	6593586	6599860	6600086
6	"LOC114879140"	NA	chrOU015519.1	+	6596900	6597046	6598590	6598680	6593426	6593586	6599860	6600086
7	"LOC114879140"	NA	chrOU015519.1	+	6596900	6597046	6599860	6600086	6595095	6595267	6600480	6600591
8	"LOC114879140"	NA	chrOU015519.1	+	6598590	6598680	6599860	6600086	6596900	6597046	6600480	6600591
9	"LOC114879140"	NA	chrOU015519.1	+	6598590	6598680	6599860	6600086	6598032	6598101	6600480	6600591
10	"LOC114876654"	NA	chrOU015519.1	-	5757727	5757772	5758045	5758171	5757385	5757472	5758263	5758399
11	"LOC114871485"	NA	chrOU015519.1	+	5540226	5540362	5540468	5540524	5539892	5539976	5540610	5540628
12	"LOC114871553"	NA	chrOU015519.1	-	5330182	5330337	5347706	5347760	5252152	5252257	5373762	5374656
13	"LOC114871553"	NA	chrOU015519.1	-	5330182	5330337	5347706	5347760	5252152	5252257	5426245	5426957
15	"LOC114871553"	NA	chrOU015519.1	-	5347706	5347760	5404680	5404705	5252152	5252257	5426245	5426957
16	"LOC114871522"	NA	chrOU015519.1	+	4824129	4824318	4826791	4826824	4755187	4755549	4827893	4827914
17	"LOC114871522"	NA	chrOU015519.1	+	4826791	4826824	4827893	4827914	4824129	4824318	4840436	4840538
18	"LOC114871547"	NA	chrOU015519.1	+	4425996	4426121	4427034	4427197	4423104	4423261	4430488	4430615
19	"LOC114871547"	NA	chrOU015519.1	+	4427034	4427197	4430488	4430615	4425996	4426121	4432613	4432710
20	"LOC114871547"	NA	chrOU015519.1	+	4430488	4430615	4432613	4432710	4427034	4427197	4433138	4433223
21	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4432613	4432710	4430488	4430615	4433138	4433223
22	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4432613	4432710	4430488	4430615	4433328	4433416
23	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4433138	4433223	4430488	4430615	4433328	4433416
24	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4432613	4432710	4430488	4430615	4434371	4434668
25	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4433138	4433223	4430488	4430615	4434371	4434668
26	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4433328	4433416	4430488	4430615	4434371	4434668
27	"LOC114871547"	NA	chrOU015519.1	+	4432613	4432710	4433138	4433223	4430488	4430615	4433328	4433416
28	"LOC114871547"	NA	chrOU015519.1	+	4432613	4432710	4433138	4433223	4430488	4430615	4434371	4434668
29	"LOC114871547"	NA	chrOU015519.1	+	4432613	4432710	4433328	4433416	4430488	4430615	4434371	4434668
30	"LOC114871547"	NA	chrOU015519.1	+	4433138	4433223	4433328	4433416	4430488	4430615	4434371	4434668
31	"LOC114879066"	NA	chrOU015519.1	-	4187544	4187838	4188753	4188833	4187046	4187157	4190698	4190799
32	"LOC114879066"	NA	chrOU015519.1	-	4188753	4188833	4190698	4190799	4187544	4187838	4190958	4191070
33	"LOC114880250"	NA	chrOU015519.1	+	3818516	3818982	3820982	3821444	3811186	3811416	3841973	3842066
34	"LOC114880250"	NA	chrOU015519.1	+	3820982	3821444	3841973	3842066	3818516	3818982	3846158	3846331
35	"LOC114880250"	NA	chrOU015519.1	+	3841973	3842066	3846158	3846331	3820982	3821444	3847726	3847860
36	"LOC114880260"	NA	chrOU015519.1	+	3773107	3773251	3773323	3773776	3772713	3772901	3774374	3774494
37	"LOC114877993"	NA	chrOU015519.1	+	3659566	3659835	3668834	3668953	3658076	3658262	3671369	3671577
38	"LOC114877990"	NA	chrOU015519.1	-	3646174	3646342	3647022	3647076	3645108	3645423	3647517	3647645
39	"LOC114877990"	NA	chrOU015519.1	-	3646174	3646342	3647022	3647079	3645108	3645423	3647517	3647645
40	"LOC114878014"	NA	chrOU015519.1	+	3389389	3389729	3392966	3394332	3383053	3383250	3396218	3396314
41	"LOC114878014"	NA	chrOU015519.1	+	3390812	3390896	3392966	3394332	3389389	3389729	3395833	3395854
42	"LOC114878014"	NA	chrOU015519.1	+	3392966	3394332	3395833	3395854	3390812	3390896	3396218	3396314
44	"LOC114877840"	NA	chrOU015519.1	-	2834004	2836107	2836788	2837019	2832412	2833014	2837350	2837472
45	"LOC114877884"	NA	chrOU015519.1	+	2750645	2750706	2750867	2751213	2749394	2749907	2752639	2754264
46	"LOC114879732"	NA	chrOU015519.1	-	2539460	2539668	2540077	2540227	2539159	2539399	2540436	2540524
47	"LOC114879732"	NA	chrOU015519.1	-	2540077	2540227	2540436	2540524	2539460	2539668	2540615	2540837
48	"LOC114879732"	NA	chrOU015519.1	-	2540077	2540399	2540436	2540524	2539460	2539668	2540615	2540837
49	"LOC114879730"	NA	chrOU015519.1	+	2484455	2484735	2486687	2486945	2481692	2482116	2488901	2489057
50	"LOC114879738"	NA	chrOU015519.1	-	2439278	2439400	2439782	2440071	2438596	2438755	2440164	2440190
51	"LOC114879497"	NA	chrOU015519.1	+	2113439	2113537	2114184	2114335	2111063	2111687	2115007	2115137
52	"LOC114879497"	NA	chrOU015519.1	+	2113439	2113537	2115007	2115137	2111063	2111687	2115269	2115423
53	"LOC114876485"	NA	chrOU015518.1	+	8646108	8646207	8646435	8646505	8644586	8644697	8646635	8646988
57	"LOC114876525"	NA	chrOU015518.1	-	8184038	8184127	8193211	8193318	8171610	8171839	8208247	8210126
58	"LOC114876525"	NA	chrOU015518.1	-	8184038	8184127	8193211	8193318	8171610	8171839	8271323	8271843
59	"LOC114876515"	NA	chrOU015518.1	+	8097695	8097871	8098647	8098736	8097352	8097452	8098796	8098947
60	"LOC114876490"	NA	chrOU015518.1	+	8072275	8072371	8075775	8075890	8067460	8067582	8076336	8076515
61	"LOC114875664"	NA	chrOU015518.1	+	7806125	7806316	7806383	7806561	7805346	7806064	7806639	7806806
62	"LOC114880857"	NA	chrOU015518.1	-	6311779	6312172	6336886	6337777	6304991	6309113	6341226	6341748
63	"LOC114880857"	NA	chrOU015518.1	-	6311779	6312172	6336886	6337777	6304991	6309113	6346293	6346479
64	"LOC114877828"	NA	chrOU015518.1	-	5889331	5889444	5907196	5907374	5874181	5874425	6001359	6001570
66	"LOC114878476"	NA	chrOU015518.1	+	4350938	4351043	4351434	4352334	4350257	4350401	4352910	4353313
67	"LOC114880579"	NA	chrOU015518.1	+	3695628	3695907	3697286	3697698	3692937	3693455	3698353	3699138
68	"LOC114882872"	NA	chrOU015518.1	-	3135269	3135336	3139391	3139466	3133474	3133603	3148483	3148629
69	"LOC114882872"	NA	chrOU015518.1	-	3137047	3137325	3139391	3139466	3135269	3135336	3148483	3148629
70	"LOC114882872"	NA	chrOU015518.1	-	3137047	3137325	3139391	3139466	3136062	3136842	3140833	3141143
71	"LOC114882872"	NA	chrOU015518.1	-	3137047	3137325	3139391	3139466	3136062	3136842	3146213	3146299
72	"LOC114882872"	NA	chrOU015518.1	-	3137047	3137325	3139391	3139466	3136062	3136842	3148483	3148629
73	"LOC114882852"	NA	chrOU015518.1	-	2473865	2474110	2474765	2474957	2472928	2473523	2475862	2476239
74	"LOC114882828"	NA	chrOU015518.1	+	2064144	2064187	2064330	2064525	2063749	2064058	2065710	2065855
76	"LOC114881700"	NA	chrOU015518.1	-	1638501	1638742	1639409	1639436	1637330	1637572	1639696	1639836
77	"LOC114872893"	NA	chrOU015518.1	+	1316942	1317073	1319156	1319374	1316664	1316771	1320459	1320870
78	"LOC114878487"	NA	chrOU015518.1	+	4291815	4291893	4292059	4292201	4291285	4291418	4295223	4296267
79	"LOC114878487"	NA	chrOU015518.1	+	4292059	4292201	4295223	4296267	4291285	4291418	4296426	4297887
80	"LOC114878487"	NA	chrOU015518.1	+	4292059	4292201	4295223	4296267	4291815	4291893	4296426	4297887
83	"LOC114872846"	NA	chrOU015518.1	+	1026713	1026762	1031284	1031333	1019832	1019874	1038629	1043822
84	"LOC114872846"	NA	chrOU015518.1	+	1026713	1026762	1035788	1036062	1019832	1019874	1038629	1043822
86	"LOC114872846"	NA	chrOU015518.1	+	1031284	1031333	1035788	1036062	1019832	1019874	1037565	1037949
87	"LOC114872846"	NA	chrOU015518.1	+	1031284	1031333	1035788	1036062	1019832	1019874	1038629	1043822
88	"LOC114872903"	NA	chrOU015518.1	-	942658	942810	944271	944421	939441	939595	944883	944964
89	"LOC114872903"	NA	chrOU015518.1	-	942658	942810	944271	944421	939441	939595	944913	945003
90	"LOC114872849"	NA	chrOU015518.1	-	853684	854257	854446	854485	853329	853399	856573	856863
91	"LOC114872849"	NA	chrOU015518.1	-	856573	856863	858050	858089	854446	854485	863890	863984
92	"LOC114872849"	NA	chrOU015518.1	-	856940	857029	857429	857654	856573	856863	858050	858089
93	"LOC114872849"	NA	chrOU015518.1	-	856940	857029	857429	857654	856573	856863	863890	863984
95	"LOC114873001"	NA	chrOU015518.1	-	789601	789705	790030	790365	789340	789421	790506	790591
96	"LOC114873001"	NA	chrOU015518.1	-	789601	789705	790142	790365	789340	789421	790506	790591
97	"LOC114873001"	NA	chrOU015518.1	-	789601	789705	790142	790365	789340	789421	790649	791101
99	"LOC114873001"	NA	chrOU015518.1	-	789601	789705	790649	790701	789340	789421	790864	791101
100	"LOC114873001"	NA	chrOU015518.1	-	790030	790365	790506	790591	789601	789705	790649	791101
101	"LOC114873001"	NA	chrOU015518.1	-	790142	790365	790506	790591	789340	789421	790649	791101
102	"LOC114873001"	NA	chrOU015518.1	-	790142	790365	790506	790591	789601	789705	790649	791101
103	"LOC114873005"	NA	chrOU015518.1	+	769362	769475	769541	769798	766923	767253	769964	770040
104	"LOC114872876"	NA	chrOU015518.1	+	741319	741466	741524	741728	740901	741096	741799	742312
107	"LOC114876016"	NA	chrOU015518.1	-	642802	642941	643157	643271	641040	641205	643669	643752
109	"LOC114881379"	NA	chrOU015517.1	+	7363479	7363619	7371037	7371419	7363281	7363409	7374529	7375055
110	"LOC114876825"	NA	chrOU015517.1	+	6085881	6086106	6102045	6102211	6010906	6011688	6103348	6103506
111	"LOC114876825"	NA	chrOU015517.1	+	6085881	6086106	6102045	6102211	6051394	6051660	6103348	6103506
112	"LOC114876825"	NA	chrOU015517.1	+	6102045	6102211	6103348	6103506	6085881	6086106	6105164	6105350
114	"LOC114875919"	NA	chrOU015517.1	+	5052349	5052411	5059847	5059896	5045372	5045544	5061951	5062127
117	"LOC114872740"	NA	chrOU015517.1	-	4675013	4675140	4675620	4675749	4674746	4674947	4675826	4675890
118	"LOC114872766"	NA	chrOU015517.1	-	4483041	4483207	4486939	4487105	4482019	4482956	4487175	4487309
119	"LOC114872766"	NA	chrOU015517.1	-	4483883	4484140	4495098	4495355	4483485	4483755	4497054	4497210
120	"LOC114878740"	NA	chrOU015518.1	-	1676317	1676460	1679354	1679552	1672479	1672582	1702470	1702983
121	"LOC114878740"	NA	chrOU015518.1	-	1677574	1677750	1679354	1679552	1676317	1676460	1702470	1702983
122	"LOC114872720"	NA	chrOU015517.1	+	4209484	4209917	4217709	4217843	4153599	4153904	4232712	4232856
123	"LOC114880040"	NA	chrOU015509.1	-	9122103	9122455	9122778	9122954	9121827	9122030	9123402	9123763
124	"LOC114874207"	NA	chrOU015513.1	-	9458924	9459010	9464643	9464682	9458626	9458851	9464848	9464997
125	"LOC114873803"	NA	chrOU015514.1	+	6698772	6698982	6699446	6699761	6697953	6698242	6700134	6700533
126	"LOC114874422"	NA	chrOU015512.1	-	6640624	6640777	6645978	6646317	6637000	6637168	6647203	6647441
127	"LOC114874422"	NA	chrOU015512.1	-	6651710	6651989	6653483	6653652	6650244	6650449	6655795	6655980
128	"LOC114874422"	NA	chrOU015512.1	-	6651710	6651989	6653483	6653652	6650244	6650449	6661232	6661701
129	"LOC114880750"	NA	chrOU015510.1	-	20136	20388	20699	20830	19907	20037	21323	21365
133	"LOC114876945"	NA	chrOU015510.1	+	5081848	5081946	5083463	5083499	5079992	5080246	5083947	5084047
134	"LOC114876945"	NA	chrOU015510.1	+	5085855	5086016	5086626	5086770	5085233	5085410	5087396	5087537
135	"LOC114876945"	NA	chrOU015510.1	+	5086626	5086770	5087396	5087537	5085855	5086016	5087655	5088930
136	"LOC114876945"	NA	chrOU015510.1	+	5086644	5086770	5087396	5087537	5085855	5086016	5087655	5088930
138	"LOC114875351"	NA	chrOU015510.1	+	6062393	6062449	6071561	6072572	6060937	6061034	6080548	6080716
139	"LOC114877310"	NA	chrOU015509.1	+	2069702	2069858	2069973	2070174	2068756	2068879	2070237	2070520
140	"LOC114878906"	NA	chrOU015509.1	+	5473828	5474026	5474224	5474863	5473101	5473245	5475635	5475681
