Orthogroup	Tribolium_castaneum	Aedes_aegypti
OG0000000	XP_015839988.1	XP_021704707.1
OG0000000	XP_015839902.1, XP_015840447.1, XP_015840446.1, XP_015840340.1, XP_015840305.1	XP_021706494.1
OG0000001	XP_970215.1, XP_970481.1, XP_969048.1, XP_015839998.1, XP_008200093.1, NP_001123875.1, XP_015839996.1, XP_966437.1, XP_968370.1, XP_008190374.1, XP_008200096.1, XP_970282.1, XP_969633.1, XP_969948.1	XP_001649932.1, XP_021693513.1, XP_021693512.1, XP_011493176.1, XP_021703140.1, XP_021702543.1, XP_021702544.1, XP_001653676.1, XP_001653678.1, XP_001653677.1, XP_001653674.1, XP_001653673.1, XP_001653672.1, XP_021703143.1, XP_001653671.1, XP_021703139.1, XP_021703138.1, XP_011492959.1, XP_001653683.1, XP_001653686.1, XP_021703137.1, XP_021703135.1, XP_001653682.1, XP_001653687.3, XP_001653675.1
OG0000001	XP_974742.1	XP_001649311.2, XP_001649312.1, XP_021710387.1, XP_001653509.1, XP_001653903.2
OG0000001	XP_969875.1, XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1	XP_021704701.1
OG0000002	XP_015839871.1	XP_021711562.1
OG0000003	XP_015840258.1	XP_021712997.1
OG0000005	XP_015836998.1	XP_021695234.1, XP_021695375.1
OG0000005	XP_015833636.1	XP_021709990.1, XP_021704183.1
OG0000006	XP_015840913.1, XP_015839886.1, XP_015840914.1, XP_015839882.1, XP_015840915.1, XP_015838120.1, XP_015833039.1, XP_015838103.1, XP_008197157.2, XP_015838111.1, XP_015838098.1, XP_015833153.1, XP_015833154.1, XP_015838097.1, XP_015838114.1, XP_015837672.1, XP_015837670.1, XP_015833429.1, XP_015833045.1, XP_015833034.1, XP_015838052.1, XP_015838051.1, XP_015834939.1	XP_021709039.1, XP_021709040.1
OG0000007	XP_015837969.1	XP_021697170.1, XP_021709698.1, XP_021708773.1, XP_021712875.1, XP_021711983.1, XP_021697510.1, XP_021700679.1, XP_021694728.1, XP_021706451.1
OG0000008	XP_972338.1	XP_001648300.1
OG0000008	XP_972175.3	XP_001648297.2
OG0000008	XP_008192683.1	XP_001648306.2
OG0000008	XP_969421.1	XP_001661923.2
OG0000008	XP_008191987.1, XP_972532.1	XP_021710654.1
OG0000008	XP_972430.2	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1
OG0000008	XP_015836551.1, XP_015836552.1	XP_001648302.1
OG0000008	XP_008191970.1	XP_021710647.1
OG0000009	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2	XP_021705958.1, XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1, XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1, XP_001657206.1
OG0000012	XP_967167.2, XP_967253.1, NP_001164207.1, XP_015839971.1	XP_001658080.2, XP_001663002.1, XP_001652943.1, XP_001663900.2, XP_001658491.2, XP_001663898.2, XP_021707969.1, XP_001663895.2, XP_001660673.2, XP_001660676.2, XP_021703076.1, XP_001657786.1, XP_001650145.1, XP_021712427.1, XP_021707394.1
OG0000012	XP_008192552.1	XP_001651150.1, XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1
OG0000013	XP_969677.1	XP_001662236.1, XP_001657279.1, XP_021705634.1, XP_021711156.1, XP_021711154.1, XP_001656985.1, XP_001656989.1, XP_021711158.1, XP_021711157.1, XP_021711153.1, XP_021701440.1
OG0000013	XP_966487.1	XP_021707704.1
OG0000013	XP_008197392.1	XP_001657554.1, XP_001655332.2
OG0000014	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1	XP_021712022.1, XP_021712028.1, XP_021712218.1, XP_021712784.1, XP_021712783.1, XP_021712339.1, XP_021712330.1, XP_021712329.1, XP_021712221.1, XP_021712313.1, XP_021712314.1, XP_021712340.1, XP_021712206.1, XP_021706421.1, XP_021712216.1, XP_001662034.1, XP_021712926.1, XP_021695294.1, XP_021712190.1, XP_021706522.1, XP_021706535.1
OG0000016	XP_015840352.1, XP_015840124.1	XP_021712581.1, XP_021694278.1, XP_021695205.1
OG0000017	XP_015838206.1	XP_021701980.1, XP_021701981.1, XP_001658752.1, XP_021701977.1, XP_021701978.1, XP_021701979.1, XP_001658750.1, XP_021701982.1, XP_021701973.1, XP_021701974.1, XP_021701975.1, XP_021701976.1, XP_001658753.1, XP_001658755.1
OG0000017	XP_015834775.1, XP_974273.1	XP_001658009.2, XP_021693938.1, XP_001658007.2
OG0000018	XP_008200429.1	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1
OG0000018	XP_008194092.1, XP_969781.1	XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1, XP_001651693.2
OG0000018	XP_969849.1, XP_008194093.1, XP_008193834.1	XP_021706781.1
OG0000019	XP_975378.1	XP_021694331.1, XP_021694068.1
OG0000019	XP_973324.1, XP_972874.1, XP_015834337.1, XP_008192577.2	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2
OG0000020	XP_008201408.1, XP_008201409.2	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1, XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1
OG0000020	XP_969457.2	XP_021705068.1
OG0000021	XP_015838406.1, XP_015838407.1, XP_008197201.1	XP_001654997.1, XP_021710336.1, XP_021710335.1
OG0000021	XP_008197404.1	XP_021699404.1
OG0000021	XP_008197199.1	XP_021713110.1, XP_001662165.1
OG0000023	XP_008201479.1, XP_008201473.1, XP_008199957.2	XP_021706557.1
