Orthogroup	Osmia_bicornis	Tribolium_castaneum
OG0000000	XP_029054235.1, XP_029054585.1, XP_029054548.1	XP_015839988.1
OG0000000	XP_029053795.1, XP_029054177.1, XP_029054739.1, XP_029054402.1, XP_029054850.1, XP_029054450.1, XP_029054401.1	XP_015840338.1
OG0000001	XP_029044867.1	NP_001137200.1, XP_008192267.1, NP_001177722.1, XP_975563.1, NP_001280531.1, NP_001164249.1, XP_015834314.1, NP_001280532.1, XP_015834315.1, XP_975569.1, XP_008192269.1, XP_975562.1, XP_008192266.1, XP_015834510.1, XP_015834511.1
OG0000001	XP_029036021.1	XP_969875.1
OG0000001	XP_029033204.1, XP_029033205.1	XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1
OG0000002	XP_029034426.1, XP_029048273.1, XP_029048274.1, XP_029048309.1, XP_029034429.1, XP_029034428.1, XP_029034389.1, XP_029054354.1, XP_029048279.1, XP_029048307.1, XP_029048304.1, XP_029048306.1, XP_029048298.1, XP_029054355.1, XP_029054352.1, XP_029054358.1, XP_029048308.1, XP_029054353.1, XP_029054356.1, XP_029048299.1	XP_015839871.1
OG0000003	XP_029054701.1	XP_015840258.1
OG0000003	XP_029055276.1, XP_029055313.1	XP_015833782.1
OG0000003	XP_029054611.1	XP_001807063.1, XP_015838217.1
OG0000003	XP_029054258.1	XP_015839387.1
OG0000003	XP_029054750.1, XP_029054771.1	XP_015834410.1
OG0000004	XP_029054294.1, XP_029054867.1, XP_029055008.1, XP_029055315.1, XP_029054950.1, XP_029055010.1, XP_029055230.1, XP_029054487.1, XP_029054704.1	XP_015834342.1
OG0000005	XP_029054911.1	XP_015833636.1
OG0000007	XP_029054123.1, XP_029055261.1, XP_029055254.1, XP_029054451.1, XP_029054587.1	XP_015837969.1
OG0000008	XP_029037761.1	XP_972338.1
OG0000008	XP_029037752.1, XP_029037753.1	XP_972175.3
OG0000008	XP_029041248.1	XP_969421.1
OG0000008	XP_029037757.1	XP_972430.2
OG0000008	XP_029037755.1	XP_015836551.1, XP_015836552.1
OG0000008	XP_029037762.1	XP_008191970.1
OG0000009	XP_029039353.1, XP_029039355.1, XP_029039354.1, XP_029050383.1, XP_029039416.1, XP_029039350.1, XP_029039348.1, XP_029039349.1	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2
OG0000010	XP_029054229.1, XP_029053726.1, XP_029053824.1	XP_008191471.1
OG0000012	XP_029036967.1, XP_029036856.1	XP_008192552.1
OG0000013	XP_029053452.1, XP_029054967.1, XP_029053453.1	XP_969677.1
OG0000013	XP_029035638.1	XP_966487.1
OG0000013	XP_029037650.1	XP_008197392.1
OG0000014	XP_029035522.1, XP_029053444.1, XP_029055146.1, XP_029053956.1, XP_029054088.1, XP_029051685.1, XP_029051694.1, XP_029051987.1	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1
OG0000015	XP_029053802.1, XP_029055226.1, XP_029054043.1, XP_029054625.1, XP_029054764.1, XP_029055153.1, XP_029055256.1, XP_029054815.1	XP_008199215.1, XP_015840019.1
OG0000016	XP_029054344.1, XP_029054391.1, XP_029053686.1, XP_029054495.1, XP_029055268.1, XP_029053711.1, XP_029055014.1, XP_029051957.1, XP_029054619.1, XP_029053691.1, XP_029054936.1, XP_029054856.1, XP_029054642.1	XP_015840352.1, XP_015840124.1
OG0000017	XP_029036237.1	XP_967395.1, XP_971136.1, XP_966872.2, XP_008200938.1, XP_966966.2, XP_967147.1, XP_971203.1, XP_966787.1, XP_015838196.1, XP_008201195.2, XP_015838248.1, XP_008190708.1, XP_015838206.1, XP_971509.1, XP_008200937.1
OG0000017	XP_029039555.1, XP_029039565.1, XP_029039563.1, XP_029039564.1	XP_015834775.1, XP_974273.1
OG0000018	XP_029051327.1	XP_008200429.1
OG0000018	XP_029048068.1, XP_029048069.1, XP_029048067.1	XP_008193119.1, XP_968748.1, XP_015835557.1, XP_973693.2, XP_015838295.1, XP_015838053.1, XP_969711.1, XP_008194698.1, XP_973658.2, XP_008193214.1, XP_008193215.1, XP_015835529.1, XP_008193213.1, XP_008193216.1, XP_972534.1
OG0000018	XP_029049739.1, XP_029049738.1, XP_029049740.1	XP_008194092.1, XP_969781.1
OG0000018	XP_029036695.1	XP_969849.1, XP_008194093.1, XP_008193834.1
OG0000019	XP_029052871.1, XP_029052872.1	XP_975378.1
OG0000019	XP_029052293.1	XP_973103.2, XP_973187.1, XP_008192578.1, XP_001813143.1, XP_973063.1
OG0000019	XP_029033414.1	XP_972874.1, XP_015834337.1, XP_008192577.2
OG0000020	XP_029043034.1	XP_008201409.2
OG0000020	XP_029051090.1	XP_969457.2
OG0000021	XP_029039360.1, XP_029039361.1, XP_029039362.1	XP_015838406.1, XP_015838407.1, XP_008197201.1
OG0000021	XP_029032147.1	XP_015838169.1
OG0000021	XP_029046571.1	XP_008197404.1
OG0000021	XP_029049609.1	XP_008197199.1
OG0000021	XP_029041225.1	XP_008196932.1
OG0000021	XP_029039365.1, XP_029039366.1, XP_029039367.1, XP_029039368.1, XP_029039369.1, XP_029039363.1	XP_008197203.1, XP_969207.1
OG0000022	XP_029035866.1	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1
OG0000024	XP_029045871.1	XP_970056.2
OG0000026	XP_029039364.1	XP_015833705.1
OG0000026	XP_029035302.1	XP_966472.1
OG0000026	XP_029032070.1, XP_029039545.1, XP_029055886.1, XP_029031842.1, XP_029032017.1, XP_029055971.1, XP_029055800.1, XP_029031929.1	XP_015840897.1
OG0000027	XP_029035641.1, XP_029053960.1	XP_008199927.1
OG0000027	XP_029053445.1	XP_008199050.2
OG0000029	XP_029041154.1, XP_029041149.1	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1, XP_971332.1
OG0000029	XP_029049864.1, XP_029049863.1, XP_029041266.1	XP_015840495.1, XP_008201389.1, XP_008201390.1
OG0000030	XP_029038013.1, XP_029038012.1	XP_966905.1
OG0000030	XP_029049282.1	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2
OG0000031	XP_029053865.1, XP_029055242.1, XP_029054756.1, XP_029054919.1, XP_029055168.1, XP_029055143.1, XP_029054975.1, XP_029054109.1, XP_029055290.1, XP_029055318.1, XP_029054758.1, XP_029054093.1, XP_029039306.1, XP_029039307.1, XP_029039305.1, XP_029039303.1, XP_029039304.1, XP_029053776.1, XP_029053777.1, XP_029053775.1, XP_029053774.1, XP_029053773.1, XP_029053772.1, XP_029053771.1, XP_029054853.1, XP_029055093.1, XP_029054751.1, XP_029055141.1	XP_008192426.1, XP_015840131.1, XP_015837232.1, XP_008192457.2
OG0000031	XP_029035531.1	XP_015835126.1, XP_008192256.1
OG0000032	XP_029053845.1, XP_029053357.1	XP_008200043.1
OG0000032	XP_029055718.1, XP_029055719.1, XP_029055717.1, XP_029050538.1	XP_969958.1, XP_970026.1
OG0000035	XP_029032235.1	XP_008191815.1, XP_008191817.1, XP_971626.2, XP_008191746.2, XP_008191790.1
OG0000036	XP_029047765.1, XP_029047764.1, XP_029043016.1, XP_029043017.1	XP_967476.1, XP_001811753.1
OG0000037	XP_029047042.1	XP_008192993.1, XP_015835222.1, XP_970216.2, XP_008193006.2, XP_008193010.2, XP_015835218.1, XP_966991.2, XP_015835223.1, XP_001809825.2, XP_015835468.1, XP_968523.2, XP_015835220.1, XP_015835221.1, XP_008190973.2, XP_970770.1, XP_970895.1, XP_008200145.1
OG0000038	XP_029036717.1, XP_029036716.1	XP_966584.1
OG0000039	XP_029055279.1, XP_029054655.1	XP_008191547.1
OG0000040	XP_029055961.1, XP_029055960.1, XP_029055959.1	NP_001161129.1, XP_008193161.1, NP_001161087.1, XP_970321.1, NP_001161083.1
OG0000041	XP_029032654.1, XP_029032653.1	NP_001165843.1, NP_001165844.1
OG0000041	XP_029038902.1, XP_029038901.1, XP_029038899.1	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1
OG0000041	XP_029053007.1	XP_967305.1
OG0000042	XP_029048713.1	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1
OG0000043	XP_029038126.1	XP_008193777.1, NP_001039289.1
OG0000043	XP_029042860.1	NP_001039285.1
OG0000043	XP_029032665.1	NP_001039279.1, NP_001039280.1, NP_001039278.1
OG0000044	XP_029033272.1, XP_029033270.1, XP_029033271.1	XP_008200957.1
OG0000045	XP_029050902.1, XP_029050927.1, XP_029050914.1, XP_029043746.1	XP_015834974.1, XP_015834972.1
OG0000046	XP_029046126.1	XP_008200986.2, XP_015838368.1
OG0000046	XP_029054140.1, XP_029049335.1	XP_966611.1
OG0000047	XP_029054419.1, XP_029055026.1, XP_029054608.1, XP_029054038.1, XP_029055277.1, XP_029054997.1, XP_029054202.1, XP_029055147.1, XP_029054348.1, XP_029039380.1, XP_029053798.1	XP_015839407.1, XP_015839283.1, XP_008200958.2
OG0000048	XP_029038641.1	XP_008193917.1
OG0000049	XP_029055197.1	XP_015840032.1, XP_015840259.1, XP_015839930.1, XP_015840220.1, XP_015840324.1, XP_015837476.1, XP_008194621.1
OG0000050	XP_029035421.1, XP_029047238.1	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1, XP_015840854.1
OG0000051	XP_029054712.1, XP_029055094.1	XP_015837846.1, XP_015833811.1, XP_015837945.1
OG0000052	XP_029053695.1	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1
OG0000054	XP_029050156.1, XP_029050150.1	XP_970381.1
OG0000055	XP_029033370.1, XP_029033371.1	XP_971821.3
OG0000055	XP_029035680.1	XP_969454.3
OG0000055	XP_029033206.1	XP_008194095.1
