Orthogroup	Anopheles_gambiae	Acyrthosiphon_pisum
OG0000001	XP_563971.3	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1
OG0000003	XP_001688581.1	XP_003241242.1, XP_008178499.1, XP_029345880.1, XP_016664851.1, XP_008180042.1, XP_008179051.1, XP_008190241.1, XP_008178248.1, XP_008178785.1, XP_029347897.1, XP_008188646.2, XP_008189968.2, XP_029341373.1, XP_008189522.1, XP_008184219.1, XP_008189014.1, XP_008184923.1, XP_008181385.1, XP_008182760.1, XP_008179884.1, XP_008189838.1, XP_029348460.1, XP_016659882.1, XP_008188388.1, XP_008182275.1, XP_008183554.1, XP_016660776.1, XP_008179662.1, XP_008182004.1, XP_008182761.1, XP_008180189.1, XP_008189500.1, XP_029342151.1, XP_008189441.1, XP_008182642.1, XP_016659987.1, XP_008182863.1, XP_029348394.1, XP_008189883.1, XP_008189195.1, XP_008179138.1, XP_029343160.1, XP_008188102.2, XP_029347937.1, XP_008179862.1, XP_008183716.1, XP_029345821.1, XP_008178234.1, XP_008181766.1
OG0000004	XP_320414.1	XP_008188519.1, XP_008178932.1, XP_008181865.1, XP_008189921.1, XP_029347881.1, XP_008184523.1, XP_016659515.1
OG0000005	XP_308124.5	XP_008183146.1, XP_016661324.1, XP_008181853.2, XP_001944491.1, XP_008183396.1
OG0000006	XP_320909.1, XP_320910.3, XP_318674.1, XP_310173.1, XP_310172.2	XP_016661819.1
OG0000007	XP_003435875.1, XP_003435876.1	XP_029347711.1
OG0000008	XP_310333.7	XP_016663037.1
OG0000008	XP_310338.7, XP_310337.6	XP_029347046.1
OG0000008	XP_310282.6	XP_001945793.2, XP_003246165.2, XP_016661908.1, XP_016661905.1, XP_016661907.1, XP_016661906.1, XP_016664920.2, XP_003242859.1
OG0000008	XP_312388.4, XP_312387.5	XP_001942555.1, XP_008181935.1
