Orthogroup	Habropoda_laboriosa	Ceratina_calcarata
OG0000000	XP_017797095.1, XP_017797059.1, XP_017795696.1, XP_017792099.1	XP_017882355.1
OG0000000	XP_017791629.1	XP_017879465.1
OG0000000	XP_017797012.1	XP_017887274.1
OG0000000	XP_017797005.1	XP_026671887.1
OG0000000	XP_017797536.1, XP_017792100.1, XP_017795695.1, XP_017796207.1, XP_017796351.1, XP_017796995.1, XP_017797538.1, XP_017796820.1, XP_017797015.1, XP_017796988.1, XP_017796388.1, XP_017796984.1	XP_017884602.1
OG0000000	XP_017792102.1, XP_017794325.1, XP_017797004.1	XP_017874999.1, XP_017879660.1, XP_017887576.1, XP_017877626.1, XP_017882359.1
OG0000000	XP_017796956.1, XP_017797085.1, XP_017797138.1, XP_017796821.1	XP_017887262.1
OG0000001	XP_017796733.1	XP_017891081.1
OG0000001	XP_017795398.1	XP_017888667.1, XP_026673601.1
OG0000001	XP_017796200.1, XP_017795399.1	XP_017888037.1
OG0000002	XP_017791563.1	XP_017875389.1
OG0000002	XP_017794487.1	XP_017891277.1
OG0000002	XP_017792714.1	XP_017891019.1
OG0000003	XP_017797951.1, XP_017798713.1	XP_017890440.1
OG0000003	XP_017795848.1, XP_017795782.1, XP_017796822.1	XP_026667471.1
OG0000003	XP_017795708.1	XP_026674121.1
OG0000004	XP_017794418.1	XP_017885481.2, XP_026673598.1, XP_026672990.1, XP_026673595.1, XP_026667535.1, XP_026668849.1, XP_026668673.1, XP_026671444.1
OG0000004	XP_017794417.1, XP_017797093.1	XP_026668068.1
OG0000004	XP_017796353.1, XP_017794593.1, XP_017792749.1	XP_026671159.1
OG0000004	XP_017797021.1, XP_017797092.1, XP_017794590.1, XP_017794415.1, XP_017797051.1, XP_017797022.1, XP_017797090.1	XP_026671157.1, XP_026671137.1, XP_026671130.1
OG0000004	XP_017797050.1, XP_017797125.1, XP_017794589.1, XP_017794414.1	XP_026671140.1, XP_026671158.1, XP_026671138.1, XP_026671141.1, XP_017883640.2, XP_017883641.2, XP_026671143.1, XP_026671129.1, XP_026671149.1
OG0000004	XP_017794413.1, XP_017796982.1, XP_017794588.1	XP_026671151.1, XP_017883621.2, XP_017883632.2
OG0000004	XP_017794416.1, XP_017797020.1, XP_017794592.1	XP_026671133.1
OG0000005	XP_017795546.1	XP_026673555.1, XP_026673556.1, XP_026673544.1, XP_026667346.1, XP_026667348.1, XP_026673541.1
OG0000005	XP_017795547.1, XP_017795548.1	XP_017889271.2
OG0000006	XP_017797793.1	XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1, XP_026671801.1, XP_026671800.1, XP_017884545.1, XP_017884546.1
OG0000006	XP_017799299.1	XP_017875197.1
OG0000006	XP_017799274.1	XP_017887567.1
OG0000007	XP_017787376.1	XP_026669980.1, XP_026669747.1, XP_026667260.1, XP_026669995.1
OG0000008	XP_017795667.1	XP_026675486.1
OG0000008	XP_017795668.1	XP_017892323.1
OG0000008	XP_017798373.1	XP_017893662.1
OG0000008	XP_017796749.1	XP_017880123.1
OG0000009	XP_017788040.1	XP_026671941.1
OG0000009	XP_017794605.1	XP_026671929.1, XP_017885114.1, XP_026671923.1, XP_026671924.1, XP_026671925.1, XP_026671926.1, XP_017885111.1, XP_017885112.1, XP_017885115.1, XP_026671928.1, XP_026671927.1, XP_017885113.1
OG0000010	XP_017796643.1	XP_026674182.1
OG0000011	XP_017794869.1	XP_026672740.1, XP_026672741.1, XP_026672742.1
OG0000012	XP_017792474.1, XP_017792476.1, XP_017792475.1, XP_017792472.1, XP_017792473.1	XP_017877808.2
OG0000013	XP_017797009.1	XP_026668765.1
OG0000013	XP_017796994.1	XP_017891439.1, XP_017878373.1, XP_017892959.1, XP_017878763.1, XP_026675334.1, XP_026675631.1, XP_026675337.1, XP_026675630.1
OG0000014	XP_017795687.1	XP_017888171.1
OG0000014	XP_017799307.1	XP_017887569.1
OG0000015	XP_017788741.1	XP_017883370.2
OG0000017	XP_017795648.1	XP_017892537.1
OG0000017	XP_017792294.1	XP_017888175.1, XP_017887547.1
OG0000018	XP_017787682.1, XP_017787687.1, XP_017787680.1, XP_017787681.1, XP_017787683.1, XP_017787684.1, XP_017787685.1, XP_017787686.1	XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1, XP_017877144.1
OG0000019	XP_017789119.1	XP_026668667.1, XP_026668668.1, XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_017878669.1
OG0000020	XP_017796294.1	XP_026674945.1, XP_017881630.1, XP_017891472.2, XP_017879450.1, XP_026669011.1
OG0000021	XP_017796728.1, XP_017793544.1	XP_017887382.1
OG0000021	XP_017795070.1	XP_017889188.1, XP_017881150.1
OG0000022	XP_017794031.1, XP_017794029.1, XP_017794030.1, XP_017794026.1, XP_017794027.1, XP_017794028.1	XP_026667393.1, XP_026667391.1, XP_026667392.1, XP_017876039.1, XP_026667394.1
OG0000023	XP_017795068.1, XP_017795921.1	XP_026671442.1
OG0000025	XP_017792776.1	XP_026674597.1, XP_026674600.1, XP_026674596.1, XP_017890658.1, XP_026674598.1
OG0000026	XP_017790034.1, XP_017790035.1, XP_017790037.1	XP_026670298.1
OG0000026	XP_017790033.1	XP_017882105.1
OG0000027	XP_017792739.1	XP_026673236.1, XP_026673235.1, XP_017887874.1
OG0000028	XP_017798042.1, XP_017798041.1	XP_026667338.1, XP_026667337.1, XP_017875902.1, XP_026667339.1, XP_017875900.1
OG0000029	XP_017796921.1, XP_017796923.1, XP_017796922.1, XP_017796926.1, XP_017796924.1, XP_017796925.1	XP_026671916.1, XP_017885077.1, XP_017885082.1, XP_017885085.1, XP_017885083.1, XP_017885081.1, XP_017885084.1
OG0000031	XP_017792478.1	XP_017888818.1, XP_017888829.1, XP_017888809.1, XP_017888800.1
OG0000032	XP_017790596.1, XP_017790597.1, XP_017790598.1, XP_017790592.1, XP_017790593.1, XP_017790594.1, XP_017790595.1	XP_017879467.1, XP_026669096.1, XP_026669111.1, XP_017879474.1, XP_026669105.1
OG0000033	XP_017794678.1, XP_017794677.1, XP_017794679.1, XP_017794675.1, XP_017794676.1	XP_017893183.1, XP_017893184.1, XP_017893185.1
OG0000034	XP_017792148.1, XP_017792149.1, XP_017792150.1	XP_017875842.1, XP_017875843.1, XP_026667285.1
OG0000034	XP_017799321.1	XP_026667896.1, XP_017877070.1, XP_017877071.1, XP_017877072.1
OG0000035	XP_017794776.1, XP_017794775.1	XP_017889483.1, XP_026674100.1, XP_026674098.1, XP_026674099.1
OG0000036	XP_017791515.1	XP_017888470.1, XP_017888471.1, XP_017888469.1, XP_017888468.1, XP_017888467.1
OG0000037	XP_017788215.1, XP_017788216.1, XP_017788212.1, XP_017788214.1, XP_017788213.1	XP_026673086.1, XP_026673087.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_017887763.1
OG0000038	XP_017791423.1, XP_017791424.1	XP_026670731.1, XP_026670734.1, XP_026670732.1, XP_017882779.1, XP_017882777.1
OG0000038	XP_017793649.1	XP_017879834.1, XP_026669182.1
OG0000039	XP_017789586.1	XP_017880312.1, XP_017880311.1, XP_017880320.1, XP_017880319.1, XP_017880316.1, XP_017880314.1, XP_017880318.1, XP_017880317.1, XP_017880310.1
OG0000040	XP_017791263.1, XP_017791264.1, XP_017791265.1, XP_017791267.1, XP_017791266.1, XP_017791268.1, XP_017791262.1	XP_017877461.1
OG0000041	XP_017792761.1, XP_017796806.1	XP_017882798.1
OG0000041	XP_017793837.1	XP_017881850.1
OG0000041	XP_017793816.1	XP_017880265.1, XP_017879099.1, XP_017885294.1, XP_017884160.1, XP_017890633.1
OG0000043	XP_017794557.1, XP_017794556.1	XP_026667059.1
OG0000044	XP_017795109.1	XP_017886339.1, XP_017886341.1, XP_017886340.1
OG0000046	XP_017795969.1	XP_026668788.1, XP_026668778.1
OG0000047	XP_017792281.1	XP_017892302.1
OG0000049	XP_017792787.1	XP_026667851.1
OG0000049	XP_017793055.1, XP_017793138.1	XP_017875573.2
OG0000050	XP_017787399.1, XP_017787400.1, XP_017787401.1	XP_017890818.1
OG0000051	XP_017787543.1	XP_017886873.1
OG0000052	XP_017795812.1	XP_026667172.1, XP_026667174.1, XP_026667177.1, XP_026667173.1, XP_026667176.1, XP_026667175.1
OG0000053	XP_017792514.1	XP_026670119.1, XP_017884091.1, XP_026673538.1, XP_026674938.1, XP_026669100.1, XP_017885362.1, XP_026675632.1, XP_026675047.1, XP_026673602.1, XP_026673855.1, XP_017889116.2, XP_026668993.1, XP_026672068.1, XP_026671363.1, XP_017885415.1, XP_017876325.2, XP_017889231.1, XP_017885815.1, XP_017885814.1, XP_026672067.1, XP_017891649.2, XP_026672436.1, XP_026672437.1, XP_026673854.1, XP_026671359.1, XP_017890614.1, XP_017888729.1
OG0000054	XP_017795807.1, XP_017795809.1, XP_017795808.1, XP_017795803.1, XP_017795810.1, XP_017795806.1	XP_017875567.1, XP_026667182.1, XP_026674457.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1
OG0000055	XP_017797342.1	XP_026672109.1, XP_026672110.1, XP_017885442.1, XP_017885441.1
OG0000056	XP_017798800.1	XP_017884500.1, XP_017884505.1, XP_017884508.1, XP_017884509.1, XP_026671517.1, XP_017884504.1, XP_017884503.1, XP_017884502.1, XP_017884501.1
OG0000058	XP_017795931.1	XP_026668785.1, XP_017878898.1, XP_017878899.1, XP_017878897.1, XP_017878896.1, XP_017878895.1
OG0000059	XP_017799148.1	XP_017875203.1, XP_017887641.1
OG0000059	XP_017799145.1	XP_017888173.1
