Orthogroup	Nasonia_vitripennis	Apis_mellifera
OG0000001	NP_001166007.1, NP_001165974.1, NP_001166008.1, XP_001606687.2, XP_001607043.2, NP_001166004.1, NP_001166003.1, XP_001602787.1	XP_624795.3, XP_026302253.1, XP_016772837.1
OG0000001	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1	XP_623362.3, XP_026300534.1, NP_001352129.1, NP_001352128.1, XP_026300533.1, XP_026300532.1, XP_026300343.1, NP_001035324.1, XP_006565062.2, XP_397347.4, XP_026300531.1, XP_623595.1, NP_001352068.1, XP_006565077.1, XP_026300601.1, XP_006565076.1, NP_001352069.1, XP_026300602.1, XP_026300530.1, XP_016771320.1, XP_026300535.1, XP_395671.3
OG0000001	XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1	XP_026296210.1
OG0000001	XP_001603508.1, NP_001165940.1, XP_001599460.2	XP_006564499.3
OG0000001	NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1	NP_001191991.1, XP_016770827.2
OG0000002	NP_001177429.1	XP_003250769.3, XP_026294905.1, XP_026294912.1
OG0000002	NP_001177432.1, NP_001177433.1, XP_032453629.1, NP_001177435.1, NP_001177467.1, NP_001177434.1	XP_006565883.2, NP_001229910.1, XP_026294765.1, NP_001229909.1, XP_006572517.1, NP_001229911.1, XP_016773537.1, XP_016773528.1, XP_016773529.1, XP_006565970.2, NP_001229907.1, NP_001229906.1, NP_001229905.1, XP_026302143.1
OG0000002	NP_001177431.1	NP_001229900.1, NP_001229895.1, XP_003250726.1, XP_016773538.1, XP_003250765.1, XP_006565948.1, XP_001121659.1, XP_006565947.2, NP_001229896.1, XP_016773454.2, XP_006565887.1, NP_001229899.1, NP_001229898.1, XP_026294907.1, XP_026294903.1, XP_016773531.1, XP_016773532.1, XP_001121864.2, NP_001229904.1, XP_026302131.1, XP_006565964.1, XP_026294957.1, XP_016773539.1, NP_001229902.1, XP_003250750.1, XP_003250751.1, XP_006565958.1, XP_016773535.1, XP_006565962.1, XP_026294766.1, XP_003250754.2, XP_016773534.1, XP_006565886.1, NP_001229901.1, XP_006565953.2, NP_001229897.1
OG0000005	XP_001604398.2	XP_016771095.2
OG0000006	NP_001177699.1, XP_031784308.1, XP_031785567.2, NP_001164399.1, XP_031784319.1, NP_001177515.1, XP_031784322.1, NP_001177513.1, NP_001177512.1, NP_001177514.1, XP_031785566.2, XP_031785042.1, NP_001164398.1, NP_001177517.1, XP_031784324.1, NP_001177516.1, NP_001164396.1, NP_001164394.1, XP_032453628.1, NP_001164395.1	XP_026300578.1
OG0000008	XP_001602085.1	XP_006565046.2
OG0000008	XP_008205990.2	XP_026301320.1
OG0000008	XP_031788628.1	XP_396549.3
OG0000008	XP_003424681.1, XP_031782089.1, XP_016845733.1, XP_003427944.1, XP_003424536.2, XP_001602364.1, XP_016844951.1, XP_016843209.1	XP_394219.3
OG0000008	XP_001600419.1	XP_003250567.1
OG0000008	XP_032456689.1, XP_032456688.1, XP_001601943.1	XP_016769477.1
OG0000009	XP_032456865.1, NP_001166017.1, XP_031788634.1, XP_031788637.1, NP_001166016.1, XP_031788638.1, NP_001165945.1	XP_006562365.2
OG0000009	NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1	XP_006562363.1, XP_006562364.1, XP_392000.1, XP_026300962.1
OG0000012	XP_016838732.1	XP_026297101.1, XP_026297165.1
OG0000012	NP_001166049.1, XP_032452528.1	XP_026301256.1
OG0000012	XP_008205022.1, XP_008205021.1, XP_031781824.1, NP_001166051.1, XP_031778733.1, NP_001166074.1	XP_026301257.1
OG0000012	XP_001603672.1	XP_016772201.1, XP_016772200.1
OG0000013	XP_001599179.2	XP_001120132.1
OG0000013	XP_031787547.1, XP_031787524.1, XP_016844795.1, XP_016844794.1, XP_003425535.1, XP_001607330.1, XP_001603659.1, XP_001608284.1, XP_031778023.1, XP_031787549.1, XP_001607608.3, XP_031777922.1, XP_031777921.1, XP_001607935.1, XP_008218130.1, XP_031778024.1, XP_031778025.1	XP_006570899.1
OG0000013	XP_001608166.1, XP_001608174.1	XP_624499.1
OG0000018	XP_008214580.1	XP_393750.5
OG0000018	XP_001604347.2	XP_006566761.2, XP_026299796.1, XP_006566764.2, XP_006566762.2, XP_006566763.2
OG0000018	XP_031784239.1	XP_026299794.1
OG0000018	XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1	XP_006563569.1
OG0000019	XP_032454031.1, XP_008206500.1, XP_032457652.1, XP_031776844.1	XP_026299702.1
OG0000019	XP_016841509.1, XP_031783474.1, XP_003424417.1	XP_394827.4
OG0000019	XP_031783671.1	XP_006572051.3
OG0000020	XP_031781856.1	XP_006560785.2
OG0000020	XP_016838656.1, XP_031778996.1	XP_026300927.1
OG0000021	XP_008201868.1	XP_026299753.1
OG0000022	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1	XP_624700.1
OG0000023	XP_001608226.1, XP_001608234.1, XP_001599909.1, XP_003424473.1, XP_016844748.1, XP_001607906.1, XP_031778032.1, XP_031778031.1, XP_031777923.1, XP_031778030.1, XP_001607725.1, XP_031787982.1, XP_001607191.1, XP_031787525.1, XP_016836789.2, XP_001603608.1, XP_001607945.1	XP_001122218.1
OG0000024	XP_001604944.4	XP_026299083.1, XP_001120613.2
OG0000024	XP_001599160.3	XP_016773395.2
OG0000024	NP_001166221.1	NP_001011620.1
OG0000026	XP_032452024.1	XP_392530.3
OG0000026	XP_008210347.1, XP_016840213.1, XP_016840212.1, XP_031782078.1, XP_031782077.1, XP_031782079.1	XP_026295189.1
OG0000026	XP_001599666.2	XP_003251584.1
OG0000027	XP_001607554.1, XP_016844944.1, XP_001599220.1	XP_003251624.1
OG0000027	XP_001599471.2, XP_031787983.1, XP_001607366.1, XP_001607925.1, XP_031778034.1, XP_031778033.1, XP_001607894.1, XP_031777925.1, XP_031777924.1, XP_001599832.1, XP_001600560.1, XP_031785593.1, XP_031785592.1, XP_001599230.1, XP_031778035.1	XP_006570863.1
