Orthogroup	Megalopta_genalis	Acyrthosiphon_pisum
OG0000000	XP_033329027.1, XP_033333383.1	XP_029346889.1, XP_029340893.1
OG0000000	XP_033334293.1	XP_008180485.1
OG0000000	XP_033322444.1, XP_033339380.1	XP_029341016.1
OG0000000	XP_033321268.1	XP_016655727.1, XP_008189037.1, XP_029348568.1, XP_008189492.1, XP_008180316.1, XP_029348389.1, XP_016657058.1, XP_008189073.1, XP_008179733.1, XP_008187555.1, XP_008185172.2
OG0000000	XP_033323553.1	XP_008184172.1, XP_008180656.1, XP_029345710.1, XP_008188479.1, XP_016661094.1, XP_008190177.1, XP_008178392.1, XP_008185772.1, XP_008183343.1, XP_008185678.1, XP_016659921.1, XP_008183820.1, XP_008183356.1, XP_008180654.1, XP_008183411.1, XP_029341258.1, XP_008179897.1, XP_008188489.1, XP_016660804.1, XP_029348271.1, XP_029345921.1, XP_008188687.1, XP_008179256.2, XP_008190111.1, XP_029345859.1, XP_008183355.1, XP_008179257.1, XP_008179517.1, XP_008186006.1, XP_008189836.2, XP_008183743.1, XP_008179879.1, XP_008187844.1, XP_008187709.1, XP_008179336.1, XP_008187708.1, XP_008189587.1, XP_029341173.1, XP_008182614.1, XP_008189367.1, XP_008183050.1, XP_008190090.1, XP_029344208.1, XP_008187869.1, XP_029348398.1, XP_008181739.1, XP_016659286.1, XP_008181643.1, XP_008180158.1, XP_008180526.1, XP_008180527.1
OG0000001	XP_033339718.1	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1
OG0000003	XP_033335210.1	XP_008180445.1
OG0000004	XP_033334494.1, XP_033335211.1, XP_033339814.1, XP_033335543.1	XP_008184892.1, XP_008189998.1, XP_016658202.2, XP_029348322.1, XP_029348356.1, XP_008186742.1, XP_008178409.1, XP_008189971.1, XP_029348597.1, XP_016661423.2, XP_008180700.1
OG0000004	XP_033323539.1	XP_008188519.1, XP_008178932.1, XP_008181865.1, XP_008189921.1, XP_029347881.1, XP_008184523.1, XP_016659515.1
OG0000004	XP_033342845.1, XP_033331114.1, XP_033323310.1	XP_008182727.1
OG0000004	XP_033329188.1, XP_033335544.1, XP_033324576.1, XP_033330456.1, XP_033335286.1, XP_033331633.1, XP_033331394.1, XP_033332067.1, XP_033339841.1	XP_008181189.1, XP_008178696.1, XP_008184865.1, XP_029348501.1, XP_008189957.1, XP_008187534.1, XP_029347760.1
