Orthogroup	Osmia_lignaria	Megalopta_genalis
OG0000000	XP_034194634.1	XP_033325358.1, XP_033322444.1, XP_033339068.1, XP_033339063.1, XP_033339380.1, XP_033339065.1, XP_033338067.1
OG0000001	XP_034194619.1, XP_034194603.1, XP_034194594.1	XP_033326750.1, XP_033326752.1, XP_033326753.1, XP_033326751.1, XP_033326754.1, XP_033326755.1, XP_033326761.1, XP_033326760.1, XP_033326759.1, XP_033326756.1, XP_033326758.1
OG0000001	XP_034178689.1, XP_034178688.1, XP_034178687.1, XP_034178696.1	XP_033329018.1, XP_033329017.1, XP_033331299.1, XP_033331298.1, XP_033329019.1, XP_033329022.1
OG0000001	XP_034178690.1	XP_033323542.1
OG0000001	XP_034178111.1	XP_033326763.1, XP_033326762.1
OG0000002	XP_034194984.1	XP_033328756.1
OG0000002	XP_034195050.1, XP_034194985.1	XP_033322608.1, XP_033330931.1, XP_033330929.1, XP_033330930.1, XP_033322845.1, XP_033322222.1, XP_033334442.1, XP_033324606.1, XP_033328275.1
OG0000003	XP_034190491.1	XP_033340892.1
OG0000006	XP_034191426.1	XP_033330794.1, XP_033330795.1, XP_033330796.1
OG0000006	XP_034171306.1, XP_034174016.1	XP_033328623.1
OG0000006	XP_034173944.1	XP_033328768.1
OG0000006	XP_034173511.1	XP_033328624.1
OG0000007	XP_034196577.1, XP_034179608.1, XP_034196053.1, XP_034179620.1, XP_034191910.1, XP_034196442.1	XP_033339129.1, XP_033339131.1, XP_033339132.1, XP_033339133.1, XP_033339140.1, XP_033328276.1, XP_033339130.1, XP_033339134.1, XP_033339139.1, XP_033339137.1, XP_033339287.1, XP_033339138.1
OG0000008	XP_034174481.1, XP_034174489.1	XP_033333605.1, XP_033333606.1
OG0000008	XP_034186914.1	XP_033338815.1
OG0000008	XP_034183066.1	XP_033322535.1
OG0000008	XP_034183064.1	XP_033322540.1
OG0000008	XP_034183063.1	XP_033322537.1
OG0000009	XP_034188385.1	XP_033326042.1, XP_033326033.1
OG0000010	XP_034179226.1, XP_034179208.1, XP_034179214.1, XP_034179212.1, XP_034179508.1, XP_034179507.1, XP_034179211.1	XP_033339803.1
OG0000011	XP_034186670.1, XP_034186666.1, XP_034186667.1, XP_034186658.1, XP_034186654.1, XP_034186665.1, XP_034186664.1, XP_034186663.1, XP_034186662.1, XP_034186661.1, XP_034186660.1, XP_034186659.1, XP_034186656.1, XP_034186655.1, XP_034186669.1	XP_033332438.1, XP_033332435.1, XP_033332436.1
OG0000012	XP_034186457.1, XP_034186455.1, XP_034186454.1, XP_034186459.1, XP_034186458.1, XP_034186462.1, XP_034186460.1, XP_034186461.1, XP_034186464.1, XP_034186463.1	XP_033326361.1
OG0000013	XP_034194692.1	XP_033337658.1, XP_033324994.1
OG0000014	XP_034172221.1, XP_034172089.1, XP_034195019.1, XP_034171801.1, XP_034174017.1, XP_034173430.1	XP_033328773.1
OG0000014	XP_034172344.1, XP_034172482.1, XP_034173947.1	XP_033328969.1
OG0000014	XP_034173516.1	XP_033328626.1
OG0000014	XP_034173945.1	XP_033328627.1
OG0000015	XP_034178504.1, XP_034178505.1, XP_034178500.1, XP_034178499.1, XP_034178576.1, XP_034178578.1, XP_034178513.1, XP_034178575.1	XP_033331536.1
OG0000015	XP_034178503.1	XP_033332229.1, XP_033331540.1, XP_033331527.1, XP_033331543.1, XP_033331542.1, XP_033332230.1, XP_033332231.1, XP_033332235.1, XP_033331544.1, XP_033332227.1
OG0000016	XP_034190100.1	XP_033330472.1, XP_033330470.1
OG0000017	XP_034173428.1	XP_033337165.1, XP_033337190.1
OG0000017	XP_034183944.1, XP_034173515.1, XP_034171836.1, XP_034173514.1	XP_033328772.1
OG0000017	XP_034171788.1	XP_033328607.1
OG0000018	XP_034187723.1, XP_034187722.1, XP_034187720.1, XP_034187719.1, XP_034187724.1	XP_033339546.1, XP_033339550.1, XP_033339549.1, XP_033339548.1, XP_033339547.1
OG0000019	XP_034195722.1, XP_034195724.1, XP_034195725.1, XP_034195721.1, XP_034195720.1, XP_034195717.1, XP_034195716.1, XP_034195719.1, XP_034195718.1, XP_034195715.1, XP_034195714.1	XP_033323692.1, XP_033323694.1, XP_033323690.1, XP_033323691.1, XP_033323688.1, XP_033323689.1, XP_033323686.1, XP_033323687.1
OG0000021	XP_034194686.1, XP_034177277.1, XP_034196681.1	XP_033332580.1
OG0000022	XP_034190542.1, XP_034190549.1, XP_034190548.1, XP_034190550.1, XP_034190544.1, XP_034190547.1, XP_034190545.1, XP_034190543.1	XP_033337897.1, XP_033337898.1, XP_033337899.1, XP_033337900.1, XP_033337901.1
OG0000023	XP_034194812.1	XP_033334494.1, XP_033335543.1, XP_033339814.1, XP_033335211.1, XP_033342845.1, XP_033323539.1
