ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114880101"	NA	chrOU015519.1	-	8152470	8153796	8152470	8152529	8152624	8153796	0	5,22,0	0,2,0	25,20,12,13	0,0,0,0	194	99	1	1.0	1.0,0.849,NA	1.0,1.0,1.0,1.0	-0.076
1	"LOC114880101"	NA	chrOU015519.1	-	8152470	8153796	8152470	8152597	8152690	8153796	1	5,15,2	0,0,1	24,19,18,19	1,1,1,1	192	99	0.0491901041547	0.199771036274057	1.0,1.0,0.508	0.925,0.907,0.903,0.907	-0.075
2	"LOC114880101"	NA	chrOU015519.1	-	8152470	8153796	8152470	8153375	8153588	8153796	2	0,8,8	0,1,0	19,12,8,12	1,5,2,3	312	99	1	1.0	NA,0.717,1.0	0.858,0.432,0.559,0.559	0.256
3	"LOC114880085"	NA	chrOU015519.1	+	8030599	8031648	8030599	8030778	8030863	8031648	3	18,19,25	24,33,29	122,31,19,38	197,35,41,49	184	99	0.784748522694	1.0	0.288,0.237,0.317	0.25,0.323,0.2,0.294	0.014
4	"LOC114872160"	NA	chrOU015519.1	-	7967782	7968639	7967782	7968031	7968196	7968639	4	2,1,3	3,0,0	19,4,5,4	0,0,0,0	264	99	0.107774156135	0.3578685861728781	0.2,1.0,1.0	1.0,1.0,1.0,1.0	-0.267
5	"LOC114872160"	NA	chrOU015519.1	-	7967782	7968639	7967782	7968031	7968469	7968639	5	5,5,10	0,0,1	44,18,15,15	1,0,0,0	537	99	1	1.0	1.0,1.0,0.648	0.89,1.0,1.0,1.0	-0.09
6	"LOC114872160"	NA	chrOU015519.1	-	7971652	7972120	7971652	7971697	7971779	7972120	6	15,30,40	4,4,11	124,32,22,40	35,1,1,4	181	99	0.224865385442	0.5762665191379477	0.672,0.804,0.665	0.66,0.946,0.923,0.845	-0.13
7	"LOC114872160"	NA	chrOU015519.1	-	7971652	7972120	7971652	7971894	7971992	7972120	7	5,4,3	3,4,3	35,3,3,11	5,4,3,3	197	99	0.176857491415	0.4853682273721362	0.456,0.334,0.334	0.779,0.274,0.334,0.648	-0.134
8	"LOC114872160"	NA	chrOU015519.1	-	7971652	7972120	7971652	7971911	7971992	7972120	8	2,3,3	3,2,1	32,3,3,8	8,1,1,1	180	99	0.0705334429594	0.25809625520715773	0.268,0.452,0.623	0.688,0.623,0.623,0.815	-0.24
9	"LOC114872158"	NA	chrOU015519.1	-	7959468	7960310	7959468	7959668	7959736	7960310	9	1,0,1	0,1,2	4,0,0,0	2,0,0,0	167	99	1	1.0	1.0,0.0,0.229	0.542,NA,NA,NA	-0.132
10	"LOC114872158"	NA	chrOU015519.1	-	7959468	7960310	7959468	7959826	7960034	7960310	10	6,0,2	0,1,0	4,5,1,1	0,0,0,1	307	99	1	1.0	1.0,0.0,1.0	1.0,1.0,1.0,0.244	-0.144
11	"LOC114872170"	NA	chrOU015519.1	+	7945806	7946376	7945806	7945819	7945972	7946376	11	159,166,136	7,15,19	703,114,146,166	66,17,12,7	252	99	0.941084998883	1.0	0.899,0.813,0.738	0.807,0.725,0.827,0.903	0.001
12	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7932294	7932352	7938806	12	67,78,70	1,1,1	151,28,26,83	9,1,1,1	157	99	0.0131058723927	0.07560289525357529	0.977,0.98,0.978	0.914,0.946,0.943,0.981	0.032
13	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7933091	7933493	7938806	13	276,330,331	1,5,4	736,162,109,299	18,5,1,4	501	99	0.0325260721041	0.1495182877035347	0.982,0.929,0.942	0.89,0.865,0.956,0.937	0.039
14	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7933598	7933666	7938806	14	119,163,157	7,8,6	326,64,45,130	25,1,2,7	167	99	0.390353740698	0.8122117623128783	0.91,0.924,0.939	0.885,0.974,0.93,0.917	-0.002
15	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7933953	7934018	7938806	15	110,185,173	5,2,4	367,106,59,170	29,2,1,3	164	99	0.0218565784397	0.11010625645479008	0.93,0.982,0.963	0.884,0.97,0.973,0.972	0.009
16	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7934163	7934272	7938806	16	174,226,184	7,4,2	448,114,59,183	12,5,3,2	208	99	0.511021282505	0.9527405659884094	0.922,0.964,0.978	0.947,0.916,0.903,0.978	0.019
17	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7934994	7935080	7938806	17	75,118,114	0,1,3	222,65,25,90	8,0,1,3	185	99	0.0558625049731	0.21796749287912492	1.0,0.984,0.953	0.937,1.0,0.93,0.941	0.027
18	"LOC114872191"	NA	chrOU015519.1	-	7807297	7811876	7807297	7811122	7811200	7811876	18	239,167,353	11,8,28	1007,173,169,261	61,6,9,7	177	99	0.351399973308	0.768067400796535	0.924,0.921,0.876	0.902,0.942,0.913,0.954	-0.021
19	"LOC114872233"	NA	chrOU015519.1	+	7676847	7679021	7676847	7677234	7677323	7679021	19	6,6,1	0,0,0	11,3,2,8	3,1,1,0	188	99	0.0767589833336	0.27405937981486794	1.0,1.0,1.0	0.659,0.612,0.513,1.0	0.304
20	"LOC114872233"	NA	chrOU015519.1	+	7676847	7679021	7676847	7677573	7677707	7679021	20	8,11,5	3,2,1	42,6,3,6	11,3,4,2	233	99	0.281593961515	0.6735361258350651	0.531,0.7,0.68	0.619,0.459,0.242,0.56	0.167
21	"LOC114872233"	NA	chrOU015519.1	+	7676847	7679021	7676847	7677573	7678109	7679021	21	30,40,40	1,0,0	187,37,29,33	1,1,0,2	635	99	1	1.0	0.824,1.0,1.0	0.967,0.852,1.0,0.72	0.057
22	"LOC114872233"	NA	chrOU015519.1	+	7676847	7679021	7676847	7678029	7678109	7679021	22	5,3,6	0,0,0	30,6,8,8	2,0,0,0	179	99	1	1.0	1.0,1.0,1.0	0.892,1.0,1.0,1.0	0.027
23	"LOC114872240"	NA	chrOU015519.1	+	7604142	7604802	7604142	7604398	7604449	7604802	23	86,105,46	2,0,3	193,46,32,64	8,1,2,1	150	99	0.181046474937	0.49501740637978997	0.966,1.0,0.91	0.941,0.968,0.913,0.977	0.009
24	"LOC114872240"	NA	chrOU015519.1	+	7604142	7604802	7604142	7604398	7604464	7604802	24	99,132,58	6,4,4	242,61,39,74	29,5,6,9	165	99	0.00193497460384	0.019362909130943132	0.908,0.952,0.897	0.834,0.88,0.796,0.831	0.084
25	"LOC114872248"	NA	chrOU015519.1	-	7014505	7018391	7014505	7014756	7014833	7018391	25	988,1175,1040	18,33,52	2888,684,450,891	196,39,27,49	176	99	2.15052476016e-06	0.00011716377489612444	0.969,0.952,0.918	0.892,0.908,0.904,0.911	0.043
26	"LOC114876707"	NA	chrOU015519.1	-	6106537	6107080	6106537	6106920	6106983	6107080	26	29,36,18	93,123,63	133,21,35,32	412,94,91,91	162	99	0.612624919353	1.0	0.16,0.152,0.149	0.165,0.12,0.19,0.177	-0.009
27	"LOC114876700"	NA	chrOU015519.1	-	6050115	6053287	6050115	6052594	6052712	6053287	27	38,29,42	3,0,2	436,65,74,74	14,2,1,2	217	99	0.857864770636	1.0	0.852,1.0,0.905	0.934,0.937,0.971,0.944	-0.028
28	"LOC114876700"	NA	chrOU015519.1	-	6050115	6053287	6050115	6053115	6053181	6053287	28	49,51,45	2,4,0	522,113,112,120	11,1,2,5	165	99	0.749066406582	1.0	0.936,0.884,1.0	0.966,0.985,0.971,0.935	-0.024
29	"LOC114876653"	NA	chrOU015519.1	-	5759696	5764611	5759696	5761590	5761682	5764611	29	66,52,33	6,4,2	228,42,53,64	14,1,3,1	191	99	0.341988509701	0.759917066118083	0.851,0.871,0.895	0.894,0.956,0.902,0.971	-0.058
30	"LOC114876690"	NA	chrOU015519.1	-	5694582	5695264	5694582	5694812	5695122	5695264	30	6,9,12	1,4,1	8,2,3,1	1,0,0,1	409	99	0.000526792198149	0.0076377849834230755	0.592,0.353,0.744	0.659,1.0,1.0,0.195	-0.15
31	"LOC114871537"	NA	chrOU015519.1	+	4259313	4259876	4259313	4259504	4259580	4259876	31	1,5,1	1,1,0	75,29,6,22	26,15,2,5	175	99	0.0069136010886	0.048253908363626224	0.361,0.739,1.0	0.62,0.522,0.629,0.713	0.079
32	"LOC114871541"	NA	chrOU015519.1	-	4227137	4227527	4227137	4227288	4227345	4227527	32	41,57,48	0,4,2	196,37,28,48	8,4,4,5	156	99	0.087818092353	0.30395391494414825	1.0,0.9,0.938	0.94,0.854,0.816,0.859	0.079
33	"LOC114871541"	NA	chrOU015519.1	-	4228509	4228713	4228509	4228615	4228678	4228713	33	23,31,28	1,1,1	81,16,25,22	0,2,0,1	162	99	0.298328755915	0.6987923566098169	0.934,0.95,0.945	1.0,0.83,1.0,0.931	0.003
34	"LOC114877993"	NA	chrOU015519.1	+	3672161	3673702	3672161	3672630	3672707	3673702	34	81,88,47	3,3,4	519,60,54,87	50,8,4,3	176	99	0.0245686563769	0.11889595909566876	0.938,0.943,0.869	0.854,0.808,0.884,0.942	0.045
35	"LOC114877993"	NA	chrOU015519.1	+	3672161	3673702	3672161	3672640	3672707	3673702	35	81,86,45	15,21,18	508,60,52,85	65,5,13,9	166	99	0.0100932046861	0.06190677571580249	0.763,0.71,0.599	0.823,0.877,0.705,0.849	-0.123
