Orthogroup	Nomia_melanderi	Eufriesea_mexicana
OG0000001	XP_031826091.1, XP_031826099.1, XP_031826098.1, XP_031826097.1, XP_031826095.1, XP_031826093.1, XP_031826092.1, XP_031826094.1	XP_017757759.1, XP_017757755.1, XP_017757765.1, XP_017757760.1
OG0000002	XP_031843598.1, XP_031843599.1, XP_031836533.1, XP_031840851.1, XP_031840849.1, XP_031840848.1, XP_031825293.1, XP_031848748.1, XP_031844082.1, XP_031834591.1, XP_031844871.1	XP_017757739.1
OG0000003	XP_031834418.1	XP_017765117.1
OG0000006	XP_031829654.1, XP_031829653.1	XP_017760616.1
OG0000006	XP_031839362.1	XP_017764545.1, XP_017754146.1, XP_017764546.1
OG0000007	XP_031838462.1, XP_031838489.1, XP_031838503.1, XP_031838476.1	XP_017758952.1, XP_017765356.1, XP_017765413.1, XP_017759157.1, XP_017760963.1, XP_017760962.1, XP_017760967.1, XP_017760966.1, XP_017760964.1, XP_017753024.1
OG0000008	XP_031836960.1, XP_031836959.1	XP_017765153.1
OG0000008	XP_031828119.1	XP_017759619.1, XP_017759620.1
OG0000009	XP_031837140.1, XP_031837144.1, XP_031837147.1, XP_031837148.1, XP_031837149.1, XP_031837141.1, XP_031837143.1, XP_031837145.1, XP_031837139.1, XP_031837146.1	XP_017760325.1, XP_017760326.1, XP_017760327.1
OG0000010	XP_031847372.1	XP_017758034.1
OG0000011	XP_031841395.1, XP_031841408.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841403.1, XP_031841402.1, XP_031841400.1, XP_031841399.1, XP_031841409.1, XP_031841396.1, XP_031841397.1, XP_031841398.1	XP_017762097.1
OG0000012	XP_031826024.1, XP_031826006.1, XP_031825979.1, XP_031825989.1, XP_031825998.1, XP_031826014.1	XP_017756205.1, XP_017756206.1, XP_017756207.1, XP_017756208.1, XP_017756209.1, XP_017756212.1, XP_017756211.1, XP_017756210.1
OG0000014	XP_031839376.1	XP_017754149.1
OG0000014	XP_031839490.1, XP_031839491.1	XP_017764550.1
OG0000015	XP_031827714.1, XP_031827713.1	XP_017766522.1
OG0000017	XP_031839375.1	XP_017764548.1
OG0000017	XP_031839489.1	XP_017754148.1
OG0000017	XP_031826007.1	XP_017761097.1
OG0000018	XP_031828712.1, XP_031828710.1, XP_031828711.1, XP_031828716.1, XP_031828715.1, XP_031828714.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828719.1, XP_031828720.1, XP_031828721.1, XP_031828713.1	XP_017765545.1, XP_017765546.1, XP_017765543.1, XP_017765544.1, XP_017765541.1, XP_017765542.1, XP_017765540.1
OG0000019	XP_031838643.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838635.1, XP_031838641.1, XP_031838642.1	XP_017759439.1, XP_017759448.1
OG0000020	XP_031849056.1, XP_031844739.1	XP_017766952.1, XP_017766939.1, XP_017766929.1, XP_017766928.1, XP_017766924.1, XP_017766923.1, XP_017766932.1
OG0000021	XP_031836775.1	XP_017759127.1
OG0000021	XP_031848885.1, XP_031848883.1	XP_017765002.1, XP_017765495.1
OG0000022	XP_031830368.1	XP_017752524.1, XP_017752525.1, XP_017752522.1, XP_017752521.1, XP_017752519.1, XP_017752523.1
OG0000023	XP_031836773.1, XP_031850304.1, XP_031848018.1	XP_017762861.1, XP_017753050.1
OG0000023	XP_031848014.1	XP_017759221.1
OG0000023	XP_031848017.1	XP_017759096.1
OG0000024	XP_031836264.1, XP_031836242.1, XP_031829397.1, XP_031829398.1, XP_031829399.1, XP_031842134.1, XP_031841206.1	XP_017763357.1
OG0000025	XP_031846352.1	XP_017753605.1, XP_017753606.1, XP_017753607.1, XP_017753608.1, XP_017753604.1
OG0000026	XP_031830538.1, XP_031830540.1, XP_031830536.1, XP_031830537.1	XP_017760518.1, XP_017760517.1, XP_017760519.1, XP_017760520.1, XP_017760522.1, XP_017760521.1, XP_017760524.1, XP_017760523.1
OG0000027	XP_031848648.1, XP_031848647.1	XP_017753388.1
OG0000028	XP_031850487.1, XP_031850488.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1	XP_017754494.1, XP_017754495.1
OG0000029	XP_031829219.1	XP_017760452.1, XP_017760451.1, XP_017760450.1, XP_017760449.1, XP_017760448.1
OG0000030	XP_031834455.1	XP_017759130.1
OG0000030	XP_031849041.1, XP_031848852.1	XP_017759129.1
OG0000031	XP_031827527.1	XP_017764156.1, XP_017764173.1, XP_017756939.1, XP_017757028.1, XP_017757262.1, XP_017764182.1, XP_017764190.1, XP_017764164.1, XP_017757183.1, XP_017757105.1
OG0000032	XP_031841904.1, XP_031841905.1, XP_031841906.1	XP_017760292.1, XP_017760294.1, XP_017760295.1, XP_017760293.1, XP_017760298.1, XP_017760299.1, XP_017760296.1
OG0000033	XP_031837391.1, XP_031837392.1, XP_031837389.1, XP_031837388.1, XP_031837387.1, XP_031837386.1	XP_017757082.1, XP_017757081.1, XP_017757084.1, XP_017757083.1
OG0000034	XP_031846647.1	XP_017755245.1
OG0000035	XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1, XP_031842566.1, XP_031842564.1, XP_031842565.1, XP_031842567.1, XP_031842563.1, XP_031842562.1	XP_017753788.1, XP_017753789.1
OG0000036	XP_031841466.1, XP_031841465.1, XP_031841460.1, XP_031841461.1, XP_031841462.1, XP_031841463.1	XP_017753439.1, XP_017753440.1
OG0000037	XP_031828389.1, XP_031828386.1, XP_031828385.1, XP_031828380.1, XP_031828378.1, XP_031828387.1, XP_031828388.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828379.1, XP_031828382.1, XP_031828383.1, XP_031828384.1, XP_031828373.1	XP_017764881.1
OG0000038	XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827452.1, XP_031827413.1	XP_017759271.1, XP_017759272.1
OG0000038	XP_031831172.1, XP_031831171.1, XP_031831170.1	XP_017755960.1, XP_017755959.1
OG0000039	XP_031829822.1, XP_031829824.1, XP_031829823.1	XP_017755128.1, XP_017755127.1, XP_017755129.1
OG0000040	XP_031835069.1, XP_031835073.1, XP_031835072.1, XP_031835071.1, XP_031835076.1, XP_031835075.1, XP_031835074.1	XP_017756955.1, XP_017756954.1, XP_017756957.1, XP_017756956.1, XP_017756953.1, XP_017756959.1, XP_017756958.1, XP_017756961.1
OG0000041	XP_031848783.1	XP_017754682.1
OG0000041	XP_031831007.1	XP_017762235.1
OG0000041	XP_031848981.1, XP_031848932.1	XP_017756504.1
OG0000042	XP_031848630.1, XP_031848628.1, XP_031848631.1, XP_031848621.1	XP_017756873.1, XP_017756878.1
OG0000043	XP_031837423.1, XP_031837422.1, XP_031837424.1, XP_031837418.1, XP_031837419.1, XP_031837415.1, XP_031837416.1, XP_031837417.1, XP_031837420.1	XP_017764300.1, XP_017764303.1, XP_017764301.1, XP_017764302.1, XP_017764299.1, XP_017764298.1
OG0000044	XP_031843159.1, XP_031843160.1, XP_031843157.1, XP_031843158.1, XP_031843156.1, XP_031843147.1, XP_031843154.1, XP_031843149.1, XP_031843148.1, XP_031843151.1, XP_031843150.1, XP_031843153.1, XP_031843152.1	XP_017762070.1
OG0000045	XP_031848811.1	XP_017762647.1
OG0000046	XP_031834877.1	XP_017759730.1, XP_017759712.1, XP_017759757.1, XP_017759752.1
OG0000047	XP_031826113.1	XP_017761001.1
OG0000047	XP_031839319.1	XP_017764538.1
OG0000048	XP_031848752.1, XP_031848787.1, XP_031841174.1, XP_031848702.1, XP_031843838.1, XP_031838604.1, XP_031828601.1, XP_031836614.1, XP_031842050.1, XP_031847656.1, XP_031836582.1, XP_031827996.1	XP_017756654.1
