Orthogroup	Anopheles_gambiae	Osmia_bicornis
OG0000001	XP_563971.3	XP_029047550.1, XP_029047546.1, XP_029047548.1, XP_029047547.1, XP_029055795.1, XP_029053627.1, XP_029053628.1, XP_029054076.1, XP_029054175.1, XP_029053437.1, XP_029048982.1, XP_029048983.1, XP_029048984.1, XP_029048981.1, XP_029053439.1, XP_029053440.1, XP_029054094.1, XP_029053433.1, XP_029053438.1, XP_029054161.1, XP_029052981.1, XP_029052980.1, XP_029052979.1, XP_029052978.1, XP_029053697.1, XP_029053980.1, XP_029053981.1, XP_029053979.1, XP_029053978.1, XP_029053876.1, XP_029053701.1, XP_029053700.1, XP_029053699.1, XP_029053698.1, XP_029053704.1, XP_029036021.1, XP_029033204.1, XP_029033205.1
OG0000002	XP_317343.1	XP_029034426.1, XP_029048273.1, XP_029048274.1, XP_029048309.1, XP_029034429.1, XP_029034428.1, XP_029034389.1, XP_029054354.1, XP_029048279.1, XP_029048307.1, XP_029048304.1, XP_029048306.1, XP_029048298.1, XP_029054355.1, XP_029054352.1, XP_029054358.1, XP_029048308.1, XP_029054353.1, XP_029054356.1, XP_029048299.1
OG0000003	XP_001688581.1	XP_029054798.1, XP_029054894.1, XP_029053950.1, XP_029054738.1, XP_029054525.1, XP_029053944.1, XP_029053297.1, XP_029053920.1, XP_029055270.1, XP_029055276.1, XP_029055313.1, XP_029054611.1, XP_029055262.1
OG0000004	XP_310729.1	XP_029055255.1
OG0000004	XP_320414.1	XP_029054728.1, XP_029054531.1
OG0000005	XP_308124.5	XP_029054911.1, XP_029040190.1, XP_029048965.1, XP_029054068.1, XP_029054719.1, XP_029055018.1, XP_029055181.1
OG0000006	XP_310173.1, XP_310172.2	XP_029033655.1
OG0000007	XP_003435875.1, XP_003435876.1	XP_029053574.1
OG0000008	XP_310333.7	XP_029037761.1
OG0000008	XP_310338.7, XP_310337.6	XP_029037752.1, XP_029037753.1
OG0000008	XP_312388.4, XP_312387.5	XP_029041248.1
OG0000008	XP_310332.7, XP_003436611.1	XP_029037757.1
OG0000008	XP_559558.6, XP_003436610.1	XP_029037755.1
OG0000008	XP_310340.1	XP_029037762.1
OG0000009	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3, XP_001238280.1, XP_316781.2	XP_029039353.1, XP_029039355.1, XP_029039354.1, XP_029050383.1, XP_029039416.1, XP_029039350.1, XP_029039348.1, XP_029039349.1
OG0000012	XP_317829.4	XP_029040151.1, XP_029040169.1
OG0000012	XP_321898.3, XP_001689374.2, XP_308888.1, XP_001689375.2, XP_001689376.2, XP_321901.4, XP_001238557.2	XP_029036967.1, XP_029036856.1
OG0000013	XP_307081.3	XP_029054967.1
OG0000013	XP_307601.3	XP_029051686.1, XP_029053957.1, XP_029035638.1, XP_029053372.1
OG0000013	XP_321242.1, XP_320335.2, XP_320336.2	XP_029037650.1
OG0000014	XP_314186.3, XP_314184.1, XP_314185.3, XP_309451.4, XP_311486.4	XP_029054658.1
OG0000017	XP_319968.3, XP_319970.3, XP_319969.1, XP_319967.1, XP_319966.1, XP_001238234.1, XP_319972.1	XP_029036237.1
OG0000017	XP_562676.3	XP_029039562.1
OG0000017	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1	XP_029039555.1, XP_029039565.1, XP_029039563.1, XP_029039564.1
OG0000018	XP_316463.3, XP_557101.2	XP_029051327.1
OG0000018	XP_558678.4, XP_551022.4, XP_321300.4	XP_029049739.1, XP_029049738.1, XP_029049740.1
OG0000018	XP_312930.5	XP_029049735.1, XP_029036695.1
OG0000019	XP_321444.5	XP_029052871.1, XP_029052872.1
OG0000019	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4	XP_029033414.1
OG0000020	XP_554133.3	XP_029050516.1
OG0000020	XP_314903.3, XP_554132.3	XP_029043034.1
OG0000020	XP_001238085.2, XP_319101.4	XP_029055041.1
OG0000020	XP_315006.4	XP_029042549.1
OG0000020	XP_312941.4	XP_029051090.1
OG0000020	XP_321843.5	XP_029034229.1
OG0000020	XP_001231126.3	XP_029032757.1
OG0000021	XP_313342.5, XP_003436532.1	XP_029039360.1, XP_029039361.1, XP_029039362.1
