GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0019899	enzyme binding	57	39	28.31	0.0017	0.0017	0.028999999999999998	0.051
GO:0003676	nucleic acid binding	109	61	54.14	0.0025	0.0218	0.028999999999999998	0.1308
GO:1901363	heterocyclic compound binding	174	98	86.43	0.0029	0.0131	0.028999999999999998	0.09825
GO:0097159	organic cyclic compound binding	177	100	87.92	0.0063	0.0104	0.04725	0.09825
GO:0016740	transferase activity	96	57	47.68	0.0447	0.0447	0.23800000000000002	0.22349999999999998
GO:0003824	catalytic activity	235	130	116.73	0.0476	0.0109	0.23800000000000002	0.09825
GO:0046872	metal ion binding	92	52	45.7	0.1963	0.1963	0.7376250000000001	0.37545000000000006
GO:0005524	ATP binding	61	35	30.3	0.1967	0.1967	0.7376250000000001	0.37545000000000006
GO:0003677	DNA binding	70	31	34.77	0.2874	0.2874	0.8792142857142857	0.3919090909090909
GO:0140110	transcription regulator activity	53	22	26.33	0.3231	0.3231	0.8792142857142857	0.403875
GO:0005488	binding	380	196	188.75	0.3417	0.0707	0.8792142857142857	0.303
GO:0016787	hydrolase activity	112	56	55.63	0.3737	0.3737	0.8792142857142857	0.44843999999999995
GO:0000166	nucleotide binding	77	43	38.25	0.3816	0.2340	0.8792142857142857	0.37545000000000006
GO:0043168	anion binding	92	47	45.7	0.4103	0.4945	0.8792142857142857	0.5494444444444445
GO:0098772	molecular function regulator	103	47	51.16	0.4469	0.2503	0.8938	0.37545000000000006
GO:0140096	catalytic activity, acting on a protein	118	55	58.61	0.5590	0.5590	0.9726666666666667	0.5989285714285715
GO:0035639	purine ribonucleoside triphosphate binding	74	42	36.76	0.5792	0.1923	0.9726666666666667	0.37545000000000006
GO:0032555	purine ribonucleotide binding	75	42	37.25	0.5836	0.2382	0.9726666666666667	0.37545000000000006
GO:0005515	protein binding	282	144	140.07	0.6732	0.4425	1	0.510576923076923
GO:0097367	carbohydrate derivative binding	89	48	44.21	0.7263	0.3085	1	0.4023913043478261
GO:0036094	small molecule binding	80	44	39.74	0.8879	0.2794	1	0.3919090909090909
GO:0005102	signaling receptor binding	50	19	24.84	0.8977	0.8977	1	0.9286551724137933
GO:0032559	adenyl ribonucleotide binding	62	35	30.8	0.9981	0.2150	1	0.37545000000000006
GO:0032553	ribonucleotide binding	75	42	37.25	1.0000	0.2382	1	0.37545000000000006
GO:0043167	ion binding	172	94	85.43	1.0000	0.0943	1	0.35362499999999997
GO:0043169	cation binding	92	52	45.7	1.0000	0.1963	1	0.37545000000000006
GO:0003674	molecular_function	455	226	226	1.0000	1.0000	1	1
GO:0017076	purine nucleotide binding	75	42	37.25	1.0000	0.2382	1	0.37545000000000006
GO:0030554	adenyl nucleotide binding	62	35	30.8	1.0000	0.2150	1	0.37545000000000006
GO:1901265	nucleoside phosphate binding	77	43	38.25	1.0000	0.2340	1	0.37545000000000006
