Orthogroup	Tribolium_castaneum	Osmia_lignaria
OG0000000	XP_015839988.1	XP_034179313.1
OG0000000	XP_015840338.1	XP_034195313.1, XP_034177367.1, XP_034195165.1, XP_034195149.1, XP_034195129.1, XP_034194954.1, XP_034195055.1, XP_034195057.1, XP_034194871.1, XP_034195227.1, XP_034182490.1, XP_034194953.1, XP_034195179.1, XP_034194794.1, XP_034195185.1, XP_034195329.1, XP_034195156.1
OG0000001	NP_001137200.1, XP_008192267.1, NP_001177722.1, XP_975563.1, NP_001280531.1, NP_001164249.1, XP_015834314.1, NP_001280532.1, XP_015834315.1, XP_975569.1, XP_008192269.1, XP_975562.1, XP_008192266.1, XP_015834510.1, XP_015834511.1	XP_034175979.1
OG0000001	XP_969875.1	XP_034187550.1
OG0000001	XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1	XP_034182179.1, XP_034190826.1, XP_034190827.1
OG0000002	XP_015839871.1	XP_034171936.1, XP_034171929.1, XP_034171933.1, XP_034171931.1, XP_034170982.1, XP_034171014.1, XP_034171015.1, XP_034171927.1, XP_034170983.1, XP_034170985.1, XP_034170984.1, XP_034171930.1, XP_034171932.1, XP_034171011.1, XP_034171928.1, XP_034171012.1
OG0000003	XP_015833782.1	XP_034195209.1, XP_034195334.1
OG0000004	XP_015834342.1	XP_034194807.1, XP_034195176.1, XP_034195009.1, XP_034194636.1, XP_034195065.1
OG0000007	XP_015837969.1	XP_034192555.1, XP_034194792.1, XP_034195128.1
OG0000008	XP_972338.1	XP_034185974.1
OG0000008	XP_972175.3	XP_034185973.1
OG0000008	XP_969421.1	XP_034181671.1
OG0000008	XP_008191987.1, XP_972532.1	XP_034185970.1
OG0000008	XP_972430.2	XP_034185983.1
OG0000008	XP_015836551.1, XP_015836552.1	XP_034185979.1, XP_034185978.1
OG0000008	XP_008191970.1	XP_034185982.1, XP_034185981.1, XP_034185980.1
OG0000009	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2	XP_034180231.1, XP_034180230.1, XP_034180232.1, XP_034195958.1, XP_034180228.1, XP_034180226.1, XP_034180498.1, XP_034180227.1
OG0000012	XP_008192552.1	XP_034193627.1, XP_034193628.1, XP_034193625.1
OG0000013	XP_969677.1	XP_034173511.1, XP_034195020.1, XP_034174016.1
OG0000013	XP_966487.1	XP_034173427.1, XP_034171174.1
OG0000013	XP_008197392.1	XP_034191425.1, XP_034191426.1
OG0000014	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1	XP_034173943.1, XP_034175387.1, XP_034171057.1, XP_034183943.1, XP_034173506.1, XP_034173507.1, XP_034173418.1
OG0000015	XP_015839984.1, XP_015834077.1	XP_034195318.1, XP_034194991.1
OG0000015	XP_008199215.1, XP_015840019.1	XP_034194842.1, XP_034195186.1, XP_034195038.1, XP_034194992.1, XP_034195335.1, XP_034194993.1, XP_034195336.1, XP_034195047.1, XP_034195037.1
OG0000016	XP_015840352.1, XP_015840124.1	XP_034192195.1, XP_034177371.1, XP_034174822.1, XP_034182100.1
OG0000017	XP_967395.1, XP_971136.1, XP_966872.2, XP_008200938.1, XP_966966.2, XP_967147.1, XP_971203.1, XP_966787.1, XP_015838196.1, XP_008201195.2, XP_015838248.1, XP_008190708.1, XP_015838206.1, XP_971509.1, XP_008200937.1	XP_034170905.1
OG0000017	XP_015834775.1, XP_974273.1	XP_034178979.1, XP_034178985.1, XP_034178984.1
OG0000018	XP_008200429.1	XP_034175482.1
OG0000018	XP_008194092.1, XP_969781.1	XP_034193265.1, XP_034193266.1, XP_034193267.1, XP_034193268.1
OG0000018	XP_969849.1, XP_008194093.1, XP_008193834.1	XP_034193695.1, XP_034193694.1
OG0000019	XP_975378.1	XP_034176014.1
OG0000019	XP_973103.2, XP_973187.1, XP_008192578.1, XP_001813143.1, XP_973063.1	XP_034185020.1
OG0000019	XP_972874.1, XP_015834337.1, XP_008192577.2	XP_034185441.1
OG0000020	XP_008201408.1	XP_034186694.1
OG0000020	XP_008201409.2	XP_034186692.1
OG0000020	XP_969457.2	XP_034185768.1
OG0000021	XP_015838169.1	XP_034193153.1
OG0000021	XP_008197404.1	XP_034176195.1, XP_034176197.1, XP_034176196.1
OG0000021	XP_008197199.1	XP_034184869.1
OG0000021	XP_008196932.1	XP_034181343.1
OG0000021	XP_008197203.1, XP_969207.1	XP_034194090.1, XP_034194088.1, XP_034194089.1, XP_034194086.1, XP_034194087.1
OG0000022	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1	XP_034187482.1
OG0000024	XP_970056.2	XP_034193921.1
OG0000026	XP_015833705.1	XP_034194425.1
OG0000026	XP_008193329.1	XP_034181081.1
OG0000026	XP_966472.1	XP_034179246.1
OG0000026	XP_015840897.1	XP_034195801.1, XP_034196365.1
OG0000027	XP_008199927.1	XP_034172344.1, XP_034173947.1, XP_034172482.1
OG0000027	XP_008199050.2	XP_034173430.1
OG0000029	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1, XP_971332.1	XP_034181406.1, XP_034181408.1
OG0000029	XP_015840495.1, XP_008201389.1, XP_008201390.1	XP_034187040.1, XP_034181507.1
OG0000030	XP_966905.1	XP_034172323.1
OG0000030	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2	XP_034183201.1
OG0000031	XP_008192426.1, XP_015840131.1, XP_015837232.1, XP_008192457.2	XP_034183419.1, XP_034195153.1, XP_034192177.1, XP_034194556.1, XP_034194883.1, XP_034194575.1, XP_034187271.1, XP_034187268.1, XP_034187270.1, XP_034187269.1, XP_034194909.1
OG0000031	XP_015835126.1, XP_008192256.1	XP_034194573.1, XP_034174313.1
OG0000032	XP_008200043.1	XP_034196186.1
OG0000032	XP_008197173.2	XP_034191636.1
OG0000032	XP_969958.1, XP_970026.1	XP_034177599.1, XP_034177331.1, XP_034185955.1
OG0000035	XP_008191815.1, XP_008191817.1, XP_971626.2, XP_008191746.2, XP_008191790.1	XP_034174457.1
OG0000036	XP_967476.1, XP_001811753.1	XP_034179599.1, XP_034179598.1, XP_034186699.1, XP_034186700.1
OG0000037	XP_008192993.1, XP_015835222.1, XP_970216.2, XP_008193006.2, XP_008193010.2, XP_015835218.1, XP_966991.2, XP_015835223.1, XP_001809825.2, XP_015835468.1, XP_968523.2, XP_015835220.1, XP_015835221.1, XP_008190973.2, XP_970770.1, XP_970895.1, XP_008200145.1	XP_034181170.1
OG0000038	XP_966584.1	XP_034193717.1
OG0000039	XP_008191547.1	XP_034195223.1
OG0000040	NP_001161129.1, XP_008193161.1, NP_001161087.1, XP_970321.1, NP_001161083.1	XP_034170854.1, XP_034170811.1, XP_034170810.1, XP_034170809.1
OG0000041	NP_001165843.1, NP_001165844.1	XP_034174489.1, XP_034174481.1
OG0000041	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1	XP_034183063.1, XP_034183066.1, XP_034183064.1
OG0000041	XP_967305.1	XP_034186914.1
OG0000042	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1	XP_034173998.1
OG0000042	XP_974033.1, XP_015840580.1	XP_034187660.1
OG0000043	XP_008193777.1, NP_001039289.1	XP_034173650.1
OG0000043	NP_001039285.1	XP_034192580.1
OG0000043	NP_001039279.1, NP_001039280.1, NP_001039278.1	XP_034196124.1
OG0000044	XP_008200957.1	XP_034185647.1, XP_034185650.1, XP_034185648.1
OG0000045	XP_015834974.1, XP_015834972.1	XP_034196329.1, XP_034196330.1, XP_034181260.1
OG0000046	XP_008200986.2, XP_015838368.1	XP_034194263.1
OG0000046	XP_966611.1	XP_034188783.1, XP_034179386.1
OG0000047	XP_015839407.1, XP_015839283.1, XP_008200958.2	XP_034183417.1, XP_034177275.1, XP_034192311.1, XP_034192314.1, XP_034192434.1, XP_034192433.1, XP_034194157.1, XP_034194156.1, XP_034194155.1, XP_034182102.1, XP_034170845.1, XP_034177194.1, XP_034192178.1, XP_034174821.1, XP_034187731.1
OG0000049	XP_015840032.1, XP_015840259.1, XP_015839930.1, XP_015840220.1, XP_015840324.1, XP_015837476.1, XP_008194621.1	XP_034194850.1, XP_034195011.1, XP_034194963.1, XP_034194789.1, XP_034192558.1, XP_034195077.1
OG0000050	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1, XP_015840854.1	XP_034183260.1
OG0000052	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1	XP_034186731.1, XP_034194880.1
OG0000052	XP_008197196.2, XP_008197191.1	XP_034191839.1
OG0000054	XP_970381.1	XP_034176640.1, XP_034176646.1
OG0000055	XP_971821.3	XP_034185035.1, XP_034185036.1, XP_034185034.1, XP_034185037.1
OG0000055	XP_969454.3	XP_034178359.1
OG0000055	XP_008194095.1	XP_034190706.1
OG0000056	XP_015835680.1	XP_034195921.1, XP_034174982.1
OG0000056	XP_008197222.1	XP_034181068.1
OG0000056	XP_015834565.1	XP_034195945.1
OG0000056	XP_015839288.1	XP_034176871.1
OG0000056	XP_970084.2	XP_034175501.1, XP_034175497.1
OG0000057	XP_967267.1	XP_034187515.1
OG0000057	XP_969993.1	XP_034180852.1
OG0000057	XP_967348.1	XP_034187514.1
OG0000057	XP_968314.1	XP_034187518.1
OG0000060	XP_008194927.2	XP_034191137.1
OG0000060	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1	XP_034187152.1, XP_034187149.1, XP_034187153.1, XP_034187150.1, XP_034187148.1, XP_034187151.1
OG0000061	XP_969936.2	XP_034172253.1
OG0000061	XP_008197154.2	XP_034191746.1, XP_034191745.1, XP_034191749.1, XP_034191748.1, XP_034191747.1
OG0000062	XP_973442.1, XP_974390.1, XP_966780.1, XP_974367.1, XP_973378.1, XP_973344.1, XP_975377.1	XP_034196475.1, XP_034196526.1, XP_034196469.1, XP_034196470.1, XP_034196468.1, XP_034170830.1
OG0000063	XP_015837412.1	XP_034192205.1, XP_034194193.1, XP_034182480.1, XP_034194997.1, XP_034195296.1, XP_034195297.1, XP_034194554.1, XP_034195174.1
OG0000063	XP_015840144.1	XP_034195302.1, XP_034172329.1, XP_034171030.1
OG0000065	XP_015834020.1	XP_034186031.1, XP_034186030.1, XP_034186029.1, XP_034186032.1
OG0000065	XP_969514.1, XP_008198984.1, XP_008198951.1, XP_966889.1, XP_015837535.1, XP_015834023.1, XP_015834022.1	XP_034186028.1
OG0000066	XP_015839951.1, XP_015837849.1, XP_015839954.1, XP_015840122.1, XP_015839271.1, XP_015839922.1, XP_015837699.1, XP_008192464.1	XP_034192378.1
OG0000066	XP_015840033.1	XP_034194561.1
OG0000067	XP_008200210.1	XP_034188060.1
OG0000067	NP_001164095.1, XP_008200192.1	XP_034176568.1
OG0000067	XP_008198995.1	XP_034192090.1
OG0000069	XP_008191789.1	XP_034175784.1
OG0000072	XP_015840428.1	XP_034195052.1
OG0000072	XP_015840056.1, XP_008198792.1, XP_015839243.1	XP_034194705.1
OG0000074	XP_015837890.1, XP_970945.2	XP_034195150.1
OG0000075	XP_008191221.1, XP_015833570.1, XP_015833569.1, XP_015840430.1	XP_034184988.1
OG0000076	XP_015840141.1	XP_034182479.1
OG0000077	XP_008200285.1	XP_034178573.1, XP_034178581.1
OG0000077	XP_008194480.2, XP_971466.1, XP_015836196.1	XP_034192524.1
OG0000079	XP_015834127.1, XP_015834125.1, XP_015834162.1, XP_015834130.1, XP_015834115.1, XP_015834114.1, XP_015834120.1, XP_015834129.1, XP_015834135.1, XP_015834158.1, XP_015834124.1, XP_015834123.1, XP_015834118.1, XP_015834166.1, XP_015834160.1, XP_015834147.1, XP_015834145.1, XP_015834144.1, XP_015834151.1, XP_015834143.1, XP_015834157.1, XP_015834134.1, XP_015834154.1, XP_015834122.1, XP_015834161.1, XP_015834126.1	XP_034174764.1
OG0000080	XP_971544.1	XP_034191096.1
OG0000080	XP_015839289.1	XP_034191102.1
OG0000081	XP_015833047.1	XP_034179208.1, XP_034179226.1, XP_034179214.1, XP_034179212.1, XP_034179508.1, XP_034179507.1, XP_034179211.1
OG0000082	XP_008196787.1, XP_008196786.1	XP_034191540.1, XP_034191538.1, XP_034191541.1, XP_034191539.1, XP_034191543.1, XP_034191542.1, XP_034191544.1, XP_034191545.1
OG0000084	XP_008194205.2	XP_034188705.1, XP_034188707.1, XP_034188706.1, XP_034188921.1
OG0000084	XP_008194337.1, XP_969263.1	XP_034189639.1
OG0000085	XP_008190480.1, XP_008190479.1, XP_008190478.1	XP_034192632.1, XP_034192631.1
OG0000085	XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1	XP_034171418.1
OG0000086	XP_973839.1, XP_008201361.1, XP_008200636.2, XP_971578.1, XP_008193572.1, XP_008197635.1, XP_008193352.1, XP_015839617.1	XP_034193956.1
OG0000086	XP_008200062.1, XP_015834290.1	XP_034193661.1
OG0000087	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2	XP_034179280.1, XP_034179279.1
OG0000087	XP_969383.1	XP_034179278.1
OG0000088	XP_015837887.1	XP_034186223.1
OG0000089	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1	XP_034188076.1, XP_034188075.1, XP_034188074.1
OG0000091	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2	XP_034181366.1, XP_034181369.1, XP_034181364.1
OG0000092	XP_008198926.1	XP_034172508.1
OG0000092	XP_967128.1	XP_034196103.1, XP_034196104.1, XP_034196105.1, XP_034196106.1, XP_034196107.1
OG0000093	XP_008198969.1	XP_034194541.1
OG0000094	XP_008194293.1	XP_034183347.1, XP_034183349.1, XP_034183348.1
OG0000094	XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2	XP_034186765.1
OG0000095	XP_971423.1, NP_001034529.1, NP_001107847.1, NP_001034530.1, NP_001107861.1, NP_001107846.1, XP_015839255.1, NP_001107850.1	XP_034175885.1
OG0000096	XP_970191.2	XP_034192124.1
OG0000096	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1	XP_034177248.1
OG0000097	XP_966355.1, XP_008200463.1	XP_034190835.1, XP_034190836.1
