Orthogroup	Habropoda_laboriosa	Vespa_mandarinia
OG0000001	XP_017795702.1	XP_035720574.1
OG0000001	XP_017793598.1	XP_035726105.1
OG0000001	XP_017796836.1, XP_017796838.1, XP_017795399.1, XP_017796200.1, XP_017791301.1, XP_017795398.1	XP_035737410.1, XP_035737418.1, XP_035737424.1
OG0000001	XP_017791778.1	XP_035734021.1, XP_035734020.1, XP_035734019.1
OG0000002	XP_017795928.1	XP_035737286.1, XP_035737171.1, XP_035737322.1, XP_035737321.1
OG0000002	XP_017795926.1	XP_035737326.1
OG0000002	XP_017795970.1	XP_035737177.1
OG0000002	XP_017795940.1	XP_035737160.1, XP_035737224.1
OG0000002	XP_017795948.1	XP_035737208.1
OG0000002	XP_017795929.1	XP_035737170.1
OG0000002	XP_017795932.1, XP_017795931.1, XP_017795930.1	XP_035737172.1, XP_035737325.1, XP_035737203.1
OG0000002	XP_017795934.1, XP_017797103.1, XP_017797055.1, XP_017797089.1, XP_017795969.1, XP_017795975.1, XP_017797057.1, XP_017795939.1, XP_017795938.1, XP_017795937.1, XP_017795933.1	XP_035737210.1
OG0000003	XP_017795781.1	XP_035731237.1
OG0000003	XP_017797025.1	XP_035742199.1
OG0000004	XP_017795705.1, XP_017792101.1	XP_035731242.1
OG0000004	XP_017796976.1, XP_017796999.1	XP_035744268.1
OG0000004	XP_017795072.1	XP_035737763.1
OG0000004	XP_017795846.1	XP_035737762.1
OG0000004	XP_017790882.1	XP_035742402.1
OG0000006	XP_017788744.1	XP_035718467.1
OG0000006	XP_017788745.1	XP_035718471.1
OG0000006	XP_017789424.1	XP_035740898.1
OG0000008	XP_017797987.1	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1
OG0000008	XP_017797975.1	XP_035736007.1
OG0000008	XP_017797962.1	XP_035736200.1, XP_035736201.1, XP_035736202.1
OG0000008	XP_017798022.1	XP_035739950.1, XP_035739951.1, XP_035739948.1
OG0000009	XP_017789192.1	XP_035733996.1
OG0000009	XP_017794730.1, XP_017794617.1, XP_017794731.1, XP_017794737.1	XP_035722232.1, XP_035722233.1, XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1
OG0000010	XP_017792998.1	XP_035740330.1, XP_035741893.1, XP_035731225.1, XP_035742782.1, XP_035739222.1
OG0000011	XP_017796293.1	XP_035728388.1, XP_035728331.1, XP_035728389.1
OG0000012	XP_017797597.1	XP_035729179.1
OG0000012	XP_017796583.1	XP_035731128.1
OG0000013	XP_017799299.1	XP_035732971.1
OG0000013	XP_017795688.1	XP_035725915.1
OG0000013	XP_017797795.1	XP_035732326.1, XP_035732327.1, XP_035732323.1, XP_035732322.1, XP_035732328.1
OG0000014	XP_017799148.1, XP_017799145.1	XP_035717855.1, XP_035725913.1, XP_035733113.1, XP_035733114.1, XP_035733115.1, XP_035735278.1
OG0000016	XP_017796994.1, XP_017797009.1	XP_035739379.1
OG0000017	XP_017788278.1	XP_035722701.1
OG0000017	XP_017795363.1, XP_017795361.1	XP_035728385.1
OG0000018	XP_017793008.1	XP_035730877.1
OG0000018	XP_017793490.1	XP_035718019.1
OG0000018	XP_017793336.1	XP_035718148.1
OG0000018	XP_017796703.1	XP_035735080.1
OG0000019	XP_017790272.1	XP_035725561.1, XP_035725574.1, XP_035725576.1
