GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0022625	cytosolic large ribosomal subunit	46	39	22.03	7.6e-08	7.6e-08	2.5004000000000003e-5	3.1255000000000004e-6
GO:0051233	spindle midzone	21	16	10.05	5.6e-06	5.6e-06	9.212e-4	1.8423999999999998e-4
GO:0005730	nucleolus	190	118	90.97	2.2e-05	2.2e-05	0.0024126666666666667	5.17e-4
GO:0043186	P granule	31	22	14.84	5.6e-05	5.6e-05	0.004606	8.773333333333333e-4
GO:0032993	protein-DNA complex	61	36	29.21	0.00026	0.01234	0.017107999999999998	0.06444222222222222
GO:0000228	nuclear chromosome	314	182	150.35	0.00032	0.00089	0.01754666666666667	0.007913783783783783
GO:0005763	mitochondrial small ribosomal subunit	28	20	13.41	0.00044	0.00044	0.02068	0.00517
GO:0072686	mitotic spindle	31	23	14.84	0.00176	0.00176	0.07238	0.013786666666666666
GO:0120111	neuron projection cytoplasm	37	21	17.72	0.00217	0.03573	0.07932555555555557	0.14162855421686746
GO:0044815	DNA packaging complex	40	20	19.15	0.00263	0.16642	0.08652699999999999	0.4190103816793893
GO:0098800	inner mitochondrial membrane protein complex	90	61	43.09	0.00338	3.9e-05	0.10109272727272728	7.547647058823529e-4
GO:0000785	chromatin	316	173	151.3	0.00403	0.03421	0.10527999999999998	0.14162855421686746
GO:1990904	ribonucleoprotein complex	477	285	228.39	0.00416	1.4e-08	0.10527999999999998	9.212e-7
GO:0043232	intracellular non-membrane-bounded organelle	1388	773	664.58	0.00657	6.8e-13	0.14009916666666666	1.1186e-10
GO:0005747	mitochondrial respiratory chain complex I	29	21	13.89	0.00694	0.00694	0.14009916666666666	0.0456652
GO:0055029	nuclear DNA-directed RNA polymerase complex	69	33	33.04	0.00697	0.52750	0.14009916666666666	0.8237473933649289
GO:0034399	nuclear periphery	33	22	15.8	0.00735	0.00735	0.14009916666666666	0.04650288461538461
GO:0000775	chromosome, centromeric region	57	38	27.29	0.00802	0.00188	0.14009916666666666	0.014384186046511628
GO:0005871	kinesin complex	27	19	12.93	0.00865	0.00865	0.14009916666666666	0.05369528301886792
GO:0098803	respiratory chain complex	56	39	26.81	0.00904	0.00038	0.14009916666666666	0.004808461538461538
GO:0097526	spliceosomal tri-snRNP complex	22	16	10.53	0.00916	0.00916	0.14009916666666666	0.05479345454545454
GO:0022627	cytosolic small ribosomal subunit	42	29	20.11	0.00949	0.00949	0.14009916666666666	0.05575375
GO:0005876	spindle microtubule	31	17	14.84	0.00990	0.00990	0.14009916666666666	0.05615689655172414
GO:0043596	nuclear replication fork	21	15	10.05	0.01022	0.01022	0.14009916666666666	0.05698949152542373
GO:0030863	cortical cytoskeleton	31	21	14.84	0.01223	0.01223	0.15743259259259257	0.06444222222222222
GO:0031965	nuclear membrane	52	32	24.9	0.01277	0.01277	0.15743259259259257	0.06564578125000001
GO:0005746	mitochondrial respirasome	54	37	25.86	0.01292	0.00046	0.15743259259259257	0.005218620689655173
GO:0000794	condensed nuclear chromosome	26	18	12.45	0.01423	0.01423	0.1672025	0.06987567164179105
GO:0005703	polytene chromosome puff	38	25	18.19	0.01935	0.01935	0.21618483870967742	0.090945
GO:0070069	cytochrome complex	23	14	11.01	0.02009	0.02009	0.21618483870967742	0.0930930985915493
GO:0005654	nucleoplasm	507	246	242.75	0.02037	0.16999	0.21618483870967742	0.4236871969696969
GO:0030496	midbody	24	12	11.49	0.02288	0.02288	0.235235	0.1045488888888889
GO:0005643	nuclear pore	36	24	17.24	0.02504	0.02504	0.2496412121212121	0.11132648648648648
GO:0062023	collagen-containing extracellular matrix	26	18	12.45	0.02623	0.02623	0.25381382352941173	0.11506226666666666
GO:0043235	receptor complex	60	34	28.73	0.02706	0.14836	0.25436400000000003	0.39363258064516127
GO:0099572	postsynaptic specialization	25	15	11.97	0.02868	0.02868	0.26210333333333335	0.12254181818181818
GO:0000781	chromosome, telomeric region	22	15	10.53	0.02964	0.02964	0.26355567567567567	0.12502
GO:0030018	Z disc	53	29	25.38	0.03513	0.03513	0.30415184210526314	0.14162855421686746
GO:0005819	spindle	104	63	49.8	0.04042	0.00073	0.34097897435897434	0.006854166666666667
GO:0030017	sarcomere	69	39	33.04	0.04755	0.00714	0.39109875	0.04606
