ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114880061"	NA	chrOU015519.1	-	8110382	8110575	8110382	8110566	8110637	8110878	0	8,3,2,1	27,5,11,12	15,4,3,5	25,19,21,8	108	99	0.298825450517	1.0	0.214,0.355,0.143,0.071	0.355,0.162,0.116,0.364	-0.054
1	"LOC114872160"	NA	chrOU015519.1	-	7971652	7971911	7971652	7971894	7971992	7972120	1	1,0,1,0	1,0,0,1	1,2,0,1	1,0,1,2	116	99	1	1.0	0.46,NA,1.0,0.0	0.46,1.0,0.0,0.299	0.047
2	"LOC114872167"	NA	chrOU015519.1	+	7949599	7949772	7949602	7949772	7949382	7949529	2	31,21,13,20	2,0,4,0	50,18,23,22	4,0,1,1	102	99	0.520494606047	1.0	0.938,1.0,0.759,1.0	0.924,1.0,0.957,0.955	-0.035
3	"LOC114872167"	NA	chrOU015519.1	+	7949857	7950028	7949896	7950028	7949599	7949772	3	46,30,21,14	0,0,0,0	51,22,36,20	2,1,0,1	138	99	0.390675872338	1.0	1.0,1.0,1.0,1.0	0.948,0.94,1.0,0.935	0.044
4	"LOC114872170"	NA	chrOU015519.1	+	7945806	7946376	7945972	7946376	7945584	7945730	4	148,102,103,78	0,0,0,0	160,80,75,82	0,0,1,0	265	99	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.966,1.0	0.008
5	"LOC114872191"	NA	chrOU015519.1	-	7815500	7815670	7815500	7815628	7816654	7816990	5	157,83,89,88	9,7,5,7	126,92,88,120	7,5,10,17	141	99	0.232422858909	1.0	0.925,0.893,0.926,0.898	0.927,0.928,0.861,0.832	0.024
6	"LOC114872195"	NA	chrOU015519.1	-	7778776	7778905	7778776	7778902	7778977	7779080	6	22,8,21,16	8,5,3,6	29,11,28,25	6,3,8,6	102	99	0.495914942457	1.0	0.727,0.608,0.872,0.721	0.824,0.781,0.773,0.802	-0.063
7	"LOC114872198"	NA	chrOU015519.1	+	7732241	7732501	7732244	7732501	7732086	7732151	7	0,2,0,0	1,0,0,1	0,0,0,0	2,0,0,0	102	99	1	1.0	0.0,1.0,NA,0.0	0.0,NA,NA,NA	0.333
8	"LOC114872198"	NA	chrOU015519.1	+	7732241	7732501	7732293	7732501	7732086	7732151	8	0,6,1,2	5,2,0,0	3,0,2,3	0,8,0,5	151	99	0.468323792552	1.0	0.0,0.663,1.0,1.0	1.0,0.0,1.0,0.282	0.095
9	"LOC114872198"	NA	chrOU015519.1	+	7732244	7732501	7732293	7732501	7732086	7732151	9	1,4,1,3	5,2,0,0	5,0,2,3	0,8,0,5	148	99	0.540583128384	1.0	0.118,0.572,1.0,1.0	1.0,0.0,1.0,0.286	0.101
