Orthogroup	Dufourea_novaeangliae	Anopheles_gambiae
OG0000001	XP_015434764.1, XP_015434777.1, XP_015434775.1, XP_015434757.1, XP_015434758.1, XP_015434772.1, XP_015434773.1, XP_015434778.1, XP_015434774.1, XP_015438122.1, XP_015438123.1, XP_015437062.1, XP_015431466.1, XP_015436985.1, XP_015436987.1, XP_015436980.1, XP_015436981.1, XP_015436982.1	XP_563971.3
OG0000002	XP_015431056.1, XP_015431069.1, XP_015431184.1, XP_015431151.1, XP_015431173.1, XP_015431139.1, XP_015431081.1, XP_015431092.1, XP_015431116.1, XP_015431127.1, XP_015431105.1, XP_015431162.1	XP_317343.1
OG0000004	XP_015436031.1	XP_310729.1
OG0000004	XP_015437622.1, XP_015437540.1, XP_015440316.1	XP_320414.1
OG0000005	XP_015429685.1, XP_015429410.1, XP_015433678.1, XP_015437078.1, XP_015435707.1, XP_015433189.1	XP_308124.5
OG0000006	XP_015437631.1	XP_310173.1, XP_310172.2
OG0000007	XP_015440301.1	XP_003435875.1, XP_003435876.1
OG0000008	XP_015431031.1	XP_310333.7
OG0000008	XP_015431231.1, XP_015431027.1, XP_015431244.1, XP_015431029.1, XP_015431028.1	XP_310338.7, XP_310337.6
OG0000008	XP_015435962.1	XP_312388.4, XP_312387.5
OG0000008	XP_015431211.1	XP_003436608.1, XP_003436609.1, XP_003436607.1
OG0000008	XP_015431032.1	XP_310332.7, XP_003436611.1
OG0000008	XP_015431033.1	XP_559558.6, XP_003436610.1
OG0000008	XP_015431233.1	XP_310340.1
OG0000009	XP_015439019.1, XP_015438919.1, XP_015438920.1, XP_015438921.1, XP_015439018.1, XP_015438918.1	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3, XP_001238280.1, XP_316781.2
OG0000012	XP_015431215.1, XP_015431007.1	XP_317829.4
OG0000012	XP_015431006.1	XP_554157.3, XP_319603.2, XP_317170.2, XP_317171.2, XP_317172.2, XP_555167.1, XP_317173.2, XP_317175.2, XP_317174.2, XP_318046.3, XP_319102.4, XP_001231167.2
OG0000012	XP_015432417.1, XP_015432474.1, XP_015432475.1	XP_321898.3, XP_001689374.2, XP_308888.1, XP_001689375.2, XP_001689376.2, XP_321901.4, XP_001238557.2
OG0000013	XP_015435345.1	XP_560604.5, XP_305996.3, XP_307081.3, XP_315130.3
OG0000013	XP_015438102.1, XP_015435409.1, XP_015440404.1	XP_307601.3
OG0000013	XP_015434156.1	XP_320335.2, XP_320336.2
OG0000014	XP_015438106.1	XP_314186.3, XP_314184.1, XP_314185.3, XP_309451.4, XP_311486.4
OG0000017	XP_015431748.1, XP_015431740.1, XP_015431771.1, XP_015431763.1, XP_015431754.1	XP_319968.3, XP_319970.3, XP_319969.1, XP_319967.1, XP_319966.1, XP_001238234.1, XP_319972.1
OG0000017	XP_015436976.1	XP_562676.3
OG0000017	XP_015436973.1, XP_015436975.1, XP_015436974.1, XP_015436971.1	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1
OG0000018	XP_015440533.1, XP_015440532.1	XP_316463.3, XP_557101.2
OG0000018	XP_015437296.1	XP_558678.4, XP_551022.4, XP_321300.4
OG0000018	XP_015437285.1, XP_015437283.1, XP_015433210.1	XP_312930.5
OG0000019	XP_015436531.1	XP_321444.5
OG0000019	XP_015431150.1	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4
OG0000020	XP_015431107.1	XP_554133.3
OG0000020	XP_015433825.1	XP_314903.3, XP_554132.3
OG0000020	XP_015439463.1	XP_314904.3
OG0000020	XP_015431804.1	XP_001238085.2, XP_319101.4
OG0000020	XP_015435292.1	XP_315006.4
OG0000020	XP_015440423.1	XP_312941.4
OG0000020	XP_015433955.1	XP_321843.5
OG0000020	XP_015431800.1	XP_555858.3
OG0000020	XP_015437420.1	XP_001231126.3
OG0000021	XP_015436481.1	XP_313342.5, XP_003436532.1
OG0000021	XP_015436556.1	XP_320239.4, XP_312638.5
OG0000021	XP_015430481.1	XP_003436878.1, XP_315178.5, XP_315182.5, XP_315184.4
OG0000021	XP_015428676.1	XP_321592.4
OG0000022	XP_015430686.1	XP_318365.3
OG0000023	XP_015435373.1, XP_015435410.1	XP_024667067.1
OG0000023	XP_015435402.1	XP_320334.2, XP_320329.2, XP_001238300.1, XP_306255.2, XP_307082.2
OG0000026	XP_015439534.1	XP_558069.3
OG0000026	XP_015434403.1	XP_321915.5
OG0000026	XP_015436711.1	XP_003436038.1, XP_308060.4
OG0000026	XP_015437222.1	XP_320025.4, XP_320023.4, XP_320032.4, XP_320040.3, XP_320020.4, XP_553184.3
OG0000026	XP_015440357.1, XP_015440372.1	XP_322033.4
OG0000027	XP_015435411.1	XP_311439.4, XP_305995.3, XP_318361.3, XP_315129.4
OG0000027	XP_015440405.1	XP_306825.4, XP_307607.3
OG0000029	XP_015428687.1, XP_015428726.1	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1, XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1
OG0000029	XP_015430246.1	XP_319711.4
OG0000029	XP_015428686.1	XP_001688326.1, XP_003436466.1, XP_560960.4, XP_311664.4
OG0000030	XP_015435285.1, XP_015435289.1, XP_015435290.1, XP_015435288.1, XP_015435286.1	XP_320774.4
OG0000032	XP_015439764.1, XP_015439837.1, XP_015439765.1, XP_015439830.1, XP_015438580.1	XP_321319.5, XP_320826.2, XP_320829.4, XP_313740.5, XP_310281.6
OG0000035	XP_015436890.1, XP_015436892.1	XP_317561.4
OG0000035	XP_015436992.1	XP_309943.4, XP_001687884.1, XP_308284.4, XP_317047.3, XP_555044.3, XP_308459.4, XP_308744.4, XP_001688832.1, XP_316292.4, XP_308743.3
OG0000036	XP_015434704.1	XP_316611.2
OG0000036	XP_015434749.1	XP_001688834.1, XP_001237786.1, XP_565386.2
OG0000036	XP_015434703.1	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1
OG0000038	XP_015436794.1, XP_015438692.1	XP_551626.4, XP_321937.5, XP_309723.4
OG0000040	XP_015428989.1, XP_015429021.1, XP_015439748.1	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3, XP_001689276.1, XP_318423.5, XP_001689275.1, XP_552320.3, XP_310364.7
OG0000041	XP_015433852.1	XP_001230772.1, XP_003437050.1, XP_003437049.1
OG0000041	XP_015438128.1, XP_015434651.1, XP_015434661.1	XP_313971.4
OG0000042	XP_015431768.1	XP_311704.5
