Orthogroup	Eufriesea_mexicana	Habropoda_laboriosa
OG0000000	XP_017765285.1	XP_017797005.1
OG0000000	XP_017762447.1	XP_017791907.1
OG0000000	XP_017764141.1	XP_017795384.1, XP_017791920.1, XP_017793555.1, XP_017791908.1
OG0000000	XP_017765002.1	XP_017797015.1, XP_017796820.1
OG0000001	XP_017753392.1, XP_017753391.1	XP_017795702.1
OG0000001	XP_017758027.1, XP_017758031.1, XP_017758026.1	XP_017793598.1
OG0000001	XP_017757781.1	XP_017796836.1
OG0000001	XP_017757757.1, XP_017757758.1	XP_017796838.1
OG0000001	XP_017757797.1, XP_017757798.1, XP_017757795.1, XP_017757796.1, XP_017757799.1	XP_017795399.1, XP_017796200.1
OG0000001	XP_017757780.1, XP_017757738.1	XP_017795398.1
OG0000001	XP_017759613.1	XP_017791778.1
OG0000001	XP_017759625.1	XP_017791425.1
OG0000002	XP_017759720.1, XP_017759719.1, XP_017759718.1, XP_017759717.1	XP_017795928.1
OG0000002	XP_017759746.1	XP_017795926.1
OG0000002	XP_017759734.1	XP_017795970.1
OG0000002	XP_017759706.1, XP_017759708.1	XP_017795940.1
OG0000002	XP_017759729.1	XP_017795929.1
OG0000002	XP_017759714.1	XP_017795932.1
OG0000002	XP_017759716.1	XP_017795931.1
OG0000002	XP_017759712.1, XP_017759730.1	XP_017795969.1
OG0000002	XP_017759757.1	XP_017795975.1
OG0000002	XP_017759752.1	XP_017795938.1
OG0000002	XP_017759759.1, XP_017759710.1, XP_017759755.1, XP_017759744.1, XP_017759709.1, XP_017759756.1	XP_017795937.1
OG0000002	XP_017759713.1	XP_017795933.1
OG0000003	XP_017759422.1	XP_017795844.1
OG0000004	XP_017762744.1, XP_017762860.1	XP_017796210.1
OG0000004	XP_017762861.1, XP_017753050.1	XP_017796976.1, XP_017796999.1, XP_017796386.1, XP_017792763.1, XP_017794734.1
OG0000004	XP_017759221.1	XP_017795921.1, XP_017795068.1
OG0000004	XP_017764808.1, XP_017765506.1, XP_017764873.1, XP_017759467.1	XP_017795719.1
OG0000004	XP_017756490.1, XP_017765529.1, XP_017762446.1	XP_017791302.1, XP_017795072.1
OG0000004	XP_017765343.1	XP_017795982.1
OG0000004	XP_017765490.1, XP_017752726.1	XP_017795846.1
OG0000004	XP_017763966.1	XP_017795920.1
OG0000005	XP_017763088.1, XP_017763087.1	XP_017790206.1
OG0000005	XP_017759970.1	XP_017796808.1
OG0000005	XP_017763034.1	XP_017793329.1
OG0000005	XP_017760232.1, XP_017756229.1, XP_017765412.1, XP_017754456.1, XP_017761075.1	XP_017794536.1
OG0000005	XP_017757739.1	XP_017787740.1
OG0000005	XP_017759155.1	XP_017794487.1
OG0000006	XP_017766722.1	XP_017788744.1
OG0000006	XP_017766522.1	XP_017797133.1
OG0000006	XP_017766521.1	XP_017788741.1
OG0000008	XP_017764283.1	XP_017797987.1
OG0000008	XP_017752288.1	XP_017793615.1
OG0000008	XP_017765710.1	XP_017797940.1
OG0000008	XP_017764163.1	XP_017797975.1
OG0000008	XP_017764510.1	XP_017797962.1
OG0000008	XP_017764053.1, XP_017763974.1	XP_017798022.1
OG0000009	XP_017765586.1	XP_017789192.1
OG0000009	XP_017758639.1, XP_017758640.1	XP_017794730.1
OG0000010	XP_017766494.1, XP_017764809.1, XP_017765358.1	XP_017792996.1, XP_017796553.1
OG0000011	XP_017766918.1	XP_017795356.1
OG0000011	XP_017766921.1, XP_017766927.1, XP_017766950.1	XP_017796295.1
OG0000011	XP_017766951.1	XP_017795360.1, XP_017795358.1, XP_017795359.1, XP_017795357.1
