Orthogroup	Apis_mellifera	Bombus_terrestris
OG0000001	XP_624795.3, XP_026302253.1, XP_016772837.1	XP_020720552.1, XP_003398646.1
OG0000001	XP_623362.3	XP_003395878.1
OG0000001	NP_001352128.1	XP_003400131.1, XP_012170860.1
OG0000001	XP_006565062.2, XP_397347.4	XP_003400126.1
OG0000001	XP_026300531.1, XP_623595.1, NP_001352068.1, XP_006565077.1, XP_026300601.1, XP_006565076.1, NP_001352069.1, XP_026300602.1, XP_026300530.1	XP_020721795.1, XP_012170857.1
OG0000001	XP_016771320.1	XP_012170861.1
OG0000001	XP_026300535.1, XP_395671.3	XP_012170855.1
OG0000001	XP_026296210.1	XP_012168947.1
OG0000001	NP_001191991.1, XP_016770827.2	XP_012175298.1, XP_003393848.1, XP_012170233.1, XP_020721551.1, XP_012170221.2, XP_012170223.1, XP_003399696.2, XP_003403418.2, XP_003403397.3
OG0000002	NP_001229893.1, XP_026302134.1	XP_003393901.1
OG0000002	NP_001229888.1, XP_006565941.2, XP_006565943.1, NP_001229887.1	XP_020722318.1, XP_020722314.1
OG0000002	XP_003250767.2, XP_026294956.1	XP_020723992.1, XP_020723938.1
OG0000002	XP_003250769.3, XP_026294905.1, XP_026294912.1	XP_020724018.1, XP_003393988.2
OG0000002	XP_006565883.2, NP_001229910.1, XP_026294765.1, NP_001229909.1	XP_020722961.1, XP_012175713.1, XP_012175608.1, XP_012175715.1, XP_012175716.1, XP_012175714.1
OG0000002	XP_006572517.1, NP_001229911.1	XP_012175717.1
OG0000002	XP_016773537.1, XP_016773528.1, XP_016773529.1, XP_006565970.2	XP_012175609.1
OG0000002	NP_001229907.1, NP_001229906.1	XP_003393920.1, XP_003403429.1, XP_003394006.1, XP_003393921.1
OG0000002	NP_001229905.1, XP_026302143.1	XP_012175711.1
OG0000002	NP_001229900.1	XP_003393917.1
OG0000002	NP_001229895.1, XP_003250726.1	XP_003393994.1
OG0000002	XP_016773538.1, XP_003250765.1, XP_006565948.1, XP_001121659.1	XP_020722344.1
OG0000002	NP_001229896.1, XP_016773454.2, XP_006565887.1, NP_001229899.1	XP_003393905.1, XP_020723934.1
OG0000002	NP_001229898.1	XP_003394000.1, XP_020723889.1, XP_012175705.1, XP_020722356.1, XP_012175707.1, XP_003393910.1, XP_003393907.1, XP_003393999.1
OG0000002	XP_016773531.1, XP_016773532.1, XP_001121864.2	XP_012175708.2
OG0000002	NP_001229904.1, XP_026302131.1	XP_003394005.1, XP_003393918.1
OG0000002	NP_001229897.1	XP_003394003.1, XP_003393998.1
OG0000004	XP_006572180.1	XP_020724024.1
OG0000005	XP_006558866.1, XP_016768598.1	XP_020719947.1
OG0000005	XP_016771095.2	XP_012174537.1, XP_012173838.1, XP_003402808.1, XP_012173837.1, XP_012175341.1, XP_012174272.1, XP_012171355.1
OG0000006	XP_016771362.2	XP_020721955.1
OG0000006	XP_003250826.2	XP_012174904.1
OG0000008	XP_006565046.2	XP_012168744.1
OG0000008	XP_003250567.1	XP_003398745.1
OG0000008	XP_016769477.1	XP_020721002.1
OG0000009	XP_006562365.2	XP_003393388.3
OG0000009	XP_006562363.1, XP_006562364.1, XP_392000.1	XP_003393376.1, XP_003393377.1
OG0000011	XP_026300256.1, XP_026300257.1, XP_016771071.1	XP_020722449.1, XP_003402395.2
OG0000011	XP_026300228.1	XP_020722450.1
OG0000011	XP_003249278.2	XP_003401503.2
OG0000011	XP_016771075.1	XP_020722621.1
OG0000011	XP_003249229.1	XP_003401565.2, XP_020720720.1
OG0000011	XP_006558389.2, XP_003249267.2, XP_003249268.2, XP_026300226.1, XP_026300229.1, XP_026300225.1	XP_003401521.1, XP_020722622.1, XP_003403388.2, XP_003403340.1
OG0000012	XP_026297101.1, XP_026297165.1	XP_020723675.1
OG0000012	XP_016768428.1	XP_003402916.2
OG0000012	XP_026301256.1	XP_003401050.2
OG0000012	XP_016772201.1, XP_016772200.1	XP_003401048.1
OG0000013	XP_001120132.1	XP_003392965.1, XP_003392969.1
OG0000013	XP_006570899.1	XP_020718381.1
