GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0006412	translation	181	115	86.14	1.5e-07	1.0e-06	9.075e-5	6.05e-4
GO:0043624	cellular protein complex disassembly	10	9	4.76	0.00068	0.00068	0.20570000000000002	0.02526764705882353
GO:0006261	DNA-dependent DNA replication	18	11	8.57	0.00129	0.00129	0.26015	0.04107631578947368
GO:0000070	mitotic sister chromatid segregation	20	15	9.52	0.00197	0.00197	0.2979625	0.054175
GO:0006323	DNA packaging	18	10	8.57	0.00306	0.13887	0.37026	0.4971381656804733
GO:0006260	DNA replication	48	32	22.84	0.00437	0.00106	0.4406416666666666	0.03562777777777778
GO:0033044	regulation of chromosome organization	12	10	5.71	0.00741	0.00741	0.4851	0.1265846153846154
GO:0010639	negative regulation of organelle organization	11	10	5.24	0.00816	0.00816	0.4851	0.1265846153846154
GO:0046907	intracellular transport	139	80	66.15	0.00817	0.03146	0.4851	0.24680897435897436
GO:0007015	actin filament organization	27	15	12.85	0.00905	0.07764	0.4851	0.4117903225806452
GO:0006259	DNA metabolic process	120	65	57.11	0.00981	0.08338	0.4851	0.4117903225806452
GO:0015986	ATP synthesis coupled proton transport	10	9	4.76	0.01051	0.01051	0.4851	0.13528829787234042
GO:0018193	peptidyl-amino acid modification	53	29	25.22	0.01148	0.31123	0.4851	0.6700859430604982
GO:0006364	rRNA processing	25	18	11.9	0.01390	0.01390	0.4851	0.15222232142857142
GO:0048522	positive regulation of cellular process	57	32	27.13	0.01421	0.00700	0.4851	0.1265846153846154
GO:0010557	positive regulation of macromolecule biosynthetic process	16	10	7.61	0.01494	0.03461	0.4851	0.250714880952381
GO:0031328	positive regulation of cellular biosynthetic process	16	10	7.61	0.01494	0.03461	0.4851	0.250714880952381
GO:0006417	regulation of translation	16	12	7.61	0.01511	0.01511	0.4851	0.15494152542372883
GO:0009605	response to external stimulus	20	13	9.52	0.01543	0.05727	0.4851	0.3430529702970297
GO:0006979	response to oxidative stress	14	11	6.66	0.01717	0.01717	0.4851	0.1694
GO:0006099	tricarboxylic acid cycle	13	10	6.19	0.01739	0.01739	0.4851	0.1694
GO:0007018	microtubule-based movement	40	24	19.04	0.01764	0.01764	0.4851	0.1694
GO:0000902	cell morphogenesis	15	10	7.14	0.01859	0.09427	0.4889978260869565	0.42384571428571427
GO:0046474	glycerophospholipid biosynthetic process	23	11	10.95	0.01978	0.67505	0.4986208333333333	0.9704717339667458
GO:0072521	purine-containing compound metabolic process	59	30	28.08	0.02236	0.25711	0.541112	0.6180765748031497
GO:0070925	organelle assembly	40	24	19.04	0.02350	0.11332	0.546826923076923	0.45577943037974683
GO:0006575	cellular modified amino acid metabolic process	26	14	12.37	0.02543	0.38498	0.5698203703703704	0.7789729096989967
GO:0006886	intracellular protein transport	101	61	48.07	0.02784	0.01933	0.6015428571428572	0.17991769230769233
GO:0042254	ribosome biogenesis	46	33	21.89	0.03014	0.00141	0.6287827586206897	0.0426525
GO:0009057	macromolecule catabolic process	105	45	49.97	0.03228	0.86019	0.6509800000000001	1
GO:0050790	regulation of catalytic activity	34	20	16.18	0.03525	0.12222	0.6762765625	0.4650509433962264
GO:0006913	nucleocytoplasmic transport	25	17	11.9	0.03577	0.02069	0.6762765625	0.18141231884057973
GO:0070646	protein modification by small protein removal	35	18	16.66	0.03816	0.71348	0.6996	0.992311264367816
GO:0007088	regulation of mitotic nuclear division	10	8	4.76	0.04474	0.04474	0.7698216216216216	0.29105053763440863
GO:0007165	signal transduction	383	189	182.28	0.04485	0.35169	0.7698216216216216	0.7237158163265307
GO:0031324	negative regulation of cellular metabolic process	29	18	13.8	0.04594	0.11819	0.7698216216216216	0.45577943037974683
GO:0006355	regulation of transcription, DNA-templated	326	162	155.15	0.04708	0.08440	0.7698216216216216	0.4117903225806452
GO:0006413	translational initiation	15	9	7.14	0.05024	0.05024	0.7998736842105263	0.31661666666666666
GO:0051172	negative regulation of nitrogen compound metabolic process	26	16	12.37	0.05208	0.19699	0.8079076923076923	0.5868217289719626
GO:0006812	cation transport	121	53	57.59	0.06052	0.53888	0.915365	0.9353164804469273
GO:1901575	organic substance catabolic process	171	67	81.38	0.06456	0.95735	0.9386142857142856	1
GO:0017038	protein import	16	12	7.61	0.06516	0.06516	0.9386142857142856	0.36501666666666666
GO:0048585	negative regulation of response to stimulus	15	6	7.14	0.06803	0.90969	0.9414625000000001	1
