GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0007165	signal transduction	426	74	50.19	1.1e-06	1.3e-05	7.282e-4	0.00331
GO:0006813	potassium ion transport	41	13	4.83	0.00013	0.00109	0.04303	0.036079
GO:0055085	transmembrane transport	342	55	40.3	0.00046	0.00030	0.09173428571428571	0.01986
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	11	6	1.3	0.00065	0.00065	0.09173428571428571	0.030735714285714283
GO:0070588	calcium ion transmembrane transport	14	3	1.65	0.00075	0.00075	0.09173428571428571	0.03103125
GO:0009117	nucleotide metabolic process	88	9	10.37	0.00093	0.94350	0.09173428571428571	1
GO:0006468	protein phosphorylation	216	34	25.45	0.00097	0.00097	0.09173428571428571	0.03553894736842106
GO:0051056	regulation of small GTPase mediated signal transduction	17	4	2	0.00251	0.00044	0.2077025	0.024273333333333334
GO:0007411	axon guidance	11	6	1.3	0.00897	0.00897	0.6597933333333333	0.12634340425531917
GO:0006814	sodium ion transport	20	4	2.36	0.01618	0.01618	0.9692458823529411	0.19474836363636364
GO:0046578	regulation of Ras protein signal transduction	10	2	1.18	0.01787	0.01787	0.9692458823529411	0.21124892857142857
GO:0045047	protein targeting to ER	10	4	1.18	0.02005	0.02005	0.9692458823529411	0.22254233333333334
GO:0006612	protein targeting to membrane	10	4	1.18	0.02005	0.02005	0.9692458823529411	0.22254233333333334
GO:0030154	cell differentiation	27	12	3.18	0.02175	0.00151	0.9692458823529411	0.04543727272727273
GO:0048518	positive regulation of biological process	67	13	7.89	0.02328	0.39650	0.9692458823529411	1
GO:0046907	intracellular transport	155	17	18.26	0.02349	0.34795	0.9692458823529411	1
GO:1901607	alpha-amino acid biosynthetic process	18	3	2.12	0.02489	0.02489	0.9692458823529411	0.2534950769230769
GO:0032501	multicellular organismal process	172	28	20.27	0.02838	0.37286	1	1
GO:0050896	response to stimulus	576	91	67.87	0.03195	0.00379	1	0.08960642857142857
GO:0030036	actin cytoskeleton organization	42	10	4.95	0.04050	0.03622	1	0.32846082191780823
GO:0009653	anatomical structure morphogenesis	24	11	2.83	0.04304	0.00037	1	0.022267272727272726
GO:0044093	positive regulation of molecular function	30	8	3.53	0.04442	0.10345	1	0.6176281081081081
GO:0007275	multicellular organism development	53	16	6.24	0.04668	0.01312	1	0.17030274509803922
GO:0009069	serine family amino acid metabolic process	10	3	1.18	0.05148	0.05148	1	0.42009084337349395
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	15	5	1.77	0.05206	0.05206	1	0.42009084337349395
GO:0007600	sensory perception	96	4	11.31	0.05950	1.00000	1	1
GO:1901360	organic cyclic compound metabolic process	1008	105	118.76	0.06881	0.83215	1	1
GO:0009072	aromatic amino acid family metabolic process	10	4	1.18	0.07059	0.07059	1	0.4805183838383838
GO:0006334	nucleosome assembly	15	2	1.77	0.07186	0.07186	1	0.4805183838383838
GO:0007264	small GTPase mediated signal transduction	45	12	5.3	0.07353	0.00011	1	0.010402857142857143
GO:0071103	DNA conformation change	32	4	3.77	0.07762	0.00718	1	0.12634340425531917
GO:0006811	ion transport	231	36	27.22	0.08020	0.00102	1	0.03553894736842106
GO:0006355	regulation of transcription, DNA-templated	357	52	42.06	0.08527	0.05458	1	0.42013906976744186
GO:0044248	cellular catabolic process	162	22	19.09	0.09604	0.85175	1	1
GO:0046942	carboxylic acid transport	13	1	1.53	0.09630	0.63141	1	1
GO:0010468	regulation of gene expression	413	60	48.66	0.10748	0.10230	1	0.6176281081081081
GO:0022414	reproductive process	14	3	1.65	0.10862	0.10862	1	0.6363401769911504
GO:0043647	inositol phosphate metabolic process	12	0	1.41	0.11377	0.11377	1	0.6606643859649123
GO:0009165	nucleotide biosynthetic process	64	5	7.54	0.11915	0.93933	1	1
GO:0090407	organophosphate biosynthetic process	111	6	13.08	0.11924	0.99301	1	1
