Orthogroup	Anopheles_gambiae	Nomia_melanderi
OG0000001	XP_563971.3	XP_031826095.1, XP_031826094.1, XP_031826097.1, XP_031826099.1, XP_031826098.1, XP_031826091.1, XP_031826092.1, XP_031826093.1, XP_031842466.1, XP_031836145.1, XP_031836144.1, XP_031828824.1, XP_031840935.1, XP_031848708.1, XP_031848953.1, XP_031848952.1
OG0000002	XP_317343.1	XP_031834615.1, XP_031834770.1, XP_031834897.1, XP_031834893.1, XP_031834896.1, XP_031834895.1, XP_031834894.1, XP_031834534.1, XP_031834533.1, XP_031834884.1, XP_031834882.1, XP_031834883.1, XP_031834885.1, XP_031834538.1, XP_031834879.1, XP_031834881.1, XP_031834536.1, XP_031834824.1, XP_031834886.1, XP_031834878.1, XP_031834537.1, XP_031834872.1, XP_031834871.1, XP_031834873.1, XP_031834876.1, XP_031834875.1, XP_031834877.1, XP_031834874.1
OG0000003	XP_001688581.1	XP_031830190.1, XP_031844104.1
OG0000004	XP_310729.1	XP_031842104.1
OG0000004	XP_320414.1	XP_031848014.1, XP_031848017.1
OG0000005	XP_308124.5	XP_031850389.1
OG0000006	XP_310173.1, XP_310172.2	XP_031847963.1, XP_031847958.1, XP_031847960.1
OG0000008	XP_310333.7	XP_031838197.1
OG0000008	XP_310338.7, XP_310337.6	XP_031838199.1, XP_031838198.1
OG0000008	XP_312388.4, XP_312387.5	XP_031845812.1
OG0000008	XP_003436608.1, XP_003436609.1, XP_003436607.1	XP_031838187.1
OG0000008	XP_310332.7, XP_003436611.1	XP_031838213.1
OG0000008	XP_559558.6, XP_003436610.1	XP_031838205.1
OG0000008	XP_310340.1	XP_031838211.1
OG0000009	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3, XP_001238280.1, XP_316781.2	XP_031837183.1, XP_031839007.1, XP_031837097.1, XP_031848283.1, XP_031848703.1, XP_031848282.1, XP_031847205.1, XP_031848281.1, XP_031848280.1, XP_031837098.1, XP_031848136.1, XP_031842170.1
OG0000012	XP_317829.4	XP_031836558.1, XP_031836778.1
OG0000012	XP_554157.3, XP_319603.2, XP_317170.2, XP_317171.2, XP_317172.2, XP_555167.1, XP_317173.2, XP_317175.2, XP_317174.2, XP_318046.3, XP_319102.4, XP_001231167.2	XP_031836638.1
OG0000012	XP_321898.3, XP_001689374.2, XP_308888.1, XP_001689375.2, XP_001689376.2, XP_321901.4, XP_001238557.2	XP_031842887.1, XP_031842731.1
OG0000013	XP_560604.5, XP_305996.3, XP_307081.3, XP_315130.3	XP_031839304.1
OG0000013	XP_321242.1, XP_320335.2, XP_320336.2, XP_003435952.1	XP_031829654.1
OG0000014	XP_314186.3, XP_314184.1, XP_314185.3, XP_309451.4, XP_311486.4	XP_031848839.1, XP_031848838.1, XP_031848831.1
OG0000017	XP_319968.3, XP_319970.3, XP_319969.1, XP_319967.1, XP_319966.1, XP_001238234.1, XP_319972.1	XP_031840004.1, XP_031840003.1, XP_031840002.1, XP_031840001.1
OG0000017	XP_562676.3	XP_031829474.1
OG0000017	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1	XP_031829453.1, XP_031829454.1
OG0000018	XP_558678.4, XP_551022.4, XP_321300.4	XP_031835584.1
OG0000018	XP_312930.5	XP_031835583.1, XP_031847312.1
OG0000019	XP_321444.5	XP_031838473.1, XP_031838474.1, XP_031838475.1
OG0000019	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4	XP_031838060.1
OG0000020	XP_554133.3	XP_031839751.1
OG0000020	XP_314903.3, XP_554132.3	XP_031845392.1, XP_031837838.1
OG0000020	XP_314904.3	XP_031845236.1
OG0000020	XP_001238085.2, XP_319101.4	XP_031828635.1
OG0000020	XP_315006.4	XP_031847183.1
OG0000020	XP_312941.4	XP_031830731.1
OG0000020	XP_555858.3	XP_031843286.1
OG0000020	XP_001231126.3	XP_031837242.1, XP_031837243.1
OG0000021	XP_313342.5, XP_003436532.1	XP_031837236.1
OG0000021	XP_320239.4, XP_312638.5	XP_031838575.1
OG0000021	XP_003436878.1, XP_315178.5, XP_315182.5, XP_315184.4	XP_031830175.1
OG0000021	XP_321592.4	XP_031846403.1
OG0000022	XP_551996.1	XP_031826113.1
OG0000022	XP_318365.3	XP_031833191.1
OG0000022	XP_307083.3	XP_031838234.1
OG0000023	XP_024667067.1	XP_031848812.1
OG0000023	XP_320334.2, XP_320329.2, XP_001238300.1, XP_306255.2, XP_307082.2	XP_031839363.1
OG0000026	XP_558069.3	XP_031843508.1
OG0000026	XP_321915.5	XP_031834026.1
OG0000026	XP_320025.4, XP_320023.4, XP_320032.4, XP_320040.3, XP_320020.4, XP_553184.3	XP_031828159.1
OG0000026	XP_322033.4	XP_031839037.1
OG0000027	XP_306825.4, XP_307607.3	XP_031839376.1
OG0000029	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1, XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1	XP_031829744.1, XP_031829801.1
OG0000029	XP_319711.4	XP_031827213.1, XP_031827214.1, XP_031827215.1
OG0000029	XP_001688326.1, XP_003436466.1, XP_560960.4, XP_311664.4	XP_031829841.1
OG0000030	XP_320774.4	XP_031839105.1, XP_031839104.1
OG0000032	XP_309525.4	XP_031832803.1
OG0000032	XP_321319.5, XP_320826.2, XP_320829.4, XP_313740.5, XP_310281.6	XP_031833782.1, XP_031831095.1
OG0000035	XP_317561.4	XP_031842253.1, XP_031842459.1
OG0000035	XP_309943.4, XP_001687884.1, XP_308284.4, XP_317047.3, XP_555044.3, XP_308459.4, XP_308744.4, XP_001688832.1, XP_316292.4, XP_308743.3	XP_031834401.1
OG0000036	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1	XP_031844820.1, XP_031844747.1, XP_031844815.1, XP_031849986.1, XP_031850071.1
OG0000037	XP_308914.4, XP_308913.3, XP_001237150.1, XP_308915.3, XP_316348.4, XP_308909.2, XP_556645.1, XP_308908.3, XP_308891.2, XP_316624.3, XP_001688133.1, XP_001688134.1, XP_308903.4, XP_001237148.2, XP_001688135.1, XP_001237147.2, XP_001688132.1, XP_001237146.1, XP_001688131.1, XP_308896.4, XP_308892.4, XP_001688124.1, XP_001688129.1, XP_001688130.1, XP_001688127.1, XP_001688128.1, XP_001688125.1, XP_001688120.1, XP_001688126.1, XP_001688123.1, XP_001237145.2, XP_001688119.1, XP_001688121.1, XP_001688122.1	XP_031838355.1
OG0000038	XP_551626.4, XP_321937.5, XP_309723.4	XP_031848143.1, XP_031835042.1
OG0000038	XP_312152.5	XP_031825712.1
OG0000040	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3, XP_001689276.1, XP_318423.5, XP_001689275.1, XP_552320.3, XP_310364.7	XP_031843292.1, XP_031847213.1
OG0000041	XP_313971.4	XP_031848908.1, XP_031828119.1, XP_031828107.1
OG0000042	XP_311704.5	XP_031842358.1
OG0000043	XP_317400.2	XP_031842101.1
OG0000043	XP_317404.2	XP_031831862.1
OG0000044	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5, XP_554544.3, XP_307174.4, XP_562562.2, XP_313478.5	XP_031831328.1
OG0000044	XP_003436574.1	XP_031848718.1, XP_031848716.1, XP_031848717.1
OG0000045	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4, XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3	XP_031836513.1, XP_031839078.1, XP_031836517.1, XP_031836516.1, XP_031836515.1
OG0000046	XP_313085.3	XP_031849512.1
OG0000046	XP_001689308.2	XP_031844716.1, XP_031825836.1
OG0000046	XP_315042.3	XP_031827836.1
OG0000050	XP_316295.4, XP_316296.3, XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2, XP_312564.5	XP_031826510.1, XP_031826305.1, XP_031826306.1
OG0000052	XP_319685.4	XP_031831624.1, XP_031831623.1
OG0000054	XP_556684.2	XP_031843412.1
OG0000054	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3	XP_031843397.1, XP_031843398.1
OG0000055	XP_553645.3	XP_031825307.1
OG0000055	XP_312790.4	XP_031844409.1
OG0000055	XP_321277.5	XP_031827062.1
OG0000056	XP_318579.4	XP_031840201.1, XP_031838488.1
OG0000056	XP_550805.4	XP_031846527.1
OG0000056	XP_317863.3	XP_031835578.1
OG0000057	XP_309765.4	XP_031845337.1
OG0000057	XP_314483.4	XP_031845459.1
OG0000057	XP_315005.3	XP_031845030.1
OG0000060	XP_318748.4	XP_031827529.1, XP_031827528.1
OG0000061	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5	XP_031839331.1
OG0000061	XP_309223.5, XP_003437178.1, XP_003437179.1, XP_311857.4	XP_031838029.1, XP_031840063.1
OG0000065	XP_321329.4	XP_031830877.1
OG0000065	XP_565271.3	XP_031830875.1, XP_031831100.1
OG0000067	XP_320481.4	XP_031834066.1
OG0000067	XP_315003.3, XP_001688603.1, XP_315671.4	XP_031837354.1
OG0000067	XP_315363.4	XP_031845953.1
OG0000077	XP_319941.4	XP_031841494.1, XP_031841485.1
OG0000077	XP_316979.4, XP_321166.4	XP_031831897.1
OG0000079	XP_001238492.1	XP_031846019.1
OG0000080	XP_313655.5	XP_031827008.1, XP_031827009.1, XP_031827010.1, XP_031827011.1, XP_031827012.1, XP_031827013.1, XP_031827007.1
OG0000080	XP_313656.5, XP_003436798.1, XP_003436797.1	XP_031827281.1, XP_031827282.1, XP_031827283.1, XP_031827284.1
OG0000082	XP_309846.3, XP_564070.3, XP_309845.4, XP_309840.2	XP_031829547.1, XP_031829549.1, XP_031829550.1
OG0000085	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3	XP_031843333.1, XP_031826359.1, XP_031826358.1, XP_031826356.1
OG0000086	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1	XP_031842854.1
OG0000087	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4	XP_031843075.1, XP_031843076.1
OG0000087	XP_306334.2, XP_308083.4, XP_308082.4	XP_031843049.1
OG0000088	XP_317091.3	XP_031830799.1
OG0000089	XP_319737.4	XP_031841904.1, XP_031841905.1, XP_031841906.1
OG0000089	XP_310298.6	XP_031839041.1
OG0000091	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2	XP_031846471.1, XP_031846477.1, XP_031846470.1
OG0000092	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1	XP_031832478.1
OG0000092	XP_321262.1, XP_003435947.1	XP_031827660.1
OG0000094	XP_317094.4, XP_001689000.1	XP_031847199.1, XP_031847200.1
OG0000094	XP_321973.5, XP_321095.5, XP_003435979.1, XP_003435978.1, XP_001238431.2, XP_321571.5	XP_031827484.1
OG0000094	XP_312311.5	XP_031826729.1, XP_031826728.1
OG0000095	XP_316096.4, XP_316098.3, XP_316099.4	XP_031850007.1, XP_031850009.1, XP_031850008.1
OG0000096	XP_003436133.1, XP_003436134.1, XP_316142.4, XP_315650.4	XP_031832678.1
OG0000096	XP_307732.4, XP_319801.4, XP_316256.4, XP_314312.4, XP_316448.2	XP_031843327.1
OG0000097	XP_003436515.1, XP_003436516.1, XP_562379.1	XP_031827452.1, XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827413.1, XP_031831172.1, XP_031831171.1, XP_031831170.1
OG0000098	XP_314814.3	XP_031830538.1, XP_031830536.1, XP_031830540.1, XP_031830537.1
OG0000099	XP_320987.5	XP_031844823.1, XP_031844824.1, XP_031844822.1
OG0000099	XP_312290.4	XP_031825801.1, XP_031825802.1
OG0000099	XP_313462.4	XP_031843262.1
OG0000100	XP_313581.5	XP_031841397.1, XP_031841398.1, XP_031841396.1, XP_031841400.1, XP_031841409.1, XP_031841408.1, XP_031841399.1, XP_031841403.1, XP_031841402.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841395.1
OG0000101	XP_321098.5	XP_031848007.1
OG0000101	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2, XP_320721.3, XP_320722.4, XP_320723.2, XP_320728.3, XP_552464.1	XP_031848006.1
OG0000102	XP_308709.4, XP_565152.3	XP_031830192.1, XP_031830247.1, XP_031830259.1
OG0000108	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2	XP_031836809.1
OG0000109	XP_309801.3	XP_031828710.1, XP_031828711.1, XP_031828714.1, XP_031828715.1, XP_031828712.1, XP_031828713.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828720.1, XP_031828721.1, XP_031828719.1, XP_031828716.1
OG0000110	XP_001689285.1	XP_031837099.1, XP_031848100.1, XP_031848102.1
OG0000112	XP_309025.4	XP_031849209.1, XP_031849210.1, XP_031849208.1, XP_031849207.1
OG0000112	XP_560420.2	XP_031831414.1
OG0000113	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5, XP_321172.5, XP_321170.4	XP_031838147.1, XP_031842250.1
OG0000114	XP_312956.3, XP_307750.3, XP_003436426.1, XP_306194.4, XP_307755.1, XP_001237509.2, XP_001237510.1, XP_312959.4, XP_320219.3, XP_307756.2, XP_313032.4	XP_031825659.1
OG0000114	XP_314336.2	XP_031825640.1
OG0000115	XP_311546.4	XP_031842331.1, XP_031842255.1
OG0000116	XP_315806.4	XP_031837852.1, XP_031837855.1, XP_031837856.1, XP_031837853.1, XP_031837854.1, XP_031837857.1, XP_031837858.1, XP_031837730.1
OG0000117	XP_318912.3	XP_031840830.1
OG0000117	XP_001238428.3	XP_031841113.1, XP_031841103.1, XP_031841094.1, XP_031841084.1, XP_031841121.1, XP_031841052.1, XP_031841129.1, XP_031841059.1, XP_031841076.1, XP_031841068.1, XP_031841042.1
OG0000120	XP_319911.4	XP_031837143.1, XP_031837140.1, XP_031837139.1, XP_031837144.1, XP_031837141.1, XP_031837145.1, XP_031837146.1, XP_031837147.1, XP_031837148.1, XP_031837149.1
OG0000122	XP_309303.3, XP_564139.3	XP_031848880.1
OG0000122	XP_552160.3	XP_031839754.1, XP_031839755.1, XP_031839753.1, XP_031839752.1, XP_031839750.1, XP_031839749.1
OG0000123	XP_317585.4	XP_031829219.1
OG0000124	XP_312632.5	XP_031838642.1, XP_031838635.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838643.1, XP_031838641.1
OG0000125	XP_321447.5	XP_031839027.1, XP_031839025.1, XP_031838819.1, XP_031838775.1
OG0000126	XP_003436885.1, XP_311618.2	XP_031846352.1
