ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114876654"	NA	chrOU015519.1	-	5757727	5757772	5758045	5758171	5757385	5757472	5758263	5758399	0	74,29,40,31	17,15,6,12	40,31,25,41	16,13,9,7	198	144	0.727119176522	1.0	0.76,0.584,0.829,0.653	0.645,0.634,0.669,0.81	0.017
1	"LOC114871553"	NA	chrOU015519.1	-	5330182	5330337	5404680	5404705	5252152	5252257	5426245	5426957	1	0,0,0,0	12,5,5,9	0,0,0,1	1,3,0,8	124	198	1	1.0	0.0,0.0,0.0,0.0	0.0,0.0,NA,0.166	-0.055
2	"LOC114871522"	NA	chrOU015519.1	+	4826791	4826824	4827893	4827914	4824129	4824318	4840436	4840538	2	37,33,25,34	1,1,2,0	21,11,14,27	0,2,1,0	132	120	0.292763448009	1.0	0.971,0.968,0.919,1.0	1.0,0.833,0.927,1.0	0.025
3	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4432613	4432710	4430488	4430615	4433138	4433223	3	9,6,3,6	606,759,611,533	5,3,2,7	238,232,305,543	196	196	0.777613128679	1.0	0.015,0.008,0.005,0.011	0.021,0.013,0.007,0.013	-0.004
4	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4433328	4433416	4430488	4430615	4434371	4434668	4	9,6,3,6	8,9,5,12	5,4,2,6	4,4,4,3	196	187	0.320947487731	1.0	0.518,0.389,0.364,0.323	0.544,0.488,0.323,0.656	-0.104
5	"LOC114877988"	NA	chrOU015519.1	+	3337932	3338031	3338082	3338184	3337499	3337847	3338649	3339728	5	265,149,172,156	260,233,299,239	113,185,107,154	131,170,163,183	198	198	0.156378598367	0.8814066453412727	0.505,0.39,0.365,0.395	0.463,0.521,0.396,0.457	-0.045
6	"LOC114877840"	NA	chrOU015519.1	-	2834004	2836107	2836788	2837019	2832412	2833014	2837350	2837472	6	18,13,9,16	0,0,0,0	11,8,10,14	0,1,0,2	198	198	1	1.0	1.0,1.0,1.0,1.0	1.0,0.889,1.0,0.875	0.059
7	"LOC114879732"	NA	chrOU015519.1	-	2540077	2540399	2540436	2540524	2539159	2539399	2540615	2540837	7	2,0,1,0	0,1,0,1	2,0,1,0	2,1,0,0	187	198	1	1.0	1.0,0.0,1.0,0.0	0.514,0.0,1.0,NA	-0.005
8	"LOC114876493"	NA	chrOU015518.1	+	8398400	8398495	8399388	8399483	8397830	8398132	8407203	8407378	8	5,8,8,8	239,149,157,171	4,4,3,9	88,93,95,181	194	194	0.924542311484	1.0	0.02,0.051,0.048,0.045	0.043,0.041,0.031,0.047	0.001
9	"LOC114876493"	NA	chrOU015518.1	+	8398400	8398495	8404088	8404183	8397830	8398132	8407203	8407378	9	5,8,8,8	125,121,141,125	4,4,3,9	67,42,78,112	194	194	0.808701412868	1.0	0.038,0.062,0.054,0.06	0.056,0.087,0.037,0.074	-0.01
10	"LOC114876493"	NA	chrOU015518.1	+	8399388	8399483	8404088	8404183	8397830	8398132	8407203	8407378	10	239,149,157,171	125,121,141,125	88,93,95,181	67,42,78,112	194	194	0.484522700154	1.0	0.657,0.552,0.527,0.578	0.568,0.689,0.549,0.618	-0.027
11	"LOC114875326"	NA	chrOU015518.1	-	4676805	4676976	4677777	4677957	4676123	4676339	4678507	4678687	11	3,2,2,0	31,11,11,30	1,3,0,5	22,22,13,35	198	198	0.664155426348	1.0	0.088,0.154,0.154,0.0	0.043,0.12,0.0,0.125	0.027
12	"LOC114878476"	NA	chrOU015518.1	+	4350938	4351043	4351434	4352334	4350257	4350401	4352910	4353313	12	18,31,27,19	25,27,26,19	21,14,14,25	21,20,3,58	198	198	0.967068816143	1.0	0.419,0.534,0.509,0.5	0.5,0.412,0.824,0.301	-0.019
