Orthogroup	Acyrthosiphon_pisum	Megachile_rotundata
OG0000000	XP_008182367.1, XP_008182376.2, XP_008179509.1, XP_029348283.1	XP_012153563.1
OG0000000	XP_008178810.1	XP_012153195.1
OG0000000	XP_029345873.1, XP_008185412.1	XP_012153198.1
OG0000000	XP_029341016.1	XP_012153566.1
OG0000000	XP_016655727.1, XP_008189037.1, XP_029348568.1, XP_008189492.1, XP_008180316.1, XP_029348389.1, XP_016657058.1, XP_008189073.1, XP_008179733.1, XP_008187555.1, XP_008185172.2	XP_012143823.1, XP_012136214.1, XP_012135024.1, XP_012152412.1
OG0000000	XP_008184172.1, XP_008180656.1, XP_029345710.1, XP_008188479.1, XP_016661094.1, XP_008190177.1, XP_008178392.1, XP_008185772.1, XP_008183343.1, XP_008185678.1, XP_016659921.1, XP_008183820.1, XP_008183356.1, XP_008180654.1, XP_008183411.1, XP_029341258.1, XP_008179897.1, XP_008188489.1, XP_016660804.1, XP_029348271.1, XP_029345921.1, XP_008188687.1, XP_008179256.2, XP_008190111.1, XP_029345859.1, XP_008183355.1, XP_008179257.1, XP_008179517.1, XP_008186006.1, XP_008189836.2, XP_008183743.1, XP_008179879.1, XP_008187844.1, XP_008187709.1, XP_008179336.1, XP_008187708.1, XP_008189587.1, XP_029341173.1, XP_008182614.1, XP_008189367.1, XP_008183050.1, XP_008190090.1, XP_029344208.1, XP_008187869.1, XP_029348398.1, XP_008181739.1, XP_016659286.1, XP_008181643.1, XP_008180158.1, XP_008180526.1, XP_008180527.1	XP_012151963.1, XP_012142755.1
OG0000001	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1	XP_003703200.1
OG0000003	XP_008178248.1	XP_012152452.1
OG0000003	XP_016661947.1	XP_012148418.1, XP_012151327.1
OG0000004	XP_008190125.1	XP_012145429.1
