Orthogroup	Acyrthosiphon_pisum	Aedes_aegypti
OG0000000	XP_029346889.1, XP_029340893.1	XP_021704707.1, XP_021706494.1
OG0000001	XP_003243002.1	XP_001649311.2, XP_001649312.1, XP_021710387.1, XP_001653509.1, XP_001653903.2
OG0000001	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1	XP_021704701.1
OG0000003	XP_008180445.1	XP_021712997.1
OG0000003	XP_008178248.1	XP_021694215.1
OG0000003	XP_008189500.1, XP_029342151.1, XP_008189441.1, XP_008182642.1, XP_016659987.1, XP_008182863.1	XP_021709560.1
OG0000005	XP_008180069.1, XP_008180354.1, XP_008189452.1, XP_008186895.1, XP_008188466.1, XP_008178281.1, XP_008184737.1, XP_008182065.1, XP_016662977.2, XP_016659159.1, XP_008178773.1, XP_008188361.1, XP_008179833.1, XP_008181899.1, XP_008179268.1, XP_008182612.1, XP_003248908.2, XP_001946731.2, XP_001942747.1, XP_008178826.1, XP_008189539.1, XP_008180353.1, XP_016664039.1, XP_008182923.1, XP_008181524.1	XP_021695234.1, XP_021695375.1
OG0000006	XP_016661819.1	XP_021709039.1, XP_021709040.1, XP_001651754.2, XP_001651756.3
OG0000007	XP_008180990.1, XP_016656682.1, XP_029348000.1, XP_008178602.1, XP_008189457.1, XP_008178603.1, XP_008183255.1, XP_008182423.1, XP_008178158.1, XP_008179800.1, XP_008182703.1, XP_029341371.1, XP_008185795.1, XP_029340983.1, XP_016657553.1, XP_029345916.1, XP_008179824.1, XP_008179707.1, XP_008181182.1, XP_001946487.2, XP_029341506.1, XP_008181718.1, XP_008186308.1, XP_008180535.1, XP_008185414.1	XP_021697170.1, XP_021709698.1, XP_021708773.1, XP_021712875.1, XP_021711983.1, XP_021697510.1, XP_021700679.1, XP_021694728.1, XP_021706451.1
OG0000007	XP_008189764.1, XP_029348277.1, XP_008181098.1, XP_029347796.1	XP_021704105.1, XP_021709704.1
