,ProteinID,Length
0,NP_001267818.1,351
1,NP_001267823.1,358
2,NP_001267828.1,332
3,NP_001267830.1,313
4,NP_001267833.1,327
5,NP_001267835.1,370
6,NP_001267838.1,96
7,NP_001267840.1,2392
8,NP_001267845.1,202
9,NP_001267847.1,308
10,NP_001267850.1,491
11,NP_001267853.1,416
12,NP_001267855.1,241
13,NP_001267859.1,380
14,NP_001267862.1,394
15,NP_001267865.1,384
16,NP_001272327.1,377
17,NP_001273373.1,322
18,NP_001274492.1,368
19,NP_001274494.1,304
20,NP_001291369.1,440
21,NP_001295235.1,910
22,NP_001295236.1,453
23,NP_001318040.1,1523
24,XP_003392860.1,323
25,XP_003392861.1,571
26,XP_003392862.1,347
27,XP_003392863.1,186
28,XP_003392864.1,434
29,XP_003392865.1,615
30,XP_003392868.1,125
31,XP_003392871.1,291
32,XP_003392873.1,182
33,XP_003392875.1,142
34,XP_003392876.1,160
35,XP_003392877.1,160
36,XP_003392881.1,93
37,XP_003392882.1,859
38,XP_003392883.1,459
39,XP_003392884.1,647
40,XP_003392885.1,1057
41,XP_003392886.1,181
42,XP_003392888.1,365
43,XP_003392892.1,462
44,XP_003392893.1,374
45,XP_003392894.1,457
46,XP_003392897.3,340
47,XP_003392898.1,477
48,XP_003392902.2,499
49,XP_003392903.1,340
50,XP_003392904.1,384
51,XP_003392905.2,417
52,XP_003392920.1,1342
53,XP_003392928.1,339
54,XP_003392930.1,1031
55,XP_003392931.1,693
56,XP_003392932.1,513
57,XP_003392935.1,347
58,XP_003392936.1,1021
59,XP_003392938.1,467
60,XP_003392942.1,277
61,XP_003392943.1,207
62,XP_003392944.1,165
63,XP_003392945.1,159
64,XP_003392947.1,457
65,XP_003392951.1,301
66,XP_003392952.1,692
67,XP_003392954.1,910
68,XP_003392955.1,477
69,XP_003392957.1,774
70,XP_003392963.1,525
71,XP_003392964.1,103
72,XP_003392965.1,136
73,XP_003392968.1,124
74,XP_003392969.1,136
75,XP_003392970.1,103
76,XP_003392977.1,251
77,XP_003392978.1,178
78,XP_003392979.1,265
79,XP_003392980.1,479
80,XP_003392981.2,493
81,XP_003392983.2,194
82,XP_003392985.1,190
83,XP_003392987.1,93
84,XP_003392988.1,206
85,XP_003392989.1,103
86,XP_003392991.1,805
87,XP_003392992.1,527
88,XP_003392993.1,233
89,XP_003392994.1,197
90,XP_003392995.1,272
91,XP_003392999.1,387
92,XP_003393000.1,359
93,XP_003393002.1,684
94,XP_003393003.1,590
95,XP_003393006.1,347
96,XP_003393008.2,305
97,XP_003393009.1,199
98,XP_003393010.1,170
99,XP_003393011.1,109
100,XP_003393014.1,155
101,XP_003393015.1,80
102,XP_003393017.1,274
103,XP_003393020.1,516
104,XP_003393026.1,449
105,XP_003393028.1,314
106,XP_003393031.1,110
107,XP_003393032.1,576
108,XP_003393033.1,848
109,XP_003393034.1,56
110,XP_003393035.1,407
111,XP_003393038.1,516
112,XP_003393040.1,141
113,XP_003393042.1,371
114,XP_003393045.1,271
115,XP_003393047.1,434
116,XP_003393048.1,1901
117,XP_003393051.3,664
118,XP_003393053.1,206
119,XP_003393055.1,673
120,XP_003393058.1,502
121,XP_003393059.1,523
122,XP_003393060.1,406
123,XP_003393061.1,406
124,XP_003393062.1,1613
125,XP_003393064.1,461
126,XP_003393065.1,525
127,XP_003393067.3,286
128,XP_003393068.1,490
129,XP_003393069.1,532
130,XP_003393070.1,177
131,XP_003393071.1,299
132,XP_003393073.1,356
133,XP_003393075.1,1149
134,XP_003393076.1,489
135,XP_003393077.1,84
136,XP_003393084.1,1766
137,XP_003393086.1,407
138,XP_003393087.1,650
139,XP_003393089.1,203
140,XP_003393090.1,5085
141,XP_003393092.1,292
142,XP_003393093.1,292
143,XP_003393097.1,243
144,XP_003393098.1,173
145,XP_003393104.1,747
146,XP_003393106.1,799
147,XP_003393110.1,615
148,XP_003393113.2,139
149,XP_003393114.1,226
150,XP_003393115.1,103
151,XP_003393116.1,186
152,XP_003393123.1,236
153,XP_003393124.1,245
154,XP_003393127.1,91
155,XP_003393128.1,91
156,XP_003393129.2,718
157,XP_003393130.1,85
158,XP_003393136.1,771
159,XP_003393138.1,873
160,XP_003393140.1,575
161,XP_003393141.1,84
162,XP_003393142.1,1586
163,XP_003393146.1,445
164,XP_003393150.1,1038
165,XP_003393158.1,168
166,XP_003393159.2,694
167,XP_003393164.1,429
168,XP_003393165.1,423
169,XP_003393166.1,315
170,XP_003393170.1,1062
171,XP_003393171.1,104
172,XP_003393172.1,667
173,XP_003393173.1,751
174,XP_003393174.1,703
175,XP_003393175.1,337
176,XP_003393176.3,330
177,XP_003393177.1,182
178,XP_003393179.1,1756
179,XP_003393180.1,1182
180,XP_003393181.1,204
181,XP_003393185.1,188
182,XP_003393186.2,365
183,XP_003393189.1,861
184,XP_003393190.1,885
185,XP_003393191.1,458
186,XP_003393194.1,615
187,XP_003393196.1,1643
188,XP_003393197.1,532
189,XP_003393199.1,1531
190,XP_003393201.1,419
191,XP_003393203.1,295
192,XP_003393207.1,324
193,XP_003393208.1,582
194,XP_003393210.1,356
195,XP_003393215.2,371
196,XP_003393216.1,745
197,XP_003393217.1,553
198,XP_003393227.2,828
199,XP_003393230.2,636
200,XP_003393241.1,154
201,XP_003393242.1,192
202,XP_003393245.1,481
203,XP_003393247.1,386
204,XP_003393248.1,489
205,XP_003393249.1,204
206,XP_003393250.1,834
207,XP_003393251.1,1128
208,XP_003393252.1,134
209,XP_003393254.1,90
210,XP_003393256.1,318
211,XP_003393259.1,495
212,XP_003393260.1,326
213,XP_003393261.1,338
214,XP_003393262.1,114
215,XP_003393263.1,242
216,XP_003393264.1,539
217,XP_003393266.1,327
218,XP_003393267.1,106
219,XP_003393271.1,268
220,XP_003393272.1,278
221,XP_003393273.1,170
222,XP_003393274.1,682
223,XP_003393276.1,221
224,XP_003393278.1,168
225,XP_003393279.1,418
226,XP_003393281.1,2134
227,XP_003393282.1,296
228,XP_003393283.1,407
229,XP_003393284.1,467
230,XP_003393287.1,1384
231,XP_003393292.1,189
232,XP_003393295.1,404
233,XP_003393296.1,440
234,XP_003393298.1,611
235,XP_003393299.1,336
236,XP_003393301.1,216
237,XP_003393302.1,286
238,XP_003393303.1,275
239,XP_003393305.1,475
240,XP_003393306.1,58
241,XP_003393307.1,1447
242,XP_003393310.1,214
243,XP_003393315.1,341
244,XP_003393316.1,484
245,XP_003393317.1,1927
246,XP_003393320.1,922
247,XP_003393329.1,93
248,XP_003393332.1,589
249,XP_003393333.3,1644
250,XP_003393334.1,725
251,XP_003393336.1,410
252,XP_003393337.1,410
253,XP_003393338.1,504
254,XP_003393340.1,112
255,XP_003393341.1,110
256,XP_003393343.1,116
257,XP_003393344.1,1436
258,XP_003393346.1,157
259,XP_003393349.1,687
260,XP_003393351.1,328
261,XP_003393353.1,359
262,XP_003393355.1,359
263,XP_003393359.1,974
264,XP_003393360.1,642
265,XP_003393361.1,642
266,XP_003393362.1,201
267,XP_003393363.1,1004
268,XP_003393369.1,741
269,XP_003393370.1,552
270,XP_003393371.1,428
271,XP_003393372.1,166
