Orthogroup	Bombus_terrestris	Aedes_aegypti
OG0000000	XP_012175230.1	XP_021704707.1
OG0000001	XP_003395878.1, XP_003400131.1, XP_012170860.1, XP_003400126.1, XP_003400119.1, XP_020721795.1, XP_012170857.1, XP_020721796.1, XP_012170859.1, XP_012170861.1, XP_012170855.1, XP_012168947.1, XP_012175298.1, XP_003393848.1, XP_012170233.1, XP_020721551.1, XP_012170221.2, XP_012170223.1, XP_003399696.2, XP_003403418.2, XP_003403397.3	XP_021704701.1
OG0000002	XP_003393901.1, XP_020722318.1, XP_020722314.1, XP_020723992.1, XP_020723938.1, XP_020724018.1, XP_003393988.2, XP_020722961.1, XP_012175713.1, XP_012175608.1, XP_012175715.1, XP_012175716.1, XP_012175714.1, XP_012175717.1, XP_012175609.1, XP_003393920.1, XP_003403429.1, XP_003394006.1, XP_003393921.1, XP_012175711.1, XP_003393917.1, XP_003393994.1, XP_020722331.1, XP_020722344.1, XP_003393905.1, XP_020723934.1, XP_012175700.1, XP_012175702.1, XP_003394000.1, XP_020723889.1, XP_012175705.1, XP_020722356.1, XP_012175707.1, XP_003393910.1, XP_003393907.1, XP_003393999.1, XP_003393913.1, XP_012175710.2, XP_012175708.2, XP_003394005.1, XP_003393918.1, XP_003394003.1, XP_003393998.1	XP_021711562.1
OG0000005	XP_012174537.1, XP_012173838.1, XP_003402808.1, XP_012173837.1, XP_012175341.1	XP_021709990.1, XP_021704183.1, XP_021711844.1, XP_021706484.1
OG0000006	XP_012174904.1	XP_001651754.2, XP_001651756.3
OG0000008	XP_012168744.1	XP_001648300.1
OG0000008	XP_012168771.1	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1
OG0000008	XP_003398745.1	XP_001648302.1
OG0000008	XP_003402021.1, XP_012173573.1, XP_003402067.2, XP_003402064.1, XP_012173606.2, XP_003403320.2, XP_012176687.1, XP_012176691.1, XP_003394740.1, XP_020718362.1, XP_020718363.1, XP_020718364.1, XP_020718365.1, XP_012176686.1, XP_012176685.1, XP_012176683.1, XP_003394739.1, XP_012176688.1, XP_012176689.1, XP_012176690.1, XP_020721002.1	XP_021710647.1
OG0000009	XP_003393388.3, XP_003393376.1, XP_003393377.1, XP_020723850.1, XP_003393379.1	XP_021705958.1, XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1, XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1, XP_001657206.1
