Orthogroup	Megachile_rotundata	Ceratina_calcarata
OG0000000	XP_012136801.1, XP_012152727.1	XP_017882355.1
OG0000000	XP_012147360.1	XP_017879465.1
OG0000000	XP_003708538.1	XP_017884020.1
OG0000000	XP_012146525.1	XP_017875370.2
OG0000000	XP_012145447.1	XP_017884602.1
OG0000000	XP_012134488.1	XP_017874999.1, XP_017879660.1, XP_017887576.1, XP_017877626.1, XP_017882359.1
OG0000001	XP_003704416.1, XP_003704279.1, XP_012143067.1	XP_017891081.1
OG0000001	XP_012143061.1, XP_003704412.1, XP_003704278.1	XP_017888667.1, XP_026673601.1
OG0000001	XP_012140371.1, XP_012140372.1, XP_003703231.1	XP_017888037.1
OG0000001	XP_012143070.1, XP_003704281.1, XP_012143072.1, XP_012143071.1	XP_026674593.1, XP_017891764.1, XP_017891756.1
OG0000002	XP_012152029.1	XP_026667095.1
OG0000002	XP_012139081.1, XP_012150985.1, XP_012151889.1, XP_012147245.1	XP_017875389.1
OG0000002	XP_012134947.1	XP_017891277.1, XP_017891019.1
OG0000003	XP_012143994.1	XP_017890440.1
OG0000003	XP_012152028.1, XP_003708364.1	XP_026667471.1
OG0000003	XP_012135719.1	XP_026674121.1
OG0000004	XP_012142565.1, XP_012142564.1, XP_012142566.1, XP_003704115.1	XP_026671131.1, XP_017883644.1, XP_026671140.1, XP_026671158.1, XP_026671138.1, XP_026671141.1, XP_017883640.2, XP_017883641.2, XP_026671143.1, XP_026671129.1, XP_026671149.1, XP_026671151.1, XP_017883621.2, XP_017883632.2, XP_026671133.1
OG0000005	XP_012138996.1, XP_012135624.1, XP_012144983.1, XP_012144703.1, XP_012152700.1, XP_012138758.1, XP_012138767.1, XP_012143908.1	XP_026673555.1, XP_026673556.1, XP_026673544.1, XP_026667346.1, XP_026667348.1, XP_026673541.1
OG0000005	XP_012143136.1	XP_026675078.1
OG0000005	XP_012138734.1, XP_012138745.1	XP_017889271.2
OG0000006	XP_003708097.1	XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1, XP_026671801.1, XP_026671800.1, XP_017884545.1, XP_017884546.1
OG0000006	XP_003707914.1	XP_017875197.1
OG0000007	XP_012152319.1, XP_012152339.1, XP_012152307.1	XP_026669980.1, XP_026669747.1, XP_026667260.1, XP_026669995.1
OG0000008	XP_012137793.1, XP_012137792.1, XP_003702208.1	XP_017892322.1, XP_026675486.1, XP_017892323.1
OG0000008	XP_003700544.1	XP_017893662.1
OG0000009	XP_012137585.1, XP_003701951.1, XP_012137586.1, XP_012137584.1, XP_012137583.1	XP_026671929.1, XP_017885114.1, XP_026671923.1, XP_026671924.1, XP_026671925.1, XP_026671926.1, XP_017885111.1, XP_017885112.1, XP_017885115.1, XP_026671928.1, XP_026671927.1, XP_017885113.1
OG0000010	XP_012143890.1	XP_026674182.1
OG0000010	XP_012143985.1, XP_012143891.1, XP_012143986.1, XP_012143988.1, XP_003704733.2, XP_012143893.1	XP_017889350.1, XP_026674208.1, XP_026674209.1, XP_017889349.2
OG0000011	XP_012144536.1, XP_012144535.1, XP_003704922.1, XP_012144537.1, XP_012144538.1	XP_026672740.1, XP_026672741.1, XP_026672742.1
OG0000012	XP_003704990.1, XP_012144440.1, XP_012144439.1, XP_012144443.1, XP_012144442.1, XP_012144441.1, XP_012144449.1, XP_012144447.1, XP_012144448.1, XP_012144445.1, XP_012144446.1	XP_017877808.2
OG0000013	XP_012153435.1	XP_017884306.1
OG0000013	XP_012148641.1	XP_026668765.1
OG0000013	XP_012146322.1	XP_017891439.1
OG0000013	XP_012141582.1	XP_017878373.1, XP_017892959.1
OG0000014	XP_012151723.1	XP_017888171.1
OG0000015	XP_012143130.1, XP_003704378.1	XP_017883370.2
OG0000017	XP_003702158.1	XP_017892537.1
OG0000018	XP_003700281.2	XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1, XP_017877144.1
OG0000019	XP_003703399.2	XP_026668667.1, XP_026668668.1, XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_017878669.1
OG0000021	XP_012146123.1, XP_012145356.1, XP_012142411.1	XP_017887382.1
OG0000022	XP_012135670.1, XP_012135669.1, XP_012135674.1, XP_012135673.1, XP_012135668.1, XP_003701272.1, XP_012135671.1	XP_026667393.1, XP_026667391.1, XP_026667392.1, XP_017876039.1, XP_026667394.1
OG0000023	XP_012151017.1, XP_012142569.1	XP_026671442.1
OG0000025	XP_012154268.1, XP_012154273.1, XP_012154274.1, XP_012154271.1, XP_012154272.1, XP_012154275.1, XP_012154270.1, XP_012154269.1	XP_026674597.1, XP_026674600.1, XP_026674596.1, XP_017890658.1, XP_026674598.1
OG0000026	XP_012149137.1, XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1	XP_026670298.1
OG0000027	XP_012149831.1, XP_012149830.1, XP_012149829.1, XP_012149828.1, XP_012149826.1, XP_012149827.1, XP_012149825.1	XP_026673236.1, XP_026673235.1, XP_017887874.1
OG0000028	XP_003704470.2	XP_026667338.1, XP_026667337.1, XP_017875902.1, XP_026667339.1, XP_017875900.1
OG0000029	XP_003702607.2	XP_026671916.1, XP_017885077.1, XP_017885082.1, XP_017885085.1, XP_017885083.1, XP_017885081.1, XP_017885084.1
OG0000031	XP_003704987.1, XP_012144433.1, XP_012144432.1, XP_012144434.1, XP_012144430.1, XP_012144435.1, XP_012144429.1	XP_017888818.1, XP_017888829.1, XP_017888809.1, XP_017888800.1
OG0000032	XP_012148161.1, XP_012148158.1, XP_012148159.1, XP_003706562.1, XP_012148157.1, XP_012148160.1	XP_017879467.1, XP_026669096.1, XP_026669111.1, XP_017879474.1, XP_026669105.1
OG0000033	XP_003701918.1, XP_012137454.1, XP_012137456.1, XP_012137455.1	XP_017893183.1, XP_017893184.1, XP_017893185.1
OG0000034	XP_003707471.1, XP_012149993.1	XP_017875842.1, XP_017875843.1, XP_026667285.1
OG0000034	XP_012151556.1, XP_012151555.1, XP_003707862.1	XP_026667896.1, XP_017877070.1, XP_017877071.1, XP_017877072.1
OG0000035	XP_012141604.1	XP_017889483.1, XP_026674100.1, XP_026674098.1, XP_026674099.1
OG0000036	XP_012152961.1, XP_012152968.1, XP_012152971.1, XP_012152963.1	XP_017888470.1, XP_017888471.1, XP_017888469.1, XP_017888468.1, XP_017888467.1
OG0000037	XP_012150894.1	XP_026673086.1, XP_026673087.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_017887763.1
OG0000038	XP_012153341.1	XP_026670731.1, XP_026670734.1, XP_026670732.1, XP_017882779.1, XP_017882777.1
OG0000038	XP_003705350.1	XP_017879834.1, XP_026669182.1
OG0000039	XP_012141557.1, XP_012141554.1, XP_003703563.1, XP_012141555.1, XP_012141556.1	XP_017880312.1, XP_017880311.1, XP_017880320.1, XP_017880319.1, XP_017880316.1, XP_017880314.1, XP_017880318.1, XP_017880317.1, XP_017880310.1
OG0000040	XP_003707562.1, XP_012150853.1, XP_012150852.1	XP_017877461.1
OG0000041	XP_012153217.1	XP_017881850.1
OG0000041	XP_012153215.1	XP_017880265.1, XP_017879099.1, XP_017885294.1, XP_017884160.1
OG0000041	XP_012150922.1, XP_012142568.1	XP_017890633.1
OG0000043	XP_012147890.1	XP_026667059.1
OG0000044	XP_012146996.1, XP_012146995.1, XP_012146998.1, XP_012146997.1, XP_012146999.1, XP_012147000.1	XP_017886339.1, XP_017886341.1, XP_017886340.1
OG0000046	XP_003700842.2, XP_003700923.1, XP_003700925.1, XP_003700922.1, XP_012135245.1	XP_026668788.1, XP_026668778.1
OG0000047	XP_012151724.1, XP_012141737.1	XP_017892302.1, XP_017887616.1, XP_017881012.1, XP_017888174.1
OG0000049	XP_012147570.1, XP_012139248.1, XP_003702702.1, XP_012139216.1, XP_003702701.1	XP_026667851.1
OG0000049	XP_003702704.1, XP_003702718.1	XP_017875573.2
OG0000050	XP_012138838.1, XP_012138835.1, XP_003702490.1, XP_012138837.1, XP_012138836.1	XP_017890818.1
OG0000051	XP_012134574.1, XP_012134573.1, XP_012134572.1	XP_017886873.1
OG0000053	XP_012148084.1	XP_026670119.1, XP_017884091.1, XP_026673538.1, XP_026674938.1, XP_026669100.1, XP_017885362.1, XP_026675632.1, XP_026675047.1, XP_026673602.1, XP_026673855.1, XP_017889116.2, XP_026668993.1, XP_026672068.1, XP_026671363.1, XP_017885415.1, XP_017876325.2, XP_017889231.1, XP_017885815.1, XP_017885814.1, XP_026672067.1, XP_017891649.2, XP_026672436.1, XP_026672437.1, XP_026673854.1, XP_026671359.1, XP_017890614.1, XP_017888729.1
OG0000054	XP_003703348.2	XP_017875567.1, XP_026667182.1, XP_026674457.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1
OG0000055	XP_012144258.1	XP_026672109.1, XP_026672110.1, XP_017885442.1, XP_017885441.1
OG0000056	XP_012139779.1, XP_012139778.1, XP_012139774.1, XP_012139776.1, XP_012139777.1, XP_012139775.1	XP_017884500.1, XP_017884505.1, XP_017884508.1, XP_017884509.1, XP_026671517.1, XP_017884504.1, XP_017884503.1, XP_017884502.1, XP_017884501.1
OG0000057	XP_012152452.1	XP_017891009.1, XP_017884413.1
OG0000057	XP_012149741.1	XP_017885064.1
OG0000057	XP_012149735.1, XP_012137589.1	XP_017875587.1, XP_017891010.1
OG0000058	XP_003700912.1, XP_012135096.1, XP_003700913.1, XP_003700836.1, XP_003700837.1	XP_026668785.1, XP_017878898.1, XP_017878899.1, XP_017878897.1, XP_017878896.1, XP_017878895.1
OG0000059	XP_003703733.1	XP_017875203.1, XP_017887641.1
