Orthogroup	Bombyx_mori	Tribolium_castaneum
OG0000000	XP_037873721.1	XP_015839988.1
OG0000000	XP_037871995.1, XP_037871457.1, XP_037871459.1, XP_037874347.1, XP_037870555.1, XP_037873352.1, XP_037870375.1, XP_037871456.1, XP_004934341.2, XP_037874877.1, XP_037875254.1, XP_037868977.1, XP_037872500.1, XP_037868916.1, XP_037870348.1, XP_037877612.1, XP_037871971.1, XP_037866794.1, XP_037866960.1	XP_015840338.1
OG0000001	NP_001296520.1, NP_001266295.1	XP_969875.1
OG0000001	XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1	XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1
OG0000003	XP_021208702.2, XP_037872843.1, XP_037872077.1, XP_037876274.1, XP_037869860.1, XP_037871122.1, XP_037866964.1, XP_037870356.1, XP_037872900.1, XP_037871229.1	XP_015833782.1
OG0000003	XP_037867760.1, XP_037871729.1, XP_037872534.1, XP_037871580.1, XP_037868781.1, XP_037874099.1	XP_001807063.1, XP_015838217.1
OG0000003	XP_037866749.1, XP_037875440.1, XP_037875446.1, XP_037875869.1, XP_037869897.1, XP_037868552.1, XP_037875805.1	XP_015839387.1
OG0000003	XP_021204444.2, XP_037866490.1	XP_015834307.1
OG0000004	XP_037872760.1, XP_037868220.1, XP_037874112.1, XP_037871694.1	XP_015834342.1
OG0000005	XP_004928790.1, XP_037875267.1, XP_037876843.1	XP_015836998.1
OG0000006	XP_021204320.2, XP_037874908.1, NP_001166611.1, NP_001091790.1	XP_015839074.1, XP_015839443.1, XP_015837918.1, XP_008200983.2, XP_015837915.1, XP_015832942.1, XP_015832943.1, XP_015839897.1, XP_015839868.1, XP_015839893.1, XP_015840911.1, XP_015839865.1, XP_015840926.1, XP_015839876.1, XP_015832877.1, XP_008195121.2, XP_008195116.2, XP_015840044.1
OG0000006	XP_012548737.1, NP_001166607.1, NP_001116806.1, NP_001104829.1, NP_001091789.1, NP_001166603.1	XP_015840913.1, XP_015839886.1, XP_015840914.1, XP_015839882.1, XP_015840915.1, XP_015838120.1, XP_015833039.1, XP_015838103.1, XP_008197157.2, XP_015838111.1, XP_015838098.1, XP_015833153.1, XP_015833154.1, XP_015838097.1, XP_015838114.1, XP_015837672.1, XP_015837670.1, XP_015833429.1, XP_015833045.1, XP_015833034.1, XP_015838052.1, XP_015838051.1, XP_015834939.1
OG0000007	XP_012547514.2, XP_037873313.1	XP_015837969.1
OG0000008	XP_012548163.2	XP_972338.1
OG0000008	XP_004929514.1	XP_008192683.1
OG0000008	XP_012548032.1	XP_969421.1
OG0000008	XP_037872354.1	XP_008191987.1, XP_972532.1
OG0000008	XP_012548168.1	XP_972430.2
OG0000008	XP_021205470.2	XP_015836551.1, XP_015836552.1
OG0000008	XP_037872353.1, XP_012548164.1	XP_008191970.1
