GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0006996	organelle organization	32	5	4.76	0.064	0.064	1	1
GO:0051641	cellular localization	24	3	3.57	0.065	0.065	1	1
GO:0032268	regulation of cellular protein metabolic...	28	3	4.17	0.068	0.786	1	1
GO:0090066	regulation of anatomical structure size	23	2	3.42	0.089	0.311	1	1
GO:0009968	negative regulation of signal transducti...	24	5	3.57	0.104	0.104	1	1
GO:0050829	defense response to Gram-negative bacter...	22	4	3.27	0.121	0.121	1	1
GO:0006810	transport	33	3	4.91	0.134	0.134	1	1
GO:0048584	positive regulation of response to stimu...	48	8	7.14	0.135	0.799	1	1
GO:0008283	cell population proliferation	23	3	3.42	0.140	0.501	1	1
GO:0051173	positive regulation of nitrogen compound...	42	9	6.25	0.144	0.496	1	1
GO:0006464	cellular protein modification process	43	6	6.4	0.144	0.803	1	1
GO:0030182	neuron differentiation	29	3	4.31	0.151	0.883	1	1
GO:0120036	plasma membrane bounded cell projection ...	25	2	3.72	0.171	0.914	1	1
GO:0045088	regulation of innate immune response	21	3	3.12	0.174	0.174	1	1
GO:0032504	multicellular organism reproduction	38	4	5.65	0.180	0.565	1	1
GO:0071704	organic substance metabolic process	100	13	14.88	0.180	0.628	1	1
GO:0048523	negative regulation of cellular process	46	8	6.84	0.191	0.045	1	1
GO:0002065	columnar/cuboidal epithelial cell differ...	25	3	3.72	0.197	0.619	1	1
GO:0002009	morphogenesis of an epithelium	27	4	4.02	0.209	0.587	1	1
GO:0031328	positive regulation of cellular biosynth...	24	7	3.57	0.217	0.217	1	1
GO:0009653	anatomical structure morphogenesis	50	6	7.44	0.222	0.863	1	1
GO:0050776	regulation of immune response	44	7	6.55	0.240	0.751	1	1
GO:0045595	regulation of cell differentiation	28	2	4.17	0.242	0.704	1	1
GO:0010468	regulation of gene expression	44	5	6.55	0.244	0.353	1	1
GO:0034641	cellular nitrogen compound metabolic pro...	50	7	7.44	0.245	0.576	1	1
GO:0000902	cell morphogenesis	25	1	3.72	0.246	0.885	1	1
GO:0022412	cellular process involved in reproductio...	35	4	5.21	0.260	0.704	1	1
GO:0044271	cellular nitrogen compound biosynthetic ...	45	7	6.69	0.261	0.538	1	1
GO:0007276	gamete generation	36	4	5.36	0.262	0.809	1	1
GO:0048869	cellular developmental process	56	6	8.33	0.283	1.000	1	1
GO:0080090	regulation of primary metabolic process	61	8	9.07	0.284	0.375	1	1
GO:0030097	hemopoiesis	24	3	3.57	0.310	0.310	1	1
GO:0016310	phosphorylation	29	4	4.31	0.318	0.600	1	1
GO:0006796	phosphate-containing compound metabolic ...	33	4	4.91	0.319	0.370	1	1
GO:0033036	macromolecule localization	29	2	4.31	0.354	0.585	1	1
GO:0001745	compound eye morphogenesis	21	3	3.12	0.371	0.371	1	1
GO:0002684	positive regulation of immune system pro...	29	4	4.31	0.372	0.841	1	1
GO:1902531	regulation of intracellular signal trans...	23	5	3.42	0.376	0.376	1	1
GO:0031323	regulation of cellular metabolic process	71	11	10.56	0.382	0.359	1	1
GO:0051704	multi-organism process	37	4	5.5	0.402	0.690	1	1
GO:0032879	regulation of localization	31	1	4.61	0.412	0.412	1	1
GO:0042221	response to chemical	43	6	6.4	0.417	0.545	1	1
GO:0002683	negative regulation of immune system pro...	20	4	2.98	0.419	0.419	1	1
GO:0007399	nervous system development	39	5	5.8	0.424	0.954	1	1
GO:0034645	cellular macromolecule biosynthetic proc...	40	6	5.95	0.429	0.494	1	1
GO:0051128	regulation of cellular component organiz...	33	5	4.91	0.430	0.430	1	1
GO:0016477	cell migration	26	4	3.87	0.436	0.436	1	1
GO:0044267	cellular protein metabolic process	53	6	7.88	0.453	0.735	1	1
GO:0048585	negative regulation of response to stimu...	33	7	4.91	0.463	0.077	1	1
GO:0010628	positive regulation of gene expression	20	5	2.98	0.465	0.465	1	1
GO:0070887	cellular response to chemical stimulus	30	5	4.46	0.467	0.730	1	1
GO:1901566	organonitrogen compound biosynthetic pro...	20	4	2.98	0.488	0.488	1	1
GO:0006357	regulation of transcription by RNA polym...	21	4	3.12	0.490	0.490	1	1
GO:0043170	macromolecule metabolic process	88	11	13.09	0.490	0.906	1	1
GO:0010467	gene expression	50	7	7.44	0.504	0.358	1	1
GO:0007165	signal transduction	63	7	9.37	0.512	0.794	1	1
GO:0034654	nucleobase-containing compound biosynthe...	34	5	5.06	0.520	0.552	1	1
GO:0016070	RNA metabolic process	38	6	5.65	0.522	0.540	1	1
GO:0050793	regulation of developmental process	40	4	5.95	0.524	0.640	1	1
GO:0044249	cellular biosynthetic process	51	8	7.59	0.537	0.628	1	1
GO:0048477	oogenesis	30	4	4.46	0.539	0.618	1	1
GO:0044238	primary metabolic process	90	11	13.39	0.545	0.913	1	1
GO:0009617	response to bacterium	38	7	5.65	0.550	0.311	1	1
GO:0010033	response to organic substance	26	4	3.87	0.553	0.843	1	1
GO:0030855	epithelial cell differentiation	26	3	3.87	0.565	0.700	1	1
GO:0042325	regulation of phosphorylation	20	4	2.98	0.565	0.565	1	1
GO:0048513	animal organ development	53	7	7.88	0.576	0.969	1	1
GO:0080134	regulation of response to stress	48	7	7.14	0.578	0.713	1	1
GO:0007444	imaginal disc development	24	3	3.57	0.587	0.587	1	1
GO:0006355	regulation of transcription, DNA-templat...	33	5	4.91	0.601	0.494	1	1
GO:0033554	cellular response to stress	27	4	4.02	0.605	0.605	1	1
GO:0009791	post-embryonic development	35	4	5.21	0.626	0.948	1	1
GO:0031325	positive regulation of cellular metaboli...	45	10	6.69	0.635	0.384	1	1
GO:0018130	heterocycle biosynthetic process	35	5	5.21	0.638	0.610	1	1
GO:0031399	regulation of protein modification proce...	21	3	3.12	0.643	0.643	1	1
GO:0009892	negative regulation of metabolic process	23	2	3.42	0.643	0.565	1	1
GO:0048522	positive regulation of cellular process	67	12	9.97	0.643	0.588	1	1
GO:0009056	catabolic process	25	3	3.72	0.643	0.870	1	1
GO:0007167	enzyme linked receptor protein signaling...	20	2	2.98	0.646	0.646	1	1
GO:0003006	developmental process involved in reprod...	37	4	5.5	0.648	0.760	1	1
GO:0022607	cellular component assembly	33	5	4.91	0.650	0.650	1	1
GO:0010605	negative regulation of macromolecule met...	20	2	2.98	0.651	0.651	1	1
GO:0009059	macromolecule biosynthetic process	41	6	6.1	0.655	0.549	1	1
GO:0048749	compound eye development	23	3	3.42	0.658	0.387	1	1
GO:2000112	regulation of cellular macromolecule bio...	36	5	5.36	0.662	0.498	1	1
GO:1901700	response to oxygen-containing compound	21	3	3.12	0.664	0.664	1	1
GO:0009967	positive regulation of signal transducti...	23	4	3.42	0.667	0.667	1	1
GO:0048731	system development	65	8	9.67	0.669	0.981	1	1
GO:0002682	regulation of immune system process	59	9	8.78	0.679	0.711	1	1
GO:0010646	regulation of cell communication	45	6	6.69	0.679	0.670	1	1
GO:0023051	regulation of signaling	45	6	6.69	0.679	0.670	1	1
GO:0032535	regulation of cellular component size	21	2	3.12	0.690	0.690	1	1
GO:0060562	epithelial tube morphogenesis	21	1	3.12	0.709	0.709	1	1
GO:0008104	protein localization	22	1	3.27	0.718	0.718	1	1
GO:0045087	innate immune response	45	4	6.69	0.723	0.268	1	1
GO:1901576	organic substance biosynthetic process	51	8	7.59	0.729	0.628	1	1
GO:0043412	macromolecule modification	46	6	6.84	0.743	0.882	1	1
GO:0006468	protein phosphorylation	26	3	3.87	0.751	0.751	1	1
GO:0031349	positive regulation of defense response	21	4	3.12	0.755	0.755	1	1
GO:0042127	regulation of cell population proliferat...	20	3	2.98	0.756	0.756	1	1
GO:0044085	cellular component biogenesis	35	5	5.21	0.756	0.817	1	1
GO:0048666	neuron development	23	0	3.42	0.759	0.917	1	1
GO:0048732	gland development	28	3	4.17	0.760	0.850	1	1
GO:2000026	regulation of multicellular organismal d...	31	2	4.61	0.760	0.760	1	1
GO:0051239	regulation of multicellular organismal p...	39	3	5.8	0.769	0.647	1	1
GO:0022008	neurogenesis	32	3	4.76	0.770	0.965	1	1
GO:0035556	intracellular signal transduction	35	5	5.21	0.773	0.759	1	1
