GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	57	13	5.36	0.00056	0.00056	0.18927999999999998	0.05987428571428571
GO:0042127	regulation of cell population proliferation	80	13	7.52	0.00119	0.00119	0.20111	0.05987428571428571
GO:0016477	cell migration	81	15	7.61	0.00224	0.00247	0.25237333333333334	0.06422
GO:0042330	taxis	68	11	6.39	0.00755	0.01105	0.4675666666666667	0.15562083333333335
GO:0009792	embryo development ending in birth or egg hatching	50	7	4.7	0.01074	0.01074	0.4675666666666667	0.15562083333333335
GO:0051239	regulation of multicellular organismal process	143	19	13.44	0.01222	0.02617	0.4675666666666667	0.230555
GO:0002682	regulation of immune system process	192	12	18.05	0.01500	0.62589	0.4675666666666667	0.7422409090909091
GO:0006725	cellular aromatic compound metabolic process	191	17	17.95	0.01526	0.13113	0.4675666666666667	0.35280761904761904
GO:1901360	organic cyclic compound metabolic process	193	17	18.14	0.01536	0.13434	0.4675666666666667	0.35474156249999994
GO:0006796	phosphate-containing compound metabolic process	92	15	8.65	0.01567	0.05531	0.4675666666666667	0.25199325301204817
GO:0007267	cell-cell signaling	58	10	5.45	0.01600	0.01600	0.4675666666666667	0.20800000000000002
GO:1901575	organic substance catabolic process	72	9	6.77	0.01660	0.59993	0.4675666666666667	0.7242012142857142
GO:0007165	signal transduction	224	26	21.06	0.02295	0.02082	0.5905611111111111	0.230555
GO:0050793	regulation of developmental process	150	19	14.1	0.02729	0.04202	0.5905611111111111	0.250338064516129
GO:0051641	cellular localization	81	5	7.61	0.02805	0.13434	0.5905611111111111	0.35474156249999994
GO:0003008	system process	52	8	4.89	0.02977	0.02977	0.5905611111111111	0.230555
GO:0042592	homeostatic process	56	8	5.26	0.03039	0.03039	0.5905611111111111	0.230555
GO:0044249	cellular biosynthetic process	176	20	16.54	0.03145	0.32625	0.5905611111111111	0.5486194029850746
GO:0035282	segmentation	50	4	4.7	0.03736	0.03736	0.6325669999999999	0.23825811320754714
GO:0035120	post-embryonic appendage morphogenesis	53	6	4.98	0.03743	0.02071	0.6325669999999999	0.230555
GO:0022008	neurogenesis	141	16	13.25	0.04160	0.10611	0.6463481818181819	0.3260470909090909
GO:0030030	cell projection organization	101	12	9.49	0.04207	0.20905	0.6463481818181819	0.45005668789808917
