Orthogroup	Osmia_lignaria	Apis_mellifera
OG0000001	XP_034194619.1, XP_034194603.1, XP_034194594.1	NP_001352128.1, NP_001352129.1, XP_026300534.1
OG0000001	XP_034178689.1, XP_034178688.1, XP_034178687.1, XP_034178696.1	XP_395671.3, XP_026300535.1
OG0000001	XP_034178244.1, XP_034178676.1, XP_034178694.1, XP_034178691.1, XP_034178692.1, XP_034178693.1, XP_034178695.1	XP_026300343.1, NP_001035324.1
OG0000001	XP_034194583.1, XP_034194581.1, XP_034194582.1	XP_397347.4, XP_006565062.2
OG0000004	XP_034183284.1, XP_034183285.1, XP_034183048.1	NP_001229916.1, XP_006562271.1, XP_006562273.2, NP_001229917.1, XP_026299914.1, XP_016770849.2
OG0000005	XP_034175224.1, XP_034175225.1, XP_034176024.1	NP_001229914.1, XP_016770780.1, XP_016770782.1, XP_016770788.1, XP_026299613.1
OG0000006	XP_034191426.1	XP_006563134.1
OG0000006	XP_034171306.1, XP_034174016.1	XP_006570899.1
OG0000006	XP_034173427.1	XP_003251619.1
OG0000007	XP_034196577.1, XP_034179608.1, XP_034196053.1, XP_034179620.1, XP_034191910.1	XP_026298536.1
OG0000007	XP_034196442.1	NP_001314879.1, XP_016766488.1, XP_026294949.1, XP_026294950.1, XP_016766484.1, XP_026300513.1, XP_026294837.1, XP_026301740.1, XP_006557709.2, XP_016766491.1
OG0000008	XP_034174481.1, XP_034174489.1	NP_001172074.1, NP_001172075.1
OG0000008	XP_034186914.1	XP_625015.1
OG0000008	XP_034183066.1	XP_016767697.1, XP_003251464.1
OG0000008	XP_034183063.1	XP_026296530.1
OG0000009	XP_034188385.1	XP_026295458.1
OG0000010	XP_034179226.1, XP_034179208.1, XP_034179214.1, XP_034179212.1, XP_034179508.1, XP_034179507.1, XP_034179211.1	XP_016772004.2, XP_026301357.1, XP_016772002.2, XP_394081.6, NP_001229913.1, XP_026301413.1
OG0000011	XP_034186670.1, XP_034186666.1, XP_034186667.1, XP_034186658.1, XP_034186654.1, XP_034186665.1, XP_034186664.1, XP_034186663.1, XP_034186662.1, XP_034186661.1, XP_034186660.1, XP_034186659.1, XP_034186656.1, XP_034186655.1, XP_034186669.1	XP_026300138.1, XP_026300139.1, XP_026300136.1, XP_026300137.1
OG0000012	XP_034186457.1, XP_034186455.1, XP_034186454.1, XP_034186459.1, XP_034186458.1, XP_034186462.1, XP_034186460.1, XP_034186461.1, XP_034186464.1, XP_034186463.1	XP_006565262.1, XP_006565261.1, XP_006565259.1
OG0000014	XP_034171801.1, XP_034174017.1, XP_034173430.1	XP_003251221.1
OG0000014	XP_034172344.1, XP_034172482.1, XP_034173947.1, XP_034173516.1, XP_034173945.1	XP_016773376.1
OG0000015	XP_034178504.1, XP_034178505.1, XP_034178500.1, XP_034178499.1, XP_034178576.1, XP_034178578.1, XP_034178513.1, XP_034178575.1	XP_026300578.1
OG0000015	XP_034178503.1	XP_016771361.2
OG0000016	XP_034190095.1	XP_026295369.1
OG0000016	XP_034190100.1	XP_026295370.1
OG0000017	XP_034173428.1, XP_034173938.1, XP_034171974.1, XP_034183944.1, XP_034173515.1, XP_034171836.1, XP_034173514.1, XP_034195016.1, XP_034171788.1	XP_003251626.1
OG0000018	XP_034187723.1, XP_034187722.1, XP_034187720.1, XP_034187719.1, XP_034187724.1	XP_026300511.1, XP_006568159.1, XP_006568157.1, XP_396912.1
OG0000019	XP_034195722.1, XP_034195724.1, XP_034195725.1, XP_034195721.1, XP_034195720.1, XP_034195717.1, XP_034195716.1, XP_034195719.1, XP_034195718.1, XP_034195715.1, XP_034195714.1	XP_026297157.1, XP_026297158.1, XP_026297159.1, XP_026297160.1
OG0000020	XP_034179515.1, XP_034179497.1, XP_034179001.1, XP_034179112.1, XP_034179105.1, XP_034192240.1, XP_034179568.1, XP_034179326.1, XP_034179496.1, XP_034179104.1, XP_034179567.1, XP_034179107.1, XP_034179109.1, XP_034178945.1, XP_034179106.1, XP_034179327.1, XP_034178946.1	XP_003249229.1
OG0000022	XP_034190542.1, XP_034190549.1, XP_034190548.1, XP_034190550.1, XP_034190544.1, XP_034190547.1, XP_034190545.1, XP_034190543.1	XP_016768964.1, XP_006564638.1, XP_006564637.1, XP_006564640.1, XP_006564639.1, XP_006564641.1
OG0000025	XP_034182854.1, XP_034182857.1, XP_034182852.1, XP_034182855.1, XP_034182851.1, XP_034182850.1, XP_034182856.1	XP_016772382.1, NP_001011571.1
OG0000026	XP_034189435.1, XP_034189434.1, XP_034189436.1, XP_034189437.1, XP_034189438.1	XP_006561279.1
OG0000027	XP_034176177.1, XP_034176176.1, XP_034176171.1, XP_034176175.1, XP_034176174.1, XP_034176173.1, XP_034176178.1, XP_034176172.1	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571986.1, XP_006571984.1
OG0000028	XP_034171188.1, XP_034171191.1, XP_034171190.1, XP_034171189.1	XP_026295481.1, XP_026295482.1, XP_026295478.1, XP_026295477.1, XP_026295483.1, XP_026295480.1, XP_026295479.1
OG0000029	XP_034189051.1, XP_034189052.1	XP_026296924.1, XP_026296926.1, XP_026296925.1, XP_026296928.1, XP_026296927.1, XP_026296930.1, XP_026296929.1
OG0000030	XP_034173942.1	XP_026300422.1
OG0000031	XP_034187152.1, XP_034187153.1, XP_034187150.1, XP_034187149.1, XP_034187151.1, XP_034187148.1	XP_006565210.1, NP_001180219.1
OG0000032	XP_034188074.1, XP_034188075.1, XP_034188076.1	XP_016768850.2, XP_003249883.2
OG0000033	XP_034180404.1, XP_034180403.1, XP_034180406.1, XP_034180402.1	XP_006560073.1, XP_623977.2, XP_026300817.1, XP_026300816.1, XP_026300815.1, XP_006560074.1
OG0000035	XP_034193470.1, XP_034193472.1, XP_034193474.1, XP_034193475.1, XP_034193473.1, XP_034193476.1	XP_006560019.1, XP_006560020.1
OG0000036	XP_034186581.1, XP_034186577.1, XP_034186579.1, XP_034186578.1, XP_034186576.1, XP_034186580.1	XP_006562293.2, XP_006562291.2, XP_016770836.2, XP_006562294.2
OG0000037	XP_034172064.1	XP_006570154.1, XP_016768502.1, XP_016768503.1, XP_016768504.1
OG0000038	XP_034190835.1, XP_034190836.1	NP_001011628.1, XP_006566906.1
OG0000038	XP_034176738.1, XP_034176739.1	NP_001014993.1
OG0000039	XP_034181405.1, XP_034181399.1, XP_034181401.1, XP_034181402.1, XP_034181400.1, XP_034181403.1	XP_006572329.1, XP_006572330.1, XP_016772966.1, XP_623325.1
OG0000040	XP_034184421.1	XP_016769473.1, XP_016769470.1, XP_016769471.1, XP_016769475.1, XP_016769474.1, XP_016769476.1, XP_016769472.1
OG0000042	XP_034185227.1	XP_016769352.1
OG0000042	XP_034185236.1	XP_016769353.1
OG0000043	XP_034173337.1, XP_034173336.1, XP_034173334.1, XP_034173335.1	XP_006571072.1, XP_016769192.1, XP_026295623.1, XP_006571068.1, XP_006571070.1, XP_006571069.1, XP_006571071.1, XP_006571074.1, XP_006571073.1
OG0000044	XP_034179353.1, XP_034179355.1, XP_034179356.1	XP_623312.2
OG0000046	XP_034171928.1, XP_034171932.1, XP_034171930.1, XP_034171011.1	NP_001229898.1, XP_026294907.1, XP_026294903.1, XP_001121864.2, XP_016773531.1, XP_016773532.1
OG0000047	XP_034173513.1, XP_034184140.1, XP_034173808.1, XP_034171775.1, XP_034171711.1, XP_034171584.1, XP_034173512.1	XP_001119899.1, XP_001120186.1, XP_001120346.1, XP_003251613.1
OG0000049	XP_034195422.1, XP_034195424.1	XP_003251791.2
OG0000049	XP_034195423.1, XP_034195421.1	XP_016773440.1, XP_003251779.1
