Orthogroup	Nomia_melanderi	Megalopta_genalis
OG0000000	XP_031836982.1, XP_031836767.1	XP_033340297.1, XP_033326120.1, XP_033325360.1, XP_033334388.1, XP_033329027.1, XP_033333383.1
OG0000000	XP_031847716.1, XP_031848466.1	XP_033329061.1
OG0000000	XP_031848883.1	XP_033322444.1, XP_033339380.1
OG0000000	XP_031829449.1	XP_033338067.1, XP_033339065.1, XP_033325358.1
OG0000001	XP_031834821.1	XP_033341784.1
OG0000001	XP_031826095.1, XP_031826094.1, XP_031826097.1, XP_031826099.1, XP_031826098.1, XP_031826091.1, XP_031826092.1, XP_031826093.1	XP_033326761.1, XP_033326760.1, XP_033326759.1, XP_033326758.1, XP_033326756.1, XP_033326755.1, XP_033326754.1, XP_033326753.1, XP_033326752.1, XP_033326751.1, XP_033326750.1
OG0000001	XP_031836145.1, XP_031836144.1	XP_033326774.1, XP_033326767.1, XP_033326559.1, XP_033326766.1, XP_033326768.1
OG0000001	XP_031828824.1	XP_033339718.1
OG0000001	XP_031840935.1	XP_033326710.1
OG0000001	XP_031848708.1, XP_031848953.1, XP_031848952.1	XP_033338371.1, XP_033322509.1
OG0000002	XP_031834770.1	XP_033330629.1
OG0000004	XP_031830869.1, XP_031830868.1, XP_031830867.1	XP_033320948.1
OG0000004	XP_031836773.1	XP_033334494.1
OG0000004	XP_031850304.1	XP_033335211.1
OG0000004	XP_031842129.1	XP_033329188.1
OG0000004	XP_031847540.1	XP_033335544.1, XP_033324576.1
OG0000004	XP_031847633.1	XP_033330456.1
OG0000005	XP_031836533.1	XP_033333817.1, XP_033333818.1
OG0000005	XP_031848459.1	XP_033331182.1, XP_033331181.1
OG0000005	XP_031850389.1	XP_033321098.1, XP_033328818.1
OG0000005	XP_031848748.1	XP_033341707.1
OG0000005	XP_031840849.1, XP_031840851.1, XP_031840848.1	XP_033322035.1
OG0000005	XP_031843598.1, XP_031843599.1	XP_033340640.1, XP_033340639.1, XP_033337381.1
OG0000005	XP_031834032.1	XP_033321306.1, XP_033333928.1
OG0000005	XP_031844871.1	XP_033330633.1
OG0000005	XP_031842437.1	XP_033333584.1, XP_033333587.1, XP_033333586.1, XP_033333585.1
OG0000006	XP_031827661.1	XP_033332254.1
OG0000006	XP_031827663.1	XP_033331526.1
OG0000006	XP_031827715.1	XP_033331528.1, XP_033331538.1, XP_033331539.1, XP_033331537.1, XP_033332233.1, XP_033332232.1
OG0000006	XP_031827713.1, XP_031827714.1	XP_033331527.1, XP_033331540.1, XP_033332229.1, XP_033331543.1, XP_033331542.1, XP_033332231.1, XP_033332235.1, XP_033331544.1, XP_033332230.1, XP_033332227.1
OG0000006	XP_031827716.1	XP_033331536.1
OG0000006	XP_031847963.1, XP_031847958.1, XP_031847960.1	XP_033325709.1
OG0000008	XP_031838197.1	XP_033329050.1
OG0000008	XP_031838199.1, XP_031838198.1	XP_033321018.1, XP_033321034.1
OG0000008	XP_031845812.1	XP_033329521.1
OG0000008	XP_031838213.1	XP_033329051.1
OG0000008	XP_031838205.1	XP_033329032.1, XP_033329033.1, XP_033329034.1
OG0000008	XP_031838211.1	XP_033321020.1, XP_033321019.1
OG0000009	XP_031837183.1	XP_033323903.1, XP_033323904.1
OG0000009	XP_031839007.1	XP_033321090.1
OG0000009	XP_031837097.1	XP_033323894.1, XP_033323884.1, XP_033323895.1
OG0000009	XP_031848283.1	XP_033323898.1, XP_033323897.1
OG0000009	XP_031848703.1, XP_031848282.1, XP_031847205.1, XP_031848281.1, XP_031848280.1, XP_031837098.1, XP_031848136.1, XP_031842170.1	XP_033323886.1, XP_033323896.1
OG0000010	XP_031836981.1	XP_033342844.1, XP_033332592.1, XP_033332262.1, XP_033329818.1, XP_033328507.1, XP_033337278.1, XP_033333275.1
OG0000010	XP_031847715.1	XP_033337279.1
OG0000011	XP_031849049.1, XP_031849051.1	XP_033341684.1
OG0000011	XP_031844818.1, XP_031849057.1	XP_033340025.1
OG0000011	XP_031844741.1	XP_033340024.1
OG0000011	XP_031844745.1, XP_031844742.1, XP_031844744.1, XP_031844743.1	XP_033325356.1
OG0000011	XP_031844760.1, XP_031848956.1	XP_033341682.1, XP_033341685.1, XP_033341686.1, XP_033341632.1
OG0000011	XP_031844740.1	XP_033330645.1, XP_033340023.1
OG0000012	XP_031836558.1	XP_033333560.1
OG0000012	XP_031836778.1	XP_033333685.1
OG0000012	XP_031842887.1	XP_033324767.1
OG0000013	XP_031839304.1	XP_033328965.1
OG0000013	XP_031829654.1	XP_033330794.1, XP_033330796.1, XP_033330795.1, XP_033330798.1
OG0000014	XP_031839329.1	XP_033328582.1, XP_033328621.1, XP_033328603.1
OG0000014	XP_031848785.1, XP_031848784.1, XP_031839374.1, XP_031839487.1	XP_033328576.1
OG0000016	XP_031843910.1	XP_033334295.1, XP_033334291.1, XP_033334493.1, XP_033321457.1
OG0000017	XP_031840004.1, XP_031840003.1, XP_031840002.1, XP_031840001.1	XP_033323611.1
OG0000017	XP_031829453.1	XP_033341624.1
OG0000017	XP_031829454.1	XP_033341626.1
OG0000018	XP_031838689.1, XP_031838690.1, XP_031838691.1, XP_031838692.1	XP_033333868.1, XP_033333867.1
OG0000018	XP_031835584.1	XP_033342252.1
OG0000018	XP_031835583.1	XP_033342250.1
OG0000018	XP_031847312.1	XP_033327648.1
OG0000019	XP_031838473.1, XP_031838474.1, XP_031838475.1	XP_033335083.1
OG0000019	XP_031830114.1	XP_033337986.1
OG0000019	XP_031838060.1	XP_033321516.1
OG0000020	XP_031839751.1	XP_033333974.1
OG0000020	XP_031845392.1	XP_033341111.1
OG0000020	XP_031837838.1	XP_033336086.1
OG0000020	XP_031828635.1	XP_033329902.1
OG0000020	XP_031830731.1	XP_033340707.1
OG0000020	XP_031837242.1, XP_031837243.1	XP_033323952.1, XP_033323953.1
OG0000021	XP_031838575.1	XP_033334588.1
OG0000021	XP_031846403.1	XP_033327467.1
OG0000022	XP_031826113.1	XP_033328481.1
OG0000022	XP_031833191.1	XP_033326609.1
OG0000022	XP_031839488.1, XP_031838234.1	XP_033328967.1
OG0000022	XP_031839319.1	XP_033328581.1
OG0000023	XP_031826007.1	XP_033328495.1, XP_033328493.1
OG0000023	XP_031839375.1	XP_033328578.1
OG0000024	XP_031849116.1, XP_031849133.1, XP_031849117.1	XP_033339085.1, XP_033339401.1, XP_033329817.1
OG0000024	XP_031825693.1, XP_031825694.1	XP_033341678.1
OG0000025	XP_031834418.1	XP_033330636.1
OG0000026	XP_031843508.1	XP_033339312.1
OG0000026	XP_031834026.1	XP_033332814.1
OG0000026	XP_031828159.1	XP_033340742.1
OG0000026	XP_031839037.1	XP_033321049.1
OG0000027	XP_031849044.1, XP_031839376.1	XP_033328627.1
OG0000028	XP_031836770.1	XP_033320861.1
OG0000029	XP_031829744.1, XP_031829801.1	XP_033327295.1
OG0000029	XP_031827213.1, XP_031827214.1, XP_031827215.1	XP_033338642.1
OG0000029	XP_031829841.1	XP_033327383.1
OG0000030	XP_031839105.1, XP_031839104.1	XP_033328822.1, XP_033328819.1, XP_033328820.1, XP_033328821.1
OG0000030	XP_031827412.1	XP_033335422.1, XP_033335421.1, XP_033331554.1, XP_033335506.1, XP_033335423.1, XP_033335414.1, XP_033335507.1, XP_033339400.1
OG0000032	XP_031845598.1	XP_033338046.1
OG0000032	XP_031832803.1	XP_033335963.1
OG0000032	XP_031833782.1	XP_033322500.1, XP_033322501.1, XP_033322502.1, XP_033339875.1, XP_033322503.1
OG0000032	XP_031831095.1	XP_033340631.1
OG0000033	XP_031837901.1	XP_033331624.1
OG0000035	XP_031842253.1	XP_033326685.1
OG0000035	XP_031834401.1	XP_033326629.1, XP_033326628.1
OG0000036	XP_031844859.1	XP_033340619.1, XP_033331129.1, XP_033339844.1, XP_033340605.1, XP_033340632.1
OG0000036	XP_031844857.1, XP_031844858.1	XP_033340595.1
OG0000036	XP_031844816.1	XP_033341377.1, XP_033341389.1
OG0000036	XP_031844820.1, XP_031844747.1	XP_033341270.1, XP_033341293.1, XP_033341282.1
OG0000036	XP_031844815.1	XP_033341364.1
OG0000036	XP_031849986.1	XP_033324523.1
OG0000036	XP_031850071.1	XP_033324493.1
OG0000037	XP_031838355.1	XP_033322268.1
OG0000038	XP_031848143.1	XP_033322848.1
OG0000038	XP_031835042.1	XP_033330101.1
OG0000038	XP_031833332.1	XP_033327050.1
OG0000038	XP_031825712.1	XP_033340658.1
OG0000038	XP_031847407.1	XP_033327650.1
OG0000038	XP_031844860.1	XP_033322343.1
OG0000038	XP_031842989.1, XP_031842986.1	XP_033322376.1, XP_033322375.1
OG0000039	XP_031848932.1, XP_031848981.1	XP_033336526.1, XP_033328733.1, XP_033321465.1, XP_033338214.1
OG0000040	XP_031849129.1	XP_033322715.1
OG0000040	XP_031847901.1, XP_031847689.1	XP_033322612.1
OG0000040	XP_031843292.1	XP_033342116.1
OG0000041	XP_031848908.1	XP_033339804.1, XP_033322547.1
OG0000041	XP_031828119.1, XP_031828107.1	XP_033322535.1
OG0000042	XP_031842358.1	XP_033329807.1, XP_033329806.1
OG0000043	XP_031842101.1	XP_033340088.1
OG0000043	XP_031831863.1, XP_031831864.1	XP_033339734.1
OG0000043	XP_031831862.1	XP_033339691.1
OG0000043	XP_031828007.1	XP_033330269.1
OG0000044	XP_031831328.1	XP_033322614.1
OG0000044	XP_031848718.1, XP_031848716.1, XP_031848717.1	XP_033334549.1
OG0000045	XP_031836513.1	XP_033323543.1
OG0000045	XP_031839078.1	XP_033329211.1
OG0000045	XP_031836517.1, XP_031836516.1, XP_031836515.1	XP_033323567.1, XP_033323555.1
OG0000045	XP_031833680.1	XP_033327991.1
OG0000046	XP_031849512.1	XP_033341697.1
OG0000046	XP_031844716.1	XP_033341090.1
OG0000048	XP_031848640.1	XP_033333340.1, XP_033333349.1, XP_033333668.1, XP_033333667.1
OG0000048	XP_031848641.1	XP_033333670.1
OG0000048	XP_031848646.1	XP_033333398.1
OG0000048	XP_031844144.1	XP_033333474.1
OG0000048	XP_031848637.1	XP_033333347.1
OG0000048	XP_031848636.1, XP_031848634.1	XP_033333351.1
OG0000048	XP_031848644.1	XP_033333664.1
