GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005262	calcium channel activity	11	2	1.28	0.0006	0.00060	0.15592499999999998	0.014849999999999999
GO:0005509	calcium ion binding	128	26	14.91	0.0012	0.00120	0.15592499999999998	0.02736642857142857
GO:0022857	transmembrane transporter activity	327	62	38.09	0.0017	0.00011	0.15592499999999998	0.006534
GO:0005085	guanyl-nucleotide exchange factor activity	36	5	4.19	0.0021	0.00208	0.15592499999999998	0.034319999999999996
GO:0022836	gated channel activity	58	18	6.76	0.0052	1.7e-05	0.26730000000000004	0.005049
GO:0016791	phosphatase activity	88	13	10.25	0.0061	0.13376	0.26730000000000004	0.422420625
GO:0005515	protein binding	1451	185	169.03	0.0063	0.00175	0.26730000000000004	0.032484375
GO:0005524	ATP binding	530	62	61.74	0.0111	0.01108	0.4026	0.09488368421052631
GO:0005102	signaling receptor binding	48	11	5.59	0.0122	0.15671	0.4026	0.4654287
GO:0005249	voltage-gated potassium channel activity	12	6	1.4	0.0187	0.01869	0.5218714285714287	0.1262925
GO:0016776	phosphotransferase activity, phosphate group as acceptor	12	0	1.4	0.0203	0.02030	0.5218714285714287	0.13203586956521737
GO:0099094	ligand-gated cation channel activity	12	4	1.4	0.0234	0.02339	0.5218714285714287	0.14177204081632655
GO:0015079	potassium ion transmembrane transporter activity	24	10	2.8	0.0241	0.00129	0.5218714285714287	0.02736642857142857
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	86	13	10.02	0.0246	0.02464	0.5218714285714287	0.14349176470588235
GO:0022824	transmitter-gated ion channel activity	19	6	2.21	0.0268	0.00270	0.53064	0.037248750000000004
GO:0022843	voltage-gated cation channel activity	17	8	1.98	0.0302	0.00234	0.5361631578947368	0.03657789473684211
GO:0004970	ionotropic glutamate receptor activity	11	3	1.28	0.0329	0.03291	0.5361631578947368	0.17284426229508196
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	50	10	5.82	0.0341	0.03406	0.5361631578947368	0.17284426229508196
GO:0004867	serine-type endopeptidase inhibitor activity	10	1	1.16	0.0343	0.03425	0.5361631578947368	0.17284426229508196
GO:0080019	fatty-acyl-CoA reductase (alcohol-forming) activity	10	3	1.16	0.0362	0.03615	0.53757	0.1731701612903226
GO:0003677	DNA binding	386	46	44.97	0.0393	0.06758	0.539352	0.2640955263157895
GO:0004713	protein tyrosine kinase activity	32	7	3.73	0.0426	0.04263	0.539352	0.197235
GO:0004197	cysteine-type endopeptidase activity	10	0	1.16	0.0434	0.04339	0.539352	0.197235
GO:0005506	iron ion binding	45	10	5.24	0.0438	0.04383	0.539352	0.197235
GO:0004497	monooxygenase activity	20	4	2.33	0.0454	0.04544	0.539352	0.20142805970149252
GO:0048018	receptor ligand activity	22	2	2.56	0.0475	0.10778	0.5425961538461539	0.355674
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	15	1	1.75	0.0513	0.05130	0.5643	0.21161249999999998
GO:0016763	transferase activity, transferring pentosyl groups	16	2	1.86	0.0535	0.05354	0.5674821428571428	0.2178271232876712
GO:0046872	metal ion binding	536	83	62.44	0.0566	0.00296	0.5796620689655172	0.037248750000000004
GO:0005267	potassium channel activity	21	9	2.45	0.0586	0.00374	0.58014	0.044431200000000004
GO:0016667	oxidoreductase activity, acting on a sulfur group of donors	15	2	1.75	0.0623	0.06230	0.581934375	0.246708
