ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
3	"LOC114880064"	NA	chrOU015519.1	+	8095171	8095305	8094712	8095066	8095437	8095633
5	"LOC114872167"	NA	chrOU015519.1	+	7948579	7948704	7948343	7948499	7948777	7948930
6	"LOC114872170"	NA	chrOU015519.1	+	7945806	7945819	7945584	7945730	7945972	7946376
7	"LOC114872196"	NA	chrOU015519.1	+	7843722	7843859	7843011	7843082	7843955	7844072
8	"LOC114872242"	NA	chrOU015519.1	+	7598102	7598223	7596298	7596635	7598268	7598508
9	"LOC114872242"	NA	chrOU015519.1	+	7599952	7600119	7599745	7599883	7600186	7600421
12	"LOC114872262"	NA	chrOU015519.1	-	7113632	7113860	7112247	7112626	7113963	7114081
13	"LOC114872247"	NA	chrOU015519.1	+	7083650	7083890	7074490	7075502	7084113	7084241
14	"LOC114872247"	NA	chrOU015519.1	+	7108109	7108271	7107920	7108023	7108881	7109114
15	"LOC114872263"	NA	chrOU015519.1	+	7009573	7009669	7004293	7004636	7059311	7059389
16	"LOC114872156"	NA	chrOU015519.1	+	6941263	6941324	6932900	6933068	6966619	6966744
17	"LOC114872156"	NA	chrOU015519.1	+	6941263	6941324	6935436	6935558	6966619	6966744
18	"LOC114872156"	NA	chrOU015519.1	+	6955725	6955792	6941263	6941324	6966619	6966744
19	"LOC114879964"	NA	chrOU015519.1	+	6694999	6695217	6693843	6694097	6695298	6695388
21	"LOC114879144"	NA	chrOU015519.1	-	6535081	6535190	6534514	6534837	6536013	6536218
27	"LOC114879140"	NA	chrOU015519.1	+	6596900	6597046	6595095	6595267	6599860	6600086
34	"LOC114879140"	NA	chrOU015519.1	+	6599860	6600086	6595095	6595267	6600480	6600591
35	"LOC114879140"	NA	chrOU015519.1	+	6603539	6603592	6601109	6601209	6606799	6606906
38	"LOC114879140"	NA	chrOU015519.1	+	6606799	6606906	6603539	6603592	6607552	6607638
39	"LOC114879151"	NA	chrOU015519.1	+	6504944	6505483	6503963	6504281	6505542	6505618
40	"LOC114879151"	NA	chrOU015519.1	+	6504944	6505483	6503963	6504281	6506149	6506810
41	"LOC114879151"	NA	chrOU015519.1	+	6504950	6505483	6503963	6504281	6505542	6505618
42	"LOC114879151"	NA	chrOU015519.1	+	6504950	6505483	6503963	6504281	6506149	6506562
43	"LOC114879151"	NA	chrOU015519.1	+	6505542	6505618	6503963	6504281	6506149	6506562
44	"LOC114879151"	NA	chrOU015519.1	+	6505542	6505618	6504944	6505483	6506149	6506562
45	"LOC114879151"	NA	chrOU015519.1	+	6505704	6505890	6505542	6505618	6506149	6506562
49	"LOC114880459"	NA	chrOU015519.1	-	6285497	6285662	6285231	6285427	6285739	6285850
50	"LOC114880479"	NA	chrOU015519.1	+	6264429	6264531	6262726	6264236	6264810	6264951
51	"LOC114880476"	NA	chrOU015519.1	+	6246873	6246940	6246604	6246768	6247119	6247211
52	"LOC114880476"	NA	chrOU015519.1	+	6246873	6246940	6246604	6246768	6248044	6248129
53	"LOC114880476"	NA	chrOU015519.1	+	6246873	6247008	6246604	6246768	6247119	6247210
54	"LOC114880470"	NA	chrOU015519.1	-	6219367	6219665	6218929	6219290	6219732	6219967
55	"LOC114876643"	NA	chrOU015519.1	-	6123151	6123162	6121975	6123072	6123292	6123665
56	"LOC114876643"	NA	chrOU015519.1	-	6123151	6123219	6121975	6123072	6123292	6123665
57	"LOC114876643"	NA	chrOU015519.1	-	6123151	6123222	6121975	6123072	6123292	6123665
58	"LOC114876707"	NA	chrOU015519.1	-	6106377	6106459	6105932	6106253	6106537	6106920
60	"LOC114876630"	NA	chrOU015519.1	-	6071003	6071596	6070686	6070921	6071665	6071844
61	"LOC114876703"	NA	chrOU015519.1	-	6022042	6022090	6021613	6021747	6022709	6022855
64	"LOC114876653"	NA	chrOU015519.1	-	5766409	5776399	5764737	5765246	5777238	5777339
65	"LOC114876654"	NA	chrOU015519.1	-	5757727	5757772	5757385	5757472	5758045	5758171
66	"LOC114876654"	NA	chrOU015519.1	-	5757727	5757772	5757385	5757472	5758263	5758399
67	"LOC114876654"	NA	chrOU015519.1	-	5758045	5758171	5757385	5757472	5758263	5758399
68	"LOC114876654"	NA	chrOU015519.1	-	5758045	5758171	5757727	5757772	5758263	5758399
69	"LOC114876658"	NA	chrOU015519.1	+	5749207	5749523	5748512	5748934	5749918	5749955
70	"LOC114876658"	NA	chrOU015519.1	+	5750714	5750921	5750045	5750323	5751008	5751224
71	"LOC114876658"	NA	chrOU015519.1	+	5751008	5751224	5750045	5750323	5751341	5753670
75	"LOC114871527"	NA	chrOU015519.1	-	5479669	5479774	5479232	5479371	5480803	5481000
76	"LOC114871553"	NA	chrOU015519.1	-	5232480	5232630	5216616	5216766	5252152	5252257
79	"LOC114871553"	NA	chrOU015519.1	-	5296365	5296445	5252152	5252257	5330182	5330337
84	"LOC114871522"	NA	chrOU015519.1	+	4784506	4785775	4771210	4771417	4824129	4824318
85	"LOC114871522"	NA	chrOU015519.1	+	4784506	4785814	4771204	4771417	4824129	4824318
86	"LOC114871522"	NA	chrOU015519.1	+	4820477	4820834	4814849	4815177	4824129	4824318
87	"LOC114871522"	NA	chrOU015519.1	+	4826791	4826824	4824129	4824318	4827893	4827914
89	"LOC114871522"	NA	chrOU015519.1	+	4827893	4827914	4824129	4824318	4840436	4840538
91	"LOC114871522"	NA	chrOU015519.1	+	4834942	4835603	4831026	4831322	4840436	4840538
92	"LOC114871522"	NA	chrOU015519.1	+	4840617	4840682	4840436	4840538	4840775	4840888
93	"LOC114871550"	NA	chrOU015519.1	-	4621093	4621283	4619725	4620117	4628891	4629392
95	"LOC114871547"	NA	chrOU015519.1	+	4427034	4427197	4425996	4426121	4430488	4430615
96	"LOC114871547"	NA	chrOU015519.1	+	4430488	4430615	4425996	4426121	4434371	4434668
98	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4430488	4430615	4433328	4433416
99	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4430488	4430615	4434371	4434668
100	"LOC114871547"	NA	chrOU015519.1	+	4432613	4432710	4432004	4432101	4433138	4433223
101	"LOC114871547"	NA	chrOU015519.1	+	4433138	4433223	4432004	4432101	4433328	4433416
102	"LOC114871547"	NA	chrOU015519.1	+	4433138	4433223	4432004	4432101	4434371	4434668
103	"LOC114871547"	NA	chrOU015519.1	+	4433328	4433416	4430488	4430615	4434371	4434668
104	"LOC114871547"	NA	chrOU015519.1	+	4433328	4433416	4432004	4432101	4434371	4434668
106	"LOC114871547"	NA	chrOU015519.1	+	4434793	4435114	4434371	4434668	4435275	4436896
107	"LOC114871482"	NA	chrOU015519.1	-	4302946	4303316	4300690	4300989	4305440	4305664
108	"LOC114871546"	NA	chrOU015519.1	+	4243182	4243429	4242822	4243049	4244128	4244440
109	"LOC114871546"	NA	chrOU015519.1	+	4243643	4243893	4243182	4243429	4244128	4244440
111	"LOC114879066"	NA	chrOU015519.1	-	4187544	4187838	4187046	4187157	4188753	4188833
112	"LOC114879060"	NA	chrOU015519.1	+	4179644	4179822	4178890	4179182	4180487	4180680
115	"LOC114879054"	NA	chrOU015519.1	+	4073747	4074080	4072221	4072768	4075359	4075730
116	"LOC114879042"	NA	chrOU015519.1	-	3951361	3951496	3948738	3948858	3951877	3952323
117	"LOC114879042"	NA	chrOU015519.1	-	3951368	3951496	3948738	3948858	3951877	3952323
120	"LOC114880251"	NA	chrOU015519.1	+	3759716	3759860	3759469	3759652	3760304	3760457
121	"LOC114880249"	NA	chrOU015519.1	-	3746750	3746876	3746446	3746661	3746940	3747082
122	"LOC114880249"	NA	chrOU015519.1	-	3747150	3747414	3746940	3747082	3747495	3747635
123	"LOC114880249"	NA	chrOU015519.1	-	3748377	3748564	3747727	3747854	3749004	3749280
124	"LOC114880249"	NA	chrOU015519.1	-	3748377	3748564	3747727	3747854	3749286	3749439
126	"LOC114880249"	NA	chrOU015519.1	-	3748377	3748564	3747727	3747854	3750136	3750342
127	"LOC114880249"	NA	chrOU015519.1	-	3748377	3748564	3747727	3747854	3750382	3750467
129	"LOC114877992"	NA	chrOU015519.1	-	3691555	3692569	3691314	3691463	3692634	3692768
136	"LOC114878003"	NA	chrOU015519.1	+	3507639	3507730	3506257	3506351	3507864	3507940
138	"LOC114878004"	NA	chrOU015519.1	+	3439517	3439603	3439060	3439217	3439874	3440449
140	"LOC114878014"	NA	chrOU015519.1	+	3389389	3389729	3383053	3383250	3392966	3394332
141	"LOC114878014"	NA	chrOU015519.1	+	3389389	3389729	3383425	3383673	3392966	3394332
143	"LOC114878014"	NA	chrOU015519.1	+	3392966	3394332	3390812	3390896	3396218	3396314
145	"LOC114877988"	NA	chrOU015519.1	+	3333049	3333175	3330057	3330227	3334048	3334205
147	"LOC114877988"	NA	chrOU015519.1	+	3337932	3338031	3337499	3337847	3338649	3339728
148	"LOC114877988"	NA	chrOU015519.1	+	3338082	3338184	3337499	3337847	3338649	3339728
150	"LOC114879774"	NA	chrOU015519.1	-	3255623	3255918	3253726	3253979	3256014	3256165
151	"LOC114879774"	NA	chrOU015519.1	-	3256724	3256884	3256475	3256626	3257018	3257079
152	"LOC114879766"	NA	chrOU015519.1	-	3176395	3176524	3173445	3176315	3176602	3176867
155	"LOC114877866"	NA	chrOU015519.1	+	3068911	3068923	3068031	3068290	3069574	3069830
156	"LOC114877845"	NA	chrOU015519.1	-	2982396	2982502	2982214	2982337	2986848	2987035
158	"LOC114877844"	NA	chrOU015519.1	+	2977872	2977927	2977588	2977775	2978013	2978400
164	"LOC114877851"	NA	chrOU015519.1	-	2908183	2908539	2907245	2907358	2911741	2911870
166	"LOC114877840"	NA	chrOU015519.1	-	2834004	2836107	2832412	2833014	2836788	2837019
167	"LOC114877840"	NA	chrOU015519.1	-	2834004	2836107	2832412	2833014	2837350	2837472
168	"LOC114877840"	NA	chrOU015519.1	-	2836788	2837019	2832412	2833014	2837350	2837472
169	"LOC114877840"	NA	chrOU015519.1	-	2836788	2837019	2834004	2836107	2837350	2837472
171	"LOC114882156"	NA	chrOU015519.1	+	2631134	2631230	2630998	2631078	2631566	2631696
172	"LOC114879735"	NA	chrOU015519.1	+	2572974	2573101	2572719	2572901	2573577	2573750
174	"LOC114879732"	NA	chrOU015519.1	-	2538985	2539080	2536900	2536986	2539159	2539399
175	"LOC114879732"	NA	chrOU015519.1	-	2539460	2539664	2539159	2539399	2540077	2540399
176	"LOC114879732"	NA	chrOU015519.1	-	2539460	2539668	2539159	2539399	2540077	2540227
177	"LOC114879732"	NA	chrOU015519.1	-	2540077	2540227	2539159	2539399	2540436	2540524
178	"LOC114879738"	NA	chrOU015519.1	-	2438596	2438755	2437262	2437350	2439278	2439400
180	"LOC114879493"	NA	chrOU015519.1	-	2140737	2140987	2133209	2133467	2141524	2142854
181	"LOC114879497"	NA	chrOU015519.1	+	2114184	2114335	2113872	2113992	2115007	2115137
182	"LOC114880226"	NA	chrOU015519.1	-	1924902	1925046	1924660	1924780	1929232	1930120
183	"LOC114880226"	NA	chrOU015519.1	-	1926710	1926839	1924902	1925046	1926925	1927072
184	"LOC114880226"	NA	chrOU015519.1	-	1926710	1926839	1924902	1925046	1929232	1930133
185	"LOC114881851"	NA	chrOU015518.1	-	8946444	8946661	8945867	8946109	8947262	8947501
186	"LOC114880802"	NA	chrOU015518.1	+	8720894	8721827	8720577	8720774	8721942	8722313
187	"LOC114880802"	NA	chrOU015518.1	+	8721158	8721827	8720577	8720774	8721942	8722313
188	"LOC114876646"	NA	chrOU015519.1	+	6139603	6139844	6137800	6138001	6144411	6144579
190	"LOC114876485"	NA	chrOU015518.1	+	8646108	8646207	8644586	8644697	8646435	8646505
191	"LOC114876510"	NA	chrOU015518.1	+	8557047	8557117	8556308	8556589	8558749	8558860
194	"LOC114876496"	NA	chrOU015518.1	+	8504919	8504951	8503847	8504073	8505546	8505617
195	"LOC114876504"	NA	chrOU015518.1	-	8437145	8437723	8436307	8436385	8439068	8439329
196	"LOC114876500"	NA	chrOU015518.1	+	8436262	8436346	8417951	8418098	8440445	8440626
197	"LOC114876500"	NA	chrOU015518.1	+	8440445	8440626	8417951	8418098	8462491	8462926
201	"LOC114876493"	NA	chrOU015518.1	+	8399388	8399483	8397830	8398132	8404088	8404183
203	"LOC114876493"	NA	chrOU015518.1	+	8404088	8404183	8399388	8399483	8407203	8407378
206	"LOC114876525"	NA	chrOU015518.1	-	8159903	8160029	8158848	8159077	8162919	8163082
210	"LOC114876515"	NA	chrOU015518.1	+	8098647	8098736	8097695	8097871	8098796	8098947
211	"LOC114876490"	NA	chrOU015518.1	+	8075775	8075890	8072275	8072371	8076336	8076515
214	"LOC114875668"	NA	chrOU015518.1	+	7815067	7815370	7814782	7814883	7815451	7816333
215	"LOC114875664"	NA	chrOU015518.1	+	7806125	7806316	7805346	7806064	7806383	7806561
216	"LOC114875713"	NA	chrOU015518.1	-	7767571	7767856	7767120	7767501	7767930	7768307
219	"LOC114875670"	NA	chrOU015518.1	+	7674231	7674315	7673752	7673926	7674393	7674517
220	"LOC114875687"	NA	chrOU015518.1	-	7460949	7462086	7460358	7460528	7462905	7463261
221	"LOC114875687"	NA	chrOU015518.1	-	7460949	7462099	7460358	7460528	7462905	7463261
222	"LOC114875687"	NA	chrOU015518.1	-	7460949	7462099	7460358	7460528	7465809	7465993
223	"LOC114875679"	NA	chrOU015518.1	+	7444976	7444982	7444482	7444709	7445148	7445298
224	"LOC114877697"	NA	chrOU015518.1	-	7180589	7180752	7180232	7180527	7180822	7181124
225	"LOC114877712"	NA	chrOU015518.1	+	7157777	7157872	7157348	7157460	7158008	7158179
230	"LOC114877690"	NA	chrOU015518.1	-	6943112	6943246	6942402	6942509	6984290	6984401
231	"LOC114877290"	NA	chrOU015518.1	-	6834618	6834822	6820696	6820848	6853664	6853873
232	"LOC114877290"	NA	chrOU015518.1	-	6835807	6835918	6834618	6834822	6853664	6853873
234	"LOC114877304"	NA	chrOU015518.1	+	6586236	6586665	6585222	6585642	6586784	6586997
235	"LOC114877294"	NA	chrOU015518.1	-	6552141	6552288	6551569	6552060	6552479	6552710
237	"LOC114877288"	NA	chrOU015518.1	+	6509374	6509443	6494897	6494986	6527455	6527806
238	"LOC114880857"	NA	chrOU015518.1	-	6336886	6337777	6311779	6312172	6341226	6341748
239	"LOC114877825"	NA	chrOU015518.1	+	6238377	6238817	6225118	6225181	6273565	6273663
243	"LOC114877834"	NA	chrOU015518.1	-	6210657	6210768	6208150	6209851	6212396	6212725
245	"LOC114877834"	NA	chrOU015518.1	-	6210657	6210768	6208150	6209854	6212396	6212725
247	"LOC114877834"	NA	chrOU015518.1	-	6211395	6211814	6208150	6209854	6212396	6212725
248	"LOC114877834"	NA	chrOU015518.1	-	6211395	6211814	6210657	6210768	6212396	6212725
249	"LOC114877828"	NA	chrOU015518.1	-	5907196	5907374	5889331	5889444	6001359	6001570
250	"LOC114872235"	NA	chrOU015519.1	-	7543411	7543493	7542730	7542905	7543820	7543962
251	"LOC114877540"	NA	chrOU015518.1	-	5837948	5838113	5837779	5837869	5838453	5838744
254	"LOC114877558"	NA	chrOU015518.1	-	5770839	5771006	5770498	5770597	5771809	5772620
259	"LOC114877547"	NA	chrOU015518.1	+	5382125	5382238	5381805	5382046	5382424	5382538
260	"LOC114875343"	NA	chrOU015518.1	-	4881269	4881328	4865294	4865442	4939654	4939731
262	"LOC114875343"	NA	chrOU015518.1	-	5171072	5171123	5157572	5157623	5178655	5178797
265	"LOC114875326"	NA	chrOU015518.1	-	4676805	4676976	4676123	4676339	4678507	4678687
266	"LOC114875326"	NA	chrOU015518.1	-	4677777	4677957	4676123	4676339	4678507	4678687
267	"LOC114879959"	NA	chrOU015519.1	+	6677791	6677891	6674364	6674527	6679783	6679927
268	"LOC114879959"	NA	chrOU015519.1	+	6677791	6677930	6674364	6674527	6679783	6679927
270	"LOC114872277"	NA	chrOU015519.1	-	7236439	7236508	7231911	7232224	7328791	7329071
271	"LOC114872277"	NA	chrOU015519.1	-	7236600	7236698	7236439	7236508	7273239	7273259
273	"LOC114878500"	NA	chrOU015518.1	+	4534633	4534753	4534371	4534560	4535738	4535907
279	"LOC114878511"	NA	chrOU015518.1	-	4401324	4401658	4400332	4401228	4402060	4402696
285	"LOC114878476"	NA	chrOU015518.1	+	4350938	4351043	4350257	4350401	4351434	4352334
286	"LOC114878476"	NA	chrOU015518.1	+	4350938	4351043	4350257	4350401	4352910	4353313
287	"LOC114878476"	NA	chrOU015518.1	+	4351434	4352334	4350257	4350401	4352910	4353313
288	"LOC114878476"	NA	chrOU015518.1	+	4351434	4352334	4350938	4351043	4352910	4353313
289	"LOC114878490"	NA	chrOU015518.1	-	4299539	4299699	4299109	4299223	4301971	4302187
290	"LOC114877392"	NA	chrOU015518.1	+	3976509	3976724	3973539	3973736	3980677	3980806
291	"LOC114877386"	NA	chrOU015518.1	+	3728321	3728418	3728012	3728205	3728723	3728910
292	"LOC114877385"	NA	chrOU015518.1	+	3707124	3707226	3705931	3706816	3716087	3716356
296	"LOC114880579"	NA	chrOU015518.1	+	3697286	3697698	3695628	3695907	3698353	3699138
297	"LOC114880577"	NA	chrOU015518.1	+	3637703	3637760	3637287	3637616	3637834	3637897
298	"LOC114880577"	NA	chrOU015518.1	+	3638051	3638133	3637834	3637897	3638232	3638375
301	"LOC114882870"	NA	chrOU015518.1	-	2529104	2529307	2503720	2503803	2529862	2530501
303	"LOC114882870"	NA	chrOU015518.1	-	2529862	2530501	2503720	2503803	2530836	2530980
305	"LOC114882855"	NA	chrOU015518.1	-	2238200	2238346	2163511	2163574	2264894	2265242
306	"LOC114882828"	NA	chrOU015518.1	+	2064144	2064187	2063749	2064058	2064330	2064525
308	"LOC114882828"	NA	chrOU015518.1	+	2064330	2064525	2063749	2064058	2065710	2065855
311	"LOC114882828"	NA	chrOU015518.1	+	2067898	2068066	2067611	2067833	2068415	2068537
312	"LOC114882859"	NA	chrOU015518.1	+	2055704	2055854	2054611	2054726	2056048	2056275
313	"LOC114882843"	NA	chrOU015518.1	-	2029580	2029634	2029313	2029469	2029722	2029834
315	"LOC114882839"	NA	chrOU015518.1	+	2010395	2010682	2009340	2009589	2011151	2011238
316	"LOC114882840"	NA	chrOU015518.1	+	1995189	1996277	1993501	1993569	1996340	1996971
317	"LOC114878746"	NA	chrOU015518.1	+	1980057	1980274	1979556	1979988	1980346	1981698
324	"LOC114878753"	NA	chrOU015518.1	+	1756069	1759183	1755812	1755936	1760330	1762367
326	"LOC114881700"	NA	chrOU015518.1	-	1641922	1642010	1640117	1640254	1644059	1644214
327	"LOC114881700"	NA	chrOU015518.1	-	1644309	1644345	1644059	1644214	1644419	1644875
328	"LOC114872966"	NA	chrOU015518.1	-	1591234	1591383	1588241	1590958	1591456	1592140
329	"LOC114872965"	NA	chrOU015518.1	+	1577056	1583032	1571294	1576936	1583515	1583722
332	"LOC114872955"	NA	chrOU015518.1	+	1508597	1508727	1497841	1497944	1515904	1516261
333	"LOC114872893"	NA	chrOU015518.1	+	1316942	1317073	1316664	1316771	1318423	1319061
334	"LOC114872893"	NA	chrOU015518.1	+	1317294	1317410	1316942	1317073	1318423	1319061
335	"LOC114872893"	NA	chrOU015518.1	+	1317537	1317807	1317294	1317410	1318423	1319061
340	"LOC114878487"	NA	chrOU015518.1	+	4288508	4288596	4288198	4288386	4289436	4289566
341	"LOC114878487"	NA	chrOU015518.1	+	4288686	4288832	4288508	4288596	4289436	4289566
343	"LOC114878487"	NA	chrOU015518.1	+	4292059	4292201	4291285	4291418	4295223	4296267
344	"LOC114872924"	NA	chrOU015518.1	+	1107511	1107617	1105203	1105284	1107680	1107735
346	"LOC114872937"	NA	chrOU015518.1	-	1085575	1085692	1083974	1084833	1086018	1086205
347	"LOC114872937"	NA	chrOU015518.1	-	1085575	1085696	1083974	1084833	1086018	1086205
348	"LOC114872942"	NA	chrOU015518.1	-	1050699	1050741	1050543	1050632	1050833	1050923
349	"LOC114872846"	NA	chrOU015518.1	+	1026713	1026762	1019832	1019874	1035414	1035532
350	"LOC114872846"	NA	chrOU015518.1	+	1031284	1031333	1019832	1019874	1033260	1033309
351	"LOC114872846"	NA	chrOU015518.1	+	1031284	1031333	1019832	1019874	1035414	1035532
352	"LOC114872846"	NA	chrOU015518.1	+	1033260	1033309	1019832	1019874	1035414	1035532
353	"LOC114872846"	NA	chrOU015518.1	+	1033260	1033309	1031284	1031333	1035414	1035532
354	"LOC114872846"	NA	chrOU015518.1	+	1035414	1035532	1019832	1019874	1035788	1036062
355	"LOC114872839"	NA	chrOU015518.1	+	1007948	1008097	1007052	1007178	1008197	1008603
357	"LOC114872843"	NA	chrOU015518.1	+	989786	989873	989472	989545	989927	989984
360	"LOC114872903"	NA	chrOU015518.1	-	944271	944421	942658	942810	944913	945003
361	"LOC114872903"	NA	chrOU015518.1	-	944271	944421	942658	942810	946810	947265
362	"LOC114872902"	NA	chrOU015518.1	-	888656	889164	888208	888437	903127	903275
363	"LOC114872972"	NA	chrOU015518.1	+	873050	873351	872772	872951	873416	873688
364	"LOC114872849"	NA	chrOU015518.1	-	853684	854257	853329	853399	856573	856863
365	"LOC114872849"	NA	chrOU015518.1	-	854330	854375	853684	854257	854446	854485
366	"LOC114872849"	NA	chrOU015518.1	-	854446	854485	853684	854257	856573	856863
368	"LOC114872849"	NA	chrOU015518.1	-	857429	857654	856940	857029	863890	863984
369	"LOC114872849"	NA	chrOU015518.1	-	858050	858089	854446	854485	863890	863984
370	"LOC114872849"	NA	chrOU015518.1	-	858050	858089	856940	857029	863890	863984
372	"LOC114872858"	NA	chrOU015518.1	-	841845	841906	838579	840663	844205	844519
373	"LOC114873008"	NA	chrOU015518.1	+	806840	806960	799255	799956	808018	808229
374	"LOC114873001"	NA	chrOU015518.1	-	787370	787601	787187	787268	787701	787859
375	"LOC114873001"	NA	chrOU015518.1	-	787370	787601	787187	787268	788280	788447
376	"LOC114873001"	NA	chrOU015518.1	-	787701	787859	787187	787268	788280	788447
377	"LOC114873001"	NA	chrOU015518.1	-	787701	787859	787370	787601	788280	788447
378	"LOC114873001"	NA	chrOU015518.1	-	789601	789705	789340	789421	790030	790365
381	"LOC114873001"	NA	chrOU015518.1	-	789601	789705	789340	789421	790864	791101
382	"LOC114873001"	NA	chrOU015518.1	-	790030	790365	789340	789421	790506	790591
383	"LOC114873001"	NA	chrOU015518.1	-	790030	790365	789340	789421	790649	791101
384	"LOC114873001"	NA	chrOU015518.1	-	790030	790365	789601	789705	790649	791101
386	"LOC114873001"	NA	chrOU015518.1	-	790142	790365	789340	789421	790649	791101
387	"LOC114873001"	NA	chrOU015518.1	-	790142	790365	789601	789705	790649	791101
389	"LOC114873001"	NA	chrOU015518.1	-	790506	790591	790030	790365	790649	791101
391	"LOC114873001"	NA	chrOU015518.1	-	790649	790701	789601	789705	790864	791101
392	"LOC114872953"	NA	chrOU015518.1	-	705224	705579	705037	705149	705950	706249
393	"LOC114872985"	NA	chrOU015518.1	+	687904	687947	685833	685997	688196	688379
403	"LOC114872986"	NA	chrOU015518.1	+	676767	676945	676176	676647	677019	677242
404	"LOC114872871"	NA	chrOU015518.1	+	654197	654354	654049	654142	654416	654565
411	"LOC114876026"	NA	chrOU015518.1	+	576850	577103	576148	576390	577207	577885
413	"LOC114876025"	NA	chrOU015518.1	-	564470	564593	560294	560530	566594	566714
416	"LOC114876025"	NA	chrOU015518.1	-	566594	566714	564470	564593	570935	571058
419	"LOC114876022"	NA	chrOU015518.1	+	434681	434829	374590	374638	453287	453431
422	"LOC114876022"	NA	chrOU015518.1	+	514113	514436	507614	507723	515050	515342
423	"LOC114876021"	NA	chrOU015518.1	-	346611	346831	343765	343863	378405	378798
424	"LOC114876021"	NA	chrOU015518.1	-	346611	346835	343765	343863	378405	378798
429	"LOC114876039"	NA	chrOU015518.1	-	215477	215616	214041	215337	215728	216089
430	"LOC114881302"	NA	chrOU015517.1	-	7835983	7836205	7828522	7828774	7843424	7843950
431	"LOC114881074"	NA	chrOU015517.1	+	7795963	7796024	7781338	7781448	7801081	7801337
432	"LOC114881379"	NA	chrOU015517.1	+	7363479	7363619	7361910	7362044	7371037	7371419
435	"LOC114881004"	NA	chrOU015517.1	-	6571566	6571776	6570635	6571240	6572425	6572677
436	"LOC114881004"	NA	chrOU015517.1	-	6579827	6580193	6574464	6574993	6581448	6581688
438	"LOC114881171"	NA	chrOU015517.1	-	6552335	6552587	6550350	6550605	6553503	6553725
439	"LOC114881171"	NA	chrOU015517.1	-	6552335	6552587	6550350	6550605	6554463	6554989
