Orthogroup	Megachile_rotundata	Drosophila_melanogaster
OG0000001	XP_012136792.1, XP_012150537.1, XP_003707539.1, XP_012146067.1, XP_003704416.1, XP_012143065.1, XP_012143066.1, XP_003704415.1, XP_003704279.1, XP_012143067.1, XP_003704414.1, XP_012140371.1, XP_012140372.1, XP_003703231.1, XP_012143070.1, XP_012143071.1, XP_012143072.1, XP_003704281.1, XP_012143073.1, XP_003704278.1, XP_012143061.1, XP_003704412.1, XP_003703200.1, XP_003699913.1, XP_003701310.1, XP_003701343.1, XP_012136078.1, XP_012136077.1, XP_003701345.1, XP_012136079.1	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1
OG0000006	XP_003707057.2, XP_012149242.1	NP_523647.2, NP_523721.1
OG0000008	XP_003705710.1	NP_572981.1
OG0000008	XP_003705708.1	NP_572985.1
OG0000008	XP_012141335.1	NP_651466.1
OG0000008	XP_003705713.2	NP_572978.1, NP_572977.1
OG0000008	XP_003705711.1	NP_001285251.1
OG0000008	XP_003705712.1	NP_001285249.1
OG0000008	XP_003705707.1	NP_572987.1
OG0000009	XP_012145773.1, XP_012145771.1, XP_012145774.1, XP_003703411.1, XP_003705489.1, XP_003705491.1	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1
OG0000011	XP_003704160.1, XP_003704145.1, XP_003704159.1, XP_012152696.1, XP_012152697.1, XP_012152699.1, XP_012142611.1, XP_003708369.2, XP_012152698.1, XP_012142612.1, XP_012142572.1, XP_012142616.1, XP_012142615.1, XP_012142614.1, XP_003704157.1, XP_003704158.1	NP_523520.2
OG0000012	XP_012141586.1	NP_729270.1, NP_729271.1, NP_648134.1
OG0000012	XP_003705464.1	NP_610673.1, NP_523692.1, NP_523691.1, NP_610674.5, NP_651732.1
OG0000012	XP_003705466.1	NP_611479.2, NP_001027441.1, NP_001097340.1
OG0000012	XP_003705999.2, XP_012146828.1, XP_012146827.1	NP_001036717.1
OG0000013	XP_003707914.1	NP_724345.1, NP_001027303.1, NP_001027308.1, NP_001027298.1, NP_001027294.1, NP_001027338.1
OG0000013	XP_003708097.1	NP_001259374.1
OG0000013	XP_003708096.1	NP_001260082.1
OG0000017	XP_012136742.1	NP_611325.2, NP_611326.1, NP_611327.1, NP_611328.1, NP_001286571.1, NP_611329.1, NP_725784.1, NP_001286570.1, NP_611323.1, NP_611324.1, NP_001246500.1, NP_001286575.1, NP_001188889.1
OG0000017	XP_012145418.1	NP_001138040.1
OG0000017	XP_012145417.1, XP_003705347.1, XP_012153570.1	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1
OG0000018	XP_012135493.1, XP_012146800.1, XP_012146802.1, XP_012146801.1, XP_012146803.1	NP_001247286.1
OG0000019	XP_012148065.1, XP_012148068.1, XP_012148067.1, XP_012148063.1, XP_012148064.1	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1
OG0000020	XP_012144180.1	NP_723103.1
OG0000020	XP_012136049.1	NP_001097100.1, NP_001188701.2
OG0000020	XP_012144181.1	NP_723828.1
OG0000020	XP_003701701.2	NP_001137799.1, NP_723441.2
OG0000020	XP_012141764.1	NP_001097508.2
OG0000020	XP_012137465.1	NP_001259218.1
OG0000021	XP_012152676.1, XP_003708291.1	NP_648539.1
OG0000021	XP_012138701.1	NP_001263113.1, NP_651812.1, NP_001189282.1
OG0000021	XP_012135825.1	NP_611262.1, NP_651761.2
OG0000022	XP_003706155.1	NP_001027366.1, NP_001027371.1, NP_001027376.1
OG0000024	XP_003700292.1	NP_001287440.1, NP_572746.1, NP_788887.1, NP_001036311.2, NP_001036313.1, NP_572695.2, NP_648664.2, NP_608991.2, NP_001262831.1
OG0000026	XP_003699994.1	NP_729591.1, NP_001287018.1
OG0000026	XP_012144087.1	NP_001014616.2
OG0000026	XP_012137100.1	NP_001287332.1
OG0000026	XP_012148280.1, XP_003706585.1	NP_001163838.2
