GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005509	calcium ion binding	145	64	33.6	3.0e-07	3.0e-07	6.42e-5	6.42e-5
GO:0005244	voltage-gated ion channel activity	21	16	4.87	3.9e-06	3.9e-06	4.173e-4	2.782e-4
GO:0005267	potassium channel activity	23	16	5.33	4.5e-05	4.5e-05	0.00321	0.0014062857142857143
GO:0043565	sequence-specific DNA binding	80	34	18.54	0.00032	0.00032	0.01712	0.006848
GO:0005515	protein binding	1587	416	367.72	0.00165	4.6e-05	0.0642	0.0014062857142857143
GO:0004930	G protein-coupled receptor activity	91	34	21.09	0.00180	0.00180	0.0642	0.0214
GO:0005102	signaling receptor binding	53	16	12.28	0.00271	0.36783	0.08284857142857144	0.6727830769230769
GO:0044877	protein-containing complex binding	43	10	9.96	0.00328	0.00328	0.08774	0.03190545454545454
GO:0140098	catalytic activity, acting on RNA	125	17	28.96	0.00373	0.76057	0.08869111111111111	1
GO:0005543	phospholipid binding	41	15	9.5	0.00456	0.01595	0.09758399999999999	0.10039117647058822
GO:0008509	anion transmembrane transporter activity	29	14	6.72	0.00924	0.00924	0.1753153846153846	0.07843923076923076
GO:0032549	ribonucleoside binding	145	39	33.6	0.01019	0.09529	0.1753153846153846	0.28322305555555555
GO:0008289	lipid binding	64	21	14.83	0.01065	0.00051	0.1753153846153846	0.008395384615384615
GO:0004888	transmembrane signaling receptor activity	227	63	52.6	0.01179	0.20470	0.18021857142857145	0.45247897959183675
GO:0005085	guanyl-nucleotide exchange factor activity	42	18	9.73	0.01381	0.01381	0.19407125	0.092354375
GO:0051082	unfolded protein binding	25	9	5.79	0.01451	0.01451	0.19407125	0.0940951515151515
GO:0003779	actin binding	51	13	11.82	0.01767	0.01767	0.22243411764705884	0.10803942857142858
GO:0003700	DNA-binding transcription factor activity	208	67	48.19	0.01894	0.00288	0.225021	0.02934857142857143
GO:0004222	metalloendopeptidase activity	39	10	9.04	0.02069	0.02069	0.225021	0.11539538461538462
GO:0015291	secondary active transmembrane transporter activity	32	15	7.41	0.02103	0.02103	0.225021	0.11539538461538462
GO:0016298	lipase activity	34	11	7.88	0.02265	0.11625	0.2308142857142857	0.3137874074074074
GO:0004713	protein tyrosine kinase activity	32	12	7.41	0.02888	0.02888	0.2809236363636363	0.14715047619047616
GO:0016209	antioxidant activity	21	8	4.87	0.03214	0.03214	0.2990417391304348	0.1513817391304348
GO:0022853	active ion transmembrane transporter activity	34	15	7.88	0.03403	0.03403	0.3034341666666666	0.1517170833333333
GO:0030414	peptidase inhibitor activity	24	11	5.56	0.04087	0.04087	0.34984719999999997	0.1784934693877551
GO:0008081	phosphoric diester hydrolase activity	25	10	5.79	0.04580	0.04580	0.3769692307692307	0.19218039215686275
GO:0015318	inorganic molecular entity transmembrane transporter activity	180	66	41.71	0.04807	0.00095	0.38099925925925926	0.014521428571428572
GO:0020037	heme binding	59	15	13.67	0.05123	0.05123	0.3885944827586207	0.20123642857142857
GO:0022824	transmitter-gated ion channel activity	23	11	5.33	0.05266	0.05266	0.3885944827586207	0.20123642857142857
GO:0004843	thiol-dependent ubiquitin-specific protease activity	34	10	7.88	0.06057	0.06057	0.432066	0.22348241379310343
GO:0015079	potassium ion transmembrane transporter activity	28	19	6.49	0.06374	1.2e-05	0.4400116129032258	6.42e-4
GO:0004672	protein kinase activity	213	64	49.35	0.07280	0.04884	0.48685	0.2009953846153846
GO:0022836	gated channel activity	64	32	14.83	0.08048	7.9e-05	0.521900606060606	0.0021132499999999997
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	45	11	10.43	0.08715	0.08715	0.5426683333333333	0.28257727272727273
GO:0035091	phosphatidylinositol binding	29	7	6.72	0.09046	0.09046	0.5426683333333333	0.28322305555555555
GO:0046983	protein dimerization activity	113	21	26.18	0.09129	0.39810	0.5426683333333333	0.7159109243697479
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	91	27	21.09	0.09406	0.09406	0.5440227027027028	0.28322305555555555
GO:0008234	cysteine-type peptidase activity	22	6	5.1	0.09768	0.09768	0.5500926315789474	0.2863495890410959
GO:0019001	guanyl nucleotide binding	145	36	33.6	0.11242	0.09529	0.6051614285714285	0.28322305555555555
GO:0046873	metal ion transmembrane transporter activity	70	35	16.22	0.11719	3.2e-05	0.6051614285714285	0.0013696
